ICYMI: Our Black Friday sale continues today! Jumpstart your holiday shopping by taking 15% off any item from our store with coupon code PEOPLEFIRST. https://t.co/OwwE1XAeLm https://t.co/Ja4sKZoL9O,2020-11-28 21:56:05,Twitter Web App,2,14
Wow! Our campaign just raised almost $10000 for food banks across our state to help those families who are food insecure. Grateful to all our donors who helped take care of our neighbors in this time of need. Every penny counts—and together we made a real difference! 🙏🏾🙏🏾,2020-11-28 01:35:55,Twitter for iPhone,53,496
Looking for the perfect gift for the proud progressive in your life? Enter the code PEOPLEFIRST at checkout for 15% off ALL our merch — including hoodies masks long-sleeve shirts mugs and more! https://t.co/OwwE1XAeLm https://t.co/LBaecgQJRl,2020-11-27 14:26:46,Twitter Web App,6,21
Happy Thanksgiving from my family to yours!   Even in these tough times I hope today brings you peace joy a good meal and a moment to rest. I'm grateful to be fighting alongside you as we work to deliver transformative change that has a real impact on people across America.,2020-11-26 15:25:42,Twitter Web App,18,283
The Trump administration's dangerous plot to inflict maximum cruelty and harm on immigrants and refugees will end soon.  But the work continues: We must not only reverse the damage done but also finally create a humane and comprehensive immigration system. https://t.co/rJ4JF0oNAI,2020-11-26 01:16:52,Twitter Web App,23,93
We need to take care of the frontline workers who are taking care of all of us. Let’s guarantee them hazard pay paid leave PPE and robust workers’ rights.  https://t.co/T97Hzn0LES,2020-11-25 23:28:45,Twitter Web App,58,222
Unemployment claims are at a five-week high and unemployment benefits will expire for millions at the end of the year. The Senate must pass the House's aid package that gets relief to people and businesses so they can withstand this crisis. It can't wait. https://t.co/VmMrIHuxiY,2020-11-25 22:28:03,Twitter Web App,22,100
The women who suffered horrific human rights abuses at ICE medical facilities must have the opportunity to stay in the United States and take part in this urgent investigation.  I will continue doing everything in my power to bring all those responsible to justice. https://t.co/aD21nrcXrv,2020-11-25 20:55:02,Twitter Web App,92,462
Electing Kamala Harris to the vice presidency was a historic and groundbreaking accomplishment. But we can’t stop there. The AAPI community was part of the diverse coalition that delivered us to victory and now we need more representation at every level. https://t.co/1fh9tEh97b,2020-11-24 23:05:07,Twitter Web App,25,154
People across America just turned out in record numbers and delivered a mandate for real progressive change.  Let’s organize fight and finally ensure that health care is guaranteed to everyone as a human right. https://t.co/yZqncHw5Co,2020-11-24 19:39:58,Twitter Web App,24,118
As Walmart and McDonald’s executives rake in multi-million dollar salaries far too many of their workers can’t afford to put food on the table.  We must raise the minimum wage to at least $15 nationwide and ensure workers have the protections and benefits they deserve. https://t.co/bc03Srh1Q4,2020-11-24 18:13:16,Twitter Web App,46,227
"Progressives are interested in engaging in good faith to craft amendments raise concerns about harmful concessions and do the work of legislating to pass the boldest possible bills out of the House."   Excellent piece from @Leahgreenb and @ezralevin: https://t.co/FD8R1bperK,2020-11-24 02:18:59,Twitter Web App,62,344
Evicting people from their homes during a pandemic is cruel and inhumane. We need to act immediately by fully renewing eviction moratoriums canceling rent and mortgage payments during COVID-19 and getting more relief to people. https://t.co/T1ItC3rq2n,2020-11-23 21:59:52,Twitter Web App,24,133
CBP detained Iranian-Americans and others at the border for hours simply because of their nationality. Then they repeatedly lied about it. They must be held accountable. https://t.co/bqCMyJTXbY,2020-11-23 18:22:57,Twitter Web App,17,58
“Now is not the time for half-measures. Now is the time for grand gestures and innovative thinking.”  @rgay is right: Canceling student loan debt is a bold solution that meets the scale of the economic inequities we faced even before the pandemic. It's time to make it happen. https://t.co/GZ0v8iNMiF,2020-11-23 17:01:14,Twitter Web App,80,582
We needed Medicare for All before the pandemic. We need Medicare for All during the pandemic. We'll need Medicare for All after the pandemic.   Let's finally guarantee health care to everyone as a human right.,2020-11-23 00:18:00,TweetDeck,1323,8685
There’s still time to take part in @fairfightaction’s Weekend of Action — choose a time and pick up the phone to get-out-the-vote! https://t.co/aPJtgriS4R,2020-11-22 14:16:00,TweetDeck,11,34
As cases spike just a reminder to continue wearing your mask washing your hands avoiding groups social distancing and following public health guidelines. Let's keep our community safe and help stop the spread of COVID-19. https://t.co/AzgQquQ9m4,2020-11-22 00:34:00,TweetDeck,20,104
A record number of Black women organized across our state to win races up and down the ticket — and now they're ready to bring forward policies that lift up everyone. https://t.co/FEspQtqevU,2020-11-21 18:13:00,TweetDeck,31,182
.@fairfightaction’s Weekend of Action is here!   Sign up to make calls today or tomorrow to help flip the Senate: https://t.co/aPJtgriS4R,2020-11-21 14:50:00,TweetDeck,17,41
Self-regulation by Big Tech comes at the expense of small businesses consumers and the free press.   We're going to hold these companies accountable rein in their anti-competitive behavior prevent monopolistic practices and allow innovation to thrive. https://t.co/OUi9cSbICZ,2020-11-21 01:23:10,Twitter Web App,23,90
What Donald Trump and his enablers are doing to our elections is not a joke — it is a direct attack on our democracy. It is the path to fascism. We must stop them and hold them fully accountable. https://t.co/BihhmIak71,2020-11-21 00:04:04,Twitter Web App,48,303
Big news: @AsianAAF just launched the Asians for Ossoff and Warnock campaign to mobilize the AAPI vote in Georgia and flip the Senate!  Be part of their critical organizing by donating your time or a few dollars: https://t.co/DZ7ZCdLHpR,2020-11-20 22:41:43,Twitter Web App,15,92
On #TransDayOfRemembrance we say these names and remember these beautiful lives but we must also honor them with action. Let us commit to fighting against transphobia hate and discrimination — and for equality opportunity and justice. https://t.co/z4biIf7oYi,2020-11-20 21:01:47,Twitter Web App,39,161
I can’t say this enough: When it’s ready the vaccine must be free and available for everyone. https://t.co/qtEAWEQC03,2020-11-20 19:25:49,Twitter Web App,79,494
The death penalty is racist immoral costly and ineffective. Abolish it. https://t.co/QytDHFH1vU,2020-11-20 18:03:42,Twitter Web App,58,386
Please wear a mask. https://t.co/6jRWRHtEUH,2020-11-20 00:05:00,TweetDeck,51,215
#MedicareForAll isn’t radical. What’s radical is refusing to address a cruel for-profit health care system that is systemically racist and leaves people uninsured underinsured and losing their lives. https://t.co/Xv1GuU2bHS,2020-11-19 22:15:00,TweetDeck,45,214
Donald Trump won’t be successful in overturning the results of this election but these voter disenfranchisement and suppression tactics will continue to stay with the Republican Party for years to come.   We must fully restore voting rights. https://t.co/o12H7BEe9J,2020-11-19 21:02:00,TweetDeck,26,224
There are only 79 women of color who have ever served in Congress. But there are going to be more of us — and that begins with this new class. Looking forward to making progress with our historic coalition of women of color in the 117th Congress! https://t.co/is6EGqfK73,2020-11-19 20:07:00,TweetDeck,20,185
.@fairfightaction is hosting another critical Weekend of Action — don’t forget to sign up to help get out the vote and flip the Senate! #gapol https://t.co/5my9Z77WAm,2020-11-19 19:01:00,TweetDeck,12,34
This is leadership. I’m hopeful that we will see better conditions for essential workers under a Biden-Harris administration. There should be hazard pay paid leave PPE and strong worker protections. https://t.co/CRGvWvtdPD,2020-11-19 17:38:00,TweetDeck,7,101
#MedicareForAll would save 68000 lives each year and cut annual health costs by $450 billion. The “we can’t afford it” stance is a lie that benefits Big Pharma and health insurance companies while leaving more than 87 million uninsured and underinsured. https://t.co/TWZvvv1JUt,2020-11-19 01:25:22,Twitter Web App,168,531
A major difference between Democrats and Republicans is that while the GOP thinks that people should drown in debt if they seek higher education we believe in canceling student loan debt and making college free for all. https://t.co/1m9IAggsbG,2020-11-19 00:10:15,Twitter Web App,26,186
Are you ready to take back the Senate? Let’s organize to make it happen!   Join @fairfightaction’s critical GOTV efforts by signing up for an upcoming phone banking or texting shift: https://t.co/5my9Z77WAm,2020-11-18 23:15:15,Twitter Web App,14,54
🗣️ Progressive policies are widely popular! https://t.co/GSjLLumfTZ,2020-11-18 22:29:51,Twitter Web App,76,310
The House passed a robust COVID relief package. Mitch McConnell needs to bring it to a vote immediately so millions of families aren’t left without help during the holidays. https://t.co/goyTrpY8jg,2020-11-18 20:59:26,Twitter Web App,41,241
Resign @LindseyGrahamSC. https://t.co/am3KVzfCmO,2020-11-18 18:31:56,Twitter for iPhone,1804,13315
Even with the election called Republicans are still fighting to stop Black and brown votes from being counted. Let’s take back the Senate so we can make the John Lewis Voting Rights Advancement Act law and stop voter suppression tactics once and for all. https://t.co/ZTkYrluBpi,2020-11-18 03:11:40,Twitter for iPhone,34,164
Congress must act now to pass a COVID-19 relief package with expanded unemployment benefits recurring stimulus checks and direct grants to businesses to keep workers on payroll while covering operating expenses.  https://t.co/8Evf2dp9ZA,2020-11-18 00:19:53,Twitter Web App,30,157
Cancel student loan debt. And while we’re at it cancel rent and mortgage payments through the pandemic.,2020-11-17 22:19:09,Twitter Web App,1024,8840
Republicans: We believe in law and order.*  *except for when it’s us committing crimes https://t.co/Mx5D90AfkH,2020-11-17 17:19:52,Twitter Web App,52,304
With less than 50 days to go until the Georgia runoffs there’s no shortage of ways to help get out the vote and flip the Senate!  Check here for opportunities to phone bank write letters and more: https://t.co/GAmPKivbzP,2020-11-17 16:40:27,Twitter Web App,45,93
Even in the midst of a pandemic Republicans are dangerously trying to take health care away from millions.,2020-11-17 01:03:44,Twitter Web App,51,425
Cancel student debt and pass the College for All Act. This is an immediate way to get relief to people across America. https://t.co/afFvEWfWk9,2020-11-16 23:14:55,Twitter Web App,62,522
As COVID cases continue to surge we need bold and urgent solutions. Send out recurring stimulus checks expand unemployment assistance cancel rent and pass my #PaycheckRecoveryAct to keep workers on payroll while getting grants to businesses. https://t.co/Y8Bj2pn00b,2020-11-16 20:05:34,Twitter Web App,17,115
The progress we’ve been fighting for is possible if we flip these two Senate seats in Georgia — but pulling off a victory will take a massive GOTV operation.  There are only a few spots left to phone bank with @fairfightaction this week — sign up now: https://t.co/WUfAhGwytD,2020-11-16 16:52:23,Twitter Web App,20,53
“We have always been saying that the South is not red the South has been underinvested. If you actually take the time to invest resources in the South you can get a return.” —@MsLaToshaBrown @BlackVotersMtr co-founder https://t.co/bLJIrDfxcZ,2020-11-15 21:54:57,Twitter Web App,111,684
There’s only one day left in @fairfightaction’s volunteer weekend and they’re counting on organizers like us to help reach the voters necessary to win.   Will you spare an hour or two to help get out the vote and flip the Senate? https://t.co/dkAcX4cDAR,2020-11-15 14:39:36,Twitter Web App,17,46
We need all hands on deck so we can organize to win BOTH races in Georgia and flip the Senate.  Sign up for a phone-banking shift with @fairfightaction today or tomorrow to help get out the vote: https://t.co/dkAcX4cDAR,2020-11-14 22:42:11,Twitter Web App,30,103
Happy #Diwali —wishing you love and light from my home to yours! As we call in the spirit of this Festival of Lights let us continue to oppose the forces of hate racism and xenophobia that seek to divide us while also calling out injustice wherever we see it.,2020-11-14 16:58:17,Twitter Web App,92,911
Today would be a great day for Donald Trump to accept the results of the election and concede.,2020-11-14 14:54:39,Twitter for iPhone,127,1972
We needed to reduce emissions to net-zero years ago. Congress must immediately pass bold climate legislation in order to preserve our planet for future generations. https://t.co/W90Hci3409,2020-11-14 02:09:37,Twitter Web App,29,216
Representation matters.  Every single Black woman elected to the House is a Democrat who is ready to fight to make a real impact in the lives of people across this country. https://t.co/S8ITbPVk1I,2020-11-14 00:02:55,Twitter Web App,41,456
There was NO widespread voter fraud.  The truth is the truth even when it doesn’t fit your agenda. Donald Trump and his cronies need to accept the results. The people have spoken — and we made ourselves clear! https://t.co/2yZQj9nT4h,2020-11-13 21:48:30,Twitter Web App,34,251
Cases are spiking and we’re on the verge of more closings.  Pass my #PaycheckRecoveryAct to keep workers on payrolls while keeping businesses from closing permanently. It’s the only way to stop more economic devastation and to end mass unemployment. https://t.co/z2pCU7uf69,2020-11-13 20:26:40,Twitter Web App,24,132
Our progressive movement has brought urgency to the issues of climate change and climate justice. That’s why we’re going to see the next administration take bold action to save our planet and stop this climate crisis. https://t.co/KCZipQyX1v,2020-11-13 00:52:11,Twitter Web App,12,165
Trump is more focused on denying the results of this election than doing anything to combat the surge in COVID cases.   We have to take precautions—avoid large gatherings wear a mask wash your hands keep your distance and follow health guidelines. https://t.co/uayIxezPUP,2020-11-12 23:05:19,Twitter Web App,15,102
By deporting these women ICE is obstructing the rule of law and blatantly interfering with an investigation. Everyone involved must be held accountable — and that starts with keeping the women who were victims of this human rights violation in the U.S. https://t.co/9qrVLWQesb,2020-11-12 19:39:43,Twitter Web App,56,167
It’s time for Democrats to try a new recipe for victory: empowering our base sustained investment in organizing and local infrastructure and running on a bold vision to actually improve the lives of working people.   Read more from @MarkPocan and me: https://t.co/Uk8R9MXqMr,2020-11-12 17:29:30,Twitter Web App,80,496
.@m_scribe has collected a series of important essays on premature birth. I shared my story of having a 1 pound 14 oz preemie baby at 26.5 weeks because we need to talk more about this experience that is more common than you think.  It has shaped me in more ways than one. https://t.co/LJff7Ae3KN,2020-11-12 16:43:30,Twitter for iPad,12,67
VP-Elect @KamalaHarris’ win was a joyous righteous moment for America.   But our work for more representation in the halls of power isn't over. We must continue building a pipeline to elect more women of color to every level of government. https://t.co/anckjrVs4J,2020-11-12 03:55:58,Twitter Web App,20,285
Joe Biden will be sworn in as president on January 20th and Donald Trump’s total denial of reality won’t change that. A sore loser is still the loser.,2020-11-12 02:16:49,Twitter Web App,169,2013
On #VeteransDay we must honor those who have put their lives on the line for our country by fully committing to securing the health care housing education jobs and benefits they deserve while also working towards a more peaceful world.,2020-11-11 14:51:28,Twitter Web App,38,246
People are looking to us to take real action that improves their lives and livelihoods. They want us to deliver on guaranteed health care jobs that pay a living wage climate justice humane immigration reform and college for all. Now we must. https://t.co/kVshOS9G1L,2020-11-11 01:40:14,Twitter Web App,29,214
Exciting news: @twinaforsenate just flipped a seat and became the first Black WA state senator in a decade! Voters powered her to victory because she campaigned on the promise to put people first through bold investments that will lift up everyone in our communities. Congrats! https://t.co/ec68k4df6D,2020-11-11 00:14:27,Twitter Web App,50,490
When the vaccine is ready make it free and available to everyone. https://t.co/cRilfQMyIO,2020-11-10 20:49:22,Twitter Web App,29,200
Now is not the time to point fingers. Now is the time to celebrate that we turned out new voters in record numbers to defeat Donald Trump — and to make sure that we honor their votes by passing bold life-changing policies. https://t.co/0TrjMGIPhA,2020-11-10 19:11:21,Twitter Web App,27,254
Every single incumbent in a swing district that co-sponsored Medicare for All won re-election! Now we must guarantee health care to everyone across this country. https://t.co/cO329OBF43,2020-11-10 17:27:19,Twitter Web App,224,1157
Until the moment he’s kicked out of office Bill Barr will act as the personal henchman to Donald Trump—abusing the law to advance the dangerous agenda of this corrupt president. If anyone should resign it’s Barr. https://t.co/kWWFgmGHSM,2020-11-10 17:17:57,Twitter Web App,82,540
Facts: 1️⃣Our for-profit health care system left 87 million uninsured or underinsured before COVID   2️⃣A new FOX poll found that 72% of voters want single-payer health care   3️⃣House Democrats who support Medicare for All just won re-election   Medicare for All is a WINNING issue.,2020-11-10 03:08:12,Twitter Web App,722,3017
.@AOC knows that people want leaders who will deliver bold solutions that actually change their lives for the better.   It’s up to us to organize for that change—we cannot allow this country to simply return to the status quo that left far too many behind. https://t.co/H282igO9Oe,2020-11-09 23:25:48,Twitter Web App,212,1679
It’s impossible to overstate the impact that bold leaders like @CoriBush @JamaalBowmanNY and @Marie4Congress will have in Congress. By electing more progressive champions we’re closer to seeing Medicare for All climate action and fair wages in America. https://t.co/abRGNxnGJC,2020-11-09 22:26:19,Twitter Web App,206,1541
“When you don’t see yourself you can’t even imagine the steps it would take to get there.”   @TwinaNobles is on track to flip a seat in the WA State Senate &amp; become our first Black state senator in a decade. When we organize and put people first we win! https://t.co/WHLng2dGeW,2020-11-09 20:44:54,Twitter Web App,20,161
A public health and economic crisis is not the time for small ideas or half steps. The people voted for bold progressive transformative change and we must deliver. Lives and livelihoods are at stake.,2020-11-09 18:03:37,Twitter Web App,72,489
Congratulations to @DeanPreston for winning his race for San Francisco Board of Supervisors so decisively!  Just shows grassroots organizing #ForThePeople always wins--even in the face of millions of dollars of corporate money and lies. A big win for San Francisco!,2020-11-08 06:07:27,Twitter Web App,25,351
Deeply proud to call @KamalaHarris our next VP — the first woman first South Asian American and first Black woman to be elected to the position!   We've not only shattered ceilings but we've constructed a different path for millions of people as they imagine their own futures. https://t.co/07fiTdSXr3,2020-11-07 17:09:38,Twitter for iPhone,108,808
Congratulations to @JoeBiden &amp; @KamalaHarris on their victory and for proving that compassion truth and science win out over cruelty fear and lies. Today is about far more than two individuals or one party. It's about you — and it's about what we all did to save our country.,2020-11-07 16:34:02,Twitter Web App,94,1169
The moment we have been waiting for. Not done till they vote is counted but this feels so so so good. https://t.co/STcNgWrJhg,2020-11-06 14:59:51,Twitter for iPhone,93,1162
Tonight my grateful heart is thanking my friend the amazing @MsLaToshaBrown and @BlackVotersMtr and so many more organizations that have been tirelessly organizing on the ground giving people hope to come out and vote and claim their power. #TurnGeorgiaBlue,2020-11-06 06:53:24,Twitter for iPhone,154,1309
My campaign runs an all year organizing program that trains volunteers &amp; works on races across the country. This year over 600 of my volunteers made over 160000 phone calls into Pennsylvania w/@PAStandsUp for #BidenHarris2020 in just five weeks. ORGANIZING WORKS! #Winning,2020-11-06 05:31:29,Twitter Web App,85,958
As we await the full results of the presidential election take heart in the beautiful representation we’re going to see at every level of government.  A more just equitable America is within our reach! https://t.co/O6Rl9SFx7y,2020-11-05 23:30:21,Twitter Web App,44,320
Aw.  Thanks to my mama!  I love the cross-ocean celebration &amp; so grateful to my amazing parents who sacrificed so much to send me to the U.S.! https://t.co/Zb05VE63yi,2020-11-05 21:27:20,Twitter Web App,25,335
Counting votes isn’t stealing an election — it’s democracy.  https://t.co/om6PC44r8e,2020-11-05 21:19:53,Twitter Web App,91,771
A big congratulations to @tinaorwall on her re-election! It’s good news for Washington that she’ll continue her dedicated work building healthy communities expanding economic opportunity for all protecting the environment and increasing consumer protections. https://t.co/ZMoGL7m5wj,2020-11-05 20:13:08,Twitter Web App,8,80
Thrilled that @Marie4Congress is officially on her way to the House! As a strong supporter of Medicare For All and immigrant justice she will be a bold progressive in Congress. And from one proud mom of a non-binary kid to another: I can’t wait to fight alongside you. https://t.co/INzkwAmzde,2020-11-05 19:11:54,Twitter Web App,25,256
Another bold progressive is on her way to Congress! Congratulations @NikemaWilliams — looking forward to fighting alongside you for real transformative change. https://t.co/JVk6dRYJQI,2020-11-05 18:42:56,Twitter Web App,24,252
Count every single vote.,2020-11-05 17:58:47,Twitter Web App,84,1212
