Today is Small Business Saturday.   Now more than ever we must support our local workers &amp; small businesses. Be sure to support small businesses in your community today!   #SmallBusinessSaturday https://t.co/4iJazYLg6j,2020-11-28 14:46:39,Twitter for iPhone,3,20
I took this photo last week while in D.C. Our 2020 Artistic Discovery Contest winner Geneva has her artwork (top right) up in the halls of the U.S. Capitol! Great to have a piece of Southeast Wisconsin in Washington. Read more: https://t.co/gcZiXTTMvY https://t.co/noIZGNUfhQ,2020-11-27 19:31:31,Twitter for iPhone,4,11
While many of us are not with our loved ones this Thanksgiving I hope everyone has a happy healthy and safe Thanksgiving. I am thankful for my family our frontline health care workers and our men and women in uniform. https://t.co/YDakSM4oxl,2020-11-26 13:49:21,Twitter for iPhone,3,18
Our Kenosha community is finding innovative ways to help families in need during this holiday season! https://t.co/vrK4uSaP9e,2020-11-25 21:35:43,Twitter for iPhone,3,17
I am continuing to work to protect the veterans and hardworking frontline staff at the state veterans home in Union Grove. https://t.co/KiBavPKZtF,2020-11-24 20:28:48,Twitter for iPhone,5,16
I made a commitment to fight for our veterans. When I heard about issues at the NPRC I got to work. There is a backlog which prohibits veterans from receiving their records &amp; puts their VA benefits at risk. If you need help w/ the NRPC or VA contact me: https://t.co/5rmyQxHDco https://t.co/uxwai5Q7hp,2020-11-24 14:32:53,Twitter for iPhone,6,18
In response to this new information I’ve reached out to the Wisconsin Secretary of Veterans Affairs requesting clarification on offer of federal assistance. Read more: https://t.co/DAvHdSsNjb https://t.co/WNOyTw1pDl,2020-11-23 22:15:08,Twitter for iPhone,4,12
UPDATE: I received a response from the U.S. Department of Veterans Affairs on COVID-19 outbreak at the WI Veterans Home at Union Grove. See their response below. https://t.co/aksQAU2WJk,2020-11-23 22:15:07,Twitter for iPhone,8,11
https://t.co/FYj3oCkRUh,2020-11-23 00:18:01,Twitter for iPhone,31,61
Another manufacturing company is relocating to Southeast Wisconsin. Thanks to Wisconsin workers’ work ethic our focus on workforce development &amp; low tax and regulation burdens family-supporting jobs continue coming to WI!  https://t.co/NLwhBpORdC,2020-11-22 15:46:24,Twitter for iPhone,7,25
Today is #NationalAdoptionDay. I’m a proud member of the Congressional Coalition on Adoption. https://t.co/OuW30HdunQ,2020-11-21 21:12:34,Twitter for iPhone,3,16
It’s Deer Gun Season! Good luck to everyone heading out. Happy hunting! https://t.co/tILNUU7NX8,2020-11-21 15:01:16,Twitter for iPhone,10,48
Thank you to @MCSOSheriff Lucas for inviting me to speak at the @MCSheriffs Regional Meeting. Great discussion with our nation’s sheriffs &amp; members of law enforcement. I am proud to #BacktheBadge. Thank you to our men &amp; women in blue who protect our communities and keep us safe! https://t.co/WARhGU4V4m,2020-11-19 22:15:28,Twitter for iPhone,7,37
This week is #ChildHealthWeek. A focus of mine in Congress is to ensure our kids have access to quality health care especially mental health resources. I’ve held Children’s Mental Health Forums w/ doctors &amp; parents to bring attention to mental health.  https://t.co/aD34q1NKAj,2020-11-19 19:52:21,Twitter for iPhone,4,10
November is Military Family Appreciation Month. Our military families face unique challenges. I will always support our service members and their families for their sacrifice and service. https://t.co/1nyT9e6uI8,2020-11-18 22:33:42,Twitter for iPhone,5,16
Great to see Southeast Wisconsin play a vital role in our fight against coronavirus. A safe effective vaccine will help us defeat the virus and get our lives back!   https://t.co/sYiGydA8DJ,2020-11-18 14:06:16,Twitter for iPhone,8,25
ID theft &amp; fraud prevention is a top priority for me especially during COVID-19. Earlier this year I held a forum to help seniors identify report &amp; prevent scams. I also intro'd a bill to hold criminal scammers accountable. Read more on these efforts: https://t.co/0bN9t6EVzl,2020-11-17 19:52:13,Twitter for iPhone,2,5
The 2nd bill requires the FDA Post Office &amp; Health &amp; Human Services to collaborate &amp; inform communities about COVID scams. Criminal scammers are preying upon our emotions during this crisis selling fake PPE &amp; scamming people out of money. More transparency will help protect us!,2020-11-17 19:52:13,Twitter for iPhone,1,9
Another step forward: The House passed 2 bills to help communities identify &amp; prevent scams. The first enhances federal efforts to combat scams targeting seniors &amp; provides tools to report scams. Since Jan 1 people 60+ years old have lost more than $32 million to scams.,2020-11-17 19:52:13,Twitter for iPhone,8,19
ICYMI: Last week we honored Steven Perrigo as the First District’s Veteran of the Year. Read more about Steven here: https://t.co/kBo1SBFtTc https://t.co/gOEVoXQSM6,2020-11-17 14:36:44,Twitter for iPhone,5,12
Chief Warrant Officer 3 Dallas Garza who grew up in Janesville lost his life in service to our country. We will never forget Chief Warrant Officer Garza’s sacrifice. My prayers are with his family his children and friends.    https://t.co/FLBYxaWmtB,2020-11-17 01:59:01,Twitter for iPhone,8,35
This is unacceptable. 94000 people are still waiting on the State of Wisconsin to process their benefits. Please visit my website if you need help obtaining your benefits.  https://t.co/b5hHEmFz7h,2020-11-16 23:58:28,Twitter for iPhone,12,30
Great news! According to Moderna they have developed a vaccine that is nearly 95% effective against the coronavirus. Another important step to defeat this virus. https://t.co/0xpVbeJAf1,2020-11-16 21:32:11,Twitter for iPhone,4,17
For important updates from my office you can sign up for my newsletter here: https://t.co/Eo23rCIAgP https://t.co/mnbbZgiXr1,2020-11-15 16:44:19,Twitter for iPhone,4,7
Last year I visited Walter Reed. The doctors nurses and health care professionals at Walter Reed do amazing work for our nation’s warriors. I had the honor of meeting a hero who was recovering at Walter Reed. We must never forget the sacrifice of our nation’s service members. https://t.co/Dlue3dYGYA,2020-11-14 16:23:59,Twitter for iPhone,7,33
When a coronavirus outbreak occurred at the Union Grove veterans home I called for a federal investigation to prevent further cases. Our veterans &amp; frontline health care workers must be protected. I’ll continue demanding action. More from @TMJ4: https://t.co/9X39HelpZJ,2020-11-14 00:40:02,Twitter for iPhone,7,19
Great news! Proud to work with the Wisconsin delegation to name the next Columbia Class Submarine in honor of our great state.  https://t.co/ljDMYElK1b,2020-11-13 18:31:57,Twitter for iPhone,4,25
The rise in COVID cases &amp; deaths in WI’s state-run veterans homes is concerning. I called for a VA investigation into the COVID outbreak in Union Grove. Our veterans doctors &amp; nurses deserve answers. I’ll continue fighting for our veterans!  https://t.co/CBweKqeakn,2020-11-13 14:58:25,Twitter for iPhone,4,15
I made a commitment that a member of my staff would be strictly dedicated to military and veteran’s casework. Our Wounded Warrior Fellow Ryan is here to help. If you or a veteran you know needs help please reach out to our office.   https://t.co/UyUZzmEV4T https://t.co/v3nFc0O1CN,2020-11-13 00:52:25,Twitter for iPhone,11,31
Great to join Laura Ingraham on the @IngrahamAngle last night!   https://t.co/SkH9iElHfa https://t.co/CQV4hNMvcM,2020-11-12 21:28:32,Twitter for iPhone,7,28
Great to see Wisconsin research development &amp; ingenuity at the forefront of our fight against coronavirus. https://t.co/vb6g5hqQ3h,2020-11-12 20:52:23,Twitter for iPhone,1,4
America would not be America without the sacrifice of generations of brave heroes who fought for our country. I will always stand for the flag and honor the brave men and women who have worn the uniform in service to our country. https://t.co/Cwnc6p51RX,2020-11-12 19:06:16,Twitter for iPhone,6,28
Our office functions as the scissors to government red tape for veterans. Help us spread the word that veterans having trouble with a federal agency like the VA can reach out to me for help! Please share! https://t.co/UyUZzmEV4T,2020-11-12 15:17:33,Twitter for iPhone,6,10
Know a veteran? Let my office know. I would like to honor their service to our country. Please let me know their name address email address branch years of service in an email to my office. https://t.co/UyUZzmEV4T.,2020-11-11 21:55:19,Twitter for iPhone,6,13
Today we celebrate our nation’s veterans and to the 45000 veterans in Southeast Wisconsin Happy Veterans Day. Thank you for your service and sacrifice to this great country. 🇺🇸 https://t.co/bSk4ZmHdUp,2020-11-11 16:58:29,Twitter for iPhone,26,212
Happy Veterans Day! Today we honor and celebrate our fellow Americans who have bravely served our country and have stood up for liberty at home and abroad.   #HappyVeteransDay https://t.co/z2bDszs7ab,2020-11-11 14:14:38,Twitter for iPhone,6,23
When duty called Steven did not hesitate to answer it. I am committed to shining a light on heroes like Steven Perrigo from Franklin who have dedicated their lives to bettering our country and community. https://t.co/WpS8mxrN3C,2020-11-11 00:42:00,Twitter for iPhone,4,18
The 2020 Veteran of the Year is Steven Perrigo of Franklin! Steven served in the U.S. Army and received the Army Commendation Medal for his leadership and commitment to his duties. Steven is an active member in the veterans community helping vets with PTSD &amp; homeless veterans. https://t.co/04yKVYAzw0,2020-11-10 23:39:00,Twitter for iPhone,6,30
Happy Birthday to the United States Marine Corps! https://t.co/as6KrVnPAG,2020-11-10 18:35:06,Twitter for iPhone,5,21
Every legal vote must be counted. Preserving the integrity of our elections is vital to our democracy. https://t.co/QaNmcs1T7X,2020-11-06 23:38:55,Twitter for iPhone,30,124
My prayers are with the two police officers shot early this morning. Wishing both a full and speedy recovery. Your service helps protect us all! https://t.co/BE9q0Wowa3,2020-11-06 18:13:15,Twitter for iPhone,11,36
Look forward to welcoming President @realDonaldTrump back to Wisconsin this evening! https://t.co/jwyUjt5uzK,2020-11-02 18:57:53,Twitter for iPhone,10,65
The far left wants to: ❌Raise taxes on families  ❌Defund the police ❌Stifle job creation &amp; wage growth for workers   I’m working to: ✅ Get workers back to work ✅ Support local law enforcement ✅ Keep America healthy https://t.co/zWliKmQJpc,2020-11-02 16:23:07,Twitter for iPhone,180,607
My office is here to help. If you need assistance with a federal agency like the VA or Social Security Administration please reach out to my office. https://t.co/UyUZzmEV4T,2020-11-02 15:18:48,Twitter for iPhone,3,12
Every child and family in Southeast Wisconsin deserves to live in a safe healthy lead-free home. This grant is the result of federal officials listening to Southeast Wisconsin’s needs and providing resources to support our community.  https://t.co/YGPfR8nVx5,2020-11-02 01:46:37,Twitter for iPhone,5,17
November is National Alzheimer’s Disease Month. Alzheimer’s can’t be prevented yet stopped yet or cured yet. As a member of the Congressional ALZ Caucus I am working prevent stop and cure Alzheimer’s. https://t.co/7bV3UBzG85,2020-11-01 22:27:48,Twitter for iPhone,3,28
Enjoyed attending the service at Union Grove Baptist Church this morning. https://t.co/NwpYkNJUWD,2020-11-01 19:57:25,Twitter for iPhone,5,26
