Wisconsin’s greatest tradition is kicking off this weekend. Check below to learn about ways to keep you and others safe while hunting during COVID. Be safe friends #WI03 https://t.co/mICCfvHWO1,2020-11-20 22:27:53,Twitter for iPhone,1,7
Nothing like Packer Sunday! #GoPackGo https://t.co/oSezxNLX8L,2020-11-15 21:42:33,Twitter for iPhone,1,5
Today we remember the legacy of this Packer great. #GoPackGo https://t.co/FgnorSigUK,2020-11-13 23:49:37,Twitter for iPhone,1,11
Today we honor those that have served their county to protect and defend our democracy. We must never forget their sacrifices. Happy Veterans Day to all of Wisconsin's veterans and their families! #WI03 https://t.co/lEsmmAnQDe,2020-11-11 20:43:01,TweetDeck,1,7
Benjamin Franklin was asked whether we have a Republic or a Monarchy he replied “a Republic if we can keep it.”  Today we kept our Republic! Congratulations to President-elect Joe Biden and our first female Vice-President Kamala Harris.  https://t.co/rSOLwEOaPC,2020-11-07 17:03:01,Twitter for iPhone,5,19
standing up to powerful special interests bridging the partisan divide and bringing our Wisconsin way of life to the halls of Congress.,2020-11-04 11:28:50,Twitter for iPhone,1,16
I know firsthand the challenges working families in Wisconsin face and I am committed to fighting for the farmers veterans families businesses and workers who move our state forward. I’m truly humbled by the opportunity to continue working for the people of #WI03...,2020-11-04 11:28:49,Twitter for iPhone,2,19
It’s been the honor of my life to represent the area where I was born and raised and where Tawni and I have raised our family. To that end I want to thank the people of this district for sending me back to Washington. https://t.co/ZeSDZTBtgr,2020-11-04 11:28:49,Twitter for iPhone,25,253
STAY IN LINE #WI03 💪🦅🇺🇸,2020-11-04 02:03:12,Twitter for iPhone,1,17
WISCONSINITES! FOLKS WE HAVE 15 MINUTES TIL POLLS CLOSE. Get in line! #WI03 https://t.co/JzwW8GzVUT,2020-11-04 01:45:47,TweetDeck,8,12
