I’ve been working with @lisamurkowski @repdonyoung the administration &amp; my colleagues on this issue for months and I appreciate the @USOCC for upholding the free and fair access to capital today acting on behalf of all Americans and Alaskans.   More ➡️ https://t.co/TFTcLv9OBm,2020-11-20 23:56:31,Twitter Web App,3,11
Today the @USOCC announced a proposed rule preventing the big banks from excluding the energy sector a troubling trend we have witnessed over the past year. https://t.co/XHPZkFu3pH,2020-11-20 23:54:15,Twitter Media Studio,24,68
This morning I listened to an extensive briefing with my fellow senators on #OperationWarpSpeed the public-private partnership to develop and distribute a #COVID19 vaccine. The briefing presented good information and some hopeful news that I wanted to share with all Alaskans. https://t.co/nZZ3KVNsGx,2020-11-19 23:26:27,Twitter Media Studio,5,26
In particular he must assure us that these operational plans can be done without risking American lives and without leaving a power vacuum which terrorist groups might fill.,2020-11-18 16:34:12,Twitter Web App,7,21
Given his announcement yesterday about rapid troop withdrawals from the Middle East the new Acting #SECDEF needs to immediately come before the Senate Armed Services Committee to fully brief us and provide details to the Committee. #SASC @SASCMajority https://t.co/fmfVHiWARg,2020-11-18 16:29:58,TweetDeck,13,28
On this #VeteransDay we thank the brave men and women who answered the call to serve and protect our country including the many thousands of #veterans we are so fortunate to have in Alaska and their family members. 🇺🇸 https://t.co/TYyJM7uaDc,2020-11-11 18:19:40,Twitter Media Studio,17,99
@Sen_JoeManchin Thousands of America’s finest have served in the vicinity of #burnpits leading in many cases to health complications years down the road. With the sobering lesson of Agent Orange &amp; Blue Water Navy Vietnam #veterans in mind we will not wait decades to tackle this issue head on.,2020-11-10 23:30:13,TweetDeck,6,41
As we approach #VeteransDay @Sen_JoeManchin and I are urging our Senate colleagues to pass S.2950 The #Veterans #BurnPits Exposure Recognition Act our bill to recognize and concede exposure to toxic substances for veterans who served near burn pits. https://t.co/3sc7lEpIe0,2020-11-10 23:29:28,Twitter Media Studio,11,60
For 245 years the @USMC—the most fearsome part of the greatest fighting force in human history—has defended America and stood up for freedom in all corners of the world. To all of my fellow #Marines Happy Birthday and #SemperFi!  #HappyBirthdayMarines #USMC https://t.co/55C8vlKp0G,2020-11-10 20:36:29,TweetDeck,17,67
This morning Senator @LisaMurkowski and I were briefed by FBI and intelligence community officials on election security issues in Alaska.  More info: https://t.co/YVc7ZLiSiF https://t.co/BjIZSPH7Fq,2020-10-24 00:55:12,TweetDeck,27,56
These fake emails some sent to Alaskans were clearly an attempt to foment distrust and hatred among our fellow citizens. While we may disagree with each other on policies at the end of the day we are all Americans. [3/3],2020-10-22 23:13:59,TweetDeck,4,23
Yesterday I called on intelligence officials to quickly brief us in Congress on the extent of this intrusion and actions we can take to prevent it from happening again. These countries should know that there will be a cost.  [2/3],2020-10-22 23:13:35,TweetDeck,3,16
Iran &amp; Russia as expected are trying to undermine our democracy—one of our enduring strengths. These authoritarian governments do this to try to separate us and weaken our nation—and unfortunately for political gain some are quick to play right into their hands. [1/3] https://t.co/O9iGHY1Sd9,2020-10-22 23:13:06,TweetDeck,5,18
The #PaycheckProtectionProgram has been a lifeline for Alaska small businesses. Today I voted to renew the program—more relief funds for small businesses workers &amp; our fishermen. Unfortunately Senate Dems chose to oppose it prolonging the pain &amp; hardship of many Alaskans. #PPP,2020-10-21 02:27:05,Twitter for iPhone,142,391
I’ve been in touch w/ senior @FEMA &amp; State of Alaska officials about the tsunami warning along the Alaska Peninsula coast. We’re tracking this very closely and praying for the safety &amp; well-being of our great  communities that could be impacted. More info: https://t.co/57uhYHCeEI https://t.co/nlP6PVgBoM,2020-10-19 22:17:19,Twitter Web App,6,22
@lisamurkowski @SecArmy @USArmy This is @SecArmy McCarthy’s second visit in the last nine months and the third visit of the three service chiefs to Alaska in the last three months. Alaska is clearly front-and-center in the minds of our military leaders exactly as it should be.,2020-10-19 20:48:25,TweetDeck,6,19
@lisamurkowski @SecArmy @USArmy The future of the @USArmy in Alaska is bright including an additional $150 million that I helped authorize for a new barracks and child development center at Fort Wainwright and a new communications center at Fort Greely.,2020-10-19 20:48:01,TweetDeck,3,17
.@LisaMurkowski and I had a great visit w/ @SecArmy Ryan McCarthy &amp; Alaska’s military leadership. We discussed the @USArmy’s plans for Alaska. I’m pleased to say the #Army clearly understands the strategic value &amp; location of our state and our world-class training opportunities. https://t.co/3l7Onfb6qw,2020-10-19 20:47:31,TweetDeck,8,26
Happy #AlaskaDay! Since 1867 when the territory of Alaska was formally transferred Alaska has been vitally important to our country with its abundant resources unrivaled strategic location and our people including Alaska Natives who have called this land home for millennia. https://t.co/GrVdwtNFV1,2020-10-18 23:22:28,TweetDeck,10,45
I’m glad to be addressing the @NativeFed in just a few minutes at 9:40am. You can watch live at: https://t.co/ZCupImaEIu  #2020AFN #AlaskansDecide #GoodGovernment,2020-10-16 17:24:44,TweetDeck,4,14
I’ve had the pleasure of working with Linda on many issues including my Young Fishermen’s Development Act and I’m so glad to see her work being recognized. Congratulations Linda!   #HeinzAwards,2020-10-15 23:16:09,TweetDeck,2,11
Linda Behnken a commercial fisherman from Sitka and the executive director of the Alaska Longline Fishermen’s Association has received the prestigious Heinz Award in recognition of her championing sustainable fisheries and helping to preserve Alaska’s coastal ecosystems. https://t.co/NGTCsBCaoP,2020-10-15 23:15:06,TweetDeck,5,15
@USDA @SecretarySonny I appreciate @SecretarySonny making these funds available after our numerous discussions in which I highlighted the lack of broadband across Alaska. As a @SenateCommerce member I'll continue to work relentlessly to bring high-speed internet to all of our communities.  [4/4],2020-10-14 02:31:13,TweetDeck,4,14
@USDA @SecretarySonny With these investments thousands more Alaskans across the state will finally experience a utility so many of us take for granted one that has shown itself to be absolutely indispensable in the age of COVID-19.   [3/4],2020-10-14 02:30:11,TweetDeck,4,13
@USDA @SecretarySonny Gaining access to high-speed internet connectivity can be life-changing especially for residents in rural Alaska where communication resources and infrastructure are most scarce.   [2/4],2020-10-14 02:29:26,TweetDeck,3,10
BREAKING: @USDA @SecretarySonny announces $46 million in grants today to establish and improve broadband infrastructure in some of Alaska’s most remote communities.    ➡️ https://t.co/PmLiHzhqQ0  [1/4] https://t.co/ShaGveyBhS,2020-10-14 02:28:46,TweetDeck,16,64
The @USNavy today celebrates 245 years defending freedom on the high seas &amp; protecting America’s interests in every corner of the globe. Wishing all of the #USNavy’s Sailors Submariners Pilots &amp; Marines and the families who support them a Happy #NavyBirthday! Semper Fortis. https://t.co/wb3y4Rmzj4,2020-10-14 00:48:03,TweetDeck,7,24
Together we can put an end to the epidemic of violence and offer all Alaskans a better and safer future.   #EndDV #DVAM #DVAM2020 #NoMore,2020-10-06 00:47:51,Twitter Web App,4,13
I’ve introduced legislation to spark a nationwide media campaign against the cycle of violence offer victims the same 6th Amendment right to counsel perpetrators receive and explore the potential electronic service of protective orders so that offenders cannot evade them. #DVAM,2020-10-06 00:46:49,Twitter Web App,7,19
Domestic Violence Action Month is an opportunity to celebrate the progress we’ve made—particularly the tireless work of shelter operators &amp; victim advocates—and also to acknowledge the significant need &amp; suffering still experienced by too many women in Alaska. #DVAM #DVAM2020 https://t.co/KOxTkvH1WM,2020-10-06 00:45:16,Twitter Media Studio,10,28
.@RealDonaldTrump and @FLOTUS: Wishing the two of you a speedy recovery. Julie and I will continue our prayers for you and @VP Pence as our great nation gets through these challenging times stronger and more resilient than ever.,2020-10-02 15:20:42,TweetDeck,16,79
I want to thank my colleagues on both sides of the aisle and in both chambers—@SenWhitehouse @SenatorMenendez @RepBonamici &amp; @RepDonYoung—for coming together to address a very important environmental challenge.,2020-10-02 00:02:41,TweetDeck,4,17
#SaveOurSeas 2.0 will improve our nation's ability to respond to #marinedebris events lead to greater international cooperation on preventing trash from reaching the oceans and spark innovation to manage and possibly even reuse plastic waste.,2020-10-02 00:01:35,Twitter Web App,5,11
#SaveOurSeas 2.0 the most comprehensive #marinedebris legislation ever to pass the U.S. Senate is now ALSO the most comprehensive bill on the challenge to ever pass Congress!   🌊➡️ https://t.co/EZWAdPzQJb https://t.co/6f50H30osM,2020-10-02 00:01:05,Twitter Web App,12,28
@realDonaldTrump We covered a number of topics with a strong focus on Alaska-specific issues. I think Judge Barrett came away with a sense of just how important and unique many federal laws are that impact Alaska laws that come before the U.S. Supreme Court. That was my goal today. #SCOTUS,2020-10-01 00:30:27,TweetDeck,4,23
This afternoon I met with Judge Amy Coney Barrett President @realDonaldTrump's nominee to serve on the U.S. Supreme Court. Judge Barrett is clearly a thoughtful and intelligent jurist with many credentials to her name. #SCOTUS https://t.co/rI4NQg6OGK,2020-10-01 00:29:39,Twitter Media Studio,27,100
My statement on President @realDonaldTrump's nomination of Judge Amy Coney Barrett to serve on the U.S. Supreme Court. #SCOTUS https://t.co/QHiU9wnNNz,2020-09-26 23:41:32,TweetDeck,35,156
Julie and I send our deepest condolences to Lucille the Adams family and the entire North Slope community mourning Jake’s loss. We are praying for all of you.,2020-09-25 21:47:39,TweetDeck,3,13
Jake always made himself available to guide the next generation of leaders passing on his great wealth of experience and knowledge to ensure a better future for his people.,2020-09-25 21:47:07,TweetDeck,3,18
One of the great honors of my life has been having Jake Adams as a friend and a mentor. I sought his wise counsel on many issues and learned so much from him. https://t.co/TbIP61dDM7,2020-09-25 21:46:50,TweetDeck,3,6
Alaska has lost a great statesman a humble man of integrity and a public servant with a deep love for his people his state and his country. Jake Adams led an incredible life. https://t.co/bk5ybfjVPb,2020-09-25 21:46:07,Twitter Web App,6,25
Let me be even more clear: I oppose Pebble Mine. No Pebble Mine.  [3/3],2020-09-25 00:29:50,TweetDeck,57,160
In my Aug. 24 statement which I unequivocally stand by I announced my opposition to Pebble Mine &amp; said it should not be permitted b/c it does not meet the high standards we demand for all resource projects in AK. Any suggestion otherwise is a blatant mischaracterization  [2/3] https://t.co/NTllsjCNZd,2020-09-25 00:29:20,TweetDeck,24,56
Given the lies of Pebble’s leadership the record needs to be set straight.  [1/3],2020-09-25 00:28:47,TweetDeck,28,80
The winner of the November 3 election WILL be inaugurated on January 20. Of course we’ll have an orderly transition of power—as we’ve had since the founding of our Republic. We’re the United States of America not a banana republic.,2020-09-24 17:49:52,TweetDeck,32,189
My statement regarding the current vacancy on the Supreme Court. https://t.co/udcQo3Vq11,2020-09-22 20:07:14,TweetDeck,24,88
Julie and I send our heartfelt condolences to the family and friends of Justice Ruth Bader Ginsburg. She was a trailblazer in the American legal system and leaves a legacy of decades of exemplary service to our nation.,2020-09-19 01:57:40,Twitter for iPhone,10,63
