Main Street businesses are the foundation of Alabama’s economy. This holiday season please consider supporting one of the over 320000 locally owned businesses in Alabama who are working hard to stay afloat during this difficult year. #SmallBusinessSaturday https://t.co/5hmXI6MVJF,2020-11-28 19:31:19,Twitter for iPhone,50,209
Many of our service members are away from their families this year serving abroad to keep us safe here at home. As we celebrate all we are thankful for today let’s remember to keep these brave men women &amp; their families in our thoughts. https://t.co/bK4UKg2GBE,2020-11-26 18:00:09,Twitter for iPhone,168,1194
Happy Thanksgiving! I hope your day is filled with joy &amp; good food. While it's been a difficult year there is still much to be thankful for. I am especially grateful for the hard work &amp; dedication of all our frontline workers pushing to get us through this pandemic — thank you! https://t.co/nHNCMboEpL,2020-11-26 15:02:34,Twitter for iPhone,45,384
While this year has been tough we still have a lot to be thankful for. Tomorrow I want to encourage you to celebrate the good with friends &amp; family virtually so we can all come together to celebrate in person next year.  https://t.co/ykjyEPeh31,2020-11-25 23:04:36,Twitter for iPhone,6,41
Wearing a mask is not a political statement it’s an act of compassion &amp; patriotism. #MaskUpAL,2020-11-25 20:03:06,Twitter for iPhone,264,1480
Being in crowded indoor areas is a high-risk activity. As we see cases rising please do your part by staying home as much as possible over the next few weeks.  https://t.co/FUcM4nkr4g,2020-11-25 17:54:54,Twitter Web App,20,71
We still do not understand or even know about many of the long term effects of COVID-19.   Wear your mask social distance &amp; stay home.  https://t.co/bo8WQkSWV7,2020-11-24 22:00:12,Twitter for iPhone,39,106
Congratulations to @MaxwellAFB for being named a training unit for @usairforce’s newest helicopter the MH-139A Grey Wolf! This is crucial for our national defense and is great news for Maxwell and the Montgomery region.,2020-11-24 19:05:07,Twitter for iPhone,9,54
Alabama has been a leader in innovation during this pandemic — and this expansion for mask production is just another example of us leading the way. This is exciting news for Selma and will create valuable job opportunities for those in the community. https://t.co/4nadikXFKE,2020-11-24 17:15:49,Twitter for iPhone,10,63
I know it’s difficult but let’s commit to celebrating the holidays physically distant this year so we can celebrate together next year.  https://t.co/ICWZKtDgQA,2020-11-23 22:55:26,Twitter for iPhone,41,176
Expanding Medicaid is crucial for improving outcomes for women and children. Let’s get it done Alabama! https://t.co/lFq7Pq5vHw,2020-11-23 20:27:59,Twitter Web App,68,248
You’re not just wearing the mask for your neighbor or yourself—you’re wearing it for all our health care workers on the frontlines. #MaskUpAL https://t.co/tPMhdcuJBM,2020-11-23 18:26:34,Twitter for iPhone,36,123
Once again we are seeing Alabama lead the way during this pandemic! Congratulations to the teams who worked hard on this app—and thank you for your dedication to beating this virus.  https://t.co/Eyu6H7ccOU,2020-11-20 23:17:03,Twitter for iPhone,11,46
I’ve been proud to work with my friend @RepTerriSewell to pass bills that will get resources to folks in the Black Belt who can’t afford decentralized wastewater systems. It’s great to see so many Alabamians step up to help our neighbors live in dignity. https://t.co/giNJ4EDV7E.,2020-11-20 21:32:44,Twitter for iPhone,41,163
There’s a simple and effective way to help combat this: wear a mask. 😷 https://t.co/Wgk6r1YuQT,2020-11-20 19:00:06,Twitter for iPhone,18,85
I’ve been saying for months that Alabama is the best place for Space Command Headquarters! This is great news for the state of Alabama and I’m hopeful that the Air Force will ultimately decide on Redstone Arsenal as the new home of SPACECOM. https://t.co/0T9gy1xIlC,2020-11-20 17:11:57,Twitter Web App,4,40
Lung cancer is the leading cause of cancer deaths—taking the lives of over 150000 Americans every year.    Early detection can save lives &amp; #LungCancerAwarenessMonth is a great time to get screened as well as commit to leading a healthy lifestyle.,2020-11-19 23:56:34,Twitter for iPhone,20,94
As we venture further into this pandemic we are starting to learn more about the long term effects of COVID-19. It is promising to see programs such as this one at @UABnews help those on the long road to recovery.  https://t.co/KwugQvvc2S,2020-11-19 21:44:02,Twitter for iPhone,8,28
157 years ago President Lincoln addressed a fractured nation in his Gettysburg Address—encouraging not just preservation of the Union but equality of all its citizens. Now as we continue fighting for unity his enduring words can continue to guide us toward a more perfect Union.,2020-11-19 19:16:35,Twitter for iPhone,70,332
It's an honor to receive the Legislative Champion Award from @COAUSPHS for my bipartisan work passing a new law to strengthen our Reserve Ready Corps. Especially as we battle COVID-19 this is critical to backfilling our frontline health workers as many deploy to hard-hit areas. https://t.co/wZXkmebg5D,2020-11-19 17:31:57,Twitter for iPhone,11,70
Say it with me: Alabama needs to expand Medicaid. https://t.co/IwnNLRli3A,2020-11-18 23:00:57,Twitter for iPhone,186,611
Have you gotten your flu shot? It’s one of the best ways to protect yourself &amp; your community this winter! https://t.co/Zf4jmiKFtp,2020-11-18 21:00:04,Twitter for iPhone,7,29
🚨IMPORTANT REMINDER🚨  You can sign up for health care through open enrollment until DECEMBER 15. Now it is more important than ever to make sure you &amp; your family have the care you need. #GetCovered at https://t.co/aisgs83Dip or by calling 1-800-318-2596.,2020-11-18 19:06:01,Twitter for iPhone,171,385
We have hung our small businesses out to dry for far too long &amp; it is unacceptable. The Senate needs to do its job &amp; pass additional relief aid.  https://t.co/QBp2RYrkuh,2020-11-17 22:05:01,Twitter for iPhone,69,251
While this is exciting news we cannot ease up on our efforts to stop the spread of this virus just yet. I know I sound like a broken record but we must continue to wear our masks social distance &amp; stay home as much as possible. #MaskUpAL  https://t.co/tWyans67sm,2020-11-17 20:03:58,Twitter for iPhone,8,49
On Wednesday November 18 join @DrJeanneM from @UABNews and me for a FB livestream at 9:30 a.m. ET where we will discuss Alabama COVID-19 updates and other news of the day.   Join us live here: https://t.co/olFgVVmTRe… https://t.co/hXptdbg4Pn,2020-11-17 18:55:09,Twitter for iPhone,28,102
We are lucky to have veterans like William Massey call Alabama home. Thank you Mr. Massey for your service &amp; dedication to our nation—and happy belated 100th birthday! https://t.co/69kce7WsDg,2020-11-17 14:55:09,Twitter for iPhone,8,47
Our health care workers &amp; systems are stressed. You can help reduce the strain by wearing your mask social distancing &amp; getting a flu shot. https://t.co/slKbUBygRY,2020-11-16 22:10:03,Twitter for iPhone,43,147
It’s the start of #AmericanEducationWeek! A quality education is the foundation for a bright future. In the Senate I’ve been committed to supporting our teachers and all those who are vital to educating our children. https://t.co/SWfcsIpfBQ,2020-11-16 20:00:11,Twitter for iPhone,7,54
Please keep this in mind as we approach the holidays. We can prevent further spread of this virus &amp; save lives but it is up to each of us to do our part. #MaskUpAL https://t.co/4wCv30tlTe,2020-11-16 16:37:10,Twitter for iPhone,24,89
A 2016 study showed 6 of the 10 most diabetic counties in the U.S. are here in Alabama. Four years later we still top the charts. This #NationalDiabetesMonth we need to work together to decrease diabetes by improving prevention access to care and making healthy choices.,2020-11-13 23:30:03,Twitter for iPhone,149,531
Chronic wasting disease (CWD) threatens our environment economy &amp; our treasured hunting traditions. It’s promising to see researchers look toward new &amp; creative solutions to help eradicate this deadly disease.  https://t.co/Y0mmgL8XdC,2020-11-13 21:55:27,Twitter for iPhone,25,81
2262 cases confirmed TODAY in Alabama. This is the not the record we want to be breaking. You can do your part to help prevent more cases by wearing your mask social distancing &amp; staying home. #MaskUpAL https://t.co/xAkce575Wm,2020-11-13 20:13:19,Twitter for iPhone,73,190
Lucille Bridges was an icon of the Civil Rights Movement. She helped alter the course of so many lives &amp; her loss will be felt across the nation. Let’s honor her memory by showing the courage to stand up to hate &amp; injustices as well as continuing the fight for change.,2020-11-13 01:13:35,Twitter for iPhone,65,352
Our children are the future but the #COVID19 pandemic is putting their health at risk here at home &amp; around the world—setting back years of progress &amp; investment from the U.S. As we kick off #ChildHealthWeek let’s recommit to working hard on behalf of children around the world.,2020-11-12 23:08:02,Twitter for iPhone,16,77
Have y’all gotten your flu shot yet? It’s not too late—go get yours today!,2020-11-12 20:49:52,Twitter for iPhone,123,1052
Even before COVID-19 the U.S. had one of the highest rates of maternal deaths in the world. My bipartisan Maternal Outcomes Matter Act will work to address this &amp; give all women access to quality care. https://t.co/2sruGN5Fwj,2020-11-12 00:30:09,Twitter for iPhone,30,135
We cannot let up now. The message hasn’t changed: wear your mask social distance &amp; stay home. https://t.co/Eh3vqySQih,2020-11-11 23:00:09,Twitter for iPhone,76,298
I’ve said it before &amp; I’ll say it again: high speed broadband is no longer a luxury we must increase access across the board. https://t.co/5UKdxxf2de,2020-11-11 21:36:36,Twitter for iPhone,91,436
During the COVID-19 pandemic our teachers are frontline workers — and that's not up for debate. My Reopen Schools Safely Act would ensure Alabama schools have the funding they need to meet CDC guidelines &amp; ensure the safety of both students &amp; staff.  https://t.co/FknTOgOI7M,2020-11-11 19:30:15,Twitter for iPhone,47,146
On Veterans Day — and every day — we owe a debt of gratitude to the brave men &amp; women who served our nation. Thank you all for your sacrifices dedication &amp; love for this country. https://t.co/TONeDeFBDJ,2020-11-11 18:14:52,Twitter for iPhone,62,319
For 245 years the @USMC has demonstrated honor courage &amp; commitment. Thank you to all those who have ever answered the call to serve as a United States Marine. #SemperFi #HappyBirthdayMarines! https://t.co/cJPCCwXjWh,2020-11-10 23:01:58,Twitter for iPhone,9,53
Roughly 957000 Alabamians under the age of 65 have a pre-existing condition. If the #ACA is struck down their health care is in jeopardy. We must #ProtectOurCare.,2020-11-10 21:45:56,Twitter for iPhone,234,864
Today SCOTUS heard arguments in the Administration-backed lawsuit against the #ACA. This is not a theoretical or abstract threat. We cannot let up in the fight to #ProtectOurCare.,2020-11-10 20:04:57,Twitter for iPhone,49,232
Tomorrow the Supreme Court will hear arguments on the lawsuit to strike down the ACA – which could put millions of Americans at risk of losing their health care.   I talked with my good friend @morethanmySLE about what's at stake and why it's so important to #ProtectOurCare: https://t.co/mtUbFaDrVB,2020-11-09 20:11:34,Twitter Web App,809,1585
I’m proud to stand with small business owners. That's why I introduced bipartisan legislation to help businesses hit hard by COVID-19 &amp; recent natural disasters in Alabama.,2020-11-02 22:36:47,Twitter for iPhone,337,1392
The FAFSA is one of the most important forms you fill out before heading to school—but it can be intimidating. Last year I worked to simplify the FAFSA to help make college more affordable.    Headed to school? Fill yours out today: https://t.co/exLaQnR5Ig,2020-11-02 20:02:11,Twitter for iPhone,34,150
November is #MilitaryFamilyMonth. These families know what it means to serve &amp; they deserve our full support. In this year’s defense bill I worked to secure millions for military children's education support for military spouses &amp; increased safety measures for military housing.,2020-11-02 17:16:14,Twitter for iPhone,34,129
Broadband isn't a luxury it's a necessity—especially during this pandemic. My American Broadband Buildout Act would fund broadband development in rural areas and ensure all communities can access the infrastructure of the 21st century. https://t.co/Qomb6uWp0O,2020-10-31 00:48:39,Twitter for iPhone,114,337
In May I introduced a bill that was signed in to law to require private health insurance companies to cover any COVID vaccines or treatments that are developed. This is another great step forward. https://t.co/GPytloWyKT,2020-10-30 23:13:53,Twitter for iPhone,151,484
We are praying for everyone who has been affected by Hurricane Zeta. Thank you to all of the first responders linemen and good samaritans who are working to help our communities recover from the impacts of this storm.,2020-10-30 22:01:19,Twitter for iPhone,67,440
In this year’s NDAA I fought for $10M for steel manufacturers — which would help protect Alabama jobs. This investment in my hometown of Fairfield is great news. https://t.co/GJWEz8Q5Go,2020-10-29 21:06:00,Twitter for iPhone,104,271
Alabama should expand Medicaid. Pass it on.,2020-10-29 18:02:26,Twitter for iPhone,1224,4493
Last year I introduced the Classrooms Reflecting Communities Act to help with Alabama’s teacher shortage and to bring diversity to our classrooms. This new initiative by AAMU will help do just that. https://t.co/QRe5jwttLM,2020-10-29 16:25:35,Twitter for iPhone,46,135
With #ElectionDay less than a week away it is so important we all work together to stop the spread of false information. Visit https://t.co/Dgrd1nIqDf to get the facts ahead of November 3 &amp; learn about the role you can play in ensuring we have a fair &amp; safe election. 🗳✅,2020-10-29 15:02:26,Twitter for iPhone,44,103
Today and every day we thank the first responders who run towards danger and dedicate their lives to saving others. We’re so grateful for all the sacrifices these brave men and women make to help keep us safe.,2020-10-28 22:15:50,Twitter for iPhone,100,519
Rodney Smith has made a difference in the lives of so many Americans during his time in the U.S by helping folks in need and encouraging service and kindness. Alabama is lucky to have him and my office and I will do everything we can to help him stay here. https://t.co/WjNBhyiB19,2020-10-28 17:01:25,Twitter for iPhone,65,268
We need to be making it easier for folks to get the care they need during this crisis. I've worked to increase coverage for children and families and to expand Medicaid in Alabama and I'm going to keep fighting to protect our care.,2020-10-27 23:44:11,Twitter for iPhone,55,170
Young people under 26 would no longer be able to get coverage on their parent's plans. Millions of seniors would have to pay more for prescription drugs while pharmaceutical companies would pay billions less in taxes every year.,2020-10-27 23:43:48,Twitter for iPhone,55,136
If the ACA is overturned at least 122000 Alabamians will lose their health care in the middle of a pandemic. People with pre-existing conditions would be charged higher rates or have their health care coverage ended altogether.,2020-10-27 23:43:35,Twitter for iPhone,42,86
This isn't an abstract threat. The Supreme Court will begin hearing arguments in the case on November 10th.,2020-10-27 23:43:03,Twitter for iPhone,41,92
The administration and several states including Alabama are advocating to completely eliminate The Affordable Care Act. Instead of working to improve it they're pursuing overturning the entire law in the highest court in the land in the middle of this pandemic.,2020-10-27 23:36:12,Twitter Web App,396,867
Now that Justice Barrett has been confirmed it is my sincere hope that she will rule in a way that protects our institutions our democracy and the rule of law.,2020-10-27 00:24:40,Twitter for iPhone,24,300
I voted no today because I refuse to be a party to Mitch McConnell’s power grab to the hyper-politicization of the Senate and the courts and to denying the American people a voice in this process while voting for the next President is already underway.,2020-10-27 00:23:58,Twitter for iPhone,71,536
I also believe his decision to force through this confirmation instead of negotiating a bipartisan COVID relief package is an insult to the millions of Americans who are suffering as a result of this pandemic.,2020-10-27 00:22:53,Twitter for iPhone,69,377
By forcing this vote only eight days before an election Mitch McConnell has prioritized temporary political gain over the long term integrity of both institutions.,2020-10-27 00:22:01,Twitter for iPhone,46,336
This Supreme Court process has been one of the most blatantly hypocritical in the history of the Senate and has further eroded trust in the independence of the courts in the eyes of the American people.,2020-10-27 00:21:13,Twitter for iPhone,938,4251
This pandemic has made the need to access broadband even greater. Tele-health &amp; tele-medicine are an important part of ensuring folks in our communities can stay safe &amp; healthy. We must work to ensure all communities have broadband access. https://t.co/NLupvwfctj,2020-10-26 23:25:17,Twitter for iPhone,17,75
My bipartisan American Dream Down Payment Act is just one of the ways we can further break down barriers &amp; ensure more Americans have the opportunity to own homes &amp; build wealth. https://t.co/m7EjEaWK5U,2020-10-26 22:00:01,Twitter for iPhone,40,90
Please keep an eye on Zeta as it develops over the next few days. It is expected to bring storm surge heavy winds rainfall &amp; tornadoes where it comes ashore. Make sure you &amp; your family have a storm safety plan in place. #ALWX https://t.co/3ff2NFhlWM,2020-10-26 20:15:28,Twitter for iPhone,30,65
COVID cases are spiking across the country. We ALL need to work together and wear our masks. #MaskUpAL https://t.co/oMTXjOFrXx,2020-10-26 18:17:46,Twitter for iPhone,60,137
So many veterans can’t or don’t access the mental health care they need and as a result more than 20 veterans die by suicide every day.   It was an honor to cosponsor this new law that is going to save veteran lives here in Alabama and across the country. https://t.co/rmbYA3FCWi,2020-10-26 00:20:20,Twitter Media Studio,47,125
I know many families across Alabama love to celebrate Halloween with trick-or-treating. But this year in light of the COVID-19 pandemic I want to encourage you to look toward safe and fun alternatives. 👻🎃 https://t.co/t0lbm4df7s,2020-10-25 20:19:32,Twitter for iPhone,37,122
This pandemic has been a challenging time for all of us and has exacerbated mental health issues for many folks. I’m proud to have introduced a bipartisan bill to increase funding for the National Suicide Prevention Lifeline program so everyone can get the help they need.,2020-10-25 17:22:22,Twitter for iPhone,100,366
Early detection can save lives.    This #BreastCancerAwarenessMonth let’s remember all the resilient survivors the courageous women currently battling this disease &amp; those who are no longer with us today. Every day we are closer to finding a cure. https://t.co/2LehtZ8ltO,2020-10-24 23:50:04,Twitter for iPhone,27,70
Louise and I are praying for the families of the service members who lost their lives in this tragic crash in Foley yesterday. https://t.co/MNrNkuYA76,2020-10-24 19:26:51,Twitter for iPhone,81,301
Hey y’all it’s not too late to get your flu shot! Getting your flu shot is going to be critical in helping us fight COVID-19 this winter &amp; keep our health care systems from being overwhelmed. https://t.co/Ho3Po5Wooh,2020-10-22 17:10:06,Twitter for iPhone,38,111
Congratulations Sherebiah for your outstanding sportsmanship &amp; leadership on &amp; off the field! 🏈🌟 https://t.co/KaLVnmG4ga,2020-10-22 15:00:01,Twitter for iPhone,9,14
Did you know 1 in 4 women and 1 in 10 men will experience physical or sexual violence or stalking from an intimate partner during their lifetime?  This #DomesticViolenceAwarnessMonth and always let's rededicate to breaking the cycle of DV &amp; speak up for those affected. 💜,2020-10-22 13:29:40,Twitter for iPhone,45,144
Too many rural communities are getting left behind—especially as the world becomes increasingly digital during this pandemic. We must ensure *all* communities have reliable access to broadband &amp; high speed internet. https://t.co/PCyID9J15d,2020-10-20 21:56:55,Twitter for iPhone,96,206
For so many of our veterans its often the wounds we can’t see that hurt the most. I’m proud to have cosponsored this bill—which is now law—that will connect more veterans with life-saving mental health care and expand resources to help them and their families heal. https://t.co/k2eFgRmoYU,2020-10-20 20:21:39,Twitter for iPhone,96,207
Let's continue to listen to our public health experts like Dr. Fauci and wear our masks stay home and social distance as much as possible. We can beat this virus but it’s going to take all of us. #MaskUpAL https://t.co/Gxt3cFYedg,2020-10-20 17:59:27,Twitter for iPhone,74,183
Throughout this pandemic I have been so proud of all the ingenuity coming from Alabama. This new test is just another development that can greatly benefit Americans as we continue to battle COVID-19.https://t.co/eVtYLqo4nf,2020-10-19 23:00:18,Twitter Web App,60,123
So many rural communities across Alabama and around our nation struggle to access health care. This #RuralHealthDay let’s recommit to ensuring everyone has access to affordable health care regardless of their zip code. https://t.co/2Pflakp6T4,2020-10-19 21:30:10,Twitter Web App,63,112
It’s Alabama College Application Week! From October 19 – 23 students can apply for college in and around Alabama for FREE. If you’re headed to college next year be sure to take advantage of this great opportunity! #WhyApply https://t.co/72srfR8ykX,2020-10-19 20:13:43,Twitter for iPhone,17,42
Every week that Congress fails to pass more COVID relief millions more Americans struggle to pay their bills and put food on the table. We have to stand up for working families and pass a comprehensive bill ASAP to help the folks who are struggling. https://t.co/XUmAYN5zjf,2020-10-18 16:55:19,Twitter for iPhone,313,534
Representative Elijah Cummings was a civil rights leader and a giant in Congress. It's hard to believe a year has passed since we lost him. But today let's honor his memory by doing a kind act for someone else and continuing to push for peaceful change unity and healing.,2020-10-18 00:24:23,Twitter for iPhone,576,1717
Health care workers have been on the front lines of this pandemic working hard to ensure our safety and wellbeing. Let’s honor and thank them for the important work they do. Light up your front porch to show your appreciation this evening!  https://t.co/2XJKeazLyX,2020-10-16 21:01:07,Twitter for iPhone,33,71
We have a solemn obligation to do everything we can to support our servicemen and women. I'm proud to introduce this bill to help connect veterans with the resources available to them and ensure that they get the care and support they need. https://t.co/EGCCR89lvB,2020-10-16 19:46:15,Twitter Web App,49,124
Thank you to all of the fallen men and women in uniform who kept our state and communities safe. Your service and sacrifice will not be forgotten. https://t.co/KCL9Y14Sfh,2020-10-16 17:55:15,Twitter for iPhone,28,95
We should be doing everything we can to make it easier for folks to get the health care they need -- not harder. I’m going to keep fighting for Medicaid expansion and protections for pre-existing conditions so we can all get the care we need.  https://t.co/yyJtD2AleQ,2020-10-16 17:00:11,Twitter Web App,65,137
It is no secret one of my favorite books To Kill a Mockingbird was written by one of Alabama’s own—Harper Lee. We have so many wonderful authors to celebrate here in Alabama &amp; across the country. This #NationalBookMonth what are you reading? 📖,2020-10-15 20:32:08,Twitter for iPhone,76,446
Everyone 6 months or older should get the flu shot—especially this year as we continue to fight COVID-19.    The vaccine is: ✅ Safe  ✅ Does not cause the flu  ✅ Helps to prevent the flu which shares many of the same symptoms as COVID-19  https://t.co/nwqNIwt2n8,2020-10-15 19:11:30,Twitter for iPhone,15,42
Y’all the Census is so important. It determines our state’s federal funding for the next 10 years as well as how many seats we get in Congress. Please visit https://t.co/FTeUrGgb6r or call (844) 330-2020 to get counted if you haven’t already. https://t.co/Ez1zV83GWL,2020-10-15 17:17:43,Twitter for iPhone,21,56
Our state is known as “Sweet Home Alabama” for a reason! Congratulations to Auburn &amp; Huntsville for this recognition!https://t.co/BTGG9AHRe9,2020-10-15 00:05:23,Twitter for iPhone,28,88
This is great news for Bibb &amp; Tuscaloosa counties! This expansion &amp; the 373 added jobs are crucial as we continue to still see high unemployment rates due to the COVID-19 pandemic. https://t.co/UNMUasCK4I,2020-10-14 23:06:09,Twitter for iPhone,22,54
This #DomesticViolenceAwarenessMonth let’s rededicate ourselves to breaking the cycle of domestic violence and lift up those in our community who are hurting. https://t.co/q5k8x16Ymn,2020-10-14 21:30:16,Twitter for iPhone,12,31
Wearing a mask is patriotic &amp; can help save American lives. #MaskUpAL https://t.co/M47RdMa499,2020-10-14 19:57:31,Twitter for iPhone,111,209
This decision takes away two weeks of critical time for Alabamians to respond to the Census—if you haven't filled yours out please visit https://t.co/FTeUrGgb6r or call (844) 330-2020 today. https://t.co/Rj8ezPGEYj,2020-10-14 17:45:55,Twitter for iPhone,31,40
For 245 years the Navy has been a force to be reckoned with. Thank you to all the shipmen and women who so selflessly serve our nation. #HappyBirthdayNavy and anchors away!,2020-10-13 21:15:52,Twitter for iPhone,88,251
🚨TIME IS RUNNING OUT!🚨   If you have not completed your 2020 Census then do so today. Alabama is counting on YOU to get counted. Visit https://t.co/FTeUrGgb6r or call (844) 330-2020 today to participate.,2020-10-13 20:09:18,Twitter for iPhone,14,34
