Let’s do our part. We must limit gatherings with people not in our households wear masks and maintain 6 feet of distance from others in public.,2020-11-28 23:29:05,Twitter Web App,13,117
Arizonans: small gatherings with friends and family outside our households are contributing to a rise in coronavirus cases. A strong economic recovery depends on all of us making safe smart choices this holiday season. https://t.co/103d8PGG0T,2020-11-28 23:29:05,Twitter Web App,60,296
This month and every month we thank our brave servicemembers and their families for keeping Arizonans safe and secure. #MilitaryFamilyMonth https://t.co/DnlXmh67mx,2020-11-28 20:00:00,Twitter Web App,6,69
Public health is economic health. Steps we take to control the spread of coronavirus are the same steps toward a full economic recovery. Increased cases hospitalizations and deaths hurt jobs businesses and wallets. We need to slow the spread to grow the economy. https://t.co/uNRUYkap29,2020-11-27 23:00:00,Twitter Web App,6,37
Want to skip Black Friday shopping? #OptOutside today at one of AZ's National Parks! Remember to wear a mask and keep 6 feet from others. https://t.co/fNLY6Kmxoq,2020-11-27 20:00:01,Twitter Web App,2,50
On National Native American Heritage Day we're proudly working with Arizona’s tribal communities to expand opportunities and protect tribal sovereignty.,2020-11-27 17:00:01,Twitter Web App,140,888
Hoy y todos los días estamos agradecidos con los hombres y mujeres uniformados que están lejos de casa este Día de Acción de Gracias para mantener a Arizona seguro y salvo.,2020-11-26 18:05:00,Twitter Web App,4,35
Today and every day we're grateful to the men and women in uniform far from home on Thanksgiving keeping Arizona safe and secure.,2020-11-26 18:00:01,Twitter Web App,8,173
¡Feliz Día de Acción de Gracias! 🦃 Las cosas se ven diferentes este año pero es importante que limitemos las reuniones con personas fuera de nuestro hogar usemos mascarillas y practiquemos el distanciamiento social. Hagamos nuestra parte para reducir el brote y salvar vidas.,2020-11-26 15:05:00,Twitter Web App,1,42
Happy Thanksgiving! 🦃 We know things look different this year but it’s important we limit gatherings with people not in our households wear masks and practice social distancing in public. Let’s all do our part to slow the spread and save lives.,2020-11-26 15:00:02,Twitter Web App,45,596
This Thanksgiving will look a little different than normal. Here’s a few tips on how to keep yourself and your loved ones safe. https://t.co/UgoAzEabSY,2020-11-25 22:00:01,Twitter Web App,17,120
Our bipartisan resolution raises awareness and advances our work to end homelessness for Arizona’s children and youth. https://t.co/2CdWvjiBJ7,2020-11-25 18:25:56,Twitter Web App,5,17
Today is the International Day for the Elimination of Violence against Women. We’re calling on Congress to permanently renew #VAWA and ensure survivors of domestic violence and sexual assault have the support they need. #orangetheworld,2020-11-25 16:00:02,Twitter Web App,22,144
Arizonans: coronavirus cases are climbing again. We must limit gatherings with people outside our households wear masks and practice social distancing in public. Find a testing site near you ⬇️ https://t.co/zo8Ev7NCvZ,2020-11-24 22:00:01,Twitter Web App,23,75
Arizona veterans sacrificed for our country and we must ensure they receive the benefits they’ve earned. The VA should be transparent about delays and must address inadequate oversight of contracted disability exams in Arizona. https://t.co/4YSWZjR51g,2020-11-24 19:46:00,TweetDeck,12,52
Our bipartisan Rural Access to Hospice Act increases access to hospice care for Arizonans in rural communities. #NationalHospiceandPalliativeCareMonth https://t.co/qenlZVJxIa,2020-11-24 19:00:01,Twitter Web App,3,36
AZ seniors: Medicare Open Enrollment ends on December 7. Check your coverage or change plans here ➡️ https://t.co/5IMtcco9si. Have questions? Our team is here to help: (602) 598-7327 or casework@sinema.senate.gov.,2020-11-23 21:00:01,Twitter Web App,7,15
Las pruebas de anticuerpos de COVID-19 de @uarizona están ahora disponibles para todos los arizonenses mayores de 18 años.  Apúntese para una prueba de anticuerpos aquí: https://t.co/ipN2eHibjI  Programe una prueba gratis de COVID-19 aquí: https://t.co/wPNiyNk50t,2020-11-23 15:34:45,Twitter Web App,2,10
.@uarizona’s COVID-19 antibody testing is now open to all Arizonans age 18 and older.  Sign up for antibody testing here: https://t.co/ipN2eHibjI  Schedule an appointment for a free COVID-19 test here: https://t.co/ZxnpAwxbYV,2020-11-23 15:30:22,Twitter Web App,9,33
AZ’s COVID hospitalization rate continues to rise. A strong economic recovery depends on all of us making safe smart choices. Let’s wash our hands wear masks practice social distancing in public and avoid gatherings with people outside our households. https://t.co/hXB7tIR4aC,2020-11-23 00:00:00,Twitter Web App,27,91
Great news - @NIH’s $4.7 million grant will help administer 29000 COVID-19 saliva tests in underserved communities across Arizona. https://t.co/SjNvreFL8y,2020-11-22 21:00:00,TweetDeck,24,137
For #NationalFamilyCaregiversMonth we’re calling on the VA to improve caregiver benefits for AZ veterans. https://t.co/FbO0yVdujX,2020-11-22 19:00:00,TweetDeck,2,26
November is #NationalDiabetesMonth. We called on the Centers for Medicare and Medicaid Services to increase access to diabetes prevention programs for Arizonans during the pandemic. https://t.co/arnStjWlT4,2020-11-21 23:00:01,TweetDeck,4,21
Great news - @Toyota’s donation will support virtual learning in Phoenix. https://t.co/jtKvOGc9Ju,2020-11-21 20:00:00,TweetDeck,10,42
Great news - 13 Arizona businesses were named HIRE Vets Medallion Program awardees! Thank you for your work recruiting employing and supporting our nation’s veterans.  https://t.co/zmnmYfvzMK,2020-11-21 16:00:00,TweetDeck,8,57
We spoke with military leaders to ensure Arizona’s servicemembers have the resources they need to do their job. https://t.co/dDF76HsZEL,2020-11-20 20:47:00,TweetDeck,5,58
Tohono O’odham Nation’s grant will help @ASU and @uarizona combat coronavirus throughout the state. https://t.co/cUTDDSlDbv,2020-11-20 19:00:01,TweetDeck,11,60
Vacunarse contra la influenza este año es más importante que nunca. El condado de Maricopa ofrece vacunas de la influenza gratis. Encuentre una ubicación cercana a usted: https://t.co/wbhGPwBvFp,2020-11-20 17:07:00,TweetDeck,6,24
AZ veterans and servicemembers can access mental health resources through the COVID Coach app. Learn more:  https://t.co/GGxa885bvX,2020-11-19 23:00:02,Twitter Web App,8,35
Military domestic violence survivors deserve our full support and we must hold perpetrators accountable. Our bipartisan bill empowers survivors by improving counseling and encouraging reporting ensuring the health and safety of all on our bases. https://t.co/e5ECHdmvXM,2020-11-19 21:52:51,Twitter Web App,6,39
Payson: COVID-19 testing tomorrow November 20 from 8am-12pm at the Church of Jesus Christ of Latter-day Saints 913 S. Ponderosa St. Pre-register for an appointment here: https://t.co/UDhk7rZoxi,2020-11-19 21:14:00,Twitter Web App,7,15
.@USDOT awarded Yavapai-Apache Nation $445000 to expand tribal transportation. This investment increases access to jobs health care and other essential services for members of the Yavapai-Apache Nation. https://t.co/QFjOiogizQ,2020-11-19 20:21:00,TweetDeck,10,30
Experts are warning that small gatherings with friends and family outside our households are contributing to a rise in coronavirus cases. We need to be safe and smart.  If we do our part and work together we will slow the spread and save lives. https://t.co/0upQASminR,2020-11-19 17:00:01,TweetDeck,45,138
The federal government must lead by example to protect Americans’ health and slow the spread of coronavirus by following best practices and continuing to ensure employees are teleworking. https://t.co/71y0eZANKP,2020-11-18 22:18:00,TweetDeck,9,73
During National Native American Heritage Month we're proudly honoring Arizona’s 22 federally recognized tribal communities and their contributions to our state. https://t.co/bfk7PdePbz,2020-11-18 19:00:01,Twitter Web App,16,91
We’re working with Arizona seniors to stop fraudsters seeking to take advantage of the pandemic. https://t.co/wJI7fPMNGC,2020-11-18 16:39:00,TweetDeck,7,64
On #NationalEntrepreneursDay we’re helping AZ startups grow by: ✅ Cutting unnecessary regulations that hold AZ startups back ✅ Equipping our workforce with the skills they need ✅ Expanding access to capital,2020-11-17 23:00:00,Twitter Web App,4,36
“...the protective benefits of masks are stronger the more people wear masks consistently and correctly.” Scientific studies show wearing a cloth mask protects yourself AND your loved ones from coronavirus. https://t.co/wdT6kpLkEn,2020-11-17 20:00:00,Twitter Web App,50,229
Happy #NationalTakeAHikeDay! Don’t forget to wear a face mask and keep 6 feet from others when you hit the trails.,2020-11-17 16:59:38,Twitter Web App,22,312
Support AZ families facing food insecurity this Thanksgiving by donating a turkey to @UnitedFoodBank at the Mesa Convention Center.  https://t.co/leiVH4Q3C0,2020-11-16 22:00:00,TweetDeck,8,20
Arizona educators are the best. This #AmericanEducationWeek we’re proud to honor AZ teachers making a difference for our students during these difficult time.,2020-11-16 19:00:00,TweetDeck,22,175
Proud that AZ middle and high school students will learn about the Holocaust and other genocides. We’ll always remember and honor the millions of innocent lives lost. https://t.co/BLsDyHM2Gh,2020-11-15 23:00:00,Twitter Web App,143,981
Support families facing food insecurity this holiday season by donating to The Thanksgiving Harvest Food Drive on November 19 from 6am-6pm at Sam’s Club 4701 N. Stone Ave. https://t.co/RfAm35mG9J,2020-11-15 21:00:00,Twitter Web App,3,38
Happy #AmericaRecyclesDay AZ! ♻️,2020-11-15 17:00:00,Twitter Web App,6,105
Maricopa County offers free flu shots Monday through Friday from 8am-4:30pm. Find a clinic near you:  https://t.co/rUcWKtd0T2,2020-11-15 01:00:01,Twitter Web App,41,108
Scientific studies show masks are key to slowing the spread of coronavirus. See how effective they are ⬇️ https://t.co/jg2OZninb7,2020-11-14 23:00:01,Twitter Web App,127,423
Arizonans: @IRSnews extended the deadline for Arizonans who didn’t file taxes to register for Economic Impact Payments. Apply here by November 21: https://t.co/4hF91c5dob,2020-11-14 19:00:00,Twitter Web App,3,10
FEMA needs to mobilize emergency health care workers in Arizona and other states experiencing coronavirus surges. https://t.co/NTEhxjEhwA,2020-11-13 21:16:00,TweetDeck,75,327
Tucson: Los inquilinos afectados por la pandemia del coronavirus pueden solicitar subvenciones de hasta $5000 para cubrir las deudas de alquiler. https://t.co/y1An1uRcdx,2020-11-13 20:00:02,TweetDeck,5,11
Great speaking this week with Davis-Monthan Air Force Base’s new commander Col. Joseph Turnham. We’re proud to welcome him to @DMAFB and continue supporting AZ’s critical role keeping America safe and secure.,2020-11-13 16:00:00,TweetDeck,4,54
Arizona’s COVID hospitalization rate continues to rise and ICU beds are 85% full. Let's all do our part. We need to wash our hands wear masks and practice social distancing in public. Most importantly we should avoid gatherings with people outside our households. https://t.co/2coEzQQYOw,2020-11-12 23:00:01,TweetDeck,42,162
COVID-19 testing Monday November 16 at North Country HealthCare Payson 126 E. Main St. Call 928-468-8610 to pre-register. https://t.co/yRxFWoDCdJ,2020-11-12 22:33:36,Twitter Web App,6,16
We’re leading the AZ delegation in urging the administration to provide more relief to Arizona health care providers during this pandemic not less. https://t.co/oUb4bFg9kW,2020-11-12 21:17:00,TweetDeck,7,79
Arizona health officials are warning us: difficult times are ahead. Let’s listen to our health professionals and continue best practices - wear masks and keep 6 feet from others in public - to make a difference. https://t.co/zFZnHWzcVO,2020-11-12 17:00:00,Twitter Web App,32,147
COVID cases and hospitalization rates are reaching troubling levels in Arizona.  Let’s slow the spread. We must wash our hands wear masks and avoid gatherings with people outside our household. https://t.co/bsYNbkEJ0L,2020-11-11 23:00:00,Twitter Web App,22,128
Dr. Fauci is warning us again: we need to make an “abrupt change” in our behavior to slow the spread of coronavirus. We can’t let our guard down. We must wear masks and keep 6 feet from others in public to save lives. https://t.co/yahIwiaYMD,2020-11-11 17:00:02,Twitter Web App,215,730
To our veterans and their families: Thank you for your sacrifice and service to keep Arizonans safe and secure. #VeteransDay,2020-11-11 14:29:52,Twitter Web App,29,294
We led the Arizona Congressional delegation in supporting @UArizona’s application for a NIH grant to help fight health disparities &amp; coronavirus. https://t.co/ztlHKTYvOp,2020-11-10 20:36:00,TweetDeck,6,41
COVID-19 testing at Central Arizona College Signal Peak Campus 8470 N. Overfield Rd Coolidge 7am-11pm 7 days a week. Pre-register for an appointment here: https://t.co/tPYotn6ZGj,2020-11-10 20:00:01,Twitter Web App,7,22
