Small businesses especially Black and minority-owned businesses urgently need relief to survive the effects of coronavirus this winter. @JoeBiden and I are committed to helping these businesses during this pandemic and get them the support they need to thrive in years to come.,2020-11-28 23:17:41,Twitter Web App,4636,54203
Had a wonderful time getting some Small Business Saturday shopping done with @DouglasEmhoff this morning at the outdoor @dtwnholidaymkt. Thank you @MurielBowser and everyone who supported small businesses not just in our communities but all over the country today. https://t.co/4KAbCF85X9,2020-11-28 20:49:15,Twitter Web App,2128,31129
Small businesses need our support now more than ever before. This Small Business Saturday and throughout the holidays please shop local and do your part to help the backbone of our communities and our economy.,2020-11-28 14:37:14,Twitter Web App,9055,92291
Know that @JoeBiden will be a president who represents the best in us. A leader the world will respect and our children can look up to. A commander in chief who will respect our troops and keep our country safe—and a president for all Americans.,2020-11-28 02:20:00,Sprout Social,9761,136916
On Native American Heritage Day I’m thankful for our Indigenous communities and their ancestors. Together @JoeBiden and I are committed to writing a new history together upholding our treaty responsibilities and making meaningful investments in Native American communities.,2020-11-27 21:28:01,Sprout Social,6848,78256
Thank you to everyone who tagged me in @Official_tylerg’s video. I was able to call him before Thanksgiving to tell him how much I appreciate him sharing his gift with all of us. https://t.co/VYLEZ5nQe5,2020-11-27 16:57:00,Twitter Media Studio,4137,58219
Thankful for our farm workers and food bank staff whose hard work has put food on the tables for millions of families across our country.,2020-11-26 23:37:01,Sprout Social,11487,166075
Earlier today @DouglasEmhoff and I called Talisa a registered nurse in Chicago and a few of our nation’s frontline workers to thank them for everything they have done in the fight against COVID-19. We won’t be able to get through this without them. https://t.co/YKdLK0IKi1,2020-11-26 22:32:00,Twitter Media Studio,4495,57313
Today I'm thinking about all the families who have an empty seat at Thanksgiving this year after losing a loved one our nation’s frontline workers who are spending the day saving lives and those who are serving overseas. Each and every one of you is in our hearts.,2020-11-26 19:07:44,Twitter Web App,11745,155535
Like families across America our Thanksgiving looks different this year. But I am incredibly grateful for the ability to stay virtually connected to our loved ones so we can get this virus under control.  From @DouglasEmhoff and I have a safe and happy Thanksgiving. https://t.co/3WhQx6dCaU,2020-11-26 15:50:51,Twitter Web App,4593,74803
As president @JoeBiden will be focused on one thing and one thing only—doing what’s best for the United States of America.,2020-11-26 01:40:02,Sprout Social,8774,151195
Food banks across our nation are struggling to keep up with the demand due to COVID-19. Know that when @JoeBiden and I are in the White House we’ll fight food insecurity and address this crisis.   No one should go hungry in America. https://t.co/EUOAuDAR3E,2020-11-26 00:14:15,Twitter Web App,4325,38865
Earlier today @DouglasEmhoff and I visited @dcck with @chefjoseandres to thank the staff and volunteers for their hard work during this Thanksgiving season to feed those who are hungry. Hurting families must be made a priority and given the relief they deserve. https://t.co/9uUCH7OI5S,2020-11-25 22:36:39,Twitter Web App,2804,31796
Tune in now for a special Thanksgiving message from President-elect @JoeBiden. https://t.co/6yVAMaE922,2020-11-25 19:52:33,Periscope,2023,21421
As we head into the holidays it’s important we are socially distant but not emotionally distant. Take some time to text a loved one you haven’t seen in a while check in on your single friends or write that letter you’ve been putting off. We will get through this together.,2020-11-25 17:33:01,Sprout Social,6566,69165
Together we will reassemble and renew America’s alliances and restore our leadership around the world. https://t.co/0FY5uuJoln,2020-11-25 14:43:12,Twitter Media Studio,3551,41327
Put the mixture in a baking dish and bake at 375F for about 40 minutes. Enjoy! https://t.co/N7qDPjrjZA,2020-11-25 02:32:04,Twitter Web App,643,12083
Mix that with the sausage cornbread crumbs melted butter herbs and chicken broth. https://t.co/xI3MrYoj3C,2020-11-25 02:32:03,Twitter Web App,558,9322
Sauté the vegetables and apples in the remaining oil in the same pan. https://t.co/fNoQH59Bil,2020-11-25 02:32:01,Twitter Web App,347,4370
Take the sausage out of its casing crumble it and brown it in a little oil. When it’s cooked use a slotted spoon to remove it from the pan and set it aside. https://t.co/XETAqSZVJ4,2020-11-25 02:31:59,Twitter Web App,350,4423
Directions: Bake your cornbread according to the instructions on the package. This can be done the day before. Once it’s cooled crumble it. https://t.co/4ILJMsi1q8,2020-11-25 02:31:58,Twitter Web App,382,4846
Ingredients: 2 8oz packages of cornbread mix  1 pound spicy pork sausage  2 onions chopped  2 apples cored and chopped  4 celery stalks diced ¾ cup of chicken broth  ¼ cup unsalted butter melted ¼ cup fresh parsley chopped 2 tsp sage ½ tsp thyme ½ tsp rosemary  salt &amp; pepper https://t.co/ecmeARjxkQ,2020-11-25 02:31:56,Twitter Web App,1085,12494
During difficult times I have always turned to cooking. This year I wanted to share one of my family’s favorite Thanksgiving recipes with you. I hope whenever you’re able to make it in life it brings you as much warmth as it has brought me—even when separated from those I love. https://t.co/68LUeat4fE,2020-11-25 02:31:54,Twitter Web App,6627,84332
Over the past few months I’ve come to know the sound judgment expertise and character of our national security and foreign policy nominees. They are patriots and public servants to their core and I look forward to working alongside them on behalf of the American people. https://t.co/SpQmtQzQ2s,2020-11-25 00:09:20,Twitter Web App,2290,31510
Our national security and foreign policy nominees are the leaders we need to meet the challenges of this moment—and those that lie ahead. https://t.co/qWKjTXjqBf,2020-11-24 22:10:00,Twitter Media Studio,2523,26096
My career has been about keeping people safe from serving as District Attorney to Attorney General to the Senate where I've served on the Intelligence Committee.   I’ve learned firsthand the challenges facing our nation. I know today’s nominees are right to keep us safe.,2020-11-24 20:33:01,Sprout Social,3784,55322
The world is dimmer today with the loss of New York City’s first Black mayor and @HowardU alumnus David Dinkins. His leadership broke barriers and paved the way for so many of us. @DouglasEmhoff and I are keeping his family and loved ones in our hearts.,2020-11-24 18:52:26,Twitter Web App,2407,37577
Biden-Harris national security and foreign policy leaders reflect different life experiences—but they all share an unwavering belief in America’s ideals and a commitment to our democracy. Tune in now. https://t.co/ZUXHmspR9f,2020-11-24 18:01:48,Periscope,1270,12752
Our nation’s frontline health care workers are under enormous strain. They deserve not just additional resources by the current administration they also need all of us to do our part to slow the spread. https://t.co/hS4w5WMlhl,2020-11-24 14:49:41,Twitter Web App,4447,36373
This afternoon @JoeBiden and I met with @usmayors to discuss how we’ll work together to beat COVID-19. Our nation’s mayors are at the forefront of this pandemic and deserve all the resources and support they need to succeed. https://t.co/Xvm5zpUTSc,2020-11-24 02:14:24,Twitter Web App,3614,51457
The moment @JoeBiden and I walk into the White House we will inherit a series of unprecedented challenges. Today's announced national security and foreign policy leaders have the knowledge and expertise to keep our country safe and restore America’s leadership around the world.,2020-11-24 00:48:01,Sprout Social,14344,211189
We chose the most qualified experienced and crisis-tested national security professionals to restore our standing in the world project leadership and protect our country.   https://t.co/FRsLPCS3ua,2020-11-23 20:47:54,Twitter Web App,6598,57317
As we head into this holiday week please take every precaution you can to keep yourself your family and your community safe. Wear a mask wash your hands and practice social distancing. Coronavirus cases are spiking across the country so we must remain vigilant.,2020-11-23 14:26:25,Twitter Web App,11308,123123
President-elect @JoeBiden and I will make sure our federal state local and tribal authorities are working closely together so we can save lives and help get our economy back on track.,2020-11-23 01:32:00,Sprout Social,9486,142058
Because Donald Trump refuses to concede the election we have to fund the transition ourselves. Chip in whatever you can give to help fund the Biden-Harris transition. https://t.co/io4yIwLtBW,2020-11-22 20:19:26,Twitter Web App,5512,37651
Wearing a mask can save lives. Do your part.,2020-11-22 16:26:19,Twitter Web App,35639,428123
I’ve served in both state and local government so I understand the critical role our governors play in everything from combating the climate crisis to helping Americans in times of crisis.   Know that they will have partners in the White House again starting on January 20th.,2020-11-22 01:32:00,Sprout Social,6392,86757
Let’s be clear: if you make under $400000 a year you won’t pay a penny more in taxes under a Biden-Harris administration.,2020-11-21 19:57:28,Sprout Social,39377,395632
Absolutely devastating. My heart aches for Raiden and every single person left behind in the wake of COVID-19. Please stay safe this weekend. https://t.co/MB80XzoCaw,2020-11-21 14:57:14,Twitter Web App,6845,64401
Americans deserve leaders that will be there for everyone in times of crisis—doesn’t matter whether you’re a Democrat or Republican. That’s the kind of leadership President-elect @JoeBiden and I will provide.,2020-11-21 02:39:00,Sprout Social,7495,103620
