It has been such an honor serving the people of Colorado in the Senate for the past 6 years.  Tune in to my speech now at https://t.co/iZRRyor3HL. https://t.co/volKzMT8ya,2020-11-04 02:41:07,Twitter for iPhone,68,742
Castle Rock was my next stop along the Front Range! If you haven’t done so already make sure that you go and vote! https://t.co/HKtHuCJNgv,2020-11-03 19:20:39,Twitter for iPhone,73,359
Jaime and I are in Brighton reminding you to get out and vote! Get to a polling place or drop off your ballot today! https://t.co/kXCTjbPRT1,2020-11-03 18:05:47,Twitter for iPhone,63,279
Election Day with @BuckForColorado! Make your voice heard and vote today! https://t.co/OOBjo9mVis,2020-11-03 16:51:32,Twitter for iPhone,84,403
Out in Windsor this morning with @BuckForColorado thanking Coloradans for getting out and voting. https://t.co/PXCBJkArE2,2020-11-03 15:46:32,Twitter for iPhone,31,199
For the past six years I’ve had the great privilege of serving the people of Colorado.   I need your vote to help me continue this fight and accomplish so much more for our state. https://t.co/Wmtlf0R3gp,2020-11-03 15:13:09,Twitter for iPhone,112,658
My next stop on the Western Slope was in Mesa County. Be sure to turn in your ballot so that your vote counts! https://t.co/eWHY9zXZT9,2020-11-03 00:00:16,Twitter for iPhone,43,214
It was a pleasure spending time in Delta this morning. Don’t forget to vote! #TeamGardner https://t.co/wiH1yvqAt2,2020-11-02 18:30:51,Twitter for iPhone,19,104
I enjoyed speaking to voters in Montrose today! Thank you for all of your support. #TeamGardner https://t.co/bkdbZIuX3u,2020-11-02 17:47:11,Twitter for iPhone,30,191
Happy Halloween from Yuma! https://t.co/xbHv9E9x9W,2020-11-01 00:39:49,Twitter for iPhone,32,254
“Senator Cory Gardner is the most effective federal legislator in Colorado. He has had 11 bills signed into law that directly benefit Colorado more than all of Colorado’s other eight representatives combined.”   Read more here ➡️ https://t.co/bUd5M0Hmu2,2020-10-30 19:18:36,Twitter for iPhone,35,79
Election Day is less than a week away. Make sure that you turn in your ballot on time! ✉️➡️📮 https://t.co/9gj1H2STdA,2020-10-29 20:50:35,Twitter for iPhone,17,76
Today I joined @foxandfriends to talk about why Twitter’s refusal to label holocaust denial as misinformation is alarming. https://t.co/PWn82fVs81,2020-10-29 16:09:28,Twitter for iPhone,35,93
“Moving the Bureau of Land Management headquarters to Grand Junction passing permanent funding for the Land and Water Conservation fund and being a voice for the Western Slope in Washington is the exact reason why we sent Gardner there.” https://t.co/LMlpW2OILt,2020-10-28 19:23:04,Twitter for iPhone,27,80
Hickenlooper is lying to Coloradans. He will pack the Supreme Court. Stop being a coward John - stand up to the radicals. https://t.co/DDcc7A52yq,2020-10-27 23:46:05,Twitter for iPhone,448,1157
If you haven’t voted yet be sure to vote today and deliver your ballot to a drop box near you. Find the nearest drop box location here ➡️ https://t.co/JFlEqUcQ4o https://t.co/l6HJrRZrE5,2020-10-27 18:00:33,Twitter for iPhone,22,62
It is time for John @Hickenlooper to tell Colorado once and for all - will you pack the court?,2020-10-27 01:12:33,Twitter for iPhone,137,637
Justice Amy Coney Barrett is a skilled jurist who will prove to be a wonderful addition to our nation’s highest court. https://t.co/38ldelNCus,2020-10-27 00:08:55,Twitter for iPhone,59,337
Don’t forget to vote! Today is the last day to mail in your ballot. https://t.co/Ml2rWQIut6,2020-10-26 19:25:35,Twitter for iPhone,31,82
John Hickenlooper wants to ban our oil and gas industry and eliminate more than 200000 Colorado jobs. Stand up for Colorado families. Vote to oppose his radical energy agenda that will eliminate jobs and strip education funding. https://t.co/qq2fI8ReHB,2020-10-24 15:29:58,Twitter for iPhone,79,225
Thank you to all of the firefighters currently battling the wildfires raging across our state. https://t.co/0QK6bNv7n5,2020-10-23 21:57:18,Twitter for iPhone,39,121
“The 9-8-8 Nat’l Suicide Hotline impacts every single one of us and is going to save thousands of lives.”  Read more from the @GreeleyTribune here ➡️ https://t.co/84Pm3Qtp8x,2020-10-23 18:13:30,Twitter for iPhone,20,47
Listen to my radio interview with @DanCaplis as we talk about the Supreme Court the 9-8-8 National Suicide Prevention Hotline and Colorado’s future. https://t.co/OEwLhYLSbe,2020-10-23 00:50:11,Twitter for iPhone,18,59
Turn your ballot in today to make sure that your voice is heard! Click here to find a drop box location near you ➡️ https://t.co/JFlEqUcQ4o https://t.co/DeTLNIMGKc,2020-10-22 18:59:32,Twitter for iPhone,25,80
Last week @Hickenlooper said he supported a targeted relief bill. Chuck Schumer must’ve called him because he now refuses to support add'l COVID relief. If their goal is to make this pandemic as painful as possible it's working - and Coloradans are suffering the consequences. https://t.co/fhVuAaSMfW,2020-10-21 18:01:54,Twitter for iPhone,87,185
Election Day is just around the corner! Remember to vote and return your ballot ASAP. Find the nearest ballot drop box here ➡️ https://t.co/JFlEqUcQ4o https://t.co/B7DkWf2rlt,2020-10-21 17:19:08,Twitter for iPhone,22,93
In the middle of the worst economic crisis Colorado has ever faced Senate Democrats are blocking much needed relief for schools testing the unemployed and our small businesses.  What’s @Hickenlooper saying? Nothing.,2020-10-20 22:20:55,Twitter for iPhone,181,436
John @Hickenlooper wants to pack the Supreme Court. https://t.co/rayTACljCI,2020-10-20 20:06:24,Twitter for iPhone,286,484
Help ensure Coloradans have a fighting voice in Washington. Chip in today: https://t.co/X80uTgA2If,2020-10-20 15:34:14,Twitter for iPhone,21,45
I brought both parties together to finally fulfill a conservation promise John F. Kennedy made in Pueblo CO more than 50 years ago ⬇️ https://t.co/3NUpEjLwUe,2020-10-20 15:34:13,Twitter for iPhone,161,553
The 9-8-8 National Suicide Hotline is now law. This hotline will save lives and provide Coloradans with easier access to the mental heath resources they need. https://t.co/qV3vbeNV3r,2020-10-19 22:32:30,Twitter for iPhone,44,124
There are only 15 days until Election Day! Remember to turn in your ballot and track it here: https://t.co/2yWLYuUYWe https://t.co/mctjgrzRXg,2020-10-19 18:32:35,Twitter for iPhone,20,57
“Many Americans think they are voting for a temporary Democratic government... They may be surprised to find they actually voted for Senate-packing and a permanent shift in partisan power.”,2020-10-17 14:46:20,Twitter for iPhone,30,107
John @Hickenlooper will pack the court and the Senate. https://t.co/kjq4vuAxJk,2020-10-17 14:46:20,Twitter for iPhone,185,487
I’ve accomplished big things for Colorado and I’ll continue to work hard for our state. https://t.co/1MWRwovgg4,2020-10-16 17:25:43,Twitter for iPhone,33,133
Hickenlooper said it himself: He’s not cut out to be a Senator. https://t.co/vMVVgNKV3T,2020-10-16 01:32:32,Twitter for iPhone,75,159
Don't forget to mail in or drop off your ballot at a secure drop box location.  Locate the nearest drop box: https://t.co/U9DRJoTyZY  Track your ballot: https://t.co/2yWLYuUYWe https://t.co/x7pAe17feu,2020-10-15 17:06:03,Twitter for iPhone,22,41
Only 20 days until Election Day! Help me keep fighting for Colorado by turning in your ballot today. https://t.co/rOn1oEZ9Ml,2020-10-14 22:16:52,Twitter for iPhone,35,141
