It’s small business Saturday! Let’s all do our best to support local and small businesses today. #SmallBusinessSaturday #BuyLocal #ThinkBigShopSmall,2020-11-28 18:11:31,Twitter for iPhone,3,29
Today is #BlackFriday but we still need to stay safe! This year @YourDNREC is offering free admission to all DE State Parks + the Brandywine Zoo. So #OptOutside and enjoy our beautiful state treasures! Visit&gt;&gt; https://t.co/PYVhoyOwQN or https://t.co/fVHKCsZrhg #Thanksgiving🦃🍁,2020-11-27 15:59:21,Twitter for iPhone,2,6
@joebiden + @kamalaharris have already begun the transition process but Donald Trump’s obstruction has denied them access to the funds necessary to transition seamlessly. If you can please chip in a few dollars to help the #BidenHarris Team transition. https://t.co/2IDFcJxNuS https://t.co/9vb81rxQS9,2020-11-23 00:06:07,Twitter for iPhone,13,32
As you begin your holiday shopping and Thanksgiving planning please be sure to shop local and support small businesses in your area! 🍂🦃🍁 #smallbusiness #shoplocal,2020-11-22 15:54:50,Twitter for iPhone,11,61
The Trump Administration’s abrupt move to rapidly reduce US forces in Afghanistan and Iraq threatens to upend the critical progress we and our allies have made in the region.,2020-11-18 22:11:07,Twitter for iPhone,8,70
Georgia voters will decide which party controls the US Senate for the next 4 years. Can you sign up to volunteer with the Georgia Democratic Party to help get out the vote for @ReverendWarnock and @ossoff? Click here to sign up&gt;&gt; https://t.co/cckdYN8MWo #Georgia #US #Senate #GOTV,2020-11-17 19:05:15,Twitter for iPhone,12,29
Join me @cindymccain @LisaBRochester and others now as we discuss how to restore American leadership abroad— in a bipartisan way— with the @USGLC. Watch live here&gt;&gt; https://t.co/VAniHLftKx,2020-11-16 17:07:41,Twitter for iPhone,4,10
Wishing a very happy Diwali to all those celebrating this holiday across the nation and around the world! May this season bring you and your loved ones happiness prosperity and joy. #Diwali #Delaware #Light #Victory,2020-11-15 03:03:27,Twitter for iPhone,6,41
We need @ReverendWarnock in the US Senate! Visit https://t.co/8HlzTfbek5 to help him win this critical race! #Georgia #Runoff https://t.co/UQENM2Q1UA,2020-11-13 18:45:33,Twitter for iPhone,10,40
The Biden transition team has started planning and a top priority will be getting COVID-19 under control. Learn more about the President and Vice President elects’ priorities and then sign up to get updates and stay involved: https://t.co/B1fTuubUFg https://t.co/ubE1rhRZW8,2020-11-08 16:17:20,Twitter for iPhone,8,48
Don’t forget @ReverendWarnock is headed to a runoff in Georgia this January! Let’s help him win and ensure we have more Democrats in the Senate! #Georgia #Democrats https://t.co/vAiWIASMT8,2020-11-08 15:04:43,Twitter for iPhone,45,118
