Gayle and I would like to wish everyone a Happy Thanksgiving! I hope everyone enjoys a safe and wonderful Thanksgiving holiday with their family and friends. #Thankful,2020-11-26 15:48:31,Twitter Web App,0,9
Today our nation honors all the valiant and fearless Veterans who have fought for America. We would not be the country we are today without their bravery. THANK YOU and Happy #VeteransDay2020.,2020-11-11 15:01:48,Twitter Web App,0,8
Congratulations to Mississippi's own Miss USA Asya Branch! Mississippi is proud to have you represent our amazing state! #MissUSA2020 #MissUSA https://t.co/3NzmGRBvJs,2020-11-10 20:07:11,Twitter Web App,1,34
A fundamental principle to our country is ensuring all legal ballots are counted. Please encourage anyone you know who has had first-hand experience of voting fraud to submit their statement using this link: https://t.co/LkxLutSLfV,2020-11-06 16:01:10,Twitter Web App,1,11
Great turn out at the polls today! Waited in line for a little less than an hour but it was well worth the wait. A big thank you to our wonderful poll workers. Make sure you go out and vote!  It was also so great bumping into State Rep @shaneag91 https://t.co/bze7tNqcGO,2020-11-03 20:27:40,Twitter Web App,1,22
Sock it to the Left and go out and vote RED! #ElectionDay2020 #Election2020  #Vote2020 https://t.co/ecNUJFblER,2020-11-03 18:57:31,Twitter Web App,0,23
Tomorrow is the most consequential election of my lifetime. Working hard to re-elect @realDonaldTrump  and @cindyhydesmith. Please get out and vote tomorrow! https://t.co/QF5ieLQc7q,2020-11-03 00:59:12,Twitter Web App,3,45
Congratulations to the honorable Amy Coney Barrett for being confirmed as the newest Associate Justice to the Supreme Court of the United States. I hope she has a long and successful tenure on our nation’s highest court!,2020-10-27 13:10:23,Twitter Web App,0,13
Big tech companies are helping the Left cover-up @JoeBiden and Hunter Biden’s dirty dealings with China. They are hiding information from the American people to make sure lying Joe gets elected. We must hold these companies accountable.,2020-10-23 16:11:37,Twitter Web App,2,23
Sad to see my colleagues on the Left would rather play political games than show up to work and get the job done. #ConfirmACB,2020-10-22 17:02:25,Twitter Web App,3,27
I am excited to watch @realDonaldTrump and @JoeBiden  debate tonight. With only 35 days until the elections I hope Joe Biden tries to give some explanation on how he plans to lead our nation. #Debates2020,2020-09-29 22:48:45,Twitter Web App,0,8
As we honor and mourn the victims of the 9/11 attacks let us also pray for our troops and first responders who continue to defend America and the freedoms we cherish. https://t.co/IhYfs0ciUU,2020-09-11 19:35:00,TweetDeck,0,10
Americans have come to enjoy Japanese products from high-tech electronics to sushi and Japanese consumers spend billions of dollars each year purchasing American oil medical equipment and computers. Our two countries even forged a bond over baseball America’s pastime. https://t.co/bGGREMS71c,2020-09-10 23:25:00,TweetDeck,0,6
To this day Japan hosts more than 54000 U.S. military personnel and their families. These forces have helped maintain stability in the region and countered threats from China and North Korea – keeping conflict far from American shores. https://t.co/05whZtmpSw,2020-09-10 17:15:00,TweetDeck,0,4
Over the last four months 10.6 million jobs have been added back to the American economy. The Great American Comeback continues! https://t.co/R2Tz2qtmwi,2020-09-09 23:35:00,TweetDeck,0,6
A number of schools have already taken decisive action to place students and teachers in quarantine if they have been exposed to the coronavirus. These decisions are helping to protect the wider community and should be commended. https://t.co/imL4Es1cVp,2020-09-04 22:45:36,Twitter Web App,1,3
School districts have had to make tough decisions about when and how to reopen in light of the pandemic. Many are resuming lessons in person while following health guidelines. Others are taking a gradual approach starting with online learning or part-time classroom instruction. https://t.co/sAPwF1c2B8,2020-09-03 23:35:00,TweetDeck,0,5
Recently a pair of House Democrats called on the FBI to investigate Postmaster General Louis DeJoy alleging that he is intentionally slowing down mail deliveries in an effort to affect mail ballots in the November election. This theory has no basis in fact. https://t.co/8dVtpk8U6L,2020-08-28 17:15:00,TweetDeck,0,2
Vote to #KAG this November! https://t.co/bziuV2NxjH,2020-08-28 00:35:00,TweetDeck,1,3
I couldn’t agree more @SpencerMRitchie ! https://t.co/DnItKcc2yk,2020-08-27 19:59:56,Twitter for iPhone,0,3
In testimony before the Senate Homeland Security Committee on Friday Postmaster General Louis DeJoy said he expects ballots to make up less than 2% of mail volume from mid-September to Election Day – hardly a burden for the Postal Service. https://t.co/s59NCGWhgF,2020-08-27 17:05:00,TweetDeck,1,2
November 3rd is right around the corner. Sound off if you're voting to re-elect President @realDonaldTrump! https://t.co/lBQvZwLIhe,2020-08-26 23:25:00,TweetDeck,2,15
Congratulations to President @realDonaldTrump and Vice President @Mike_Pence! I'm looking forward to casting my vote for both of you this November. https://t.co/acz45Ykfh6,2020-08-24 23:55:18,Twitter Web App,0,13
These lawless acts have no place in a civilized society and need to be dealt with swiftly. Tolerating this behavior will only lead to more mayhem and injustice. https://t.co/sLGRmaMb7S,2020-08-20 23:25:00,TweetDeck,1,5
Unfortunately a growing number of politicians are working to defund the police and undermine law enforcement. This idea is absurd and Americans know it – polls show that 73% of the country is against cutting funds for police. https://t.co/Ax28MIBE7F,2020-08-19 22:35:55,Twitter Web App,0,1
As we near the 2020 election Americans have real concerns about whether online platforms will treat campaigns on both sides of the aisle fairly and equally. https://t.co/V1AiS2JLnQ,2020-08-14 17:30:23,Twitter Web App,1,0
According to a 2018 Pew study seven out of 10 Americans believe social media platforms censor political viewpoints that they find objectionable. These concerns are all the more weighty given the immense power that these corporations wield in our society. https://t.co/OHRyFIOo6w,2020-08-13 23:25:00,TweetDeck,2,4
This welcome news comes one day after Kamala Harris said our country was "in tatters." President @realDonaldTrump is leading us in the Great American Comeback. https://t.co/dtYnImahfg,2020-08-13 14:42:10,Twitter for iPhone,1,4
Through national service programs state officials are able to direct resources to match local needs. These projects invest in citizens rather than government and the value to communities far surpasses the cost to taxpayers. https://t.co/1DeGzEqYQS,2020-08-08 19:05:00,TweetDeck,0,1
I introduced the CORPS Act to authorize a significant expansion of national service opportunities. This legislation would help meet specific community needs and save taxpayer dollars as we seek to recover from the pandemic. https://t.co/kBWtLdlkrD,2020-08-07 00:35:25,Twitter Web App,2,6
The Chinese Communist Party recently passed a law ending fundamental political freedoms in Hong Kong and it has continued the detestable abuse of the Uighur minority group. Beijing is wasting no time advancing its agenda while the world is distracted by the coronavirus. https://t.co/5jjNhCepFo,2020-07-30 23:35:00,TweetDeck,663,651
Our military has an essential role to play in containing China’s reach advancing our interests and supporting our allies. I am committed to providing our Armed Forces with the resources they need to fulfill their mission. https://t.co/bO7SA43gCb,2020-07-30 00:15:00,TweetDeck,2,2
T-minus 100 days until we elect @realDonaldTrump for a second term. Mark your calendars. #KAG https://t.co/dscasOVKeS,2020-07-26 16:15:00,TweetDeck,1,13
Restaurants have hemorrhaged more jobs than any other economic sector since the coronavirus came to America. In response to these unprecedented challenges I have introduced the RESTAURANTS Act to bring much-needed relief and certainty to restaurants across our nation. https://t.co/LOuyaOy6Km,2020-07-24 22:45:00,TweetDeck,13,32
Google's choice to build its first U.S. Operations Center in Mississippi is a reflection of our state's talented workforce and forward-thinking economic policies. Thank you for the kind words Merle! https://t.co/kC804ribWZ,2020-07-23 23:25:00,TweetDeck,0,6
When the coronavirus came to America restaurants were the hardest-hit businesses affected by health restrictions. Government mandates forced restaurants to shut their doors for months. Now is a time for us to preserve these establishments in their moment of greatest need. https://t.co/ruQsEulc4J,2020-07-22 23:45:00,TweetDeck,0,2
Last year more than 50 U.S. children died in hot cars and unfortunately this year we have already had several hot car deaths. These tragedies can happen to anyone. Never leave a child alone in the car for any period of time. https://t.co/BUHK6rLxtg,2020-07-17 00:15:00,TweetDeck,0,3
Each summer dozens of American families suffer the heartbreaking loss of a child from heatstroke in hot cars. As we enter the peak of summer parents and caretakers should be aware of these risks and take appropriate precautions. https://t.co/E6DlHqT8A9,2020-07-16 01:35:51,Twitter for iPhone,2,3
As Congress works to finalize this year’s defense bill I am mindful of the support we owe to the men and women who keep us safe. https://t.co/Ia8vycIRlu,2020-07-10 23:35:00,TweetDeck,0,4
This annual legislation authorizes military spending to meet the needs expressed by our top military leaders. As a member of the Armed Services Committee I worked to craft core elements of this legislation and hope it will pass soon. https://t.co/Dd6rqSeoEJ,2020-07-10 00:30:08,Twitter Web App,0,2
Today marks the 244th anniversary of the founding of this great nation. Happy Independence Day! https://t.co/IYxXcoNcJT,2020-07-04 16:35:00,TweetDeck,2,21
