Heading to drop off your ballots at your polling place like https://t.co/DQn9Ih1YsH,2020-10-31 19:43:03,Twitter for iPhone,15,167
Striking down protections for folks with pre-exisiting conditions? Selling off our public lands? Talk about spooky!  Even scarier? Letting this election slip by without ensuring your voice is heard.  Every vote counts. Drop off your ballot now.,2020-10-31 15:12:41,Twitter for iPhone,26,113
7 days out mood. Let’s get after it.  😎 https://t.co/s6Wu2LC3UC,2020-10-27 16:03:02,Twitter for iPhone,74,633
I'm proud to endorse @shanemorigeau as Montana's next State Auditor. Shane knows what it takes to hold folks accountable and protect Montana consumers. Help support Shane here: https://t.co/4Ye1WvHzGC https://t.co/kdzwkgm75P,2020-09-30 16:15:24,Twitter for iPhone,20,120
As a legislator Tom Woods worked across the aisle to get things done for Montana. I'm proud to endorse Tom for Montana's Public Service Commission—he's got what it takes to push the PSC into the future with some much-needed commonsense. Support Tom today: https://t.co/D9sQKlhdQt https://t.co/nAC6iUkjAA,2020-09-29 15:30:27,Twitter for iPhone,1,32
Proud to join @stevebullockmt @WilliamsForMT @CooneyforMT @Casey_Schreiner and @sallyjewell on #NationalPublicLandsDay to talk about how we #KeepItPublic.,2020-09-26 20:04:50,Twitter for iPhone,5,42
As my folks used to say "We're only renting this place." It's our duty to ensure our public lands are protected maintained and around for the next generation. You can bet that Montana Democrats are up to the task.,2020-09-26 20:04:50,Twitter for iPhone,32,203
The stakes of this election couldn't be higher—are you ready to vote this fall?   Check your registration status request your ballot and make a plan to vote today.   Find everything you need to ensure your voice is heard at https://t.co/3lpHXPcapw. #NationalVoterRegistrationDay,2020-09-22 17:50:53,Twitter for iPhone,8,17
I am endorsing Monica Tranel for Public Service Commission. She will bring needed common sense and leadership to the job.   Help @TranelforPSC by donating here: https://t.co/ivrQB5kpwZ https://t.co/iikWmDJsK6,2020-09-21 16:03:42,Twitter for iPhone,7,30
I'm proud to endorse my friend @MelissaRomanoMT as Montana's next Superintendent of Public Instruction. Melissa is a proven leader in education and knows what our kids need to succeed. Help Melissa continue to fight for Montana students by donating here: https://t.co/betQJ3mwUa https://t.co/EW7bmYrNcU,2020-09-11 17:58:31,Twitter for iPhone,29,95
Mike Cooney proves exactly why he's the right pick for MT's next Governor—he'll be a strong advocate for our farmers and ranchers and all folks who call rural Montana home.   Great to be with you @CooneyforMT! https://t.co/qkiEnenSHA,2020-09-02 22:29:21,Twitter for iPhone,25,123
Thanks @WilliamsForMT! Can't wait to have you as Montana's next Congresswoman! https://t.co/dOgOmn125L,2020-08-21 19:46:52,Twitter Web App,16,117
Please join me at tonight’s Rural Communities for @JoeBiden Convention Watch Party to talk about why Joe is the right person to help move rural America forward. Register here: https://t.co/NZ4sPFKKGp,2020-08-18 13:15:29,Twitter for iPhone,14,63
My friend @KamalaHarris is a proven fighter and an excellent pick for Vice President. As VP I'm confident she will continue to fight for working families across this country. Looking forward to supporting her and @JoeBiden in November. https://t.co/37exYwfVcP,2020-08-11 21:39:47,Twitter for iPhone,39,324
Can confirm. https://t.co/BfzbZRCcQ0,2020-06-24 13:01:23,Twitter for iPhone,32,312
From Sidney to Eureka a record number of Montanans made their voices heard in yesterday's primary election. As we head into November I'm proud to stand with our Dem candidates in the fight for working folks our public lands and more affordable health care. Let's do this!,2020-06-03 19:54:53,Twitter for iPhone,19,137
Please join me in supporting @brycebennett for Montana Secretary of State. We can count on him to stand up for Montana values.  https://t.co/Ouj5m21YvI https://t.co/LVht1tQE8h,2020-05-28 17:51:00,Twitter for iPhone,20,79
I am supporting @JoeBiden for President because he will stand up for hardworking families and bring this country together. https://t.co/pmJC3qjqdF,2020-05-15 17:06:58,Twitter for iPhone,3047,11470
Happy birthday to my good friend @GovernorBullock! Grateful for your leadership and service to the Treasure State! https://t.co/Ixu3JrL5gD,2020-04-11 17:51:13,Twitter for iPhone,43,501
Washington needs more Montana common sense and I know my friend @stevebullockmt has got it. His track record shows he’s a proven fighter for the folks in our state and can work across the aisle to get real results. https://t.co/eqjjivO4SG,2020-03-09 16:58:46,Twitter for iPhone,122,741
