We are always proud to celebrate Montana's Native communities but especially today on #NativeAmericanHeritageDay! Today we reaffirm our commitment to upholding our trust and treaty responsibilities to ensure we can honor Indian Country's deep heritage for generations to come.,2020-11-27 21:54:10,Twitter for iPad,64,441
As always it's a great honor to serve the good people of Montana.   Wishing everyone a happy Thanksgiving—stay safe and be well. https://t.co/Tg6FLtlYDT,2020-11-26 16:10:35,Twitter for iPad,47,668
I'm grateful for the sacrifices Montanans are making as we do everything we can to beat this thing—and we will together. https://t.co/EobKBJimVD,2020-11-25 21:20:54,Twitter Web App,8,46
As we continue to work together to fight COVID-19 I know families are facing tough choices this holiday season. Limiting gatherings may not be easy but it's the right thing to do to keep our health care workers afloat and our communities safe.,2020-11-25 21:20:02,Twitter Web App,21,156
ICYMI: I'm teaming up with @JerryMoran to introduce the PACT Act which helps guarantee equal access for Native veterans seeking care at VA and IHS facilities and ensures the federal government is living up to its trust and treaty responsibilities to Indian Country. https://t.co/am8SH5Ui0g,2020-11-25 17:11:36,Twitter Web App,14,49
Folks from Native communities serve in our Armed Forces at the highest rates in the nation. Their continued service has helped ensure the safety of our nation—we must make sure they have access to the benefits they've earned when they return home. #NativeAmericanHeritageMonth,2020-11-25 17:10:08,Twitter Web App,185,682
We're cracking down on scammers taking advantage of Montana seniors. Glad to see my bipartisan bill giving us more tools to combat fraud clear the Senate bringing some much-needed peace of mind to the elderly and their families. https://t.co/CbT294DSDW,2020-11-24 19:03:03,Twitter Web App,6,53
The @DeptVetAffairs must have an action plan to protect veterans staff and their families when a COVID-19 vaccine becomes available.   It's got to be safe smooth equitable and backed by public health experts—veterans and VA staff deserve nothing less. https://t.co/Sa63pNMSlU,2020-11-23 22:56:13,Twitter Web App,5,42
It's #NativeAmericanHeritageMonth! Montana's Native communities have and will continue to make lasting contributions to this country. May we all honor the great achievements of Native folks and their ancestors and ensure their stories can be celebrated by future generations. https://t.co/2rOIuQ5I8j,2020-11-23 17:06:21,Twitter Web App,20,124
Need to review your health care policy or make changes? Open enrollment is here until December 15th. Head to https://t.co/c7GyBtWVwC to #GetCovered.,2020-11-20 17:09:36,Twitter Web App,8,19
I'm grateful for all the work our frontline health care workers do to serve rural communities and especially for all the folks that have gone above and beyond during this pandemic. I'll always fight to ensure you've got the resources you need to continue keeping us safe. https://t.co/imahN47Zht,2020-11-19 17:58:28,Twitter Web App,12,105
The ACA isn't perfect—but it’s impossible to overlook the critical protections it provides for millions veterans across the country. Repealing the ACA without a replacement would leave millions of our nation's heroes out to dry. That's #WhatsAtStake. https://t.co/qv5UTf4viw,2020-11-18 21:44:44,Twitter Web App,17,87
Far too many preventable tragedies have taken place at rural MT rail crossings—that's why I'm introducing the bipartisan Right Track Act which provides critical safety investments in rural communities. When it comes to rail safety this bill helps us get back on the #RightTrack. https://t.co/0SilBsy7hq,2020-11-18 20:04:50,Twitter Web App,9,69
BIG NEWS: The brave men and women at Malmstrom AFB will be the first in line to receive new MH-139 Grey Wolf  helicopters to replace their decades-old fleet. I'm proud to have pushed this effort in Congress to ensure our Air Force's needs are met now and well into the future.,2020-11-18 15:42:27,Twitter Web App,39,406
Fixed it for you. #FlatTop #realBigSkyCountry https://t.co/5XpJVclLw3 https://t.co/vbE5qZ8TL9,2020-11-17 20:49:26,Twitter Web App,88,971
Learn more about the COMPACT Act and how we’re taking an all-hands-on-deck approach to ensure our nation's heroes have access to the support they need and earned: https://t.co/vRa4mo85Jv,2020-11-17 16:33:53,Twitter Web App,3,14
I'm working hard to ensure veterans have more access to mental health care.  ICYMI—my bipartisan COMPACT Act passed the Senate unanimously. This bill will lift up vets that are too often left behind by better connecting them with tools helpful in treating invisible wounds of war.,2020-11-17 16:33:53,Twitter Web App,5,58
COVID-19 has proven that access to affordable health care is more important than ever. Not covered? Montanans can head to https://t.co/c7GyBtWVwC now to enroll in a plan that’s right for their families.,2020-11-16 22:59:16,Twitter Web App,50,174
It's #AmericanEducationWeek! A strong public education system is fundamental to our success. Sending a big thank you to all of Montana's educators administrators and support staff working hard each day to ensure our next generation has the solid foundation they need to thrive.,2020-11-16 20:27:06,Twitter Web App,19,109
Montana's front line health care workers continue to sacrifice day in and day out to help keep our communities safe. We must help them in return. Wear a mask. Social distance. We can beat this virus together. #MaskUpMT,2020-11-14 16:11:35,Twitter for iPhone,119,624
It’s National School Psychology Week! Montana kids are at their best when they are supported.   That's why I introduced the Increasing Access to Mental Health in Schools Act to increase comprehensive psychological services in schools and give our kids the chance to thrive.,2020-11-12 21:01:35,Twitter Web App,21,164
Veterans and their families in need of assistance are encouraged to reach out to my office at https://t.co/WHUFxaXPdk. We’re always here to help.,2020-11-12 16:18:31,Twitter Web App,5,29
Lawrence E. Henning fought with bravery and conviction during World War I earning a Bronze Star for his heroic service.   I was honored to work with the Henning family to replace Lawrence’s medal ensuring his legacy can be celebrated for generations. https://t.co/NxaM4fpSNZ,2020-11-12 16:18:30,Twitter Web App,6,38
I was proud to team up with my friend @SenWhitehouse to give an update on how we're holding VA accountable and ensuring we're serving veterans across this country every day.   Happy Veterans Day everyone. https://t.co/Rci6jbjhKC,2020-11-11 19:03:59,Twitter for iPhone,10,120
Today—and every day—we honor the enduring sacrifices of our nation's men and women in uniform and their families. I'll always fight to ensure our nation's heroes get the care and benefits they've earned.   Wishing everyone a happy Veterans Day. https://t.co/VP90nHtAk6,2020-11-11 16:01:01,Twitter for iPhone,56,494
The ACA isn't perfect. But striking it down—during a pandemic no less—jeopardizes lives our economy and the rural Montana hospitals that keep our communities safe.   We need to make health care more accessible not less.,2020-11-10 21:26:48,Twitter Web App,28,194
The reckless lawsuit to dismantle the Affordable Care Act made its way to the Supreme Court today. If the folks behind this effort get their way thousands of Montanans could be left without protections for their pre-existing conditions and the care they rely on to stay healthy.,2020-11-10 21:26:48,Twitter Web App,70,374
It's that time of year again—open enrollment is here. Folks can shop and compare affordable health care plans until December 15th. It's never been easier to #GetCovered. Head to https://t.co/c7GyBtWVwC now.,2020-11-09 21:37:45,Twitter Web App,29,105
131 years and counting of the Last Best Place. Happy Birthday Montana—there’s no place I’d rather call home. https://t.co/mtmaDKnP7J,2020-11-08 20:34:00,Twitter for iPhone,77,1071
We live in the greatest nation in the world and I know we are capable of creating an even better future for generations to come. https://t.co/StAcrzZDOz,2020-11-07 18:55:39,Twitter for iPhone,27,424
Sharla and I congratulate President-elect Biden and Vice President-elect Harris on their momentous victory and I look forward to working with them to move this country forward. We must come together and focus on what connects us not what divides us.,2020-11-07 18:55:18,Twitter for iPhone,183,2037
Today Montanans stand together in honoring Elouise Cobell Day. Elouise was a fierce leader and activist who spent her life fighting to bring justice to thousands of Native families. Elouise is proof that standing up for what's right is always right.,2020-11-05 22:47:02,Twitter for iPhone,58,440
Montana voters have already made history this election and we're not done yet.  If you've already voted reach out to folks in your community and encourage them to cast their ballots now. If you haven't voted yet #MaskUp and head to your polling place! https://t.co/KPwiOHfXGy,2020-11-03 20:41:52,Twitter for iPhone,12,133
It's Election Day.   For information on polling places registration status and more head to https://t.co/fgrj4CWhBJ now.,2020-11-03 17:26:45,Twitter Web App,9,62
