On Tuesday @ 9:30 AM Senate Intel will hold its nomination hearing for the Director of National Intelligence.   While attendance will be limited due to current public health guidelines the hearing will be livestreamed here: https://t.co/VR7Uboyvcw,2020-05-01 21:34:52,Twitter for iPhone,42,88
I want to wish a blessed Ramadan to all who will be observing a month of fasting and prayer. https://t.co/6VJLtaeT3P,2020-04-23 23:57:17,Twitter for iPhone,18,125
With the 2020 presidential election approaching it’s more important than ever that we remain vigilant against the threat of interference from hostile foreign actors.,2020-04-21 16:26:25,Twitter for iPhone,75,180
One of the ICA’s most important conclusions was that Russia’s aggressive interference efforts should be considered ‘the new normal.’   That warning has been borne out as Russia and its imitators increasingly use information warfare to sow societal chaos and discord.,2020-04-21 16:26:25,Twitter for iPhone,69,153
In reviewing the ICA the Senate Intelligence Committee looked at two key questions:   ▪️Did the final product meet the initial task given by the President ▪️Was the analysis supported by the intelligence presented?   We found the ICA met both criteria.,2020-04-21 16:26:25,Twitter for iPhone,21,61
Today the Senate Intel Committee released the fourth and penultimate volume in our bipartisan Russia investigation which examines the 2017 Intelligence Community Assessment that identified Russian election interference: https://t.co/qFa0yKEfZU,2020-04-21 16:26:24,Twitter for iPhone,124,287
If you did not file a 2018 or 2019 tax return but do have dependents register with the IRS by *Wednesday 4/22 @ 12PM ET* to make sure you automatically receive an additional $500 per eligible child when you receive your $1200 Economic Impact Payment. https://t.co/A8cpki1gyH,2020-04-21 00:22:33,Twitter for iPhone,15,34
Until then you can #FindYourPark (virtually) from the safety of your own home. 2/2 https://t.co/FyUtG7NLoF,2020-04-20 19:11:07,Twitter for iPhone,2,13
#NationalParksWeek is a chance for us to celebrate the beauty of our country and the benefits of smart conservation. While some of our national parks are sadly closed today they’ll all be waiting for us when the time is right to go out and enjoy the great outdoors. 1/2,2020-04-20 19:11:06,Twitter for iPhone,5,48
“He is not here; he has risen just as he said. Come and see the place where he lay.”  Matthew 28:6  Wishing everyone a beautiful #EasterSunday as even in difficult times we celebrate the hope we have through Christ’s resurrection. https://t.co/FPPCJzSpjl,2020-04-12 16:03:21,Twitter for iPhone,12,103
I hope everyone has a happy and blessed #GoodFriday. https://t.co/Uczb7TkRKo,2020-04-10 16:09:58,Twitter for iPhone,10,119
This is exactly how the #PaycheckProtectionProgram is supposed to work.   Small businesses like @bittyandbeaus and their employees are part of the glue that hold our communities together. https://t.co/kcvKuEgjMc,2020-04-09 00:07:34,Twitter for iPhone,11,55
While families and friends may not be able to physically gather this year faith will always be an important part of how we come together.    Brooke and I wish everyone celebrating a Happy Passover. https://t.co/Qr8shtzJ79,2020-04-08 21:00:12,Twitter for iPhone,11,55
You can apply for a #PaycheckProtectionProgram loan for your small business at your local SBA-approved bank.   For more information and the latest guidance on approved lenders visit https://t.co/xFnMrXzVxU. https://t.co/YRUa2tapyh,2020-04-07 14:12:14,Twitter for iPhone,9,15
