Sending love and strength this Thanksgiving week (10/10),2020-11-25 17:03:13,Twitter Web App,6,117
For now we have to remain careful and do our parts to keep ourselves and our communities safe. The pandemic is far from over and I promise I’m working hard in Congress to get American families the relief they so desperately need (9/10),2020-11-25 17:03:13,Twitter Web App,6,87
Perhaps most of all the promise of future Thanksgivings where we safely can gather with our friends and family once again (8/10),2020-11-25 17:03:13,Twitter Web App,0,34
Remember there is still much to be hopeful for. A number of promising COVID-19 vaccine candidates. A president-elect who has not just the experience to lead our country but the empathy and integrity to go with it (7/10),2020-11-25 17:03:13,Twitter Web App,2,35
4) Stay active. I try to take our dog Maple on a walk in the park near our house every morning. It helps me clear my mind before the day really begins (6/10),2020-11-25 17:03:12,Twitter Web App,0,30
3) Reach out to your loved ones—particularly the most vulnerable among us. Zoom fatigue is real—trust me I understand. But set aside time this week to call those loved ones who won’t be able to join you at the Thanksgiving table (5/10),2020-11-25 17:03:12,Twitter Web App,1,30
2) Take time to recharge. My son Henry and I have tried to squeeze in an episode of @SchittsCreek after dinner most nights. It’s hilarious warm loving inclusive and a perfect tonic for these times (4/10),2020-11-25 17:03:12,Twitter Web App,1,54
And if you’re in need of assistance you can use Feeding America’s website to search for a food bank in your area (3/10) https://t.co/Fyuqj3cq6Q,2020-11-25 17:03:12,Twitter Web App,3,27
1) Give back. Our country is facing an unprecedented hunger crisis and our nation’s food banks are stretched thin. If you’re fortunate enough to be safe and healthy this Thanksgiving consider making a donation to @FeedingAmerica (2/10) https://t.co/oiSUozPiRp,2020-11-25 17:03:11,Twitter Web App,3,36
Thanksgiving looks different this year. Our country is hurting. We’ve suffered enormous loss and I know it can feel like there’s no end in sight. I wanted to share a few of the ways I’ve been taking care of myself and my family these days (1/10),2020-11-25 17:03:11,Twitter Web App,23,235
Mayor David Dinkins was a trailblazer. He loved NYC deeply and spent his life working to ensure our "gorgeous mosaic" of a city lived up to its promise. Sending love &amp; prayers to his family who have suffered the loss of both Mayor Dinkins and his beloved wife Joyce this year.,2020-11-24 16:44:01,Twitter Web App,29,344
Happy birthday @chuckschumer! Grateful for your friendship your leadership and for the privilege of serving New York State by your side today and every day. https://t.co/CLgptSERW8,2020-11-23 23:03:01,Twitter Web App,43,650
@dorakathryn @CoryBooker I have no idea what a collab channel is but any chance to work w/ @CoryBooker and I’m in!,2020-11-23 19:59:47,Twitter for iPhone,0,38
Nearly one quarter of American households have experienced food insecurity this year. Senate Republicans: You are failing the American people. Tell Mitch McConnell to pass a comprehensive coronavirus relief package now. https://t.co/DqHMAEqKim,2020-11-23 18:38:13,Twitter for iPhone,483,2415
Lucy thank you for your tireless advocacy for gun reform. Sending you love and strength 🧡 https://t.co/RMg4RNWsuV,2020-11-23 16:43:42,Twitter for iPhone,48,699
American families need relief NOW. And if Mitch McConnell were serious about passing COVID relief he wouldn’t throw poison pills—like blanket liability protections for businesses that don’t take the lives of their workers seriously—into legislation.  https://t.co/6BCzzblhGD,2020-11-21 21:01:45,Twitter Web App,112,559
Wishing our President-elect @JoeBiden a very happy (and sweet!) birthday!🍦 https://t.co/Eqv5PfvW0w,2020-11-20 18:26:05,Twitter Web App,192,3283
This week we honor the momentous work that transgender activists have done to make a better way for the LGBTQ community. You will not be erased. #TransAwarenessWeek,2020-11-19 20:00:45,Twitter for iPhone,56,422
Fact check = true https://t.co/L9gvc0YHmc,2020-11-19 01:19:07,Twitter for iPhone,346,6433
.@ReverendWarnock and @ossoff are phenomenal candidates and they have what it takes to win their runoff races in Georgia and flip the Senate. Now it's on us to have their backs. Chip in what you can: https://t.co/V4cKJRu64z https://t.co/yME6STjkJm,2020-11-18 23:28:18,Twitter Web App,90,446
Trans people are siblings parents children friends. We see you we hear you we love you. #TransAwarenessWeek https://t.co/m8rDjcJ6hQ,2020-11-18 19:45:27,Twitter for iPhone,127,879
A strong economic recovery should start by addressing the long standing failure to support women in the economy. From paid leave to child care to equal pay we should be supporting caregiving. https://t.co/7JPNJDrlus,2020-11-18 14:20:33,Twitter for iPhone,86,582
@JamaalBowmanNY 👏Yes! So looking forward to working w/ you in Washington,2020-11-16 18:24:13,Twitter for iPhone,4,259
May this year’s Festival of Lights bring your family peace and prosperity. Happy #Diwali,2020-11-14 19:06:03,Twitter for iPhone,65,838
Tammy has led an extraordinary life of public service and I'm so thrilled that she now has the chance to tell her story. Make sure to pre-order her book here: https://t.co/1AG43uTMoQ  https://t.co/Auk5JpPu1K,2020-11-12 21:15:00,Twitter Web App,74,604
We have a great deal of hard work left to ensure that all of our veterans are cared for.   An estimated 3.5M veterans were exposed to dangerous burn pits and other toxins during their service. We have to get them the care they need. https://t.co/AtJMHcauhI,2020-11-12 15:15:20,Twitter for iPhone,56,388
On Veterans Day we reflect on the incredible sacrifices made by the service members who keep our country safe. Thank you for your brave service. Let's resolve to honor remember and fight for you every day—not just on November 11th. https://t.co/TexeZfnvvz,2020-11-11 14:23:00,Twitter for iPhone,32,290
The election has been decided. @JoeBiden won. It's absolutely outrageous that President Trump refuses to concede and allow for a peaceful transfer of power. It's time to put the politics aside.    https://t.co/ecwph56Z5N,2020-11-11 00:43:04,Twitter Web App,161,1535
Today SCOTUS hears oral arguments in the Republican lawsuit to strike down the ACA. If successful millions of Americans would lose their health insurance in the middle of a pandemic.   It's cruel and senseless. We'll keep speaking out and fighting back. https://t.co/S47L4Wb6sC,2020-11-10 18:20:00,Twitter Web App,70,328
Our country is seeing 130000 new cases everyday and more than 238000 Americans have died. But rather than work with Democrats to pass a COVID relief package Senator McConnell is focused on coddling President Trump's ego.   Enough is enough. Stop the games. Do your job. https://t.co/gddck5HLmN,2020-11-10 17:04:48,Twitter for iPhone,288,1379
