This #SmallBusinessSaturday shop small and shop local.  Small business owners their workers and their communities all benefit when you do - and they need our help more than ever.,2020-11-28 16:37:39,Twitter for iPhone,102,532
Wishing everyone a safe and happy Thanksgiving.  As we count our blessings please keep in mind the sacrifices grocery store workers are making so that others can enjoy their Thanksgiving meals.   They deserve our gratitude and patience.,2020-11-26 13:40:06,Twitter for iPhone,303,4230
The Trump Administration is sabotaging the economy on its way out. Now they’re making it harder for the Biden Administration to clean up their mess.   CARES Act money was already approved by Congress - it should be going to help families and workers. https://t.co/c9ZYqCoyzv,2020-11-24 21:22:03,Twitter for iPhone,1293,3124
Janet Yellen would be a fantastic choice for Treasury Secretary - one that prioritizes workers over Wall Street.   She led the country out of the 2008 financial crisis and she would do the same in the Biden Administration to guide us through this economic crisis.,2020-11-24 18:48:52,Twitter for iPhone,429,3210
It's critical that the Trump Administration extend full funding for the @OHNationalGuard as they assist @OhioFoodbanks with the extraordinary need for food assistance they're facing due to the pandemic.  No one should go hungry this holiday season. https://t.co/Oi9fwcWR8j,2020-11-24 18:05:19,Twitter Web App,70,391
The Trump Administration’s enforcement of workplace safety standards has been nonexistent - allowing mass infections at meatpacking plants like Tyson’s to go unchecked.  Workers deserve a government that’s on their side. https://t.co/8zYSkZBolp,2020-11-23 20:48:58,Twitter for iPhone,90,420
This is grostesque. More than 1000 workers have contracted COVID-19 at this plant.  Their lives aren’t a joke.  https://t.co/lBmH2pv1xF,2020-11-23 20:48:58,Twitter for iPhone,355,1247
Corporations’ profits are soaring in the double-digits even during the pandemic – so why aren’t they raising workers’ pay?   @BrookingsInst lays out how retail corporations are exploiting their employees. https://t.co/UbonzxGmyY,2020-11-23 18:03:27,Twitter Web App,67,235
2:00PM➡ #EssentialWorkers need more than gratitude.   Join me for a @BrookingsMetro discussion on how we can better pay and protect ALL our frontline workers. https://t.co/xLerzjkOvn,2020-11-23 18:03:27,Twitter Web App,40,254
Steven Mnuchin will go down as the worst Treasury Secretary in our nation’s history. https://t.co/3yu1OIJxTv,2020-11-20 18:28:51,Twitter for iPhone,464,2789
On #TransDayOfRemembrance we remember the 350 trans lives that were cut short across the world this year by hatred and violence.  Today we recommit ourselves to improving the lives of trans people everywhere.,2020-11-20 16:20:04,Twitter for iPhone,294,2129
BREAKING: The Senate just rejected Judy Shelton President Trump's dangerous nominee to the Federal Reserve.   The fight isn't over - but today's vote is a victory for workers their families and the economic stability Americans voted for. #StopShelton https://t.co/5nVGi5DFGw,2020-11-17 20:56:15,SnapStream TV Search,1900,14533
I know my Republican colleagues feel like they have to humor President Trump but enough is enough.   Joe Biden won the election.   Stop playing along with the president's tweets and the chaos. We need to move on and deliver for our country. https://t.co/Q2XUeBFHcl,2020-11-17 16:32:43,Twitter Media Studio,1437,6957
@burgessev https://t.co/ESYdehFf7x,2020-11-17 00:25:53,Twitter Web App,1163,7488
Once again I asked my Republican colleagues to stop endangering all the Senate workers - and simply wear a mask when presiding over the Senate.  Once again they refused. https://t.co/lykJO8MWmI,2020-11-17 00:24:44,Twitter Media Studio,19746,92832
WATCH: The LAST thing we should be doing is granting President Trump one more wish on his way out -  putting a political hack on the Federal Reserve.  Trump's Fed nominee Judy Shelton is not a conservative. She’s off the ideological spectrum. #StopShelton https://t.co/0fmj3Py5UA,2020-11-16 23:32:19,Twitter Media Studio,380,1669
Listen to @metrohealthCLE @StVincentCMC @SummaHealth @ClevelandVAMC @UHhospitals and @ClevelandClinic:  Stay socially distant wear a mask and take precautionary measures.  We all need to do our part to slow the spread. https://t.co/qQwbxQQt6E,2020-11-16 20:20:10,Twitter Web App,83,350
Ohio hospitals are practically begging us - do not give into COVID-19 fatigue.   "COVID-19 is in our communities no matter where you live or who you are. We cannot wish the virus away". https://t.co/ZLV9dv6Y8R,2020-11-16 20:20:09,Twitter Web App,374,1136
We NEED to restore the extra $600 a week federal UI lifeline that kept millions of families out of poverty.   Our families and our economy depend on it.   What are my Republican colleagues waiting for? #SaveThe600 https://t.co/LNZaEZ7ggt,2020-11-13 19:40:08,Twitter for iPhone,222,1113
Honored to join Avery and Jackson to explore what we can learn in an unexpected place: historically Black cemeteries like Union Baptist in Cincinnati.   Jackson and Avery are doing a great job showing kids that Black history is American history.  https://t.co/yLdvR6AttM,2020-11-13 15:48:37,Twitter for iPhone,31,208
Judy Shelton is not fit for the Federal Reserve Board. Last week Americans decisively voted for stable competent economic policy NOT fringe theories. #StopShelton https://t.co/fFJUOifAzx,2020-11-12 22:21:17,Twitter for iPhone,308,1050
#COVID19 is surging again in Ohio.    We must all do our part to keep ourselves and those around us safe.   Please continue to: ➡️Practice social distancing ➡️Wash your hands often ➡️Wear a mask   #InThisTogetherOhio,2020-11-12 18:56:34,Twitter for iPhone,115,591
Grateful to all the first responders for their quick work on the Brent Spence Bridge.   It’s a reminder how vital the bridge is to Ohio’s economy. I’ll continue to monitor the situation w/local officials &amp; push for federal investment to finally build a new modern Brent Spence.,2020-11-12 17:06:45,Twitter for iPhone,47,620
Our veterans rarely brag or ask for recognition - but they've all earned it.   THANK YOU to all our veterans. #VeteransDay https://t.co/LoXsBRYK8e,2020-11-11 13:49:21,Twitter Media Studio,190,1394
Today at @SenateBanking hearing the outgoing Trump Administration gave its view of the economy:   good enough that we don't need stimulus for families   bad enough that we do need stimulus for Wall Street.   That’s why Americans voted for new leadership.,2020-11-10 21:47:17,Twitter for iPhone,958,3457
The American people sent a clear message this November:   They’ve had enough of an Administration where Wall Street runs the economy.   It's time to take on Wall Street power and create an economy that works for everyone. https://t.co/iFcttmsPek,2020-11-10 19:58:42,Twitter Web App,110,961
How do Republicans like Mitch McConnell call themselves “pro-democracy” if they’re not willing to submit to a peaceful transition of power?   It’s simply un-American. https://t.co/9JIyXUPaaj,2020-11-10 18:22:45,Twitter Web App,362,2303
The GOP's lawsuit to strip away health care from millions of Americans is once again before the Supreme Court - and they still have no replacement.   I'll work with President-elect Biden to stop Republicans' attacks. #SaveTheACA https://t.co/wnNklkWK2h,2020-11-10 17:32:02,Twitter Web App,141,864
President-Elect Joe Biden’s election proves that our country is choosing truth and unity over lies and division.   Biden and Harris are ready to restore hope decency and civility to the White House - and ensure that all work has dignity.,2020-11-07 19:26:32,Twitter for iPhone,494,5725
Count every vote. https://t.co/oqEw3HCBYL,2020-11-05 15:18:10,Twitter for iPhone,519,7016
Your vote is your voice in the future of our country.   Today is your last chance to be heard.   VOTE. #ElectionDay,2020-11-03 15:00:09,Twitter Web App,140,1106
TODAY👇 https://t.co/2TQEz8K7E4,2020-11-03 13:15:46,Twitter for iPhone,107,589
Bishop Allen was a world-renowned gospel singer and a faith leader in the Toledo community for decades.   Connie &amp; I are saddened to hear of his passing and offer our deepest sympathies to his family and the Toledo community. https://t.co/QrmfJ1jDAe,2020-11-02 22:29:07,Twitter for iPhone,11,108
Half a million Ohioans are out of work and more than 5300 have died. https://t.co/QtGaF9wAQY,2020-11-02 19:04:09,Twitter for iPhone,5026,17020
Tomorrow is your LAST CHANCE to vote - Ohioans SHARE THIS INFO.  WHEN:  6:30am-7:30pm.  WHERE: Your designated polling place. (https://t.co/HBVttsha49)  HOW:  Bring an acceptable form of ID. (https://t.co/Ds1N6tCiKW) https://t.co/vaKnOzPhBN,2020-11-02 16:25:34,Twitter Media Studio,220,529
Nearly 200 million Americans are at risk of having their utilities cut off.   This is unconscionable - especially as COVID-19 worsens and winter approaches.   Utility companies must do the right thing and SUSPEND UTILITIES SHUTOFFS. #NoShutoffs https://t.co/BxvZLtPHBg,2020-10-30 18:48:44,Twitter for iPhone,106,328
Tamir was 12.  This is not justice for the Rice family. https://t.co/lfVSwZGjjM,2020-10-30 13:33:23,Twitter Web App,396,1348
Five days. https://t.co/dolzS8PAHG,2020-10-29 13:35:26,Twitter Web App,70,490
