“I will praise the name of God with a song and will magnify him with thanksgiving.”  Psalm 69:30  Happy Thanksgiving everyone 🙏🏾 https://t.co/VhiqnWCEbD,2020-11-26 13:12:04,Twitter for iPhone,8,209
“Now therefore our God we thank thee and praise thy glorious name.”  1 Chronicles 29:13,2020-11-22 12:31:37,Twitter for iPhone,12,108
I have been thinking a lot about Georgia lately. The Senate Majority will be decided by TWO senate runoff elections in January. All of our recent conservative victories will be reversed if the Democrats win Georgia. We simply cannot lose! DONATE NOW!  https://t.co/v9qexr27FY,2020-11-17 01:07:10,Twitter for iPhone,25,95
Dustin Johnson wins the Masters with a record-shattering performance! #SCStrong  https://t.co/X1GnShuA6K,2020-11-15 21:06:58,Twitter for iPhone,5,39
“Be glad in the Lord and rejoice ye righteous: and shout for joy all ye that are upright in heart.” Psalm 32:11,2020-11-15 17:28:02,Twitter for iPhone,107,1312
I was deeply saddened to hear about the passing of Robert Rabon. He has led the Horry County Republican Party with excellence for many years. His loved ones are in my prayers. https://t.co/pJ2PVtSPig,2020-11-14 15:31:33,Twitter for iPhone,2,27
To all the veterans across this great nation thank you for your courage excellence and strength! We can never repay you for your service! God bless you all! #VeteransDay https://t.co/IboA56XxDP,2020-11-11 14:12:13,Twitter for iPhone,13,125
HELP US DEFEND THE SENATE MAJORITY🔴❗️#redwave   https://t.co/DoF03ficaD,2020-11-09 12:56:30,Twitter for iPhone,109,455
“And therefore will the Lord wait that he may be gracious unto you and therefore will he be exalted that he may have mercy upon you: for the Lord is a God of judgment: blessed are all they that wait for him.” Isaiah 30:18,2020-11-08 10:40:33,Twitter for iPhone,34,230
It’s that time...let’s go! #elections https://t.co/jZqa5Zt9s8,2020-11-05 20:18:54,Twitter for iPhone,10,166
Congratulations to my good friend @LindseyGrahamSC! Keep up the great fight for our state! #GrahamGetsItDone https://t.co/y67RyJMJcU,2020-11-04 03:12:52,Twitter for iPhone,97,772
🇺🇸Members of #TeamScott also went out to Colorado to join #TeamGardner! @CoryGardner has been a champion for Coloradans and we need to send him back to the Senate so he can keep fighting! #vote https://t.co/gE6p0KLpU0,2020-11-03 22:40:51,Twitter for iPhone,4,51
I was happy to hear my team wanted to get out to Iowa to campaign on behalf of @JoniErnst! She is a true patriot and a fighter! We need her leadership in Washington! #vote https://t.co/JArqpO9uGZ,2020-11-03 22:09:25,Twitter for iPhone,17,133
Be a good steward of your citizenship and #VOTE #VOTE #VOTE❗️ https://t.co/Cx1xEPjqMl,2020-11-03 14:36:26,Twitter for iPhone,26,327
It’s always a good time in the great state of GA! I am happy to support my friend @Perduesenate! It’s critical he gets back to the Senate so he can keep fighting for Georgians!  Read more here: https://t.co/ME8mSRhrsH https://t.co/hvcNfJLJjs,2020-11-03 01:31:09,Twitter for iPhone,91,394
So proud of my team getting out to support @LindseyGrahamSC! He will continue to #GetItDone for the Palmetto State! VOTE! VOTE! VOTE! https://t.co/aQJUuKrhUA,2020-11-02 21:27:30,Twitter for iPhone,17,102
Happy Birthday to my good friend Joy Krutek! Thank you for all you do for Dorchester County and the state of South Carolina! Have a wonderful day and may God bless you with many more birthdays!,2020-11-02 16:04:56,Twitter for iPhone,2,13
@LindseyGrahamSC,2020-11-01 21:35:09,Twitter for iPhone,3,23
It was a pleasure to join Lindsey Graham this weekend! He is a committed fighter for our state and our nation and it is an honor to serve beside him! Be sure to vote🇺🇸❗️ #GrahamGetsItDone https://t.co/dPMqPo3nM4,2020-11-01 21:27:51,Twitter for iPhone,26,161
“Thou wilt shew me the path of life: in thy presence is fulness of joy; at thy right hand there are pleasures for evermore.” Psalms 16:11,2020-11-01 14:40:45,Twitter for iPhone,15,114
I had a great time in Georgia last night discussing President Donald Trump’s achievements and the great things he has to come for our nation 🇺🇸❗️ https://t.co/3KGB4t9iSu,2020-10-31 10:05:40,Twitter for iPhone,48,217
See you tonight Georgia 🇺🇸  https://t.co/of1he3jHRA,2020-10-30 13:32:38,Twitter for iPhone,6,31
Justice Amy Coney Barrett 🇺🇸 https://t.co/cx336plUt3,2020-10-27 00:52:38,Twitter for iPhone,3,122
“Cast not away therefore your confidence which hath great recompence of reward. For ye have need of patience that after ye have done the will of God ye might receive the promise.” Hebrews 10:35-36,2020-10-25 19:30:06,Twitter for iPhone,12,127
The GOP is an open tent party the party of Abraham Lincoln the party of freedom opportunity justice and civil rights.  https://t.co/oWsBXz45IP,2020-10-21 19:19:55,Twitter for iPhone,87,365
“From the end of the earth will I cry unto thee when my heart is overwhelmed: lead me to the rock that is higher than I.” Psalms 61:2,2020-10-18 14:20:53,Twitter for iPhone,20,164
Congratulations to the @GamecockFB on today’s historic win! #SCStrong  https://t.co/clqT8dk8eo,2020-10-17 20:11:02,Twitter for iPhone,0,16
Go Cocks🤙🏾❗️#SpursUp https://t.co/mCqFjEj40l,2020-10-17 16:55:25,Twitter for iPhone,7,137
“But I will sing of thy power; yea I will sing aloud of thy mercy in the morning: for thou hast been my defence and refuge in the day of my trouble.” Psalms 59:16,2020-10-11 12:30:24,Twitter for iPhone,98,478
“We stand ready to work with folks in both parties to make sure our small businesses continue to be the backbone of our economy.”  Read more of my column with ⁦@joniernst⁩ ⬇️ https://t.co/RzOpLB3H8i,2020-10-05 18:56:24,Twitter for iPhone,7,23
“And God is able to make all grace abound toward you; that ye always having all sufficiency in all things may abound to every good work:” 2 Corinthians 9:8,2020-10-04 14:32:01,Twitter for iPhone,24,258
Praying for the First Family 🙏🏾,2020-10-02 15:01:24,Twitter for iPhone,33,378
