Every year I reflect on how blessed I am to call South Dakota home. I am thankful for the beauty of our state – for our wide-open spaces &amp; soaring hills – and I'm thankful for the kindness graciousness &amp; resilience of South Dakotas. From my family to yours happy Thanksgiving. https://t.co/mNGS1IxqA9,2020-11-26 17:40:49,Twitter Web App,12,199
Thank you to the dedicated doctors nurses &amp; other health care professionals who work tirelessly to keep our rural communities healthy. #RuralHealthDay https://t.co/m4Z4bZQGh0,2020-11-19 16:58:11,Twitter Web App,9,61
We should be sitting down &amp; working on a reasonable targeted fiscally responsible #COVID relief bill. Republicans have been more than willing to do that. But the Democrats continue to insist upon a multi-trillion dollar bill consisting of a bunch of liberal wish list items. https://t.co/OC2EgJTkPc,2020-11-18 20:37:00,Twitter Media Studio,298,803
Wishing my friend and colleague Senator Chuck Grassley — one of the hardest-working members of Congress —  a swift recovery. My family and I are praying for you. https://t.co/hPwTJiEGMC,2020-11-18 03:39:54,Twitter for iPhone,7,145
Republicans aren’t giving up on targeted #COVID relief but so far Democrats have shown no willingness for compromise. I hope that changes. Republicans will continue to invite our Democrat colleagues to work with us to find a middle ground. https://t.co/ZlJB4wQGVo,2020-11-17 19:41:22,Twitter Media Studio,15,81
Yesterday for the second Monday in a row we received tremendous news about the prospects for a COVID vaccine. Moderna announced its COVID vaccine is over 90% effective – raising the possibility that not one but two COVID vaccines may be available in the very near future.,2020-11-17 19:14:21,Twitter Web App,9,85
Visited Encompass Health in Sioux Falls today to tour their new facility &amp; meet with their knowledgeable staff. The new post-acute hospital can provide care for patients that require intensive skilled rehab services while freeing up needed beds at other hospitals in the region. https://t.co/ShDuyCw6gI,2020-11-13 22:44:31,Twitter Web App,4,39
These are the real consequences of the “defund the police” movement.   Liberal-led cities that jumped on the bandwagon &amp; threw their police departments under the bus will be less safe as a result. A step in the wrong direction. https://t.co/IthmwXdVmB,2020-11-12 22:53:08,Twitter Web App,20,81
There’s not a day that goes by that I don't think about my dad and his service to the nation in WWII. That is especially true this year – my first Veterans Day without him. He instilled in me &amp; my siblings a deep pride for our nation’s veterans. We owe them so much. #VeteransDay https://t.co/5WS7qBTobx,2020-11-11 14:27:15,Twitter for iPhone,43,487
Even Dems themselves are acknowledging the election was a rejection of the radical left agenda. They shrunk their House majority lost races they were predicted to win &amp; didn’t grasp the Senate majority on election night. I genuinely hope Dems reflect &amp; start working with us. https://t.co/5rSz5bnXbL,2020-11-10 21:17:50,Twitter Media Studio,359,1595
I am honored that my Republican colleagues have once again elected me to serve as the whip. Serving South Dakotans is my top priority and this role helps me continue to advance South Dakota’s priorities and be a strong voice for rural America in Washington.,2020-11-10 16:59:19,Twitter for iPhone,165,1382
