Veterans Day is our opportunity to honor the men and women who have served and thank them for their sacrifice which allows us to enjoy life in the greatest country in the world: the United States of America. https://t.co/kUoVtG2LMQ,2020-11-11 14:57:36,Twitter Web App,0,3
Thank you... https://t.co/91RdaYDKsW,2020-11-04 05:39:23,Twitter Web App,4,31
Today is a great day for the rule of law and our Founders’ vision when carefully crafting the Constitution.  Amy Coney Barrett is one of the most qualified nominees to be confirmed to the Supreme Court. https://t.co/FMnY2lIE0m,2020-10-27 02:34:40,Twitter Web App,4,16
Today we celebrate the culture and traditions of Native Americans. In 1989 the South Dakota legislature unanimously passed legislation proposed by Governor Mickelson to change Columbus Day to Native American Day. https://t.co/AYqMzsJbeP,2020-10-12 13:11:12,Twitter for iPhone,1,7
Rounds for Senate signs are going up across the state.  If you would like a highway or yard sign DM or email us at Signs@roundsforsenate.com #teamrounds https://t.co/hdlIlnP4Kz,2020-09-23 13:47:31,Twitter for iPhone,4,6
We will never forget. https://t.co/2T17VFrN5S,2020-09-11 13:51:18,Twitter for iPhone,0,7
Excellent speech @RealDonaldTrump! The choice for President this election could not be more clear! #MAGA,2020-08-28 03:37:12,Twitter for iPhone,8,15
Kamala’s support for radical far-left ideas simply doesn’t align with the majority of South Dakotans today.  America needs four more years of conservative leadership from @POTUS @realDonaldTrump,2020-08-12 02:21:17,Twitter for iPhone,9,13
Joe Biden picked a running mate out of touch with hard-working South Dakotans.  Kamala wants to: ❌Raise taxes to fund Green New Deal ❌Eliminate private health insurance ❌Decriminalize illegal border crossing ❌Use taxpayer money to fund abortions ❌Dismantle the 2nd amendment,2020-08-12 02:21:16,Twitter for iPhone,10,16
Thank you to everyone who volunteered at parades across the state today.  We had a great time! #TeamRounds https://t.co/LEvOOj0imF,2020-07-04 22:11:48,Twitter for iPhone,5,20
Happy Independence Day! https://t.co/1TgIMv5Sxm,2020-07-04 18:56:11,Twitter for iPhone,5,24
The Senate Armed Services Committee has approved the National Defense Authorization Act to fund the military for another year.  The Act includes funding for the B-21 Raider Bombers to be housed at Ellsworth Airforce Base.  #ResultsMatter   https://t.co/xnmYXb2yNT,2020-06-18 17:08:44,Twitter Web App,3,3
Thank you for the endorsement @RealDonaldTrump We won big yesterday now on to November!  #MAGA https://t.co/UlX6udb2FD,2020-06-03 21:41:07,Twitter for iPhone,7,9
https://t.co/NMyWITT7nu,2020-06-03 03:48:36,Twitter for iPhone,12,57
We are having a great time in Rapid City today! #TeamRounds #FinishStrong https://t.co/qJT9Yrgnfv,2020-06-02 19:45:58,Twitter for iPhone,10,17
A message from Mike... https://t.co/Z48mwd0hkT,2020-06-02 19:44:46,Twitter for iPhone,7,16
Thank you for the endorsement @realDonaldTrump https://t.co/fcoBvM9tCL,2020-06-02 13:32:57,Twitter for iPhone,28,71
The polls are open please don’t forget to vote today! If you don’t know where to vote visit this link to find out- https://t.co/WWHiW45HgL https://t.co/xZoTC1RU0m,2020-06-02 13:17:51,Twitter for iPhone,15,23
I am proud to have received the following awards and ratings...  ☑️American Conservative Union Foundation: Award for Conservative Achievement ☑️Family Research Council: True Blue Award – 100% Pro Life/Pro Family voting record ☑️Susan B. Anthony List: A rating  (2/2),2020-06-01 16:33:00,Twitter Web App,9,11
