This is great news! Looking forward to the day when a COVID-19 vaccine is available for every American. https://t.co/SHP5uwEXgW,2020-11-16 19:11:59,Twitter Web App,3,10,covid; 
It's #nationalforestproductsweek! When COVID-19 hit and there was a run on toilet paper and paper towels everyone saw how important these products are to our daily lives.  Thank you to the men and women who work to keep forest products on our shelves. We appreciate all you do. https://t.co/ocpyHZwXXt,2020-10-19 18:53:31,Twitter Web App,4,7,covid; 
It's been a busy week in D.C. and I'm looking forward to getting back to AR and seeing some of you on my annual agriculture tour. Before I left town though I wanted to take a minute to update you on what's been happening here with COVID-19 relief and other legislative issues. https://t.co/dpb4rdCq6n,2020-10-02 16:47:49,Twitter Media Studio,1,4,covid; 
My prayers are with President Trump and the First Lady and I wish them a swift recovery. This is a sobering reminder of just how many Americans have been impacted by the virus and I know the nation stands behind them and supports them.  We will defeat COVID-19.,2020-10-02 14:04:37,Twitter Web App,1,16,covid; 
It's #SmallBusinessWeek the perfect time to shop local. COVID-19 has hit small businesses hard and many are struggling to stay open.  Show your support for local businesses by following them on social media telling others about your favorite stores and shopping small! https://t.co/MCb3qDmIX7,2020-09-24 20:06:25,Twitter Web App,6,9,covid; 
It's #TruckDriverAppreciationWeek and I want to thank all the men and women who kept America going during COVID-19. Without truck drivers constantly on the road delivering products across the country our grocery store shelves would've been empty. Thank you for all you do! https://t.co/9PYWZNtehZ,2020-09-14 20:59:44,Twitter Web App,2,5,covid; 
Last week I wrapped up my Everyday Heroes visits thanking the many men and women who kept us going during COVID-19.   I appreciate everyone who took time to meet with me over the past month - I know I speak for all Arkansans when I say "thank you" for your hard work! https://t.co/FQhPFgcCA3,2020-09-09 14:57:53,Twitter Media Studio,5,18,covid; 
The latest #JobsReport marks the fourth straight month of declining unemployment signaling a steady economic recovery from COVID-19.   We're not back to normal yet but getting Americans back to work safely is a huge step in the right direction.  https://t.co/cjAoAgTRIB,2020-09-04 13:15:14,Twitter Web App,1,2,covid; 
I've gotten to continue my Everyday Heroes visits thanking those who kept us going during COVID-19.   CV's Family Foods I-40 travel centers and Coleman Family Pharmacy are just a few of the businesses that keep serving their communities. I'm glad to say "thank you" in person! https://t.co/IWpHWkXXQT,2020-09-01 19:00:32,Twitter Web App,2,8,covid; 
To get our economy back up to speed cheap widespread COVID-19 testing is absolutely necessary. I recently sent a letter to @SteveFDA urging him to revise guidance for antigen tests. We already have this technology so why isn't it more available?  More: https://t.co/IHqjgvQ758,2020-08-31 13:18:00,Twitter Web App,2,2,covid; 
