While COVID prevents my family from serving this year I am grateful as always for @stanthonysf’s efforts to serve more than 3000 Thanksgiving meals to members of our San Francisco community. Honored to support St. Anthony’s for feeding the hungry every day. #hopeserveddaily,2020-11-24 23:56:26,Twitter Web App,932,10154,covid; 
Communities nationwide are being devastated by the dual public health &amp; economic crises brought about by COVID-19. For the sake of the country it is time for Leader McConnell to come to the negotiating table &amp; work with Democrats to deliver relief for suffering Americans. https://t.co/EWKKFPuaov,2020-11-18 00:53:15,Twitter Web App,2617,12861,covid; 
Honored to speak with Canadian PM @JustinTrudeau today about COVID response efforts trade &amp; economic development the climate crisis &amp; our shared commitment to NATO. Always pleased to hear his firm commitment to working together to bolster our strong U.S.-Canada relationship. https://t.co/8LwnlHvF7y,2020-11-11 21:51:01,Twitter Web App,2382,26309,covid; 
The Trump Administration’s pitiful response to the coronavirus crisis is the latest reminder that they have no respect for people in need. Democrats are committed to fighting to put #FamiliesFirst. @mitchellreports https://t.co/K5rWWknsxz,2020-10-31 00:21:05,Sprout Social,1422,7744,corona; 
As our nation fights this coronavirus we must insist on facts &amp; truth — and the truth is that the Trump Administration has failed miserably in responding to this virus. https://t.co/f7ZEPMDVSy,2020-10-30 21:36:01,Twitter Web App,2213,11143,corona; 
This morning as our nation approaches nine million COVID-19 cases and a quarter of a million lives lost I sent a letter to @stevenmnuchin1 seeking the Trump Admin’s responses on several outstanding items in COVID relief negotiations. Read my letter here: https://t.co/3qCoh3HDSW https://t.co/IlDhRUD8lF,2020-10-29 14:16:06,Twitter Web App,2197,8906,covid; 
Reliable high-speed internet isn’t a luxury — it is a necessity as communities confront the COVID-19 pandemic. The FCC’s repeal of #NetNeutrality is a blow against small businesses and students nationwide. We will not give up the fight to restore the free &amp; open internet.,2020-10-27 17:44:55,Twitter Web App,5155,25784,covid; 
Helping the most vulnerable members of our communities isn’t only the compassionate thing to do — it is the best way to protect the economy as the fight to defeat the coronavirus moves forward. #TheReidOut https://t.co/FC2sOYH6MC,2020-10-20 15:31:56,Sprout Social,2439,10240,corona; 
Communities of color &amp; working families across this country have been subjected to the very worst of the coronavirus crisis. Republicans must work with us to protect lives &amp; livelihoods nationwide. https://t.co/UKTuzj1NGB,2020-10-17 02:39:06,Sprout Social,870,3402,corona; 
President Trump has shown his true colors: walking away from coronavirus relief negotiations and refusing to give real help to poor children the unemployed and America’s hard working families. https://t.co/gic4yuVsTB,2020-10-06 20:31:25,Sprout Social,23596,86918,corona; 
We must crush this coronavirus — and protect the Affordable Care Act to ensure Americans have access to the health care they need now more than ever. #FamiliesFirst @FaceTheNation https://t.co/MZxYhJC2v4,2020-10-04 22:44:07,Sprout Social,3060,13657,corona; 
We continue to pray for the families who have lost loved ones &amp; those whose ongoing health has been jeopardized by the coronavirus. https://t.co/DcTRL0cyuU,2020-09-22 18:56:13,Twitter Web App,591,2156,corona; 
More than 200000 men women and children have lost their lives to this coronavirus in the United States.  Our hearts break for them and their loved ones.  The pain is made worse by the simple fact that it didn’t have to be this way.,2020-09-22 18:56:12,Twitter Web App,5732,21941,corona; 
Nearly 200000 Americans have died. Almost seven million Americans have been infected. The sudden removal of CDC guidelines on airborne coronavirus spread is the latest sign of the Trump Admin’s broken response to this crisis which continues to cost American lives.,2020-09-21 21:52:05,Twitter Web App,11977,39355,corona; 
As America approaches 200000 lives lost to the coronavirus it is clearer than ever that we must enact the #HeroesAct. Thanks to leaders like @RepDMP we will ensure America has a science-based strategy for defeating this pandemic. https://t.co/2SHRN6ncOu,2020-09-19 13:33:39,Sprout Social,1286,4576,corona; 
As America approaches 200000 lives lost to the coronavirus it is clearer than ever that we desperately need the $75 billion for testing and tracing in the #HeroesAct. https://t.co/FZMgobkfqS,2020-09-17 14:49:46,Twitter Media Studio,2184,6747,corona; 
Americans’ lives &amp; livelihoods depend on Republicans abandoning their obsession with doing as little as possible while the coronavirus rages through our nation.  Read my full statement with @SenSchumer: https://t.co/gqzvU4FHOL,2020-09-16 18:23:21,Twitter Web App,757,2541,corona; 
Following the end of today’s meeting the G7 Speakers &amp; Heads of Parliament released a joint declaration focusing on the need for strong international action to combat the disparities in health &amp; financial security that have been highlighted by the climate crisis &amp; #COVID19. https://t.co/cGM8JIWrYY,2020-09-12 23:50:40,Twitter Web App,687,2358,covid; 
As a global community we must ensure that we not only end COVID-19 but that all communities equitably benefit from equitable recovery. Thank you to Secretary @Madeleine Albright @rajshah and Dr. Jim Yong Kim for joining us for an engaging conversation! https://t.co/3ittjz0qrx,2020-09-12 19:16:13,Twitter Web App,248,1118,covid; 
As the COVID-19 pandemic continues to impact communities around the world we have a responsibility to ensure our recovery from this crisis is sustainable and equitable. #G7Parliament #TogetherOnClimate https://t.co/YJEfY3KJjz,2020-09-12 14:16:26,Twitter Media Studio,467,1513,covid; 
A smart strategic approach to #COVID19 and the #ClimateCrisis provides the opportunity to get people back to work &amp; school safely and recover from today’s economic crisis while laying a foundation for a resilient equitable economy that lifts all communities. #G7Parliament https://t.co/976nYyvhvg,2020-09-12 13:36:40,Twitter Web App,354,1265,covid; 
It is my privilege to host this year’s #G7Parliament meeting on behalf of the United States as my colleagues and I come together to discuss confronting #coronavirus standing #TogetherOnClimate and securing economic &amp; environmental justice. https://t.co/YJEfY3KJjz,2020-09-12 11:01:44,Twitter Media Studio,1244,4784,corona; 
Tomorrow my #G7Parliament colleagues and I will come together to discuss how the world can work together to confront the #ClimateCrisis &amp; #COVID19.  Tune in here at 7 am ET: https://t.co/2fi357l3G3 https://t.co/pwAjb8Ssgl,2020-09-12 01:11:38,Twitter Web App,450,1989,covid; 
Took time today to meet with @HoCSpeaker Rota &amp; reflect on the lives of so many North Americans lost on 9/11. Appreciated the opportunity to discuss security wildfires climate trade COVID &amp; other issues. I look forward to continuing our discussions. #G7Parliament https://t.co/qmZoRRB4E0,2020-09-12 00:34:36,Twitter Web App,328,1680,covid; 
Pleased to meet with Japan Speaker Oshima to discuss climate succession the importance of continued strong US-Japan relations COVID response and recovery and economic &amp; regional security matters. Looking forward to a productive #G7Parliament Meeting this Saturday. https://t.co/7JdIP1FKA9,2020-09-10 14:20:45,Sprout Social,443,2222,covid; 
The President’s own words spell out the devastating truth: Trump was fully aware of the catastrophic nature of the coronavirus but hid the facts and refused to take the threat seriously leaving our entire country exposed and unprepared. #TrumpKnew https://t.co/WSq1jbL188 https://t.co/YjYiRaC8Qy,2020-09-09 22:59:55,Twitter Media Studio,6921,17352,corona; 
Leader McConnell is finally realizing the damage caused by his one-sided “pause” to America’s coronavirus response. Yet a quick glance at his emaciated bill reveals it is designed to allow vulnerable GOP Senators to “check the box" while failing to put #FamiliesFirst.,2020-09-08 17:14:28,Twitter Web App,10802,36431,corona; 
Leader McConnell may have declared a “pause” to America’s coronavirus response but it is clear the virus never did the same. It has been 114 days since the #HeroesAct passed the House. Enough waiting. America’s families need action now. #AMJoy https://t.co/nNXRWWpKFz,2020-09-06 17:39:21,Twitter Media Studio,4619,13562,corona; 
