With COVID-19 cases surging it’s important that we all take measures to stay healthy and keep our communities safe this Thanksgiving. The CDC has issued guidance on celebrating the holidays safely this year read more: https://t.co/VUXvswLmzO https://t.co/WH51vcIpP5,2020-11-25 17:05:42,Twitter Web App,4,12,covid; 
COVID-19 continues to threaten the vulnerable Americans living in our nation’s nursing homes including those enduring ongoing outbreaks in long-term care facilities in Santa Cruz and Watsonville. https://t.co/HCtU0HpUEP,2020-11-18 18:02:53,Twitter Web App,2,8,covid; 
The California Department of Public Health has released guidance for safer Halloween and Día de los Muertos celebrations during COVID-19. Keep your family healthy and safe this Fall learn more: https://t.co/0uCvmRMKIx,2020-10-30 22:07:33,Twitter Web App,4,7,covid; 
I wish the President &amp; First Lady a safe &amp; speedy recovery. This is an important reminder that COVID-19 is highly contagious dangerous &amp; can affect anyone. Please continue to follow health safety guidelines &amp; wear a mask practice physical distancing &amp; wash hands frequently.,2020-10-03 02:45:00,TweetDeck,7,59,covid; 
Proud to join my colleagues to introduce legislation to strengthen federal government disaster assistance to ease the financial burden on state and local governments as they respond to natural crises exacerbated by the COVID-19 pandemic. Learn more: https://t.co/cOdxEYL6ls.,2020-09-24 01:00:28,Twitter Web App,3,3,covid; 
This year getting your flu shot is more important than ever to help conserve health care resources during the ongoing COVID-19 pandemic.  To learn more and find where you can get vaccinated visit https://t.co/RA1nzz8tXr.,2020-09-19 17:42:00,Twitter Web App,2,1,covid; 
Today @USDA announced its second round of Coronavirus Food Assistance Program funding would expand eligibility to all grape producers. Earlier this month my colleagues &amp; I called on the USDA to make this critical expansion. Read our letter: https://t.co/s2q1uXxOYC,2020-09-18 23:31:30,Twitter Web App,2,1,corona; 
Additional funding has been announced by @USDA for the Coronavirus Food Assistance Program (CFAP).    Starting Monday Sept. 21 to Dec. 11 USDA will accept applications for CFAP from agricultural producers who have been impacted by COVID-19. Learn more at https://t.co/fCNN4WICBl https://t.co/JM0OIiwfrU,2020-09-18 21:16:40,Twitter Web App,1,1,covid; corona; 
Today I joined @RiceNews to discuss the impact of COVID-19 and international trade on our rice industry. I'll continue to advocate for our farmers and farmworkers. Learn more about how CRC is keeping employees safe &amp; our food supply chain on track here:  https://t.co/fx3MpcEjMb,2020-09-16 22:48:21,Twitter Web App,3,4,covid; 
Productive discussion with the Monterey and Santa Cruz Medical Societies on their challenges during the pandemic.  I’ll continue my work to ensure future COVID relief packages give our health care providers the tools they need to keep the Central Coast healthy and safe. https://t.co/YrXhTykioc,2020-09-12 01:04:00,TweetDeck,2,9,covid; 
Joined my @WaysMeansCmte colleagues for a hearing on the importance of additional COVID-19 relief and heard @tomcolicchio's perspective on how hunger is affecting our communities.  I discussed the need for the Senate to pass the Heroes Act to provide immediate relief. https://t.co/WsQVpx2Emr,2020-09-12 00:15:00,TweetDeck,10,11,covid; 
Great to be w/ @RodneyDavis &amp; former @USDA Sec. @DanRGlickman to discuss challenges facing our agricultural communities. I’ll continue my work on @HouseAgDems to ensure Central Coast farmers &amp; farmworkers have the support they need to get to the other side of COVID-19. https://t.co/wsLiiJFkPE,2020-09-10 19:08:22,Twitter Web App,2,7,covid; 
