The United States has hit another record high number of daily COVID-19 cases. It is more important than ever to ensure you are keeping yourself and others safe. Take the necessary precautions: wear a mask practice social distancing and wash your hands. https://t.co/ukxpAzXuUu,2020-11-20 19:00:00,TweetDeck,2,4,covid; 
This is welcome news in the fight against the #coronavirus but we cannot let our guard down.  Please remember to wear a mask practice social distancing and wash your hands. https://t.co/ZGiyGKALGM,2020-11-09 16:50:55,Twitter Web App,2,10,corona; 
My office continuously updates our website with resources and information regarding the #coronavirus. If you need any assistance please don’t hesitate to reach out. https://t.co/LNLDPrhiAk,2020-11-08 21:19:03,Twitter for iPhone,4,19,corona; 
#CA39 residents who might need a coronavirus test can find their nearest testing site below.  LA County: https://t.co/QiajEaTHp1 Orange County: https://t.co/inZNetbKwt San Bernardino County: https://t.co/beGGWe0Idh,2020-11-06 16:45:44,Twitter Web App,5,19,corona; 
Yesterday the U.S. reported the most #COVID_19 cases in a single day since the start of this pandemic. Remember to wear a mask practice social distancing and wash your hands. This pandemic is not over please keep yourself and those around you safe. https://t.co/TY8dOQO6M7,2020-11-05 16:35:23,Twitter Web App,2,21,covid; 
Since April I've been advocating for relief for our state and local governments. The updated #HeroesAct provides the funding and support our states and cities need to fight the coronavirus and distribute the vaccine.  https://t.co/DXGzpVWOXh,2020-10-31 23:00:01,TweetDeck,1,1,corona; 
Applications for the Orange County COVID-19 Child Care Relief Grants are now open. Child care providers in need of assistance can find more information and apply at https://t.co/zdwhTZ8o0h. The application period closes November 13th.,2020-10-31 20:00:00,TweetDeck,1,3,covid; 
#Covid19 has made it clearer than ever that everyone needs high-speed broadband. Instead of abandoning families and students struggling to get Internet access Congress should restore #NetNeutrality and ensure everyone has access to reliable affordable broadband. https://t.co/Qv5vLslrOv,2020-10-27 15:15:00,TweetDeck,4,6,covid; 
Families are struggling to put food on the table small businesses need help and we're reaching daily records of COVID-19 infections. Instead of passing COVID relief the Senate rushed a SCOTUS Justice 8 days before the election. That should tell you where their priorities lie. https://t.co/A6pZXgolyD,2020-10-27 04:05:17,Twitter for iPhone,24,49,covid; 
On Friday the U.S. hit its highest one-day number of #COVID19 infections. This pandemic is not over. Please remember to wear a mask practice social distancing and wash your hands. https://t.co/eVmaTIPeYq,2020-10-25 15:35:56,Twitter for iPhone,10,17,covid; 
There is a rise in coronavirus cases throughout the country. Now more than ever we need to enact a national strategy for testing and contact tracing to get this virus under control and keep our communities safe. https://t.co/s6qPXpGs3s,2020-10-21 15:04:42,Twitter Web App,4,6,corona; 
The #COVID_19 crisis has created a range of new opportunities for fraud scams and fake cures. Below you can find resources on how to spot COVID-19 scams and who to contact if you or someone you know may have been affected. https://t.co/wM1G9WuByc,2020-10-17 15:06:47,Twitter Web App,5,9,covid; 
Coronavirus cases in the US are rising again. The updated #HeroesAct includes funding to improve and expand our testing tracing and treatment efforts. We need a national strategy to get control of this pandemic. https://t.co/dIkIcRdf3D,2020-10-16 23:45:47,Twitter Web App,6,10,corona; 
The city of #BuenaPark is holding walk up #COVID_19 testing at city hall today until 7pm PST.  See below to locate your nearest testing site. Orange County: https://t.co/B7pJ6BuPep LA County: https://t.co/QiajEaTHp1 San Bernardino County: https://t.co/beGGWe0Idh,2020-10-14 20:00:41,Twitter for iPhone,1,4,covid; 
This Tuesday I am hosting a #CisnerosInYourDistrict virtual town hall to provide coronavirus updates and answer your questions. Join me at 6pm PST for our 30th #CA39 town hall! RSVP here: https://t.co/qSKakjoVT1 https://t.co/t4OLSfhVac,2020-10-11 22:00:00,TweetDeck,3,1,corona; 
"The US on Thursday reported more than 56000 new confirmed cases of COVID-19 making it the country’s highest daily increase since mid-August."  We must remain vigilant by continuing to wear a mask practicing social distancing and washing your hands.  https://t.co/PvYNEVTGqJ,2020-10-10 15:45:36,Twitter Web App,4,9,covid; 
THREAD: Instead of focusing on passing coronavirus relief Sen. Mitch McConnell is pulling out all the stops to pass a SCOTUS Justice. We’re already in the middle of an election and the Senate should wait to vote on a new Justice until after Inauguration Day. https://t.co/IyhkFVz8Q4,2020-10-09 21:01:47,Twitter Web App,5,32,corona; 
The Strategic National Stockpile needs major improvements to ensure frontline workers cities and states have the necessary supplies to fight #COVID_19 and future crises. The Senate must pass the updated #HeroesAct to replenish and strengthen the SNS and keep our country safe.,2020-10-08 23:00:00,TweetDeck,3,13,covid; 
Next week I am hosting my 30th #CA39 town hall! Join me on Oct. 13 at 6pm PST for #CisnerosInYourDistrict where I'll discuss coronavirus updates and answer your questions. Space is limited RSVP is required: https://t.co/qSKakjoVT1 https://t.co/ceemY0L0Cj,2020-10-07 19:00:00,TweetDeck,5,2,corona; 
#COVID_19 has worsened the affordable housing crisis in CA &amp; across the country. I joined @RepKenMarchant &amp; @RepKClark in introducing a bipartisan bill to expand &amp; improve access to affordable housing while creating jobs &amp; promoting economic activity. https://t.co/LMyydQtOLo,2020-10-07 01:25:04,Twitter for iPhone,1,4,covid; 
#COVID_19 has disproportionately affected communities of color in #CA39 and throughout the country. California's new measures are an important step in addressing these health disparities. https://t.co/O4LA7QxIbP,2020-10-05 22:45:00,TweetDeck,5,7,covid; 
The 5th round of the LA Regional COVID Recovery Fund Grant program has started accepting applications. Small businesses and non profits in #LACounty can apply below. For more info visit https://t.co/4Np2AmL11m,2020-10-05 15:40:52,Twitter Web App,4,3,covid; 
I've been advocating for greater federal support for contact tracing and testing nationwide. The updated #HeroesAct provides $75 billion to establish a #COVID_19 National Testing and Contact Tracing Initiative. We must ensure everyone has access to free testing and treatment.,2020-10-03 15:00:06,Twitter Web App,14,26,covid; 
Praying for a safe and speedy recovery for the President and First Lady.   It's a reminder that we all have a part to play to slow the spread of the coronavirus. Follow CDC guidelines wear a mask wash your hands and continue to practice social distancing.,2020-10-02 15:00:01,TweetDeck,4,24,corona; 
The shortage of PPE was unacceptable &amp; hindered our frontline workers' ability to keep themselves safe.  The bipartisan Strengthening America's Strategic National Stockpile Act ensures that doesn't happen again by providing the resources needed to fight COVID-19 &amp; future crises. https://t.co/GVEKdT9Iez,2020-09-28 19:02:26,Twitter Web App,11,14,covid; 
Latinos are disproportionately impacted by COVID-19—both by the virus itself and its economic consequences. This Hispanic Heritage Month we can’t hide from that reality. It’s not enough to celebrate Latino culture if we are not working to protect Latino lives. #HHM,2020-09-25 19:00:00,TweetDeck,11,26,covid; 
