But these contractors tried to fight back. They claimed @HHSGov should delay making changes until after the pandemic. This made no sense to @RepKarenBass and me especially given the risks COVID poses to many patients in organ failure. (3/5)  https://t.co/EhhycrJCXc,2020-11-23 19:00:51,Twitter Web App,184,1372,covid; 
The federal government has awarded billions of taxpayer dollars to companies working to tackle COVID-19. Many of these taxpayer-funded contracts have details that have been kept secret so @SenWarren and I are calling on the Administration to release them. https://t.co/n4ed4h8Z5O,2020-11-19 19:00:31,Twitter Web App,1538,6251,covid; 
As COVID cases surge in Orange County and across our state I’m thinking about the frontline healthcare workers who are fighting this pandemic. Our office has been collecting thank you notes for essential workers in our hospitals. Learn more and submit ⬇️ https://t.co/pb8wUwUUvc,2020-11-18 22:45:19,Twitter Web App,313,2169,covid; 
Yet the Fed used COVID relief funding to purchase $1.3 billion of Exchange-Traded Funds (ETFs). ETFs are baskets of stocks similar to mutual funds and they contain billions of Wall Street's debt. (3/5)  https://t.co/q2vORsOE8A,2020-11-13 17:59:51,Twitter Web App,1790,7769,covid; 
The Fed explicitly stated that COVID relief funds would not help “insured depository institutions”—aka banks. That makes sense since many of those banks have had record profits during the coronavirus pandemic. And we just bailed them out in 2008-2009. (2/5) https://t.co/VoUiR2wNsS,2020-11-13 17:59:51,Twitter Web App,1408,7757,covid; corona; 
In March Congress gave billions in COVID relief to the @federalreserve to help struggling businesses. The Fed pledged these taxpayer dollars would *not* bail out Wall Street banks. They went back on their word—to the tune of 2 billion dollars. So I'm calling them out. (THREAD),2020-11-13 17:59:51,Twitter Web App,16143,55482,covid; 
No American regardless of their political views is helped by having a disruptive transition of power. We are in the middle of a pandemic and a recession— we need stable leadership and an orderly transition to fight COVID-19 and get our economy back on a path to recovery.,2020-11-10 18:56:27,Twitter Web App,9822,57306,covid; 
It’s imperative that the officials running the COVID vaccine development program are working in the public’s interest not their own. Yet the Administration’s top scientist won’t divest the millions he has in pharma companies.   @SenWarren and I are demanding an investigation ⬇️ https://t.co/TTrHIjE3YH,2020-10-31 01:43:53,Twitter Web App,1254,5260,covid; 
My heart aches for the family of Gale Ballard who passed away last Friday after COVID-like symptoms. She worked for @ATT for two decades but was denied the same work-from-home options as many of her colleagues.  https://t.co/SmguwXNMtd,2020-10-29 18:50:08,Twitter Web App,171,939,covid; 
Since March 150 Orange County workers have been urging @ATT to let them work from home. The company has yet to oblige—or even create a regular on-site testing program—despite a COVID-19 outbreak that’s led to 35 cases and one death.  I’m demanding answers from the CEO directly. https://t.co/ZaDT0L58gR,2020-10-29 18:50:08,Twitter Web App,446,2578,covid; 
The COVID-19 crisis is threatening both our physical and mental health. It’s more important than ever that we improve mental health care in our country and I have two bipartisan bills to do just that. https://t.co/CLCxUzPPGc,2020-10-24 20:20:21,Twitter Web App,921,5071,covid; 
Well it should be. If @BetsyDeVosED isn’t working to keep students and teachers safe during the COVID-19 crisis what is she spending her time doing? https://t.co/nSUrpJBj00,2020-10-21 18:04:10,Twitter Web App,3736,15583,covid; 
Telehealth visits are essential for many Americans especially our seniors to stay safe from COVID-19. By ending fee waivers @UnitedHealthGrp and @AnthemInc are putting our communities at risk to boost profits. (1/2)  https://t.co/YSj0iCfWCD,2020-10-16 17:07:33,Twitter Web App,278,875,covid; 
The COVID-19 crisis has placed an incredible burden on working families leading to an increase in food insecurity in our communities. On Wednesday I volunteered to help prepare food boxes for Orange County families and I'll keep fighting in Congress for stronger relief. https://t.co/jJ5oylswht,2020-10-09 21:49:42,Twitter Web App,1613,12209,covid; 
Economic recovery hinges on two things: getting the virus under control and working families being back on their feet. With over half of COVID relief money going without oversight to businesses it’s clear these weren’t priorities of the Administration.  https://t.co/W0XFz9AULY,2020-10-07 21:55:34,Twitter Web App,567,1531,covid; 
TODAY: I’m hosting a town hall conversation with @unitedwayoc’s @BecksHeyhoeOCUW on tackling Orange County’s homelessness and housing affordability crisis which has been made worse by the COVID-19 pandemic. Join us at 7 PM PT by visiting my Facebook page /RepKatiePorter. https://t.co/CrcSNj8egi,2020-10-06 15:57:27,Twitter Web App,142,728,covid; 
That's why I introduced legislation—the Support Working Families Act—to make it easier for parents to get relief if their kids can't go to school or childcare because of COVID-19.  More info 👇  https://t.co/H1yvAou2a2,2020-10-03 23:07:46,Twitter Web App,389,2107,covid; 
In July @SenKamalaHarris and I wrote to the Administration demanding comprehensive guidance for schools on how to reopen safely. We never heard back. Meanwhile the White House was focused on pressuring @CDCgov to downplay the risks of COVID-19 to kids.  https://t.co/cebvXkxP8r,2020-09-29 20:54:09,Twitter Web App,689,1954,covid; 
Today there are 7000000 cases of COVID-19 in the U.S. We don’t know how many of these Americans will be left with permanent damage to their lungs hearts and other organs—aka a pre-existing condition. But we’ve seen that this can happen to those with even mild symptoms. (5/7),2020-09-25 22:46:06,Twitter Web App,3355,18743,covid; 
Frontline workers have made incredible sacrifices to keep our community safe during the COVID-19 crisis. Today our office is launching a new program for Orange County families to thank these heroes directly.  Learn more and submit a thank you note ⬇️  https://t.co/pb8wUwUUvc,2020-09-24 16:31:29,Twitter Web App,114,625,covid; 
We have lost at least 3 teachers to COVID-19 in recent weeks. Yet the Administration still won’t provide school districts with comprehensive guidelines based on science to keep educators kids and parents safe nor the resources needed to implement them. https://t.co/1JxyI0FL26,2020-09-12 20:09:34,Twitter Web App,2376,5601,covid; 
Today on my whiteboard: how the Administration's coronavirus response has failed our kids.  They negotiated billions in corporate relief yet they won't send much-needed help to our students which especially hurts those with disabilities.  Here's the math &gt;&gt; https://t.co/at8p48Uizt,2020-09-10 22:07:32,Twitter Media Studio,2124,5872,corona; 
Cost shouldn’t be a deterrent to seeking medical care especially during a pandemic and knowing who has COVID-19 is one of the best tools we have to stopping its spread.  By failing to implement free testing for all the Administration is making us less safe.,2020-09-04 22:04:04,Twitter Web App,268,1308,covid; 
In March I asked @CDCDirector to use his existing legal authority to make COVID testing free for all. Congress then mandated free testing when we passed the CARES Act *five months* ago.  Yet Americans are still getting billed.  https://t.co/swqGz0FY9h,2020-09-04 22:04:03,Twitter Web App,483,1475,covid; 
In the middle of a pandemic the President is publicly touting a treatment that has never been tested in animals or humans as a cure for COVID-19. My colleagues and I are demanding answers from @US_FDA which is supposed to protect Americans from dangerous medical treatments. https://t.co/L9UfDbt0By,2020-08-26 16:49:31,Twitter Web App,1818,5558,covid; 
My heart breaks for this Orange County family and for every American who has lost loved ones to COVID-19. Our country is failing our kids and we need the Administration to step up and provide our communities with the resources we need to save lives.  https://t.co/PxamxBfHdK,2020-08-20 22:44:42,Twitter Web App,259,1176,covid; 
The Administration put Big Pharma executives at the helm of efforts to develop a COVID vaccine. But they’re not required to let the public know if they’d financially benefit from the vaccine that makes it into mass production. This deserves a full independent investigation. https://t.co/doVSLKAm6f,2020-08-19 19:08:08,Twitter Web App,2394,7264,covid; 
Families shouldn’t have to choose between taking care of their kids and making ends meet especially during a pandemic. That’s why I introduced legislation to provide relief to working parents whose kids can’t go to school because of the COVID-19 crisis.  https://t.co/ryGX2FxPde,2020-08-18 16:51:29,Twitter Web App,395,1972,covid; 
Knowing who has COVID-19 is one of the best tools our community has to stopping its spread. That’s why I pressed @CDCDirector back in March to use the Administration’s authority under the law to make COVID testing free for all.  https://t.co/VC8dl9VjSX,2020-08-12 18:03:33,Twitter Web App,292,1264,covid; 
In March I secured a commitment from @CDCDirector that COVID testing would be free. The president signed this promise into law but Americans are still being billed.  I’ll continue holding the Administration and insurance companies accountable until they follow the law. More ⬇️ https://t.co/rsMa6kbKUG,2020-08-12 18:03:33,Twitter Web App,1863,6288,covid; 
From infection rates to daily case counts there are a LOT of numbers out there that measure the spread of COVID-19. On Monday I’m hosting a town hall with @UCIrvine's @dwodarz to break down what these numbers actually mean for Orange County. Join us on Facebook Live at 2 PM PT! https://t.co/7Mckl6Uriw,2020-08-07 20:15:15,Twitter Web App,108,428,covid; 
.@GileadSciences wants to charge you between $2300 and $3100 for their experimental COVID treatment.  For reference: Production cost per vial: $1 Taxpayer funding for their research: $70500000 (as estimated by @Public_Citizen)  Big Pharma's greed will kill Americans. https://t.co/TKfiR6FOFq,2020-08-05 22:50:39,Twitter Web App,5037,9541,covid; 
The Senate wants to give corporations legal immunity if their workers get COVID-19. Translation: no consequences if a company doesn’t provide protective equipment or enforce physical distancing.   This is a green light for corporate abuse. RT if you agree: #NoCorporateImmunity,2020-08-03 18:09:40,Twitter Web App,29374,36685,covid; 
Remote patient monitoring devices allow patients with mild COVID-19 symptoms to be monitored at home. Yesterday I introduced bipartisan legislation to make it easier for healthcare workers to get their hands on these critical tools. Read more here⬇️  https://t.co/AqADAdcSER,2020-07-31 18:58:24,Twitter Web App,321,1292,covid; 
Existing law grants relief to parents who have to stay home with kids because schools and other childcare facilities are closed due to COVID-19. Today I introduced legislation that would help families burdened by partial closures too. Read more ⬇️  https://t.co/AqADAdcSER,2020-07-30 00:03:48,Twitter Web App,434,1695,covid; 
It’s not just Lockheed. @RaytheonTech and @generaldynamics have also seen their profits skyrocket in recent months. Yet all three companies are requesting taxpayer-funded coronavirus relief. (2/3)  https://t.co/WCu22w8RmR,2020-07-29 21:45:18,Twitter Web App,447,1564,corona; 
TODAY: I’m hosting a town hall to update Orange County families on how I’m fighting to fix our healthcare system and hold healthcare companies accountable during the COVID-19 crisis. Join me today at 5 PM PT by visiting https://t.co/rzIQKQEwuG or dialing 855-962-1016.,2020-07-27 19:24:00,Twitter Web App,119,546,covid; 
