Testing is one of our strongest tools in containing the spread of #COVID19. Symptoms or not knowing your status helps keep others safe. Testing is free and widely available across Connecticut. Find a location here. https://t.co/r4RtRF9lul,2020-11-24 00:00:01,TweetDeck,1,6,covid; 
Thanksgiving will look different for all of us this year. Get tested. Wear a mask. Social distance. Be safe.  https://t.co/dsB8eXPYBk,2020-11-20 18:51:19,Twitter Web App,2,6,social distance; 
THIS WEEK: No cost COVID19 testing in #Hartford Tuesday-Friday. Getting tested is one of the best ways to prevent the spread of #COVID19 and protect others. https://t.co/eT4RTaZQaJ,2020-11-16 19:18:59,Twitter Web App,3,9,covid; 
#ICYMI: Check out my OP-ED with @RepJoeCourtney on what steps we need to take to defeat #COVID19 and unite the country. https://t.co/seD38WQlau,2020-11-13 16:08:26,Twitter for iPhone,5,4,covid; 
TODAY: Join me for a Tele-Town Hall on COVID19 at 4PM. Visit https://t.co/JvFIKZJ4IG to tune in or sign up. https://t.co/adgawtM24W,2020-11-12 16:16:55,Twitter Web App,3,7,covid; 
#ICYMI: I was at @HartfordHealthC yesterday to announce the bill I am introducing with @RepJoeCourtney to nationalize the production and distribution of the necessary personal protective equipment medical supplies testing and vaccines needed to defeat COVID-19. https://t.co/I5CscY0Ebc,2020-11-10 21:38:01,Twitter Media Studio,5,15,covid; 
We are at war with COVID &amp; need to unite as a country to defeat it. I was proud to be with @HartfordHealthC to announce the bill I'm introducing with @RepJoeCourtney to nationalize the production &amp; distribution of supplies to ensure frontline workers have the supplies they need. https://t.co/awWszYY60s,2020-11-09 18:54:22,Twitter Web App,7,17,covid; 
Due to rising #COVID19 infection rates CT will roll back to phase 2.1 of reopening beginning today. Learn more about what this means for you and your business here: https://t.co/uH0GzsMEps,2020-11-06 18:33:59,Twitter Web App,2,6,covid; 
Stay Alert! The IRS is warning of a COVID-19 text scam created by thieves to trick people into sharing their personal banking information. Remember the IRS will never text or call you asking for your banking information. Learn more here. https://t.co/MnaaVmHT7H,2020-11-05 18:45:39,Twitter Web App,3,7,covid; 
Health insurance coverage is always important but is especially needed during the #COVID19 pandemic. Visit https://t.co/NTSnmAMCcd now through Dec. 15th to #GetCovered https://t.co/8HEGrYFqcv,2020-11-05 16:00:01,TweetDeck,1,7,covid; 
ATTENTION: 2 polling locations in #Hartford will also be offering COVID19 testing. Vote and get tested! https://t.co/wD7yW5vceD,2020-11-03 15:40:59,Twitter Web App,2,3,covid; 
Several #CT01 towns have been issued #COVID19 alerts. We can't let our guards down now. Continue to wear a mask practice social distancing avoid crowds and wash your hands. We can do this. https://t.co/yK0q4CZURG,2020-10-30 17:27:58,Twitter Web App,1,4,covid; 
#Covid19 has made it clearer than ever that everyone needs reliable high-speed broadband. Today the Trump FCC doubled down on repealing #NetNeutrality making it harder for Americans to access affordable and reliable broadband. #NetNeutrality needs to be restored NOW! https://t.co/thMeSB0Uwv,2020-10-27 18:27:52,Twitter Web App,1,3,covid; 
ATTENTION: CT has launched a new grant program to help small businesses and nonprofits recover from the impact of #COVID-19. For more information visit the link below. https://t.co/guNBAbqtLE,2020-10-22 18:02:31,Twitter for iPhone,2,5,covid; 
Getting tested helps prevent the spread of #COVID19. Visit the link below to find #COVID19 testing centers near you. https://t.co/vUu28xUMD6,2020-10-19 19:05:07,Twitter Web App,1,1,covid; 
Be aware of scammers and robocalls taking advantage of #COVID19 fears to hack your personal information. Remember to never give out your Social Security number credit card information or any other sensitive personal information. Learn more here: https://t.co/Rwpa5ygd8O,2020-10-16 16:25:44,Twitter for iPhone,4,7,covid; 
#ICYMI: I joined Mike Hydeck on Face The Facts to talk about the urgent need of getting COVID relief to our communities. https://t.co/JigO6oql1k,2020-10-13 22:00:01,TweetDeck,2,5,covid; 
Yesterday Dr. Deborah Birx the White House coronavirus response coordinator visited #Hartford to reminded us all how important it is to stay vigilant by social distancing and wearing masks. We must do our part to keep our families and neighbors safe. https://t.co/K76HEPSBqK,2020-10-09 18:29:00,TweetDeck,2,7,corona; 
REMINDER: It's important to wear a mask *both indoors &amp; outdoors* to prevent the spread of #COVID19. This virus is highly contagious &amp; could affect anyone. Wearing a mask helps protect yourself &amp; others. #MaskUpCT 😷 https://t.co/E3nE2CaKEK,2020-10-07 19:30:06,Twitter for iPhone,2,5,covid; 
ATTENTION: Tomorrow begins Connecticut’s phase 3 of reopening. Visit the link to find helpful guidance on how this affects you &amp; your businesses. COVID is still present in our communities please continue to wear masks social distance &amp; wash your hands! https://t.co/ZevmX0USnq,2020-10-07 16:10:55,Twitter Web App,1,3,covid; social distance; 
There are still 10 million fewer people employed than before #COVID19. People who are unemployed still need help. The House has now passed TWO relief packages that sit awaiting action in the Senate.  https://t.co/jULpX8NhXV,2020-10-02 14:18:55,Twitter Web App,6,10,covid; 
Social Security and SSI beneficiaries shouldn't be forced to repay payments they received in error from Social Security due to the COVID-19 pandemic. I'm proud that my bill with @RepDannyDavis was included in the #HeroesAct to make sure beneficiaries are protected.,2020-09-30 20:49:17,Twitter Web App,20,52,covid; 
.@HouseDemocrats are taking action to address #COVID with the updated #HeroesAct. This bill provides needed relief for families small businesses and the unemployed and critical support for our frontline workers. It's time for the Senate GOP to work with us and pass a bill.,2020-09-30 20:23:06,Twitter Web App,1,6,covid; 
Earlier this month #Hartford Public Schools were forced to delay the first day of school due to a ransomware attack. We need to do more to protect students learning virtually. I urge leadership to include funding to protect students in the next #COVID relief bill. https://t.co/OJAF79htLi,2020-09-25 17:54:37,Twitter Web App,3,5,covid; 
Tune into today's hearing on how we can help restaurants during the COVID pandemic: https://t.co/hJ1Yft23ic,2020-09-25 13:43:11,Twitter Web App,4,9,covid; 
With over 200000 lives lost to #COVID19 in America it is imperative that we have access to accurate science-based information from the @CDCgov. Their mistake this past week is unacceptable and cannot happen again. https://t.co/0EQQ6os5n0,2020-09-22 19:22:07,Twitter Web App,1,2,covid; 
We’ve now lost over 200000 precious lives to #COVID19 in America. As we mourn the lives lost to this virus we need action to prevent further devastation. @HouseDemocrats passed the #HeroesAct in May to keep Americans safe. The @SenateGOP must act NOW! https://t.co/SrNb2QNPGG,2020-09-21 18:50:48,Twitter Web App,3,3,covid; 
Face masks are our best defense against COVID-19. https://t.co/f67pnKNmmh,2020-09-16 18:02:38,Twitter Web App,3,7,covid; 
