American workers and #SmallBiz deserve better than the Democrats' political games.   By refusing to say yes to critical #COVID19 relief Speaker Pelosi is prioritizing a radical wish list over the needs of American families.  #FL15   It’s time to reopen #PPP funding! https://t.co/vDN6vKjxy8,2020-11-25 15:25:20,Twitter for iPhone,58,186,covid; 
House Republicans are committed to defeating the #coronavirus and rebuilding the greatest economy our country has ever seen! #FL15   https://t.co/kzrTqYnGsI https://t.co/mpgQ4Zyig1,2020-11-02 18:53:04,Twitter for iPhone,132,492,corona; 
House Republicans introduce targeted legislation to address the ongoing #coronavirus pandemic and bolster future outbreak preparedness. https://t.co/I3l8bKkpwv https://t.co/tsrGLmkput,2020-10-30 17:00:02,Twitter Web App,20,86,corona; 
The American people understand that we cannot allow the #ChineseCommunistParty’s malign behavior including the spread of COVID-19 pandemic go unchecked.   The #ChinaTaskForce report is a comprehensive action plan to hold the CCP accountable. https://t.co/So5NyXcLs9 https://t.co/6ukqnVPN08,2020-10-01 18:00:01,Twitter Web App,2,2,covid; 
As we overcome #COVID we will rebuild the greatest economy the world has seen! As a former #smallbusiness owner I know the impact getting burdensome red tape out-of-the-way has &amp; how it will positively impact #FL15.   More: https://t.co/2rjCQh09tF  The #CommitmentToAmerica: https://t.co/estqZuR8bB,2020-09-29 15:30:00,Twitter Web App,97,232,covid; 
We will defeat this virus and keep America healthy. Operation Warp Speed will deliver a safe and proven vaccine for all Americans once it has been approved by the FDA. 🇺🇸 American ingenuity will overcome #COVID19. https://t.co/GgMtCuvCZf,2020-09-24 18:00:01,Twitter Web App,2,13,covid; 
We are making tremendous progress on having a vaccine to combat the Chinese virus #COVID19!   This is American ingenuity at its best! 🇺🇸 #FL15 https://t.co/QK1yGF9qNG,2020-09-22 00:00:00,Twitter Web App,4,3,covid; 
National Preparedness Month is recognized each September to promote family and community disaster planning now and throughout the year.   With the ongoing threat of hurricane season and #COVID19 there is no better time to plan ahead #FL15.  Visit: https://t.co/qIWGGDKgMZ https://t.co/ybKGMVF2Vg,2020-09-09 15:59:00,Twitter Web App,1,1,covid; 
Due to the leadership of President @realDonaldTrump and his Administration Americans will have access to a vaccine to combat #COVID19 within record time-- all while following FDA protocols and safety guidelines. #FL15   Learn more below: https://t.co/UqOnAHH2Mp,2020-09-02 14:48:55,Twitter Web App,2,5,covid; 
I'm confident #FL15 will play an important role in the 'Great American Comeback' given our talented workforce market potential &amp; strategic location. As America debates a post #COVID19 world let's define where we want to see our country in 20 or 50yrs! https://t.co/YnMlP7bxQZ 🇺🇸 https://t.co/ToD6GguXib,2020-08-26 19:00:00,Twitter Web App,7,13,covid; 
