There’s no doubt that small businesses are among the hardest hit by coronavirus.  On this Small Business Saturday let’s take the opportunity to say thank you to the many businesses in #FL18 that make our community so great! https://t.co/0WpZCF5wPj,2020-11-28 14:30:00,TweetDeck,2,8,corona; 
The application for Palm Beach County Mortgage Assistance Program which is funded by Congress in the CARES Act has officially launched! Assistance is available up to $10000 for eligible homeowners impacted by COVID-19. Learn more and apply here: https://t.co/yho2arJP8S,2020-10-09 13:29:28,TweetDeck,2,8,covid; 
ICYMI → The House Foreign Affairs Committee has found clear evidence that China’s attempted cover-up of the coronavirus is directly responsible for this devastating pandemic. The Chinese Communist Party must be held accountable for their actions! https://t.co/IwU4jdsJs5,2020-10-08 19:00:00,TweetDeck,8,36,corona; 
The final Congressional report on the origins of COVID-19 leaves no room for doubt: China’s attempted cover up turned a local infection into a global pandemic. The Chinese government must be held accountable! https://t.co/BmrUFAdxe5,2020-10-07 15:08:56,Twitter Media Studio,89,157,covid; 
Brianna and I are praying for a speedy recovery for President Trump the First Lady and everybody fighting coronavirus!,2020-10-02 22:23:50,TweetDeck,7,174,corona; 
The application for Palm Beach County Restart Business Grants which is funded by Congress in the CARES Act has resumed! Grants are up to $25k for PB County businesses &amp; can be used to cover payroll/rent/other expenses related to COVID. Learn more here: https://t.co/so9p9bQ3xH,2020-09-25 15:30:13,TweetDeck,6,13,covid; 
ICYMI → Congress passed important legislation this week to help small businesses in our community lead the way as we recover from the impacts of the coronavirus. Read more here: https://t.co/pl6gszWpVF,2020-09-20 16:15:00,TweetDeck,2,14,corona; 
Now more than ever we need to support the entrepreneurs and the small business leaders who are helping our economy recover from the coronavirus pandemic. The good news is that Congress passed two bills this week to do just that. Watch now: https://t.co/l7XyS9ah8g,2020-09-19 15:00:00,TweetDeck,3,22,corona; 
Wishing everyone in #FL18 a happy Labor Day especially those frontline workers who continue serving our community as we battle the coronavirus! https://t.co/JTe1LgpLPq,2020-09-07 13:00:01,TweetDeck,4,31,corona; 
Some people are calling the coronavirus pandemic an “Act of God” but the truth is that it could have been avoided if not for the gross negligence of China’s communist government. We must hold them accountable for their crimes! Watch more: https://t.co/Q8BOQaVTzw,2020-08-26 15:50:51,TweetDeck,91,225,corona; 
