Wishing everyone a happy and healthy #Thanksgiving! Please celebrate safely so that by this time next year we all can once again gather with our families  and friends without fear of spreading #COVID19. #WearAMask and #StayAtHome if you can. https://t.co/mNTUcZWTTH,2020-11-26 14:04:00,TweetDeck,9,40,covid; 
Thank you to Patrice Tyson president of the Miami chapter of the National Black Nurses Association for joining me on 11/24 at the unveiling of the expanded #COVID19 memorial cemetery in Liberty City. @NbnaInc https://t.co/spbsDPcLkh,2020-11-25 22:11:39,Twitter for iPhone,7,31,covid; 
Please take advantage of this opportunity provided by @JessieTriceCHS and @FIU. In addition to #COVID19 testing patients can receive support to help manage any underlying conditions they may have. #WearAMask https://t.co/LFqnC6jnYa,2020-11-25 17:18:58,Twitter Media Studio,4,7,covid; 
#COVID19 does not discriminate. It is imperative that we all take every possible measure to keep ourselves and our loved ones safe as we combat this horrific pandemic. #WearAMask #StayatHome if you can. https://t.co/2ivyxsLrIC,2020-11-25 14:57:24,Twitter Web App,10,20,covid; 
IVYMI: Please check out the expanded #COVID19 memorial cemetery that was unveiled today in Liberty City and hear heartbreaking testimonies from people who've been directly impacted by this horrific pandemic. https://t.co/c7vYe2EkX1,2020-11-24 21:21:56,Twitter Web App,7,13,covid; 
I hope you can join me today as we honor loved ones lost to #COVID19 but if you cannot you can view the event at https://t.co/UQa9YeBmMz. https://t.co/oTN8f908PC,2020-11-24 15:46:30,Twitter Web App,10,22,covid; 
Tomorrow we are adding 1000 tombstones to the cemetery that was established in Oct. It became clear to us that hundreds of people have visited the site to honor and remember family and friends lost to COVID-19 write their names on the tombstones and lay flowers. https://t.co/0r5QYNb4Ei,2020-11-23 23:07:33,Twitter for iPhone,10,17,covid; 
COVID-19 cases are on the rise once again. Please do your part to help get the pandemic under control by practicing social distancing and wearing a mask when in public. https://t.co/KbHGCDJSk8,2020-11-23 15:19:29,Twitter for iPhone,9,68,covid; 
District 24 is proud to be a hub for the distribution of a #COVID19 vaccine which hopefully will help bring an end to the worst public health crisis in modern history.  https://t.co/3bb15dxh5S,2020-11-18 21:02:14,Twitter Web App,8,17,covid; 
Just like many other parts of the country South Florida is experiencing another surge of COVID-19 cases. A national mask mandate which is what my Masks for All Act calls for could help prevent over 100 thousand deaths in the coming months. https://t.co/BAULeKJzOF,2020-11-16 16:16:00,TweetDeck,36,153,covid; 
