Encouraging news! Thanks to #OperationWarpSpeed we have a second vaccine with proven effectiveness. If approved by the FDA we will be able to safely deliver #COVID19 vaccine doses to the American people as quickly and reliably as possible. https://t.co/1ftcECHqtO,2020-11-16 16:08:50,Twitter Web App,64,255,covid; 
Joined my colleague @RepTedDeutch this morning for a virtual town hall with @USGLC to discuss #COVID19 &amp; the need to work together to ease the impact on our health economy and well-being. We cannot lose momentum in the fight against this deadly pandemic at home and abroad. https://t.co/DeGmjuS2ji,2020-10-05 19:52:09,Twitter Web App,6,15,covid; 
It’s the responsibility of the Speaker of the House to reach a bipartisan agreement on critical #COVID19 assistance. Yet Speaker Pelosi continues to play politics— proposing flawed legislation knowing it stands no chance of becoming law. https://t.co/sYHjyRb8uh,2020-10-02 19:35:15,Twitter Web App,40,56,covid; 
Praying for a complete and speedy recovery for @realDonaldTrump and @FLOTUS as well as all those affected by #COVID19. https://t.co/3s2npqfzkJ,2020-10-02 13:20:54,Twitter for iPhone,42,137,covid; 
The @USDA is now accepting applications to provide additional assistance for our farmers and ranchers whose operation has been directly affected by #COVID19. Applications will be accepted through December 11 2020. For more information visit https://t.co/QPDLVWA7jF. https://t.co/RUfRom2EqH,2020-09-29 15:27:42,Twitter Web App,3,4,covid; 
If we've learned anything from the #COVID19 pandemic it's that we can never be too prepared for any threat to our national security. We must use this pandemic to improve our preparedness for any future global public health emergency. Thank you @SenatorMenendez @SenatorCollins. https://t.co/lSrU6sRXdN,2020-09-23 14:20:16,Twitter Web App,10,20,covid; 
The #PaycheckProtectionProgram expired on Aug 8 2020; however $138B of the funds allocated by Congress in the #CARESAct went unspent. We must extend the #PPP and help save small businesses across our nation who continue to struggle financially due to #COVID19. https://t.co/naNQEDnlAj,2020-09-21 18:05:37,Twitter Web App,29,85,covid; 
The American people are incredibly generous. This week @USAID announced the donation of 37 ventilators to #Haiti as part of its global assistance to combat #COVID19 and save lives. I am proud of U.S. leadership in helping our neighbors and allies fight this deadly disease.,2020-09-09 19:30:03,Twitter Web App,26,86,covid; 
This is a significant development for #Floridians left unemployed as a result of #COVID19. I commend @POTUS for signing this executive order granting additional unemployment benefits to those in need and I thank @GovRonDeSantis for his great work in our state. https://t.co/0rOh0wNeMi,2020-08-27 00:44:01,Twitter for iPhone,18,28,covid; 
Yesterday I joined Michael Putney and @GlennaWPLG on This Week in South Florida where we discussed a wide range of issues including Phase 3 clinical trials for a COVID-19 vaccine absentee ballots vs. mail-in voting and a new #COVID19 relief package. https://t.co/sOGk9hn3q8,2020-08-03 19:37:32,Twitter Web App,3,14,covid; 
🌀 As #HurricaneIsaias approaches Florida this weekend it’s important that you and your family know your emergency plan which may have changed due to COVID-19. To view your evacuation zone click here: https://t.co/DGNKeqMBOM,2020-07-31 17:14:55,Twitter Web App,3,7,covid; 
Thanks to the diligence &amp; dedication of our medical professionals our nation has moved at a historic pace in the development a #COVID19 vaccine and were hopeful and optimistic that this is another positive step towards normalcy.   For more info visit https://t.co/2GRNvDZ3ab. https://t.co/u3a10ig3nm,2020-07-27 19:34:18,Twitter for iPhone,11,23,covid; 
I joined @VP at the @univmiami to promote the beginning of Phase 3 of clinical trials for a coronavirus vaccine. This significant progress goes hand in hand with Operation Warp Speed which aims to deliver 300 million doses of a safe effective vaccine for #COVID19 by Jan 2021. https://t.co/nzuQXPK86c,2020-07-27 19:31:50,Twitter Web App,136,604,covid; corona; 
Per the White House protocol I was tested for #COVID19 this morning and am negative. Thank you for your concern.,2020-07-10 17:57:32,Twitter for iPhone,12,48,covid; 
Great news! #FL25 will receive Emergency Solutions Grants (ESG) as part of the #CARESAct to help prevent mitigate &amp; respond to #COVID19 among those who are homeless or receiving homeless assistance.  $2.7M @CityofHialeah $10.7M @MiamiDadeCounty  $2.5M @CollierPIO,2020-06-03 16:59:01,Twitter Web App,4,14,covid; 
