Congrats to President-Elect @JoeBiden! What a tremendous victory for the future of America. Together we will end the #COVID19 pandemic bring our economy back to prosperity and unite the country! #UnitedWeStand https://t.co/sZcQQv4IXf,2020-11-07 16:29:06,Twitter for iPhone,22,77,covid; 
We have #TeamSoto out social distance canvassing &amp; phone banking in full force today. Time to VOTE! VOTE! VOTE! #BidenHarris2020 🇺🇸 🗳 🦅 https://t.co/kwVf0fuVXM,2020-10-24 16:32:02,Twitter for iPhone,9,34,social distance; 
.@JoeBiden has plans to end #coronavirus expand #healthcare upgrade #infrastructure combat #climatechange protect our democracy &amp; #immigrationreform. Trump has been President for nearly FOUR YEARS and does NOT have a plan for any of it! #Debates2020 #PresidentialDebate2020 https://t.co/Eev7K5duy2,2020-10-23 03:07:31,Twitter for iPhone,9,17,corona; 
Pres Obama &amp; @JoeBiden left Trump a great economy. Trump wrecked it with his incompetence in responding to #coronavirus. Those ARE the facts. #PresidentialDebate2020 #2020debate #Debates2020 https://t.co/2W5YLcRy37,2020-10-23 02:36:15,Twitter for iPhone,62,189,corona; 
Excited to attend @HCCMO Political Hob Nob to discuss our work to secure #PPPLoans for local Hispanic small biz during #coronavirus pandemic promote high paying tech jobs to diversify our economy &amp; ensure greater Latino diversity in gov’t biz &amp; media! 🇺🇸 🇵🇷 🇲🇽 🇨🇺 🇻🇪 🇨🇴 🇧🇷 https://t.co/rn1hDkbNss,2020-10-23 00:21:46,Twitter for iPhone,3,3,corona; 
Mi Familia Hispana! ⁦@SMurphyCongress⁩ es un campeón de nuestra comunidad por recuperación de coronavirus acceso de seguros médicos protegiendo nuestra ambiente y ayudando Puerto Rico Dreamers y TPS! 🇺🇸 🇵🇷 🇲🇽 🇨🇺 🇻🇪 🇨🇴 🇩🇴  https://t.co/gxFku2qR1H,2020-10-20 19:18:09,Twitter for iPhone,2,6,corona; 
.@JoeBiden was back in South Florida to rally supporters today! While Pres Trump holds dangerous #COVID19 superspreader events Biden focuses on ending the pandemic protecting seniors &amp; fixing the economy. #BuildBackBetter  https://t.co/QBwU1LsWIm,2020-10-14 00:47:16,Twitter for iPhone,6,7,covid; 
As essential workers our Central Florida Hispanic Community has been hard hit by #COVID19 &amp; the economic fallout. Pres Trump failed our nation. Now we must vote for change! #BidenHarris2020 https://t.co/JRunJq4VAg,2020-10-13 22:57:50,Twitter for iPhone,9,10,covid; 
Dr Fauci asks Pres Trump to take down his false campaign ad pretending to show Fauci praising Trump’s #COVID19 response. The #coronavirus will only be defeated by unity science &amp; facts. #BidenHarris2020 https://t.co/JIU53mBbXS,2020-10-13 19:23:04,Twitter for iPhone,3,11,covid; corona; 
Mi gente @JoeBiden es un líder fuerte honesto y respetuoso. Él puede unificar nuestra nación derrotar #COVID19 y regresarnos a prosperidad. Toda Trump tiene ahora es fracasos y mentiras. No los creen! 🇺🇸 🇵🇷 🇨🇺 🇲🇽 🇨🇴 🇻🇪 🇩🇴 🇳🇮 🇵🇦 🇭🇳 🇸🇻 🇪🇨 🇵🇪 🇧🇷 🇦🇷 🇨🇱 🇵🇾 🇺🇾 https://t.co/F4Eemd1qrd,2020-10-12 19:38:32,Twitter for iPhone,6,10,covid; 
Great to speak with voters at Avalon Park’s #Octoberfest in @OrangeCoFL about new #coronavirus relief making #healthcare &amp; #education more affordable protecting our #environment &amp; #gunsafety reform. Vote #BidenHarris2020 to save America! 🗳 🇺🇸 🦅 https://t.co/n3cMUh1BBb,2020-10-10 23:10:07,Twitter for iPhone,2,9,corona; 
VP DEBATE TONIGHT!!!  I can’t wait to see @KamalaHarris on the debate stage tonight! I know our Caribbean sister will show the American people that we can contain #COVID19 stand up for our essential workers and #BuildBackBetter. 🇺🇸 🇯🇲 🇵🇷 #VPDebate https://t.co/Ha3vFNLB4K,2020-10-08 00:05:02,Twitter for iPhone,3,9,covid; 
