More good news: Pfizer will seek emergency authorization from the FDA for their coronavirus vaccine. We are another step closer to a vaccine! https://t.co/aFdynxYunN,2020-11-20 16:34:41,Twitter for iPhone,2,8,corona; 
We continue to receive good news about a potential COVID vaccine. I’m participating in a clinical trial because I believe once a vaccine is approved it will be both safe and effective. https://t.co/Jxg1oolrcZ,2020-11-19 22:25:57,Twitter for iPhone,4,12,covid; 
GOOD NEWS --&gt; The House just passed my legislation to combat scams during the COVID-19 pandemic. https://t.co/cgxkWHkCsL,2020-11-17 22:34:44,Twitter Web App,4,16,covid; 
More great news about a COVID-19 vaccine today! https://t.co/7bimGA4oLX,2020-11-16 19:59:16,Twitter Web App,2,12,covid; 
I am confident that when a COVID-19 vaccine is approved by the FDA it will be both safe and effective. I’m participating in a vaccine clinical trial myself to prove it. https://t.co/pS5agIYsjv,2020-11-13 00:36:45,Instagram,2,6,covid; 
Even during difficult times due to COVID-19 Georgia has been named the #1 State for Business again this year! https://t.co/SvjFILetxY,2020-11-12 17:19:09,Twitter Web App,3,10,covid; 
Great news from Pfizer today on a COVID-19 vaccine. Thanks to @realDonaldTrump and Operation Warp Speed if the FDA approves the Pfizer vaccine we will have 100 million doses ready for distribution!  https://t.co/bJQ2u2G3NP,2020-11-09 19:40:17,Twitter Web App,4,8,covid; 
It was great to be in Jesup yesterday to participate in a roundtable with the Wayne County Recovery Coalition. We had an important conversation on combating the opioid epidemic. As we battle COVID-19 we must also continue to fight other health issues in our communities. https://t.co/je54kZiXei,2020-10-30 18:17:01,Twitter for iPhone,2,4,covid; 
I have signed up for a COVID-19 vaccine trial because I am confident that any vaccine will be both SAFE and EFFECTIVE. Here is a quick update about my first day in the trial. https://t.co/n5JOVfRt3M,2020-10-21 22:27:26,Twitter for iPhone,6,22,covid; 
Glad to have @GovKemp and officials from @HHSGov in Savannah today to meet with health care professionals and business leaders in our community as we continue to address the COVID-19 pandemic. https://t.co/DG1IXJdsUh,2020-10-16 17:52:26,Twitter for iPhone,2,12,covid; 
We had a great visit to Cal-Maine Eggs in Hoboken yesterday. Cal-Maine donated more than 1 million eggs to those in need through Second Harvest Food Bank during the COVID-19 pandemic. Neighbors helping neighbors in the First District! https://t.co/2F4MKkbjhT,2020-10-09 12:37:23,Twitter for iPhone,3,9,covid; 
