Today I introduced legislation with @RepCindyAxne &amp; @daveloebsack to improve COVID-19 data and correct errors so that policymakers health officials and Iowans can trust the information they receive and use it to end this pandemic. #IA01 https://t.co/ugdU0j02Nr,2020-11-24 15:55:53,Twitter Web App,11,72,covid; 
BILL PASSED – The House just passed our bipartisan Child Care is Economic Development Act. Full economic recovery from the COVID-19 pandemic depends on good jobs for working parents — and affordable accessible care for their kids. #IA01 https://t.co/pYSRdRoBHX,2020-11-17 21:30:52,TweetDeck,2,28,covid; 
From the beginning we knew we had to control COVID-19’s spread protect frontline workers save small businesses and support folks whose jobs were impacted. The bipartisan CARES Act was a major step to get us through the early days of the pandemic. #IA01 https://t.co/h3milo2vJA https://t.co/gTrLOgGW2r,2020-10-29 14:10:00,TweetDeck,1,6,covid; 
While we couldn’t meet in person for much of this year we used our telephone townhalls to help connect #IA01 with invaluable resources and information to help them get through the COVID-19 pandemic and recover from August’s derecho. https://t.co/g7dbzzeHCB,2020-10-25 14:25:00,TweetDeck,4,12,covid; 
Small businesses are struggling to survive the #COVID pandemic. I was proud to help pass the HEROES 2.0 relief package to ensure our local favorites will still be around when we come out on the other side of this crisis. #IA01 https://t.co/o0eklEKvly,2020-10-23 17:46:00,TweetDeck,1,7,covid; 
The bipartisan CARES Act was a major first step in helping our communities and families make it through the COVID-19 pandemic. Now it is time for us to act again. The Senate and White House must join us in passing additional aid to help #IA01. https://t.co/h3milo2vJA https://t.co/bDqyTzbT0X,2020-10-23 16:17:50,TweetDeck,2,10,covid; 
Our rural health care systems were challenged long before the arrival of COVID-19. Nov. 19 is National Rural Health Day and I’m proud to introduce a bipartisan resolution recognizing the importance of rural health &amp; thanking our amazing providers in #IA01 https://t.co/7QwAeSGupO,2020-10-22 16:03:21,TweetDeck,5,12,covid; 
We passed HEROES 2.0 to extend a lifeline to local airports hit hard by the #COVID pandemic. Now we need the Senate and White House to negotiate in good faith and get a deal done to save this vital industry and local economic engine. #IA01 https://t.co/Lz1cRJJjmm,2020-10-22 15:11:00,TweetDeck,4,13,covid; 
Whether it's unemployment aid economic impact payments or support for police firefighters and healthcare providers our communities need a new #COVID relief package. I voted to pass HEROES 2.0 and I stand ready to work with the Senate and White House on a compromise. #IA01 https://t.co/2hBSfxjKJD,2020-10-21 18:12:00,TweetDeck,1,13,covid; 
We passed the HEROES 2.0 Act to help keep our small businesses afloat as we continue to battle the COVID-19 pandemic — now it’s time for the White House and Senate to show us their commitment to get a deal done. #IA01 https://t.co/oeBMHjGJHT,2020-10-21 14:12:00,TweetDeck,2,17,covid; 
Our communities &amp; workers on the front lines need help now to weather the financial and public health crisis caused by #COVID. Every day we spend waiting on the Senate and White House to negotiate in good faith is another day of uncertainty for our essential civil servants. #IA01 https://t.co/TSthSlDvxl,2020-10-20 21:51:00,TweetDeck,6,10,covid; 
We passed HEROES 2.0 weeks ago to help our communities through the COVID-19 pandemic but we’re stilling wait on the Senate and White House negotiate in good faith. Every day of delay is a heavier hardship on hard-working Iowans and communities in need. #IA01 https://t.co/SB6Yp1wDq9,2020-10-20 20:50:51,TweetDeck,5,15,covid; 
The airline industry is being hit hard by the COVID-19 pandemic and so have our local airports. I voted to help pass the HEROES 2.0 pandemic relief package to keep these economic engines running and ready for recovery. #IA01 https://t.co/7GwHz0YsCs,2020-10-18 18:16:00,TweetDeck,2,5,covid; 
I voted to help pass the HEROES 2.0 coronavirus relief package to provide much-needed help to the small businesses that make our communities vibrant special places to live and work. #IA01 https://t.co/gxOkyeAOJC,2020-10-17 19:11:00,TweetDeck,4,17,corona; 
Our first responders healthcare workers and other essential service providers are struggling in the economic downturn caused by COVID-19. They need assistance and they need it now — which is why I helped pass the HEROES 2.0 pandemic relief package. #IA01 https://t.co/t8ENvNDHdU,2020-10-17 15:32:00,TweetDeck,4,9,covid; 
Communities like Cedar Rapids need help to get through the COVID-19 pandemic. That's why we passed HEROES 2.0 Act –– and why we need the Senate and White House to come to the table now to help Iowans in need. #IA01 https://t.co/0i6UuggaCt,2020-10-16 22:55:00,TweetDeck,11,25,covid; 
We need our police firefighters and first responders now more than ever during the pandemic — and they need help to get through this financial and public health crisis. It’s time for the Senate and White House to come to the table and get a deal done for COVID-19 relief. #IA01 https://t.co/iVUHl5Dz2Z,2020-10-16 21:52:03,TweetDeck,5,13,covid; 
Iowans need more access to testing and our local pharmacies can and should be part of the solution. I led a letter asking House leadership to include reimbursement for testing at pharmacies in the next COVID-19 relief package. #IA01 https://t.co/Kohq7cNeUN,2020-10-08 13:15:06,Twitter for iPhone,7,23,covid; 
This afternoon I visited the Northeast Iowa Food Bank in Waterloo for an update on the COVID-19 pandemic. The food bank always plays such an important role in our community but never more than during this crisis. We must do all we can to support struggling #IA01 families. https://t.co/l53nmWFcZs,2020-10-07 23:37:38,TweetDeck,7,26,covid; 
The President’s decision today to walk away from negotiations on a desperately needed COVID-19 relief package callously threatens the lives and livelihoods of millions of Americans — including Iowans in my district. #IA01 https://t.co/9uokWY4Gdb,2020-10-06 22:45:12,Twitter Web App,7,16,covid; 
Air travel has been hit hard by the COVID-19 pandemic — especially in communities like Dubuque. I helped pass the HEROES 2.0 Act because of the aid it will provide to #IA01 communities in need. #IA01 https://t.co/8qwB9tpneN,2020-10-06 22:31:00,TweetDeck,2,18,covid; 
I met with hospital leaders in #IA01 for an update on COVID-19. They need funding to provide essential services like testing &amp; protecting essential staff. Last week we passed the HEROES 2.0 Act to help fill our hospitals' funding needs. The Senate &amp; WH need to come to the table! https://t.co/rwdivnYArd,2020-10-06 20:48:10,TweetDeck,1,9,covid; 
Our local leaders agree: Iowa families need COVID-19 relief now. I voted to pass the HEROES 2.0 pandemic relief package and I’m urging the Senate and White House to come to the table and get a deal done. #IA01 https://t.co/xkKXdb2gWI,2020-10-06 18:02:00,TweetDeck,3,12,covid; 
HEROES 2.0 Act will help our families first responders hospitals and small businesses get through the COVID-19 pandemic — that’s why it has the support of Waterloo Mayor Quentin Hart and Iowa leaders across #IA01 https://t.co/Rj3udiaugy,2020-10-05 15:53:28,TweetDeck,4,8,covid; 
HEROES 2.0 Act will help our families first responders hospitals and small businesses get through the COVID-19 pandemic — that’s why it has the support of Waterloo Mayor Quentin Hart and Iowa leaders across #IA01 https://t.co/t38eJZWa7g,2020-10-03 20:33:00,TweetDeck,8,14,covid; 
The economic slowdown caused by the #COVID19 pandemic presents major challenges for essential rural businesses and institutions. My Relief for Rural Development Borrowers Act eases their burden by covering payments on certain USDA loans. https://t.co/Ca3AHK09vl  #IA01 https://t.co/wX9e24RgR8,2020-10-02 21:34:00,TweetDeck,2,4,covid; 
As we have seen firsthand in Iowa and around the country this virus knows no ethnic gender or geographic boundaries and has now reached the President of the United States. I’m praying for the President and First Lady to make a fast and full recovery from COVID-19. #IA01,2020-10-02 14:02:31,Twitter Web App,6,29,covid; 
The #COVID19 pandemic has presented major challenges for rural anchors like colleges and nonprofits. I introduced the Relief for Rural Development Borrowers Act to ease the burden by covering payments on certain USDA loans. https://t.co/Ca3AHJIy6L  #IA01 https://t.co/EANcCFMpZj,2020-10-01 19:02:00,TweetDeck,2,5,covid; 
Today I met with economic development and childcare leaders in Grinnell to discuss how the COVID-19 pandemic has underscored and increased our communities’ existing need for access to affordable and safe childcare. #IA01 https://t.co/cwl8DwgNmo,2020-09-28 23:09:57,Twitter Web App,3,21,covid; 
I’m joining Democrats and Republicans in calling on legislative leaders to find consensus on bipartisan COVID-19 relief — and to keep us on the job in Washington until the deal is done. Iowa families and small businesses can’t wait any longer. #IA01 https://t.co/q56aVdfT0k,2020-09-27 00:28:00,TweetDeck,10,41,covid; 
#COVID19 has placed a major burden on childcare providers. This week the House passed my bipartisan Ensuring Children and Childcare Workers Are Safe Act to provide grants guidance and technical assistance for childcare centers to prevent the spread of COVID-19. #IA01 https://t.co/vPJZC05qty,2020-09-18 19:31:00,TweetDeck,2,11,covid; 
We must support our local governments and frontline workers which directly serve Iowans and are taking a major hit from the COVID-19 pandemic. A new relief package must include support for #IA01 cities and towns. #fundthefrontlines https://t.co/ZiOyjYTtzC,2020-09-17 23:52:00,TweetDeck,4,5,covid; 
A constituent in Waverly depended on enhanced unemployment benefits and last spring’s economic impact payment to pay rent and buy food. Now that both programs have expired they’re in trouble. #IA01 #IAcovidstories https://t.co/l6vTSHLbmv,2020-09-17 20:58:38,TweetDeck,1,3,covid; 
A Waterloo childcare worker depended on enhanced unemployment after their hours were cut due to the pandemic. “The extra $600 helped with bills and groceries but now that it has expired I don’t know how I’m going to make ends meet.” #IA01 #IAcovidstories https://t.co/l6vTSHLbmv,2020-09-17 20:31:00,TweetDeck,1,10,covid; 
Starting today I’ll also be sharing stories I’ve received from my constituents about how the pandemic has affected them. Read all the stories here: https://t.co/l6vTSHLbmv #IA01 #IAcovidstories,2020-09-17 19:56:44,Twitter Web App,0,4,covid; 
We need a new Coronavirus relief package and we need it now. Today I sent a letter to Congressional leadership again asking Democrats and Republicans to come together to deliver help for the American people. #IA01 https://t.co/ZiOyjYTtzC,2020-09-17 19:56:43,Twitter Web App,5,31,corona; 
A family-owned property management company in Cedar Rapids has numerous tenants unable to make rent during the pandemic which in turn prevents them from paying mortgages on their properties. Tenants and landlords need assistance. #IA01 #IAcovidstories https://t.co/l6vTSHtzXV,2020-09-17 18:01:00,TweetDeck,3,6,covid; 
Childcare providers need all the information and assistance they can get to remain open through the pandemic and stop the spread of #COVID19. This week the House passed my bipartisan Ensuring Children and Childcare Workers Are Safe Act to provide exactly that. #IA01 https://t.co/z3CBrA8Zf8,2020-09-17 15:10:43,TweetDeck,3,2,covid; 
Today I signed onto Congressman DeFazio’s bill to increase FEMA’s contribution to recovery costs for local disasters. This bill provides a needed financial lifeline for #IA01 communities impacted by last month’s derecho and the ongoing COVID-19 response. https://t.co/HnVocp8o59,2020-09-17 00:14:00,TweetDeck,2,5,covid; 
The House just passed our bipartisan common-sense bill to provide needed guidance to childcare providers during the COVID-19 pandemic. I’m thankful that my House colleagues saw the need for this legislation and joined me today in passing it. #IA01 https://t.co/3iwh8fo6Wd,2020-09-16 18:29:02,TweetDeck,9,14,covid; 
Today we held a RATE Subcommittee hearing to make sure Iowans’ voices are heard on the impact of the COVID-19 pandemic. We looked at the challenges facing rural America and what is needed for recovery. Watch my opening statement here: https://t.co/Gkds1T7NcO,2020-09-10 22:25:57,Twitter Web App,2,12,covid; 
I met this morning with @iowabankers to hear how our community banks have helped Iowans with the Paycheck Protection Program and how the PPP and other aid programs can be improved to help folks through the COVID-19 pandemic. #IA01 https://t.co/Hrg6WmkXhR,2020-09-03 15:48:29,TweetDeck,5,18,covid; 
The COVID-19 pandemic is not over and coronavirus continues to spread in Iowa. Wearing a mask and social distancing are simple but effective ways to slow the spread — please do your part. #IA01 https://t.co/EUdPhYirZO,2020-09-01 16:20:35,TweetDeck,10,23,covid; corona; 
As we continue to battle the COVID-19 across our state and in our communities please wear a mask in public and practice social distancing whenever possible. This pandemic remains a major threat and we all must do our part to keep friends family and neighbors safe. #IA01,2020-08-31 20:26:11,TweetDeck,7,24,covid; 
Now more than ever in the wake of the #derecho we need a bipartisan coronavirus relief package with aid for local governments. Today I joined a letter with @RepCindyAxne @DaveLoebsack and others again calling on the White House and congressional leaders to get this done. #IA01 https://t.co/8SrzBq8HSS,2020-08-24 18:48:13,Twitter Web App,14,43,corona; 
I was proud to co-sponsor and vote today for the Delivering for America Act. This legislation ensures that we will continue essential postal services throughout the Coronavirus pandemic and beyond while preventing political influence over critical U.S. Mail operations. #IA01,2020-08-22 22:51:08,Twitter Web App,3,19,corona; 
Today I sent a letter to House leadership stressing the importance of my bipartisan bill to guarantee PPP benefits for ag expenses and ensure farmers and ranchers get the help they need. This bill must be included in the next coronavirus relief package. https://t.co/g1kQEK4gYy,2020-08-05 23:31:49,Twitter Web App,3,11,corona; 
Tonight we held a tele-townhall meeting where I heard stories about Iowans’ challenges during the COVID-19 pandemic &amp; shared my priorities for the next aid package. Hearing directly from folks around #IA01 helps me do my job better. Share your story here: https://t.co/Vm5y0wuIbJ,2020-08-05 00:33:34,Twitter Web App,3,10,covid; 
We want to hear your story too. Share your experience living and working through the coronavirus pandemic at https://t.co/Vm5y0wd6N9 #IA01,2020-08-05 00:01:00,TweetDeck,2,4,corona; 
A Cedar Rapids family lives paycheck-to-paycheck and has been devastated by losing both of their jobs to COVID. The $600 direct payments are the only thing keeping them afloat and they just can’t afford to lose it. #IA01 https://t.co/l6vTSHtzXV,2020-08-04 22:01:00,TweetDeck,8,20,covid; 
ONE HOUR AWAY: our virtual forum w/ Congresswoman Finkenauer. It’s your chance to share your coronavirus story &amp; hear how our office can help with accessing federal aid. Sign-up or stream at https://t.co/GQ65dascQK,2020-08-04 21:30:00,TweetDeck,4,9,corona; 
We’re just a few hours away from our virtual forum w/ Congresswoman Finkenauer. Join us at 5:30 to share your coronavirus story &amp; hear how our office can help with accessing federal aid. Sign-up or stream at https://t.co/GQ65daJNIi,2020-08-04 19:30:00,TweetDeck,1,0,corona; 
You can also join me at 5:30 this evening for a tele-townhall where you can share your coronavirus story &amp; hear how my office can help with accessing federal aid. Sign-up or stream at https://t.co/GQ65dascQK,2020-08-04 15:36:27,Twitter Web App,0,1,corona; 
Yesterday I sent a letter to Congressional leadership demanding action on a new coronavirus relief package. My constituents are hurting and they can’t afford to wait. #IA01 https://t.co/cCPgfmEIsP,2020-08-04 15:36:27,Twitter Web App,4,8,corona; 
