Cases and hospitalizations are spiking in Iowa.  Businesses say they're on the brink.  More federal #COVID19 protections expire on January 1st.  Additional aid can't wait until 2021.  #IA03  https://t.co/gn7THuHJga,2020-11-07 22:21:00,TweetDeck,8,71,covid; 
From natural disasters to the ongoing #COVID19 crisis Iowans have been through so much these past 2 years.  We have our work cut out for us – but I’m confident that we can pull together to overcome these challenges and build a brighter future for all.  #IA03 https://t.co/NsbAC6XH5D,2020-11-02 22:14:08,Twitter Media Studio,5,18,covid; 
Iowa's restaurants &amp; service industry have been hit particularly hard by #COVID19.  As a small business owner I know how important it is to protect these community cornerstones – and I've fought for tangible relief to help keep their doors open.  #IA03 https://t.co/RbdNoy9I0m,2020-10-30 15:15:08,Twitter Web App,11,18,covid; 
With so many of our child care facilities closed down by #COVID19 we should recognize how central this infrastructure is to our communities &amp; the larger economy.  Thanks for having me @SCActionNetwork! https://t.co/E06iWe5dEu,2020-10-29 23:55:02,Twitter Web App,4,16,covid; 
Maybe instead of laughing at campaigns taking #COVID19 seriously the Governor should be answering some questions herself. Here's one:   Are new records for hospitalizations and cases (2500 in a day!) going to change your mind on ignoring CDC/White House recommendations? https://t.co/sA9u8hUBUE,2020-10-29 15:32:12,Twitter Web App,92,286,covid; 
From multiple natural disasters to the brutal effects of #COVID19 – families in #IA03 have been through so much in the past 2 years.  And we've still got a ways to go.  But I’m proud that no matter what Iowans pull together and find a way forward.  📺 Watch our final ad: ⤵️ https://t.co/RpoRbJHHBH,2020-10-26 15:29:44,Twitter Media Studio,17,35,covid; 
With hospitalizations for #COVID19 in Iowa setting new records access to quality affordable health care has to be a priority during this crisis.  The future of our health care is on the ballot in #IA03. https://t.co/tno1iA96s0,2020-10-25 23:00:00,Twitter Web App,8,34,covid; 
Thousands of new #COVID19 cases a day.  The future of our health care system headed for the Supreme Court.  This is why Iowans tell me that health care is the #1 issue in this election.  #IA03 https://t.co/hirVqXZlhl,2020-10-22 22:04:47,Twitter Web App,8,15,covid; 
The economic fallout from the #COVID19 crisis has forced many Iowa families to make tough financial choices amidst job losses &amp; widespread uncertainty.  I promise to keep fighting in Washington to deliver assistance for Iowans still in need.  #IA03 https://t.co/U8YQq5ZfhJ,2020-10-21 20:01:48,Twitter Media Studio,27,45,covid; 
With rising numbers of #COVID19 cases in Iowa &amp; across the country access to quality affordable health care has to be a priority during this pandemic.  #IA03 https://t.co/YWC3JrXry0,2020-10-19 16:37:53,Twitter Web App,0,7,covid; 
These staggering case counts in Iowa are a reminder that #COVID19 hasn’t left our state.  It also shows us that now – more than ever – all Iowans need access to quality affordable health care.   #IA03  https://t.co/NRfgPC0bAw,2020-10-13 23:36:51,Twitter Web App,6,10,covid; 
Cindy is a small business owner &amp; a champion for Iowa’s businesses and workers.  "[Cindy Axne's] continued leadership in Congress will benefit the nation as we combat the coronavirus work to restore economic growth &amp; expand opportunities for all Americans." - @USChamber #IA03 https://t.co/JfDGL94d9m,2020-10-13 00:19:22,Twitter Media Studio,3,5,corona; 
Cindy Axne has been pushing for a simplified compromise #COVID19 package for months – and has been urging congressional leaders to meet in the middle to deliver aid for #IA03.  https://t.co/IifRoWHBO2,2020-10-13 00:09:14,Twitter Web App,3,6,covid; 
Over my first term folks in #IA03’s rural communities have faced #COVID19 a trade war historic floods &amp; a derecho.  I will work with both parties to support those affected by these crises to improve the lives of rural Iowans. ⤵️ https://t.co/jDqwr3kNiQ https://t.co/YmjyZmbAVl,2020-10-12 15:45:53,Twitter Web App,5,14,covid; 
Between a derecho trade war and the economic issues exacerbated by #COVID19 our farmers &amp; rural families have been through a lot these past 2 years.  Thank you @DSMpartnership for letting me talk about the importance of having farmers' backs in #IA03. https://t.co/o9QtAzJmHa,2020-10-09 23:28:26,Twitter Web App,11,22,covid; 
The challenges brought on by #COVID19 aren't over in Iowa.  Today – and everyday – we need to make sure we're doing everything we can to keep our families &amp; communities safe.  #IA03 https://t.co/U3oqxQ1hJB,2020-10-08 23:06:10,Twitter Web App,20,24,covid; 
I’ve fought for Iowans through the crises that we have faced over these past two years.  From flooding and the trade war to #COVID19 – I’ve worked across the aisle and stood up to my own party when needed – and always put Iowa first.  #IA03 https://t.co/KGG062vHJX,2020-10-08 19:08:39,Twitter Media Studio,7,51,covid; 
Here's what the @USChamber told Cindy when they endorsed her: "you continued leadership in Congress will benefit the nation as we combat the coronavirus work to restore economic growth and expand opportunities for all Americans."  https://t.co/gKoC0UHMq8,2020-10-07 21:45:57,Twitter Web App,2,8,corona; 
