I applaud @realDonaldTrump for taking action to help those who need it most.  People  are struggling to make ends meet. Speaker Pelosi knows this but she is too concerned with making outrageous demands for a non-COVID related wishlist of items to come to the table seriously.,2020-08-09 01:37:14,Twitter for iPhone,5,31,covid; 
Starting TODAY eligible farmers and ranchers can begin submitting applications for the Coronavirus Food Assistance Program (CFAP) administered by @USDA    https://t.co/AY39aXLONm,2020-05-26 14:51:17,Twitter Web App,11,20,corona; 
Starting on Tuesday May 26th eligible #farmers and #ranchers can begin submitting applications for the Coronavirus Food Assistance Program (CFAP) administered by @USDA.  https://t.co/h2eoPbbxtY,2020-05-21 19:21:24,Twitter Web App,13,11,corona; 
It appears you were ill-informed Bob. Sharing this manipulated video is beneath you &amp; we expect more from journalists. For the record my full quote said “Covid-19 isn’t a Republican problem or a Democrat problem it’s an American problem.”  #StrongerTogetherEvenWhenApart https://t.co/pAPwbeQzSB,2020-05-09 01:20:32,Twitter for iPhone,7,27,covid; 
President @realDonaldTrump and @SecBernhardt  are working to reopen our National Parks in a safe and responsible way. I applaud this effort access to public land is a wise way to social distance.  https://t.co/foylxy1tpE,2020-04-29 18:45:00,Twitter Web App,1,10,social distance; 
The @INL is getting involved to help mitigate the impacts of #COVID19 https://t.co/pLvLdojOvY,2020-04-28 18:18:37,Twitter Web App,1,11,covid; 
On this #GoodFriday people of all different beliefs and from all parts of the world are joining together in fasting and prayer to seek relief from the COVID-19 pandemic. I welcome this outpouring of faith and hope as we enter into #EasterWeekend https://t.co/KNSRVBZDe3,2020-04-10 14:27:55,Twitter for iPhone,7,19,covid; 
As my staff and I are teleworking to help limit the spread of #Covid_19 more than even it’s important we hear your questions and concerns via my website https://t.co/0b8vJQcy3g https://t.co/5LplgSZoqj,2020-04-06 12:29:15,Twitter for iPhone,2,6,covid; 
The #coronavirus is unlike anything we’ve dealt with which is why @TomColeOK04 and I asked the Coronavirus Task Force to explore innovative technologies that show promise in creating vaccines and treatments for COVID-19.    Read the full letter below   https://t.co/S4JjbjoU6g,2020-04-02 15:56:53,Twitter for iPhone,1,4,covid; corona; 
This legislation is a necessary step towards stabilizing our economy providing resources for health providers on the front lines and furthers access to patients who have been stricken by #COVID19 https://t.co/a6LwloClR6,2020-03-27 18:53:16,Twitter Web App,4,8,covid; 
The spread of #COVIDー19 isn't a Republican problem or a Democrat problem it's an American problem.  Stay Calm Stay Informed and Stay Home!  We're in this together.  #TogetherApart https://t.co/Qj71iuV0pi,2020-03-23 17:13:10,Twitter Web App,18,60,covid; 
Let’s end the spread of rumors about COVID-19 only share information from trusted sites and sources. https://t.co/7yEgev3h7d,2020-03-22 21:17:00,Twitter for iPhone,11,37,covid; 
I joined @RepRussFulcher @RepDelBene @cathymcmorris and @repblumenauer in reaching out for additional ventilators for our states as we are in dire need for more devices.  #Covid_19   https://t.co/y4uHjAwxWC,2020-03-20 22:43:51,Twitter Web App,3,15,covid; 
I’m mindful of our friends in @BlaineCountyID and ask that they stay home to slow the spread of #COVID19 https://t.co/2D7gUUubSf,2020-03-19 23:52:42,Twitter for iPhone,5,20,covid; 
COVID-19 Coronavirus Updates from Saint Alphonsus https://t.co/IID7EDSwEl,2020-03-19 19:06:23,Twitter for iPhone,1,2,covid; corona; 
This is what @GovernorLittle meant when he said “History will remember our reaction to coronavirus so let’s be there for each other”  https://t.co/nKjV0f0r1d,2020-03-18 20:23:32,Twitter for iPhone,8,28,corona; 
"St. Luke's announced they will begin conducting drive-up coronavirus testing and putting up tents to hold supplies.  Additional testing sites will come to Boise on Wednesday."  https://t.co/aIbuSD9HDj,2020-03-17 20:35:23,Twitter Web App,5,20,corona; 
At 9:05 MST this morning I will be talking about the government response to #COVID2019  with Neal Larson and Julie on @kidnewsradio   Tune in here https://t.co/64AoyRt4Ng,2020-03-17 14:55:35,Twitter for iPhone,2,8,covid; 
Idaho will receive $4.5 million  to assist in our efforts to combat #COVID2019  This is good news for #Idaho  https://t.co/XSvNErdH5o,2020-03-16 21:33:54,Twitter Web App,3,17,covid; 
The bipartisan "Families First #coronavirus  Response Act" passed by the House is crucial assistance for #Idaho and families throughout America. https://t.co/tYMXzcxWHZ,2020-03-16 19:19:26,Twitter Web App,19,80,corona; 
I fully support the President's call to pass the 2nd emergency supplemental package in response to #COVID2019 &amp; stand ready to continue to work w/ my colleagues in Congress &amp; the President to help the American people through these challenging times.  https://t.co/xwzGuhdJnO,2020-03-16 18:28:50,Twitter Web App,2,7,covid; 
We are fortunate there are no confirmed cases of the novel coronavirus (COVID-19) in the state it is important we all remain calm yet vigilant. The web page below will be updated frequently to provide each of you with information as it becomes available. https://t.co/s1dU2IpWzP,2020-03-13 20:15:05,Twitter Web App,2,16,covid; corona; 
FDA’s hotline (1-888-INFO-FDA) is available 24 hours a day for labs to call regarding difficulties obtaining supplies for collecting patient samples for COVID-19 testing including swabs media needed for transport and  conservation of the samples.,2020-03-13 16:47:34,Twitter for iPhone,11,13,covid; 
