Happy Thanksgiving! In spite of the unprecedented burdens of the COVID pandemic there are still many blessings around us. There is a light at the end of this long dark tunnel. But we are not yet through the danger.,2020-11-26 14:07:39,Twitter Web App,1,4,covid; 
Today Illinois enters Tier 3 mitigation to curb the spread of COVID-19. While not a stay-at-home order this advisory places tighter limitations on restaurants and social gatherings. Please stay safe - if we all do our part we can beat back this virus.   https://t.co/li1hintB7i,2020-11-20 16:57:15,Twitter Web App,3,5,covid; 
If we’re going to pass real COVID relief to tackle the virus and revive our economy in a closely divided Congress we’re going to have to learn how to compromise and put the good of the Country before our political party.  https://t.co/gGocXcQtMF,2020-11-13 16:31:07,Twitter Web App,2,4,covid; 
After last night’s win we have work to do.  I’m confident that Joe Biden and Lauren Underwood are on their way to win.  What our election makes clear is that we desperately need unifying leadership to beat back Covid unite our people and renew our country’s possibilities. https://t.co/v6RyYR8590,2020-11-04 21:25:42,Twitter for iPhone,2,23,covid; 
This pandemic is far from over. While we are all tired of COVID-19 restrictions we can’t simply wish the virus away. We must behave safely and observe the 3 W’s: Wash your hands wear your mask and watch your distance. Together we can beat back this virus. https://t.co/LXgBag5GLp,2020-10-28 21:47:23,Twitter Web App,3,11,covid; 
In the United States 8.7 million people have tested positive for the coronavirus. More than 225000 people have died.  Only 9 countries have more deaths per million population.  We are in a national crisis (1/5),2020-10-27 00:29:19,Twitter Web App,0,6,corona; 
This recent milestone is heartbreaking. My heart goes out to all those who have been affected directly and indirectly by COVID-19. Please do your part to beat back this virus by wearing a mask washing your hands and watching your distance. Together we will get through this. https://t.co/KYydxaHn8c,2020-10-24 18:05:01,Twitter Web App,1,4,covid; 
A Biden-Harris ticket has a plan to fight Covid a plan to fight climate change and a plan to build back better #VPDebate,2020-10-08 01:51:48,Twitter for iPhone,19,95,covid; 
In just 6 months more than 210000 have died from the coronavirus. While I am relieved that President Trump appears to be recovering this completely disrespects COVID-19 victims and the massive challenges our nation still faces. The president must lead by example. https://t.co/CvBqxX33QQ,2020-10-05 21:03:34,Twitter Web App,1,15,covid; corona; 
The President has always known about the severity of COVID-19 but failed to protect the American people.  Now 194k Americans have died from the virus. And the administration still doesn’t have a plan as our children go back to school and we enter flu season. https://t.co/un6aAXNy9O,2020-09-09 17:54:15,Twitter for iPhone,3,7,covid; 
The President retweeting this reaffirms what we already know. He doesn't believe in science or the seriousness of this virus. He believes that pretending Covid-19 doesn't exist will make it go away. https://t.co/vNu0sKEUey,2020-07-13 14:36:44,Twitter for iPhone,5,16,covid; 
So if you are feeling healthy not experiencing symptoms and don’t believe you’ve been exposed to coronavirus please feel comfortable voting.,2020-03-14 15:39:01,Twitter for iPhone,2,2,corona; 
We wanted to connect as we are now just a few days from Election Day in Illinois. We have of course heard from folks that have been feeling a little anxious about the safety of voting while our country begins to deal with an uptick in coronavirus cases.,2020-03-14 15:37:27,Twitter for iPhone,4,22,corona; 
