#PPP loans have helped countless small businesses keep the lights on and save jobs during the coronavirus crisis. But it’s been 100+ days since Speaker Pelosi let funding lapse. #LetsWork so we can give Hoosier workers and Main Street job creators some relief. https://t.co/rN9tRBd3Yx,2020-11-19 20:50:13,TweetDeck,25,79,corona; 
It’s great to see businesses in our community using innovation to fight coronavirus. I recently saw a demonstration of the shopping cart cleaning and protecting equipment from Healthy Cart Systems in South Bend that can help keep Hoosiers safe and healthy while they shop. https://t.co/X4umhDXlMQ,2020-10-26 19:24:17,TweetDeck,2,7,corona; 
Since the COVID-19 crisis hit Indiana Hoosiers have been doing their part to get through it together. Now we need to rebuild our economy with pro-growth policies that increase take-home pay encourage innovation and help small businesses and workers. #CommitmentToAmerica https://t.co/Uec6kBtmE0,2020-10-16 13:00:01,TweetDeck,30,83,covid; 
In order to defeat coronavirus we need to expand testing develop a safe and effective vaccine end our dependence on China for critical medical supplies and protect individuals with pre-existing conditions. https://t.co/PdkU1tgc28 https://t.co/FP8ht1nqGV,2020-10-15 19:03:00,TweetDeck,13,36,corona; 
The coronavirus crisis has impacted every American but it hasn’t changed what we're fighting for. That’s why I’ve made a commitment to renew the American Dream and secure better opportunities for every generation. Visit https://t.co/PdkU1tgc28. @HouseGOP #CommitmenttoAmerica https://t.co/UmK1GaAJW6,2020-10-06 14:09:52,TweetDeck,73,229,corona; 
I am praying for a swift recovery for President Trump the First Lady and all our fellow Americans who have been diagnosed with coronavirus. We will defeat this invisible enemy and we will get through this together.,2020-10-02 15:05:00,TweetDeck,3,20,corona; 
I signed this discharge petition because it’s clear Congress must take action to provide commonsense targeted coronavirus relief for small businesses and their employees. Let’s restart PPP now. https://t.co/aFhAjvQUUr https://t.co/ajukDhPhQD,2020-09-30 15:14:00,TweetDeck,3,2,corona; 
.@HouseGOP is working to restore our way of life. Our #CommittmentToAmerica includes defeating coronavirus keeping America healthy ensuring the safety and security of our communities and preserving our constitutional freedoms. Learn more at https://t.co/PdkU1tgc28. https://t.co/lp82sRxmtK,2020-09-29 22:22:10,TweetDeck,27,53,corona; 
COVID-19 has shown us it's important to #BeReady and update your emergency kit with supplies for a pandemic. Learn how to make sure you and your family are always prepared because #DisastersDontWait. #NationalPreparednessMonth @Readygov https://t.co/wKG5OPkgKd,2020-09-25 17:30:00,TweetDeck,1,3,covid; 
One of the key lessons from the coronavirus response has been the need to break our dependence on China for production of medicines PPE and other critical medical supplies.   https://t.co/mraZzZiQ1o,2020-09-23 15:05:28,Twitter Web App,4,3,corona; 
I know Hoosiers are resilient and our nation will get through this crisis stronger than ever before. @HouseGOP has a plan to restore our way of life by defeating coronavirus keeping Americans safe and protecting our rights and freedoms. https://t.co/1CimDxpOkD,2020-09-21 21:06:45,TweetDeck,26,41,corona; 
This is a big win for Hoosier family farmers – and the right call by EPA. I’ve urged President Trump and his administration to stand with farmers &amp; biofuels industry so our rural economies are in the best position to recover from the coronavirus crisis.  https://t.co/y0kg0MroRU,2020-09-16 18:14:04,TweetDeck,2,1,corona; 
.@ElkhartSchools food services staff are working hard to make sure children across our community continue to get healthy nutritious meals during the uncertainty of the coronavirus crisis. I saw where they receive and pack hundreds of meals for students. https://t.co/P4mquxTIhr,2020-09-15 17:20:12,TweetDeck,1,1,corona; 
America’s most vulnerable children and families face unique challenges and the coronavirus crisis presents even more obstacles to overcome. This bipartisan bill will provide much-needed additional support for foster youth and child welfare services. https://t.co/WgK3rSuGJc,2020-08-07 17:56:36,TweetDeck,11,18,corona; 
The Trump administration is taking action and sending a strong message to China: hacking coronavirus vaccine researchers will not be tolerated. Congress needs to hold China accountable. Let’s start by holding a hearing on Chinese espionage. https://t.co/UblbGfLwqF,2020-07-31 20:05:15,TweetDeck,1156,1276,corona; 
