Our communities have done an incredible job helping Hoosiers get back on their feet after the COVID-19 shutdown. Now strengthening our local infrastructure is a key component of delivering jobs and economic development to Indiana https://t.co/GAk46nxDND https://t.co/bDsROJQ14U,2020-09-03 17:55:54,Twitter for iPhone,9,4,covid; 
We had a great conversation today during our virtual roundtable on international trade updates to rural broadband and what the next coronavirus relief bill might mean for our state's agriculture community. Thank you to all Hoosier farmers who joined today! @INFarmBureau https://t.co/jjv9NeOQZ5,2020-07-22 17:44:13,TweetDeck,1,7,corona; 
As we continue our recovery from the coronavirus economic shutdown I toured downtown Seymour to discuss what the city is working on to increase jobs and opportunities here and maintain a vibrant downtown for Hoosiers both local and visitors to enjoy ➡️ https://t.co/4b7Rw8OclL https://t.co/kD87pdtwv4,2020-07-17 16:52:29,TweetDeck,1,2,corona; 
At home learning during coronavirus highlighted this lack of access to reliable internet for many families who now need it to access the classroom.,2020-06-23 14:54:47,TweetDeck,1,5,corona; 
By including the DRIVE-Safe Act in the STARTER Act Republicans are putting jobs and economic growth at the forefront of their surface transportation legislation which is especially vital as we rebuild our post-coronavirus economy: https://t.co/xPNgw47XLM https://t.co/85QRFkm8QO,2020-06-17 18:10:51,Twitter Web App,12,5,corona; 
To everybody who was and still is on the frontlines of coronavirus thank you for your commitment to our communities our health and our safety.,2020-06-16 13:03:19,TweetDeck,0,4,corona; 
For the past few months our communities have been all hands on deck to help others through the health risks and uncertainty posed by the coronavirus pandemic.,2020-06-16 12:58:37,TweetDeck,1,4,corona; 
The Department of Health and Human Services (HHS) just announced that rural health clinics in Indiana will receive $3 million for coronavirus testing programs thanks to the Paycheck Protection Program and Health Care Enhancement Act ➡️https://t.co/bOzi8V5Onb,2020-05-21 20:18:26,TweetDeck,11,40,corona; 
To date Congress has provided $765 billion in state + local funding to aid in our fight against coronavirus. Part of our federal response has been helping local + state governments respond to this pandemic in the best way possible for their own communities. https://t.co/s1D5fSBx3S,2020-05-13 19:48:53,TweetDeck,2,1,corona; 
Availability of coronavirus testing plays an important part in opening back up our country so people can get back to work. (1/2),2020-05-06 17:49:01,TweetDeck,1,1,corona; 
Happy #NationalNursesDay to all Hoosier nurses who have been working tirelessly on the frontlines of coronavirus. Thank you for seeing your patients + their families through this difficult time and for always putting others first. We are eternally grateful.   📸: @meadowshospital https://t.co/WPJbMhuUly,2020-05-06 16:19:26,TweetDeck,1,1,corona; 
