It was a pleasure to meet with @ksnurses to receive an update on their response to COVID-19 and PPE deliveries.   Thank you to all our health care heroes working on the frontlines to keep our families safe!  #KS02 #ksleg https://t.co/wZzW2IN6ve,2020-07-23 18:52:03,Twitter for iPhone,3,13,covid; 
Visited Advent Health in Ottawa today to learn more about Franklin county's response to COVID-19.   Thank you to our health care heroes for keeping our communities safe!  #KS02 #ksleg https://t.co/GCq4JA9oUW,2020-07-16 21:34:09,Twitter for iPhone,3,18,covid; 
The @China_TaskForce interim report clearly finds that the #CCP covered up the Coronavirus which directly lead to the epidemic becoming a pandemic.   China must be held accountable.   #KS02 #ksleg https://t.co/62SExYriRZ,2020-06-15 19:54:10,Twitter Web App,493,524,corona; 
Great to visit with Linn county EOC and community leaders to discuss the federal response to COVID-19.  As we begin to reopen it is essential federal state and municipal leaders work together to ensure we protect Kansans’ lives and livelihoods.   #KS02 #ksleg https://t.co/QQj4WnXWgg,2020-06-05 19:36:57,Twitter for iPhone,1,8,covid; 
It was so great to catch up with my friends at  @AIPAC yesterday we discussed US and Israeli cooperation to tackle the global COVID-19 pandemic @SecPompeo's visit to Israel and ways to maintain a strong and prosperous cooperation. I will always stand with Israel.  #KS02 #ksleg https://t.co/9rKgoy1MLv,2020-06-03 14:29:51,Twitter Web App,5,26,covid; 
Protecting workers during #COVID19 is of the utmost importance.  I was glad to take part in today’s @EdLaborGOP hearing with @OSHA_DOL &amp; @NIOSH   #ksleg #KS02 https://t.co/yowBNMbfTn https://t.co/ZhyftoTP97,2020-05-28 18:59:40,Twitter for iPhone,5,9,covid; 
Are you a farmer or rancher whose operations were directly impacted by COVID-19?    Apply for the Coronavirus Food Assistance Program through @USDA that provides direct relief to producers.    https://t.co/h5gmShAfnK   #KS02 #ksleg,2020-05-26 20:27:19,Twitter Web App,4,9,covid; corona; 
Had a great meeting with members of @GrowthEnergy where we discussed the impact COVID-19 has had on the renewable fuels industry and how Congress can help moving forward.   I will always fight for our farmers and the future of renewable fuels.   #KS02 #ksleg https://t.co/8UjeC0OrzK,2020-05-26 18:28:28,Twitter Web App,6,9,covid; 
Join us LIVE now on @KSNTNews @fox4kc or online at https://t.co/6cAeDSPTAC for the #KSTownHall to discuss the Federal #COVID19 Response with the entire Kansas Delegation.   https://t.co/suOh5HyXkT  #KS02 #ksleg https://t.co/4MbDiaUee9,2020-05-22 00:03:24,Twitter Web App,4,8,covid; 
The @WhiteHouse Coronavirus Task Force acted early &amp; decisively unleashing the full powers of the federal government (@SBAgov @USTreasury @NationalGuard @USDA @DeptVetAffairs @HHSGov &amp; others) to combat the Coronavirus.    #KS02 #ksleg,2020-05-20 20:52:51,Twitter Web App,5,13,corona; 
Tune in @ 4:10pm CT for another important #COVID19 Teletown hall featuring experts from our Kansas Ag community.    https://t.co/TyTSJBIbyF   #KS02 #ksleg @newsfromkla @kscorn @KansasWheat https://t.co/aos5GT0tOc,2020-05-20 16:08:15,Twitter Web App,4,7,covid; 
