Let me get this straight:  Huge potentially life-saving news for Americans is announced—COVID vaccine is 90% effective in trials.  And the Left reacts by saying it's "bad news" because it happened while Trump is in office?  Unbelievable.  They're beyond parody at this point. https://t.co/xkt1F3xM1O,2020-11-09 16:56:41,Twitter Media Studio,1510,3561,covid; 
🚨 The Justice Department sent letters to New York and New Jersey demanding their nursing home COVID data.  Thousands of seniors were killed by their policies—but Governors Cuomo and Murphy still refuse to give Congress the information requested.  Time for answers.,2020-10-29 00:27:45,Twitter for iPhone,1160,2612,covid; 
🚨🚨 Today Chuck Schumer and Senate Dems once again BLOCKED a clean COVID relief bill.  Don't let them blame @realDonaldTrump. Don't let them blame Mitch McConnell.  Every time Republicans try to deliver aid to Americans Dems block it to play politics.  RT so everyone knows!,2020-10-21 19:45:51,Twitter for iPhone,15643,17913,covid; 
🚨 Add Cuomo to the list of anti-vaxxer Dems.  He's now telling Americans to be skeptical of a CDC/FDA approved COVID vaccine.  This from the same man who broke federal guidelines and issued a nursing home order that killed thousands of seniors.  Maybe he should sit this one out. https://t.co/7P3NFRxyIr,2020-10-19 21:33:05,Twitter Media Studio,828,1650,covid; 
What Pelosi should be focused on: A COVID relief deal.  What Pelosi is actually focused on: 25th Amendment fantasies.  Some things never change. Dems will always put their political agenda above the needs of workers and families.  RT if you’re sick of it! https://t.co/PWDiNZUwAG,2020-10-09 16:07:43,Twitter Media Studio,1299,1885,covid; 
Now even CNN is calling Cuomo out for lying about his own deadly order to force COVID-positive patients into nursing homes.  You know a Democrat is in trouble when they've lost CNN. https://t.co/cmTNsD2jYj,2020-10-01 20:58:09,Twitter for iPhone,1024,1948,covid; 
Some things never change.  Pelosi's "new" COVID bill isn't new.  It's her same old wish list.  - Stimulus checks to illegal immigrants - Release prisoners - No-ID voting  But this time she strips out $600 MILLION of police funding from the previous version.  Americans are fed up. https://t.co/UVQw5M5OOj,2020-09-30 22:15:57,Twitter Media Studio,1976,3077,covid; 
🚨 Dems are trying to pull a fast one.  They stripped $600 MILLION of police funding out of their "new" Coronavirus bill that was in their previous Coronavirus bill.  Republicans caught them.  RT so everyone sees what Dems are trying to do to our police officers!,2020-09-29 19:11:37,Twitter for iPhone,15056,13743,corona; 
Priorities are telling.  This Dem Majority has held ZERO hearings on China's COVID lies.  What have they wasted time on instead? - USPS hoax - Hearings with liberal celebrities - Voting schemes - Partisan games—that hurt workers &amp; families—to push their far-left political agenda https://t.co/RZ5GDmKe3e,2020-09-23 15:33:36,Twitter Media Studio,507,996,covid; 
China: - Unleashed Coronavirus on the world - Lied to cover it up - Hoarded PPE for leverage - Tried to hack our vaccine - Corrupted the World Health Organization  Yet Dems block action to hold them accountable.  Why?  So they can blame @realDonaldTrump instead.  Pure politics. https://t.co/8FNhUicxR2,2020-09-17 00:11:07,Twitter for iPhone,774,1397,corona; 
Let's get this straight:  This week Dems aren't doing a thing to help Americans.  What are they doing instead?  Wasting time on a useless resolution condemning the term "Wuhan Virus" when THEIR committee held a hearing titled "The Wuhan Coronavirus."  These people aren't serious. https://t.co/dezHduYcUn,2020-09-15 22:58:47,Twitter Web App,625,1191,corona; wuhan virus; 
Don't let Dems and their partners in the media spin this differently:  America is on the doorstep of a safe effective vaccine for COVID-19 because of @realDonaldTrump's leadership and Republican congressional action to increase federal funding to fight viruses and find cures. https://t.co/a1Rf5cIIKC,2020-09-15 18:53:49,Twitter Media Studio,382,926,covid; 
CUOMO EXPOSED:  – Despite objections from nursing homes he ordered them to admit COVID positive seniors  – He used shady math to cover up the deaths  – Nursing homes that refused the order kept quiet out of fear saying “I know how vindictive [Cuomo] is.” https://t.co/BtiuJnjggY,2020-09-12 17:24:08,Twitter for iPhone,4522,6150,covid; 
🚨 HUGE → @TheJusticeDept is demanding data from Cuomo and the other Democrat governors who forced COVID patients into nursing homes.  Investigations into their deadly orders could be coming under the Civil Rights of Institutionalized Persons Act.  They won't get away with this.,2020-08-26 19:41:13,Twitter for iPhone,8555,19512,covid; 
Instead of holding Gov. Cuomo and Gov. Whitmer accountable for their deadly orders to force COVID patients into nursing homes Democrats gave them a primetime speaking spot on the first night of their convention.  Unbelievable.,2020-08-18 01:34:37,Twitter for iPhone,5826,10636,covid; 
He knows he violated protocols by forcing COVID patients into nursing homes.  He knows that killed thousands of seniors.  If he knew he had nothing to hide he wouldn’t refuse an independent investigation.  No more Cuomo cover ups. Families deserve answers. https://t.co/8u3bxICszq,2020-08-10 22:42:01,Twitter for iPhone,5326,7918,covid; 
Families who lost parents and grandparents in New York nursing homes after Cuomo violated federal health protocols and forced COVID patients into them are outraged.  "Mandating COVID-positive patients be accepted in light of this defies logic."  Where's the media outrage? https://t.co/VdDygj3KP8,2020-08-06 13:30:17,Twitter for iPhone,621,1180,covid; 
Cuomo wants to cover up his nursing home tragedy. This victim's daughter called him out:  "Failure to obtain actual numbers of COVID cases &amp; instead labeling death certificates as natural causes is unacceptable."  Her mom was cremated without being tested. https://t.co/g5MYHM9dHp,2020-08-05 19:56:37,Twitter for iPhone,744,1280,covid; 
WATCH → Not even Democrats in New York’s State Senate can get straight answers out of Cuomo’s administration on how many seniors were killed by his order to force COVID patients into nursing homes:  “I’m not prepared to give you a specific number.”  Completely unacceptable. https://t.co/xcgvSGMpD1,2020-08-05 16:44:05,Twitter for iPhone,375,626,covid; 
Here’s what Dems won’t tell you:  There’s $500+ BILLION in unspent funds from past Coronavirus bills that can be used flexibly—including to help states.  Congress shouldn’t pile more debt on future generations to bail out mismanaged blue states that were failing before COVID. https://t.co/t1281DolOY,2020-08-03 22:34:57,Twitter Media Studio,469,869,covid; corona; 
Dems' demands: - Mail-in/No-ID voting - Stimulus checks to illegal immigrants - Green New Deal provisions - Tax breaks for blue state millionaires - $ for sanctuary cities - $ for pot industry  What a joke.  That's not COVID relief. It's Pelosi's No Liberal Cause Left Behind Act. https://t.co/2xmuNt73tQ,2020-08-03 14:31:18,Twitter for iPhone,3288,4254,covid; 
First Whitmer ordered COVID patients into nursing homes—killing thousands of seniors.  Then she tried to cover it up.  Now she vetoed a bill directing COVID patients away from nursing homes.  Sickening. She must be held accountable for her deadly actions. https://t.co/p11jdprFKc,2020-08-02 13:47:54,Twitter for iPhone,2550,3706,covid; 
The liberal media won't tell you this.  Yesterday Dr. Fauci told Congress: - Trump's leadership has saved lives. - He agrees with Trump's decisions. - Trump is working with America's smartest doctors and experts to combat COVID-19.  All they want to do is attack @realDonaldTrump. https://t.co/vquMNn7Lyo,2020-08-01 13:21:16,Twitter Media Studio,1476,2599,covid; 
45 governors followed federal protocols to avoid COVID in nursing homes.  5 Democrat governors didn't.  10000+ seniors died.  Today Admiral Giroir again said it's dangerous to send COVID patients to nursing homes.  Time to hold the governors who issued deadly orders accountable. https://t.co/lb54ZEB237,2020-07-31 18:58:13,Twitter for iPhone,2822,4261,covid; 
