Thankfully our president is feeling much better and his prognosis is good! Praying for a speedy recovery for everyone who is having COVID-19 symptoms. 🙏🏼 https://t.co/2ScnvmfppC,2020-10-05 19:23:32,Twitter for iPhone,43,254,covid; 
I received a negative COVID-19 test tonight. Statement below. https://t.co/YkX6b3qd6L,2020-10-03 02:44:47,Twitter Web App,53,411,covid; 
House Democrats are clearly more concerned with what people CALL the coronavirus--than passing a bill that will help the American people &amp; small businesses RECOVER from the coronavirus.   This stunning misplacement of priorities is having tragic consequences on real people.,2020-09-14 21:58:16,Twitter Web App,211,414,corona; 
We celebrate Labor Day this year recognizing that it's different &amp; difficult for many Louisianians that may have lost their jobs due to COVID-19 or have lost their businesses from  Laura. Yet we are a hopeful resilient people &amp; with faith &amp; hard work we'll be even stronger. https://t.co/wy8IK3otCo,2020-09-07 15:33:47,Twitter Web App,35,122,covid; 
I spoke with @JonScottFNC tonight on @FoxNews about two critical issues: the coronavirus relief negotiations and  Louisiana’s path towards recovery after Hurricane Laura. (We have to keep this in the national news!) Watch our full conversation below.⬇️ https://t.co/WyS9uO2ImG,2020-09-06 23:04:17,Twitter Media Studio,80,180,corona; 
Earlier today I joined @NPRKelly on @NPR’s “All Thing Considered” to discuss the government’s response to COVID-19 and the historic storms headed straight for our district. This and more in my full interview below. ⬇️  https://t.co/WS31f7RlLL,2020-08-26 01:36:17,Twitter for iPhone,6,15,covid; 
Great news today! The @US_FDA has approved convalescent plasma as a treatment for COVID-19 patients. Thanks to the leadership of @realDonaldTrump &amp; the work of his administration we are seeing expedited progress in the development of safe treatments &amp; therapies for this disease. https://t.co/Fg36PZxooj,2020-08-23 23:12:39,Twitter for iPhone,86,231,covid; 
With so many communities competing for resources to battle COVID-19 I’m pleased we have been able to consistently secure such substantial aid for our district.  More beds in our hospitals and more supplies in the hands of our health care heroes translates to more lives saved.,2020-08-06 22:00:00,Twitter Web App,3,16,covid; 
Big news for our district today. $13.4 million in COVID-19 aid is headed to Ochsner @LSUHS for more ICU and hospital beds PPE ventilators and medical equipment.    https://t.co/ociM0ZVPuQ,2020-08-06 21:59:59,Twitter Web App,6,24,covid; 
Recognizing the seriousness of this virus &amp; the danger it poses to high-risk individuals I began following the attending physician’s recommendation immediately. Should the attending physician recommend at any point that I take a COVID-19 test I will follow that guidance as well.,2020-07-30 02:04:32,Twitter Web App,8,75,covid; 
It is essential that the state reports COVID-19 numbers accurately and the discrepancy discovered in Red River Parish is raising serious questions. We will address this and many other issues on our Red River Parish telephone townhall this afternoon.  https://t.co/AKAM4H13dI,2020-07-16 15:39:10,Twitter for iPhone,20,43,covid; 
.@VP joined our Congressional Delegation @Coach_EdOrgeron @LouisianaGov Key members of the @whitehouse Coronavirus Task Force state legislatures &amp; leaders of LA's higher education institutions to discuss the importance of reopening our schools this fall at every level. https://t.co/ZlTBHBJ5aC,2020-07-14 23:32:32,Twitter Web App,35,114,corona; 
