We also need to keep airports in top condition for when air travel picks back up to normal operating capacity when COVID-19 rescinds.   More here on the secured federal funding for airports: (2/2)   https://t.co/nnQxqy3Ujl,2020-10-23 00:13:49,Twitter Web App,0,2,covid; 
This year we worked to secure $159000 for several airports in South Louisiana in response to COVID-19. (1/2) https://t.co/T2DQ1X2759,2020-10-22 21:55:32,Twitter Web App,1,0,covid; 
TESTING CENTERS: Where to get tested for COVID-19 in the Baton Rouge area https://t.co/KDEtrZLtkQ,2020-07-10 14:51:39,Twitter for iPhone,1,0,covid; 
Small businesses in Louisiana can apply for Main Street Recovery Program grants to help with COVID-19 expenses https://t.co/7LtLCGxDke,2020-07-02 15:16:34,Twitter for iPhone,2,1,covid; 
Grateful to all of those working together during the coronavirus pandemic to help Louisiana recover. https://t.co/2p8JUq5EBt,2020-05-29 22:40:09,Twitter for iPhone,1,2,corona; 
Baton Rouge General offering COVID-19 antibody testing at 2 Express Care locations https://t.co/c59NuZ1nnC,2020-04-22 01:33:41,Twitter for iPhone,1,0,covid; 
Lake Urgent Care/Lake After Hours set to offer new rapid COVID-19 test https://t.co/QUp3ytFAoo,2020-04-06 13:31:50,Twitter for iPhone,1,0,covid; 
Baton Rouge’s main location for coronavirus testing to resume operations Wednesday https://t.co/RQC4akRj8k,2020-03-25 12:54:33,Twitter for iPhone,1,2,corona; 
La. US attorney urges citizens to report suspected COVID-19 fraud https://t.co/6XGQ4w5W5W,2020-03-25 12:54:04,Twitter for iPhone,1,1,covid; 
Baton Rouge’s main location for coronavirus testing to resume Friday https://t.co/RQC4akRj8k,2020-03-20 16:03:07,Twitter for iPhone,2,2,corona; 
Grocery stores offering special ‘seniors only’ hours amid COVID-19 pandemic https://t.co/1q2kj1rnpU,2020-03-19 23:52:29,Twitter for iPhone,1,2,covid; 
Boys &amp; Girls Club of Greater Baton Rouge to give out backpacks with supplies to stay busy during coronavirus pande… https://t.co/Baqgp2gk0R,2020-03-19 23:51:18,Twitter for iPhone,2,2,corona; 
K-12 schools in Louisiana shut down through April because of coronavirus https://t.co/vdc9hKrWwb via @theadvocatebr,2020-03-13 18:06:05,Twitter Web Client,1,0,corona; 
Louisiana launches statewide call network to answer questions related to coronavirus https://t.co/nUe28ywwf5,2020-03-13 00:47:56,Twitter for iPhone,2,1,corona; 
