As case numbers rise and hospitals across the country fill it’s clear that the end of 2020 does not mark the end of the COVID-19 crisis. We should extend pandemic-related unemployment assistance accordingly.   https://t.co/JoWSiwGTix,2020-11-28 15:22:00,TweetDeck,18,50,covid; 
The swift formation of a COVID-19 advisory board by @JoeBiden &amp; @KamalaHarris should reassure the American people that crushing the virus &amp; reviving our economy will be top priorities in the next WH. @WaysMeansCmte stands ready to ensure that we finally recover from this crisis.,2020-11-09 14:17:04,Twitter Web App,41,179,covid; 
The new record-breaking spikes in cases across the country imperil our ability to climb out of the COVID recession. https://t.co/R0JjjfY4BH,2020-11-06 17:55:37,Twitter Web App,16,40,covid; 
The president continues to reject reality saying "we’ve turned the corner" even as the US sets new daily COVID case records and hospitals across America are strained to the brink with the flood of COVID patients.   We must defeat the virus. https://t.co/YiT12omBtI,2020-10-30 17:53:00,TweetDeck,6,8,covid; 
COVID-19 has illuminated &amp; exacerbated longstanding racial inequities in our health care system that we must correct. The consequences to health and the perpetuation of unequal outcomes make this work more urgent than ever. We must redouble our efforts.   https://t.co/njFfQFyy2r,2020-10-30 14:19:34,Twitter Web App,3,5,covid; 
The facts are clear.  🇺🇸 210000+ Americans have died from #COVID19 👩‍✈️ MILLIONS are out of work   📉 Our economy is failing our families  @SenateGOP has chosen to IGNORE the facts.   We cannot wait. Pass the #HeroesAct!,2020-10-17 14:07:00,TweetDeck,21,33,covid; 
The #COVID19 pandemic is FUELING the housing crisis.   Millions of Americans are facing EVICTION.   #KnowYour Rights. Find out if you qualify for protection from eviction.   Visit https://t.co/80dhcYRtdH for more information.  https://t.co/Sa9jyuovC2,2020-10-16 14:28:48,Twitter Web App,4,4,covid; 
Trump's decision to walk away from covid relief talks demonstrates:  Contempt for science &amp; refusal to stop the virus  Disdain for our frontline heroes   Refusal to put money in workers’ pockets  https://t.co/6Dm4eYIyFn,2020-10-09 16:17:00,TweetDeck,5,3,covid; 
The effects of coronavirus on children and their education is deeply concerning.   The updated #HeroesAct passed last week provides $225 billion for education nationwide including $182 billion for K12 schools &amp; nearly $39 billion for postsecondary education. Kids need that! https://t.co/c4MBI9hAAv,2020-10-08 19:11:00,TweetDeck,7,6,corona; 
As we head into the weekend hear the news of our President and First Lady contracting COVID and see numbers in western MA rising I'll post this again. Wear a mask wash your hands and practice social distancing. If you feel sick please stay home. #MaskUpMA https://t.co/wsHZWWrwvq,2020-10-02 17:55:00,TweetDeck,21,119,covid; 
I’m proud to stand with my fellow @WaysMeansCmte members in fighting for all Americans impacted by the COVID-19 recession like Michelle from East Longmeadow whose letter I shared. @SenateGOP must do the right thing and pass the #HeroesAct. https://t.co/HfVxz0OCaY,2020-09-22 16:04:44,Twitter Web App,8,14,covid; 
This #LaborDay we remember all who have fought for workers’ rights from the shop floor in the streets and on the picket line.   We will always live by our commitment to fight for American workers--especially during this #COVID19 pandemic. https://t.co/6Ajik3zi1y,2020-09-07 12:25:19,Twitter for iPhone,9,33,covid; 
