@FoodBankWMA At Lorraine’s they’ve an increase of individuals using their services rise from 600 people a month to 900/1000 people a month during COVID19.   #MontesMarch,2020-11-23 15:40:17,TweetDeck,0,2,covid; 
When you support the @FoodBankWMA you support local orgs/food pantries like MLK Family Services Lorraine’s Soup Kitchen &amp; Kate’s Kitchen.   They are seeing an increase in demand from COVID19.   You can help meet the need: https://t.co/P9BX0bV0qD  #MontesMarch,2020-11-23 15:37:33,TweetDeck,3,8,covid; 
COVID-19 hasn’t been easy for anyone but the live event industry has been one of the hardest hit.   In one week we can elect leaders who value workers &amp; understand the urgency of this moment &amp; the need to help those who have been hurt this year through no fault of their own. https://t.co/R4QqynRByD,2020-10-27 19:16:16,TweetDeck,2,11,covid; 
Nearly 50 million Americans who don’t have enough to eat. Food lines stretch around the corner at food banks because of COVID-19. But not a single question from Chris Wallace tonight about hunger.,2020-09-30 03:15:14,Twitter for iPhone,7,31,covid; 
Donald Trump still has no plan to deal with the coronavirus. #TrumpLied200KDied,2020-09-30 01:25:50,Twitter Web App,6,19,corona; 
What kind of leader — what kind of person — mocks mask wearing on the day America surpassed 200000 COVID related deaths when we know wearing a mask will literally save lives?,2020-09-23 11:35:40,Twitter for iPhone,8,27,covid; 
The worst drop in our nation's history.   Millions are unemployed. Rent is due.   Positive coronavirus cases are on the rise.  Mitch McConnell's plans?   Take no action for TWO MONTHS &amp; adjourn for a long weekend.   Shameful. https://t.co/uVNX7SjKBC,2020-07-30 22:32:13,Twitter Web App,2,8,corona; 
I don’t know who needs to hear this but a COVID relief package should prioritize food over fighter jets.,2020-07-28 14:58:16,Twitter for iPhone,308,1213,covid; 
May 15:  - 80000 COVID related deaths  - 1.4 million positive cases - 36 million unemployed   Today:  - 140000 COVID related deaths  - 3.8 million positive cases  - 51 million unemployed   9 weeks Senate Republicans made the American people wait.   Shame on them. https://t.co/Cos20A8NUx,2020-07-22 01:37:18,Twitter for iPhone,2,14,covid; 
I don't know who needs to hear this (the president) but "The United States' alarming rise in coronavirus cases isn't due to increased testing."  The more you know...  https://t.co/kmUouAVnhN https://t.co/lrUeQ7LWcP,2020-07-09 13:15:14,Twitter Web App,3,13,corona; 
I'm glad that the House passed my bill to create a bipartisan Select Committee on the Coronavirus Crisis to ensure that taxpayer $$ is used properly &amp; efficiently - including prioritizing workers over corporate profits.    Proud to stand with @JoeBiden &amp; @ewarren in this fight. https://t.co/44K2BRMX6D,2020-05-22 15:25:19,Twitter Web App,1,7,corona; 
We need massive public infrastructure investments now more than ever especially in our medical facilities. We can put thousands of works like @GoIUPAT back to work to help our communities recover from #COVID19 https://t.co/3xh29ATXxC,2020-04-02 23:46:00,TweetDeck,12,16,covid; 
Questions about essential vs. non-essential businesses? #COVID19   https://t.co/44uO7N8MUi,2020-03-24 13:23:46,Twitter Web App,2,6,covid; 
If you are looking for ways to offer assistance - or seeking assistance - check out the Worcester Together partnership between @TweetWorcester &amp; @UnitedWayofCM.   Now more than ever we must stand together.   #Worcester #COVIDー19 https://t.co/4QcSdwUYKv,2020-03-23 12:53:39,Twitter Web App,10,24,covid; 
