It's the first Thanksgiving in my life I don’t want to spend with my parents because the risk is too great—but I’m thankful they are alive &amp; well. For more than 250000 American families the empty spots at the table this year are a grim reminder of the devastating toll of COVID19,2020-11-26 16:39:24,Twitter Web App,92,795,covid; 
The United States just set a record for new coronavirus cases in one day: 77640. And President Trump still doesn't have a plan. https://t.co/PSTpzSVtNs,2020-10-23 17:03:29,Twitter Web App,51,171,corona; 
Whether it’s coronavirus or forest fires the president’s message is “you’re on your own"—the antithesis of our nation's motto: "Out of many one."   It’s time for a leader who will prevent crises rather than politicize them. Joe Biden will restore empathy to the White House. https://t.co/30LoVUEipg,2020-10-16 20:26:51,Twitter Web App,18,108,corona; 
Gold Star families have already suffered unspeakable tragedy. For the President to suggest it's their fault he contracted Coronavirus when he has been flouting medical advice since day one of the pandemic would be laughable if it weren't so reprehensible. https://t.co/F7yR9adCBH,2020-10-08 17:11:30,Twitter Web App,234,881,corona; 
"Because of Covid-19 Trump called himself a wartime president but he didn’t heed his generals and never ordered ammunition." https://t.co/YyDloW47Sx,2020-09-14 20:36:24,Twitter for iPhone,21,93,covid; 
On Jan. 28 Trump was told coronavirus would be "the biggest national security threat" of his presidency. Just days before he said "We have it under control. It's going to be just fine." https://t.co/sHiJ4rPcgq,2020-09-09 19:51:28,Twitter Web App,21,65,corona; 
The coronavirus and the president’s trade war are a one-two punch against our fishermen. I’m going to keep fighting back with them. https://t.co/NleU9oKqC1,2020-08-29 14:00:17,Buffer,13,49,corona; 
When I heard about the first death of a grocery store worker from Coronavirus I got on the phone with the governor and asked that they be classified essential in order to get priority testing. It was done the next day. https://t.co/qGi2DxHxxe,2020-08-28 12:06:05,Buffer,15,137,corona; 
Reminder that the Trump administration is trying to hide COVID data from the public: https://t.co/9h0VfZv1vt,2020-08-03 19:27:32,Twitter Web App,47,157,covid; 
Why is the MLB taking Coronavirus more seriously than Republicans in Congress? https://t.co/AidlydlRTY,2020-07-30 12:02:00,Buffer,18,80,corona; 
Coronavirus has disrupted our lives in ways we never could have predicted. This is an opportunity to think big transform our country and come out stronger on the other side. https://t.co/uq6VL6aL10,2020-05-19 20:59:31,Twitter Web App,19,135,corona; 
I'm glad that we could help @NortheastArc locate this shipment. Nonprofits and states in the richest country on Earth should be focused on the response to coronavirus not competing against each other for protective equipment. https://t.co/IIiMC3rQyR,2020-05-06 19:38:36,Twitter Web App,7,11,corona; 
I'm hosting a virtual conversation today at 5 pm in partnership with Samaritans of Boston to discuss access to mental health resources during coronavirus. Join us at https://t.co/pwkF1svR5v,2020-05-06 13:53:22,Twitter Web App,2,4,corona; 
Thanks @SECupp for nominating me in the #COVID19challenge. I'm supporting the @UnitedWayMABay Lynn Community Care Fund and @projectbread and I nominate @EnesKanter @SRuhle and @AmyMcGrathKY to keep it going. https://t.co/1s0awzhHDs,2020-05-01 23:58:04,Twitter for iPhone,18,88,covid; 
I'm live now with AG @maura_healey to talk about how to protect yourself from scams and cybercrimes during coronavirus. Tune in with your questions! https://t.co/5uiiRkMyOz https://t.co/2gNpY2Ob6m,2020-04-29 20:09:28,Twitter Web App,5,13,corona; 
We know about the public health consequences of COVID-19 but the pandemic leaves us vulnerable in other ways too. I’m looking forward to joining @Maura_Healey for a conversation on how to protect yourself from online threats in the age of coronavirus. https://t.co/U97zvylLsJ,2020-04-27 17:11:02,Twitter Web App,3,11,covid; corona; 
I’m looking forward to being joined by @LaurenUnderwood tomorrow on Facebook Live to share her perspective on the #COVID19 crisis as a registered nurse and public health professional. Join us at 3:30 PM ET. https://t.co/2FzoDzdmkm,2020-04-20 23:03:46,Twitter Web App,12,31,covid; 
