With coronavirus cases increasing to record breaking numbers—please follow the CDC guidelines for this holiday season wear a mask and practice social distancing. This pandemic is not over. We must work together to keep our neighbors safe and prevent the spread of this virus. https://t.co/PdUmeURNyY,2020-11-25 17:48:00,Twitter Web App,1,9,corona; 
Joining the @FlintandGenesee Chamber of Commerce to update our community on the latest COVID-19 relief I’m pushing in Congress for families seniors and small businesses.  Watch live: https://t.co/96IQwHSMIp,2020-11-24 19:01:56,Twitter Web App,1,13,covid; 
.@LeeChatfield and @SenMikeShirkey have failed to put forward any plan to defeat COVID-19.   Instead of doing their jobs to protect you they're flying to DC at Trump's beck and call willingly participating in the President's desperate attempt to overturn the election results. https://t.co/IbaZdwNRvY,2020-11-19 17:26:12,TweetDeck,15,37,covid; 
This pandemic is far from over. I've heard from thousands of constituents who are still struggling to pay their bills put food on the table &amp; pay rent. Congress must put politics aside negotiate &amp; pass coronavirus emergency relief to help the American people. Watch my remarks: https://t.co/J405dfQwqD,2020-11-17 23:02:33,Twitter Web App,6,36,corona; 
As coronavirus cases top 10 million in the United States we must work together to stop the spread of this virus. By wearing a mask and practicing social distancing we can stop the spread of this pandemic and protect our neighbors. #WearAMask https://t.co/D17Ia1MABb,2020-11-09 23:12:00,Twitter Web App,5,39,corona; 
Just days after being elected President-Elect Biden and Vice President-Elect Harris have announced a new coronavirus task force to help defeat this virus. Their leadership could not come at a more important time as cases spike across the U.S. https://t.co/QOuIOajMRq,2020-11-09 17:01:51,Twitter Web App,6,40,corona; 
This pandemic is not over—Michigan is seeing an increase in the daily number of COVID-19 cases.  Let's listen to the science wear a mask and practice social distancing to help save lives. https://t.co/nXyjPwRNQV,2020-10-25 15:59:00,Twitter Web App,10,70,covid; 
Stopped by @GenHealthSystem's Mobile Testing Unit in Flint to thank our frontline health care workers. This pandemic is not over—we must ensure free coronavirus testing is available in every community. https://t.co/g81t16ZUy0,2020-10-22 23:00:01,Twitter Web App,2,6,corona; 
The coronavirus is real serious and deadly. We all have a role to play to crush this virus.  Wear a mask.  Practice social distancing.  Wash your hands.,2020-10-02 12:53:42,TweetDeck,23,77,corona; 
Such terrible news that @realDonaldTrump and @FLOTUS have contracted this serious real and deadly virus. I hope the President and First Lady quickly recover from their COVID-19 diagnosis. https://t.co/FJ56Rv01jq,2020-10-02 10:27:37,Twitter for iPhone,8,19,covid; 
