Incredible news today coming from Pfizer with their vaccine showing a 90% effectiveness rate. Thanks to #OperationWarpSpeed and tremendous dedication from scientists we have an extremely positive development in our fight against COVID.,2020-11-09 18:11:05,Twitter for iPhone,9,24,covid; 
Met with Martin and Amy Ramos at Thirsty Bird Bar &amp; Kitchen in Charlotte to hear about the impact of COVID-19 on their family restaurant. Glad to hear they received assistance through the CARES Act. https://t.co/ZAxVgB6hhr,2020-10-27 16:33:32,Twitter Web App,2,3,covid; 
Appreciated the opportunity to visit Banas Lumber and Deb's Floral Designs in Monroe to hear how COVID-19 has impacted their stores. As we continue to rebuild our economy I remain committed to supporting our local small businesses and the workers they employ. https://t.co/ojwEX9esQ9,2020-09-14 20:40:17,TweetDeck,2,5,covid; 
Had the opportunity to tour Meritt Products a family-owned manufacturer in Eaton County. During COVID-19 their carhop trays have been used to help maintain social distancing at everything from drive thru testing sites to local restaurants. https://t.co/vlCdEZoF5v,2020-09-02 20:23:35,TweetDeck,2,1,covid; 
Visited @HillsdaleHosp today to discuss rural health care and the positive impact they received from the CARES Act and Paycheck Protection Program. Glad to hear they currently have zero patients admitted with COVID-19. https://t.co/Oxde5V1ZRD,2020-08-21 15:13:56,Twitter for iPhone,2,3,covid; 
Appreciated the opportunity to stop by Melling Tool in Jackson to hear about issues facing local workers and manufacturers as we combat COVID-19. https://t.co/DIaAnNtTAT,2020-08-20 16:50:30,TweetDeck,1,3,covid; 
Throughout COVID-19 as a member of @EdLaborGOP I have made it a priority to listen to parents students and educators about the challenges facing schools as we combat the virus together.,2020-08-10 15:23:53,Twitter Web App,2,4,covid; 
If you have recovered from COVID-19 consider donating plasma and helping patients in the fight against this virus. https://t.co/2z2WFi2K0J,2020-08-06 20:19:30,TweetDeck,5,4,covid; 
In communities across the 7th District the Paycheck Protection Program has made a significant difference supporting jobs and small businesses during COVID-19.  https://t.co/TuAoMq9crF https://t.co/kvbvviUQ75,2020-07-17 18:26:47,TweetDeck,11,31,covid; 
Governor Whitmer's nursing home order is "an epic fail" — said a Michigan Democrat. Families in our state deserve answers for this failed policy that exposed vulnerable seniors to COVID-19.   Read my op-ed with @SteveScalise. ⬇️ https://t.co/7y6BwWNskp,2020-06-29 13:20:58,TweetDeck,199,342,covid; 
Michigan’s nursing home policies have exposed vulnerable seniors to greater risk during COVID-19. At today’s @HouseCommerce hearing I asked @GovWhitmer about this misguided approach and the incomplete data reported by the state. https://t.co/ONA26hWumF,2020-06-02 21:36:46,Twitter for iPhone,11,31,covid; 
Thank you @realDonaldTrump for coming to Michigan today and supporting our dedicated front line workers in the fight against COVID-19. https://t.co/iIcUI6XJwW,2020-05-21 14:20:37,TweetDeck,315,1427,covid; 
Good news → Rural Health Clinics in Michigan are receiving over $9 million to expand COVID-19 testing in rural areas. https://t.co/SMz67gGXMk,2020-05-20 20:15:38,TweetDeck,5,6,covid; 
Big news for Michigan farmers ➡️ Today @realDonaldTrump and @SecretarySonny unveiled the Coronavirus Food Assistance Program to provide relief during this pandemic.  Visit https://t.co/PvvgOtNwRd for more details. https://t.co/ctiCMkuvho,2020-05-19 19:19:28,TweetDeck,9,16,corona; 
Much of Speaker Pelosi's $3 trillion wish list pre-dates COVID-19. This is about politics not emergency relief. Our communities deserve better. https://t.co/tPdusTDrNY,2020-05-15 22:20:56,TweetDeck,72,171,covid; 
I am heading back to DC to vote NO and urge a different path forward. As policymakers we should be focused on bipartisan targeted COVID-19 relief instead of trying to exploit a pandemic for partisan gain.,2020-05-14 21:46:38,Twitter Web App,9,24,covid; 
Tomorrow the House is scheduled to vote on Speaker Pelosi’s 1800-page spending bill with a $3 trillion price tag. This laundry list of liberal policies that are unrelated to COVID-19 has no chance of becoming law.,2020-05-14 21:46:38,Twitter Web App,7,29,covid; 
Good news → Our local health centers in Jackson Lenawee and Monroe are receiving federal grants to expand their COVID-19 testing capabilities. https://t.co/QJE9To0mxr,2020-05-08 20:06:42,TweetDeck,1,3,covid; 
A big thank you to all our nurses courageously on the front lines of the battle against COVID-19. We are grateful for the many sacrifices you make to keep our communities healthy. #NationalNursesDay https://t.co/SgIk4Fd3i5,2020-05-06 17:24:25,TweetDeck,3,3,covid; 
As Michigan battles COVID-19 @realDonaldTrump and his Administration have been a strong partner in delivering resources to our state. Read more in @DetNewsOpinion. ⬇️ https://t.co/iG0AHjetfo,2020-05-06 15:40:51,TweetDeck,1,3,covid; 
Held another tele-town hall today to share a number of available resources and consumer protection tips on avoiding Coronavirus scams. Visit https://t.co/l8Tgsi3Kn9 for more information. https://t.co/BDjEyXxBI8,2020-04-30 00:55:55,Twitter Media Studio,2,2,corona; 
Starting today a new Coronavirus testing site is opening up at the Rite Aid in Eaton Rapids. Follow the link for more details on the pre-registration process. ⬇️ https://t.co/kheFYAUw5k,2020-04-20 13:16:13,TweetDeck,5,4,corona; 
More Coronavirus testing sites are opening up in Michigan including new drive-thru locations in Jackson and Lansing. ⬇️ https://t.co/r1YHxKsOEk,2020-04-11 21:07:50,TweetDeck,1,0,corona; 
I am co-sponsoring the HEROES Act legislation from @RepHuizenga. As we fight the Coronavirus this is another important step we can take to support our first responders and health care professionals. https://t.co/h4MZQzQiwr,2020-04-07 21:22:16,TweetDeck,7,9,corona; 
Just wrapped up another Coronavirus tele-townhall with constituents across the district. Lots of questions about the CARES Act and how it will help workers and small businesses. Learn more ➡️ https://t.co/1da4AEKCUz https://t.co/PIUNAp2f9M,2020-03-30 23:34:28,Twitter Media Studio,5,10,corona; 
More resources are coming to Michigan to help fight the Coronavirus.  https://t.co/R1mdfoOsC5,2020-03-28 16:49:15,Twitter Web App,2,3,corona; 
Today the House will be voting on the CARES Act to provide critical resources to Americans impacted by the Coronavirus. More details about the emergency relief ⬇️ https://t.co/1da4AEKCUz,2020-03-27 13:46:30,TweetDeck,7,7,corona; 
I'm heading back to DC for the House vote tomorrow on the third Coronavirus response bill. The CARES Act will deliver emergency relief to Michigan workers small businesses and health care professionals. https://t.co/Y1hpxeyuZY,2020-03-26 16:36:46,TweetDeck,3,18,corona; 
.@SpeakerPelosi &amp; @SenSchumer what do items like wind/solar tax credits and airline emissions mandates have to do with addressing the Coronavirus? Partisan demands that are unrelated to the crisis at hand prevents critical relief from getting to those who need it most.,2020-03-23 23:55:02,Twitter Web App,14,23,corona; 
Wash your hands. Practice social distancing. Help other people. Together as Americans we will get through this and overcome the Coronavirus. #InItTogether https://t.co/IhYlFtsPRR,2020-03-21 22:46:48,Twitter Media Studio,123,621,corona; 
Today we also hosted a telephone town hall with constituents across the district to highlight available resources and answer questions about the Coronavirus. Visit https://t.co/l8Tgsi3Kn9 for more information. https://t.co/9UY0PBjnkL,2020-03-20 23:52:08,Twitter Web App,0,1,corona; 
IMPORTANT TAX UPDATE: The deadline has been extended to July 15 giving families and small businesses impacted by the Coronavirus more time to file their returns. https://t.co/hQaYThhlZN,2020-03-20 15:46:44,TweetDeck,2,2,corona; 
.@realDonaldTrump just signed the Families First Coronavirus Response Act into law. It provides access to free testing and paid sick leave for workers who need it. Relief is on the way but there is much more work to do. We will get through this together.,2020-03-19 01:37:55,TweetDeck,8,16,corona; 
Saddened to hear that Michigan lost our first resident from a case of the Coronavirus. My prayers are with his loved ones and everyone affected by this public health crisis. https://t.co/OWKQoBMksw,2020-03-18 19:25:28,TweetDeck,0,1,corona; 
We are sending out regular Coronavirus email updates with available resources and public health guidance. Sign up here ⬇️ https://t.co/QBhZPd25PH,2020-03-17 17:07:16,TweetDeck,4,10,corona; 
More than $15 million from the @CDCgov is on its way to help Michigan fight the Coronavirus. https://t.co/2KfZUOPAIF,2020-03-17 16:21:07,TweetDeck,2,8,corona; 
For small businesses in Michigan impacted by the Coronavirus the @SBAgov has put together guidance to help navigate available resources.  More information is available here ➡️ https://t.co/h79O4yWlyG https://t.co/ZhBbF5GevL,2020-03-17 14:19:23,TweetDeck,4,2,corona; 
Confronting the Coronavirus will take all of us as Americans doing our part. Follow the latest guidance to help limit the spread. https://t.co/lMVC1Duu4E,2020-03-16 20:44:32,Twitter Web App,5,4,corona; 
If you have questions or concerns about the Coronavirus @MichiganHHS has set up a statewide hotline at 1-888-535-6136. It is open all week from 8 a.m. to 5 p.m. https://t.co/e8Be5LdXkj,2020-03-16 18:22:12,Twitter Web App,1,1,corona; 
Today I held conference calls to hear from county health departments and hospitals in the 7th District about their efforts to respond to the Coronavirus. Grateful for all the dedicated health professionals in our community. https://t.co/sHdi1YGAUJ,2020-03-16 18:22:11,Twitter Web App,4,10,corona; 
Starting yesterday Henry Ford Allegiance Health in Jackson is offering drive-though Coronavirus testing. More details here ⬇️ https://t.co/4Oapawb7uq,2020-03-15 15:01:47,TweetDeck,2,0,corona; 
With my support the House passed the Families First Coronavirus Response Act which ensures free testing and lends a helping hand to workers and small businesses facing economic hardship. https://t.co/VnVOs1H1vD,2020-03-14 13:06:41,TweetDeck,2,8,corona; 
.@realDonaldTrump took important action today by declaring a national emergency to combat the Coronavirus. The announcement of public-private partnerships to speed up testing capabilities is really welcome news. As Americans we will overcome this together.,2020-03-13 21:24:38,TweetDeck,5,9,corona; 
Our mission remains serving residents of the 7th District while ensuring everyone’s health and safety. For the latest information about the Coronavirus and resources from CDC visit https://t.co/wyf23E9XGp and https://t.co/xBgTHVwpUg.,2020-03-12 23:30:30,Twitter Web App,0,0,corona; 
I am actively monitoring the real-time developments regarding the Coronavirus and its spread into Michigan. My staff and I have been in regular communication with federal state and local health officials and we stand ready to assist. https://t.co/G7PfAh4dAH,2020-03-11 21:06:41,TweetDeck,2,4,corona; 
Thanks to everyone who attended our coffee hour yesterday at the Chelsea American Legion. I heard from constituents about a number of topics including the emergency funding package Congress passed last week to combat the Coronavirus. More info here ➡️ https://t.co/l8TgsilleH https://t.co/qzcEDwLn3d,2020-03-10 14:50:00,TweetDeck,3,5,corona; 
The House just passed a bipartisan funding package to confront the Coronavirus and prevent its spread. We have to continue working together to keep our families and communities safe. https://t.co/cgOLLGJmBj,2020-03-04 21:57:20,TweetDeck,2,5,corona; 
Attended another Coronavirus briefing with @VP Mike Pence and key public health officials to stay updated on the real time situation. https://t.co/nh4lXCfe5C,2020-03-04 19:56:42,TweetDeck,1,6,corona; 
This week I attended three briefings on the Coronavirus including one this morning by top leaders of the multiple agencies handling this issue. They detailed the government-wide response effort currently underway to protect the health and safety of the American people.,2020-02-28 21:07:19,Twitter Web App,1,1,corona; 
