OK for sure COVID is raging out of control and Trump is plotting a coup against democracy itself. Q: How to stay sane while we fight for justice? A: Go out in the first snow of the season with Augie who loves the white stuff however minimal and fleeting it may be. https://t.co/FYliOkwTwI,2020-11-22 21:10:35,Twitter for iPhone,4,44,covid; 
My crystal ball is spinning. 🔮   Trump’s epic failure to handle COVID and his belligerence will lead to a blue wave not only in MI but in one or several states like OH NC GA FL TX and AZ. His losses will correlate to COVID to some extent.   Dems take the Senate 52+ seats.,2020-11-03 14:55:24,Twitter for iPhone,5,32,covid; 
Thank you @JoeBiden for pointing out that we passed a COVID relief plan in the House of Representatives in May and have been ready and willing to negotiate. We’re not the ones who waited until the election was looming...  #Debate2020,2020-10-23 02:02:51,Twitter Web App,8,67,covid; 
It’s so hard to comprehend the scope of economic destruction COVID + Trump’s mishandling of it have wrought.   “The economy has nearly 11M fewer jobs than it did before the pandemic a bigger loss than the 8.7M at the depth of” the Great Recession.  https://t.co/cXvuG5rntY,2020-10-05 18:03:09,Twitter for iPhone,5,7,covid; 
-Since January 2017 Michigan has lost over 57000 manufacturing jobs. -Even before COVID-19 Michigan plants were closing and a manufacturing recession had begun.,2020-09-30 02:23:46,Twitter Web App,23,49,covid; 
If RBG could keep fighting for justice through five bouts with cancer we can’t very well let COVID Trump Barr aches pains or anything else bring us down. Just get up each day and build the beloved community.,2020-09-25 16:25:07,Twitter for iPhone,2,12,covid; 
Welcome to #MI09 Madame Vice President! I love these creative small business visits for COVID campaigning especially when it’s in Royal Oak! #SmallBusinessWeek https://t.co/FBbmShHck3,2020-09-23 00:04:20,Twitter for iPhone,8,25,covid; 
We have just reached the grim milestone of 200000 precious lives lost to this pandemic. This week also marks the beginning of early voting in MI. While Trump is not responsible for COVID-19 he is responsible for the worst failure of executive leadership in modern history.,2020-09-22 17:19:28,Twitter Web App,2,11,covid; 
COVID-19 and our broken immigration system have created an interwoven human rights crisis with eerie undertones of eugenics. We need answers about these allegations now @DHSgov. https://t.co/43kyDnVqed,2020-09-15 20:04:29,Twitter for iPhone,3,5,covid; 
What a slap in the face to the nearly 7000 Michigan families who have lost a loved one to COVID-19 for Trump to break the law gather a large group with no social distancing and scream at our Governor to "Open up your state." https://t.co/9WU6OVfcGQ,2020-09-11 02:05:11,Twitter Web App,22,71,covid; 
Biden helped save the auto industry and tens of thousands of manufacturing jobs during the Great Recession. As we face both health and economic crises from the fallout of COVID-19 Biden’s Build Back Better plan will create  thousands of family-supporting union jobs.,2020-09-08 20:23:39,Twitter Web App,19,31,covid; 
This is a #LaborDay unlike any other. I dearly wish I could be out celebrating in person with all of you at our traditional parades. But COVID or no COVID Labor Day is a time to appreciate the sacrifices of those who built the labor movement with their blood sweat and tears.,2020-09-07 15:10:19,Twitter Web App,5,19,covid; 
“Andy is an incredible partner in the fight for big structural change. Providing national leadership on labor law reform education equity green infrastructure and our Coronavirus Containment Corps Andy has been an indispensable champion for the people.“ Thank you @ewarren! https://t.co/Ir5KkxReHP,2020-07-29 21:11:41,Twitter for iPhone,12,89,corona; 
