Let’s take care of one another.  #MaskUp #StopTheSpread #COVID19 #CoronaVirusUpdates #BidenTransition https://t.co/TtrKcOdkax,2020-11-27 05:24:02,Twitter for iPad,3,6,covid; corona; 
What she said thank you @MaraGay #MaskUp #StopTheSpread #COVID19 #CoronaVirusUpdates #StaySafe https://t.co/gqigAnrUhs,2020-11-21 03:05:56,Twitter for iPad,2,7,covid; corona; 
Beyond tragic that 250K Americans have died and many more will follow because of a failure to take responsibility by POTUS. I don’t give a damn about his feelings. @USGSA open all lines of communication and cooperate with #BidenTransitionTeam NOW. Lives are at stake. #COVID19 https://t.co/UrNFLWWDeg,2020-11-18 23:45:44,Twitter for iPad,2,2,covid; 
#MaskUp Be patriotic protect yourself and everyone else. #Covid19 #CoronaVirusUpdates https://t.co/vcjMiJlX3a,2020-11-16 20:43:01,Twitter for iPad,2,6,covid; corona; 
Please wear a mask avoid large gatherings and practice clean hands at all times.  We are facing a once in a century public health emergency.  And we have the power to protect our families and friends. Please do your patriotic duty and protect each other. #COVID19 #MaskUp https://t.co/CMXBidm8su,2020-11-10 19:15:29,Twitter for iPad,1,4,covid; 
Rounding the corner and about to get hit head-on by a #COVID19 Mack Truck.  @realDonaldTrump has failed in his most basic job to protect the American people.  220K dead and counting.  He is #Unfit #Unhinged #IncompetenceKills time for him to go. #GoVote #BidenHarris2020 https://t.co/WKTZ9Yf0h8,2020-10-24 03:50:03,Twitter for iPad,4,8,covid; 
⁦@realDonaldTrump⁩ has failed in his most basic job to protect the American people. 220K Americans dead from #COVID19 because Trump still has no plan and refuses to take responsibility.  #Debates2020 #PresidentialDebate2020 #TimeForHimToGo https://t.co/7V4bXH11b9,2020-10-23 02:50:44,Twitter for iPad,6,42,covid; 
#DrFauci is right. #AgentOrange failure to take responsibility has led to the deaths of over 220K Americans.  @realDonaldTrump failed to protect the American people from #COVID19 He is #unfit #unhinged #unwell #TimeToGo #GoVote  https://t.co/dmkiSeBhCP,2020-10-19 19:12:45,Twitter for iPad,3,3,covid; 
#DrFauci is right. #AgentOrange failure to take responsibility has led to the deaths of over 220K Americans.  @realDonaldTrump failed to protect the American people from #COVID19 He is #unfit #unhinged #unwell and still puts thousands of lives at direct risk for his ego. #GoVote https://t.co/VM4nuZ7Fxo,2020-10-19 19:05:48,Twitter for iPad,3,5,covid; 
#covidcoverup in full force.  More dead Americans. https://t.co/Mx3J3uoLT0,2020-10-09 04:13:12,Twitter for iPad,3,3,covid; 
Tonight we saw a remarkable contrast between #KamalaHarris intellect integrity compassion and competency as compared to Mike Pence’s complicity in the #TrumpCOVIDCoverup ...the most incompetent and deadly failure by any presidential administration in U.S. history. #VPDebate https://t.co/K8YnZnJnW7,2020-10-08 02:39:25,Twitter for iPad,21,77,covid; 
Glad that @TeamPelosi is OK. Today is not a day for politics. Sending healing prayers for @realDonaldTrump @FLOTUS and every American suffering from #COVID19 #MaskUp #MaskUpAmerica #StopTheSpread #CoronaVirusUpdates https://t.co/l9x9OvXKQk,2020-10-03 00:11:18,Twitter for Android,5,5,covid; corona; 
That wasn’t a debate it was a disaster. @realDonaldTrump spoke code to #WhiteSupremacists He lied about #COVID19 He still refuses to take responsibility. 205K are dead because #IncompetenceKills @JoeBiden has a plan and the courage to heal us. #Debate2020 https://t.co/nr69rnUQIz,2020-09-30 02:58:43,Twitter for iPad,18,52,covid; 
That wasn’t a debate is was a disaster. ⁦@realDonaldTrump⁩ spoke code to #WhiteSupremacists He lied about #COVID19 He still refuses to take responsibility. 205K are dead because #IncompetenceKills ⁦@JoeBiden⁩ has a plan and the courage to heal us. #Debate2020 https://t.co/b5idcHb0ET,2020-09-30 02:45:53,Twitter for iPad,10,64,covid; 
#TrumpLied200KAmericansdied #COVID19 #CoronaVirusUpdates #IncompetenceKills https://t.co/PdS1wQ5Xky,2020-09-22 19:18:36,Twitter for iPad,6,3,covid; corona; 
@realDonaldTrump the 200000 dead Americans were not nobody they were our family and friends. You lied. You refused to take responsibility. You failed in your #1 job protecting the American people. #IncompetenceKills #COVID19 #CoronaVirusUpdates https://t.co/ubM9SP4wgy,2020-09-22 15:14:12,Twitter for iPad,0,1,covid; corona; 
@realDonaldTrump the 200000 Americans who have died on your watch from #COVID19 as you lied repeatedly did little and refused to take responsibility were not nobodies.They were our family and friends. You failed to protect the American people. #Nov3rd #JoeBiden @JoeBiden https://t.co/5gjPbOrzHu,2020-09-22 04:00:58,Twitter for iPad,0,0,covid; 
Interesting that @realDonaldTrump bragged about his efforts to protect an autocratic dictator who assassinates his own citizens but he refused to take responsibility for protecting 330 million Americans from #COVID19 #UnfitToBePresident https://t.co/nhCyuYv6XC,2020-09-10 20:07:10,Twitter for iPad,4,6,covid; 
#TrumpKnew He lied almost 200000 dead Americans and still counting. #Unfit #Covid_19 #CoronaVirusUpdates https://t.co/LzCwXLfJiG,2020-09-10 13:52:56,Twitter for iPad,2,11,covid; corona; 
Carl Bernstein:“We are listening to the president of the United States on tape deliberately undermining the security — national security of the United States the health and well being of the people of the United States.” #TrumpCovidTapes #Unfit  https://t.co/soj5YdsUIh,2020-09-09 19:43:13,Twitter for iPad,3,10,covid; 
@realDonaldTrump lied and Americans died. #IncompetenceKills #COVID19 #CoronaVirusUpdates #Unfit https://t.co/jBXD5xJADk,2020-09-09 19:24:54,Twitter for iPad,0,0,covid; corona; 
#6million Americans infected with #COVID-19 and 184450 dead.  @RealDonaldTrump still has no plan and refuses to take responsibility. #Unfit #IncompetenceKills #CoronaVirusUpdates https://t.co/XZdr06PY6D,2020-09-01 22:37:42,Hootsuite Inc.,5,8,covid; corona; 
180K Americans dead because #Unfit @RealDonaldTrump denied science and refused to take responsibility to beat #COVID19 #IncompetenceKills #BidenHarris2020 https://t.co/IBW5voyopQ,2020-08-28 03:51:55,Hootsuite Inc.,6,8,covid; 
Under #Unfit @RealDonaldTrump 180K Americans are dead because he continues to deny science and refuses to implement a national policy to defeat #COVID19 #BidenHarris2020 https://t.co/ZCiYyqqQIq,2020-08-28 02:57:28,Hootsuite Inc.,1,4,covid; 
Under #Unfit @RealDonaldTrump 180K Americans are dead because he continues to deny science and refuses to implement a national policy to defeat #COVID19 #BidenHarris2020 https://t.co/okD6vSBrPr,2020-08-28 02:57:24,Hootsuite Inc.,7,6,covid; 
Under #Unfit @RealDonaldTrump 180K Americans are dead because he continues to deny science and refuses to implement a national policy to defeat #COVID19 #BidenHarris2020 https://t.co/Uj6Grkpytc,2020-08-28 02:36:30,Hootsuite Inc.,8,12,covid; 
@WhipClyburn is absolutely right. @realDonaldTrump wants to suppress #COVID__19 testing and pressured @CDCgov to do it.  Means more undetected #CornonaVirus spreading infections more dead Americans all to support #Trump reelection.  Lives for votes? #IncompentenceKills https://t.co/yYl3OLLOMb,2020-08-26 20:11:52,Twitter for iPad,0,0,covid; 
What he said...General Honore calls it like it really is. #IncompetenceKills #CoronaVirusUpdates #COVID19 https://t.co/E1leoJnocG,2020-08-26 04:19:01,Twitter for iPad,4,6,covid; corona; 
Wonder if they will be OK with 300K dead Americans by the end of the year?  @realDonaldTrump legacy #IncompetenceKills #COVID19 #CoronaVirusUpdates https://t.co/z8DohkrWpr,2020-08-24 20:39:18,Twitter for Android,1,3,covid; corona; 
#MaskUp NOW #StopTheSpread #COVID19 #coronavirus https://t.co/tdBuAOYR9w,2020-08-19 20:55:20,Twitter for iPad,1,1,covid; corona; 
#homeownership is worth fighting for especially helping families and landlords avoid #Forclosures #COVID19 #CoronaVirusUpdates https://t.co/g3fIOmQ7Gm,2020-08-14 20:50:53,Twitter for iPad,6,7,covid; corona; 
#BeAPatriot #MaskUp #StopTheSpread #Covid_19 https://t.co/7BILSF1aDb,2020-08-14 04:56:43,Twitter for iPad,9,15,covid; 
US Senate millions of American can’t pay the rent can’t buy groceries can’t take care of their families.  The #HEROESAct has been sitting on Mitch McConnell’s desk for almost two months.  PASS IT NOW. #COVID19 #CoronaVirusUpdates https://t.co/e40nLLEiGx,2020-08-04 14:52:25,Twitter for iPad,5,6,covid; corona; 
#RealMenWearMasks #RealWomen too #MaskUp NOW and #StopTheSpread #COVID19 #CoronaVirusUpdates https://t.co/IPYceYcnGl,2020-08-01 16:39:16,Twitter for iPad,4,4,covid; corona; 
Communities of color across the country have been devastated by COVID-19. If the @SenateGOP had their way these communities would be left to fend for themselves.,2020-07-31 18:00:58,Hootsuite Inc.,2,4,covid; 
More than 4.3 million people. That’s how many confirmed cases of coronavirus there have been in America. McConnell and Senate Republicans need to abandon their weak “response” package and send the #HeroesAct to the President’s desk.,2020-07-31 14:30:24,Hootsuite Inc.,1,0,corona; 
#RealMenWearMasks #RealWomen too #MaskUp #COVID19 #CoronaVirusUpdates https://t.co/L2cGGxH1Jc,2020-07-30 00:20:01,Twitter for Android,3,3,covid; corona; 
#FactsMatter So does helping millions of American buy groceries pay the rent and take care of their families.  US Senate Pass the #HEROESActNow #ForThePeople #COVID19 #CoronaVirusUpdates https://t.co/b9ZLidt0FQ,2020-07-28 01:23:04,Twitter for iPad,6,5,covid; corona; 
@senatemajldr do your job. Bring the #HeroesAct up for a vote this week.  Millions of Americans are counting on Congress to act. #HeroesActNow #ForThePeople #COVID19 #CoronaVirusUpdates https://t.co/gXGBhJtpWH,2020-07-28 01:21:04,Twitter for iPad,0,0,covid; corona; 
