With morbidity and mortality rates due to COVID in rural communities on the rise it’s more important than ever on this #RuralHealthDay that we re-commit ourselves to engaging in preventative measures to keep our communities safe as we continue to combat this global pandemic.,2020-11-19 20:02:26,Twitter Web App,4,4,covid; 
Pelosi claims that COVID relief is a "priority" for House Dems but she &amp; her cohorts have actively blocked negotiations for over 100 days &amp; she's doubled down on her decision to keep pushing their multi-trillion dollar partisan wish list. Actions speak louder than words.,2020-11-18 20:29:43,Twitter Web App,4,10,covid; 
The American people sent a clear message to Pelosi and House Dems  that their obstructionism and unwillingness to provide bipartisan COVID relief was unacceptable but she still refuses to work with Republicans to deliver measured relief to struggling Americans. Enough is enough! https://t.co/XvbZbSOyFH,2020-11-12 16:30:35,Twitter for iPhone,4,13,covid; 
First Gov. Cuomo’s gross negligence at the onset of the Coronavirus endangered thousands of elderly nursing home residences and staff.   Now he’s trying to derail COVID-19 vaccines because he doesn’t want President Trump to get a win? Absolutely disgusting! https://t.co/Rq2hkdQoAH,2020-11-10 21:24:28,Twitter for iPhone,10,24,covid; corona; 
#ICYMI: I had the privilege of joining  Judy Stiles for one of her final episodes of #Newsmakers to discuss the election the coronavirus and more: https://t.co/9hJMl5Apo1,2020-11-06 22:11:48,Twitter for iPhone,1,2,corona; 
Our entire republic is built on compromise. Unfortunately Speaker Pelosi has refused to compromise on her #COVID19 "stimulus" costing small businesses families and workers their livelihoods. It is time for the Speaker to start negotiating across the aisle in good faith. https://t.co/HqksgY0iiY,2020-10-22 17:59:00,Twitter Web App,1,4,covid; 
Unlike the proposals Democrats have put forth there is no partisan agenda and no poison pills in this bill. The goal of this bill is to ensure small businesses can survive the #COVID19 pandemic. That's it. Speaker Pelosi needs to allow a vote on this critical legislation NOW. https://t.co/2aC7ZcrHkm,2020-10-21 13:44:18,Twitter Web App,5,4,covid; 
.@POTUS @realDonaldTrump continues to be resilient in the face of adversity leading our country through the #COVID19 pandemic and steering our economy in the right direction. https://t.co/Rzxb41bTHk,2020-10-19 14:23:34,Twitter Web App,4,7,covid; 
Pres. Trump &amp; Republicans have made repeated attempts to pass a COVID-relief package that will address the issues Pres. Trump has outlined below but Pelosi would rather hold up critical relief because she doesn't want POTUS to get any credit. The American people deserve better! https://t.co/UAGR8DJsjV,2020-10-07 15:53:50,Twitter Web App,5,10,covid; 
Glad to hear that @realDonaldTrump is feeling better. My prayers continue to be w/ President Trump &amp; @FLOTUS as they recover.  The Trump Admin has pioneered the most significant drug development effort in history &amp; thanks to him we will have effective COVID19 treatments soon https://t.co/IFgqgfCi5g,2020-10-05 19:24:43,Twitter Web App,2,15,covid; 
Thanks to @realDonaldTrump’s strong leadership we have gained back more than half of the jobs lost due to COVID-19– similar recovery efforts following the Great Recession in 2009 took nearly a decade. Find out more in this week’s #LongsShortReport: https://t.co/xPZed3Lqe6,2020-09-11 18:23:11,Twitter for iPhone,7,17,covid; 
COVID19 has completely changed how we educate our children &amp; now more than ever internet access is critical. This groundbreaking initiative will help school systems purchase broadband for low-income students to ensure their learning isn’t interrupted by COVID-related challenges https://t.co/7Tuf2oIGox,2020-09-10 18:19:42,Twitter for iPhone,6,4,covid; 
While Dems continue to block critical COVID-19 relief &amp; support defunding the police Republicans are working w/ @realDonaldTrump to defeat the virus protect our citizens &amp; get Americans back to work. Read more in this week’s #LongsShortReport https://t.co/sLWZKSskWd,2020-09-04 17:39:37,Twitter for iPhone,3,5,covid; 
Meanwhile she’s actively delaying negotiations for another COVID19 relief package that would help struggling Americans and first responders... https://t.co/PQvYqIqyTp,2020-08-19 17:50:04,Twitter for iPhone,395,911,covid; 
Thanks to dangerous policies like those issued by 5 Democratic governors nursing home residents make up over 40% of all COVID-related deaths despite being less than 0.5% of the total population. Find out more in this week’s #LongsShortReport: https://t.co/dUA2RQ8i9w,2020-07-17 17:34:13,Twitter for iPhone,4,3,covid; 
Gov. Cuomo issued an order in March insisting nursing homes must admit COVID-positive patients despite pushback from the medical community resulting in thousands of patient &amp; staff deaths. Then he blamed everyone but himself.   I’d sit this one out if I were you Governor. https://t.co/c2gRWBaynY,2020-07-16 19:10:39,Twitter for iPhone,6,13,covid; 
Thanks to @realDonaldTrump America has become the global leader in COVID19 drug developments. His business-like approach to governing has eliminated roadblocks and fast-tracked medical innovation. Find out more in this week’s #LongShortReport: https://t.co/5vGiofTTWx,2020-06-19 21:29:28,Twitter for iPhone,2,12,covid; 
Millions of Americans lost their jobs and thousands lost their lives because of #COVID19. While Republicans are trying to offer support to Americans as they get back on their feet Speaker Pelosi is trying to... prop up the pot industry? How much sense does that make? https://t.co/gs3tpajF3w https://t.co/dvG6EeGD2f,2020-06-05 20:37:41,Twitter for iPhone,6,5,covid; 
On Monday our nation paused to remember our fallen heroes who made the ultimate sacrifice in service to this nation. Our subdued celebrations this year remind us to also honor our frontline heroes fighting #COVID19. Read more in this week’s #ShortReport: https://t.co/4rgs0mGT8B,2020-05-29 17:46:27,Twitter for iPhone,3,4,covid; 
If you’ve recovered from #COVID19 your immune system has antibodies that could be used as a treatment. See if you can help others by visiting https://t.co/gUztiXo5Mm,2020-05-27 15:50:47,Twitter for iPhone,2,4,covid; 
Recently rates of positive #COVID19 cases in the Ag industry are on the rise. The Trump Admin has taken swift and decisive action to ensure that these essential employees have the support needed to work safely. Find out more in this week’s #ShortReport: https://t.co/6Frhv2c0vl,2020-05-15 20:13:05,Twitter for iPhone,1,7,covid; 
#ICYMI: I joined Pastor @johnlindell to talk about #COVID19 and what it means for Missouri. Thanks for having me! https://t.co/MK3ufXaqBz,2020-05-13 20:29:24,Twitter for iPhone,1,2,covid; 
(1/2) While we are unsure of #COVID19’s exact origins it is clear that China’s gross negligence and deception has led to the deaths of hundreds of thousands around the world. We must hold them accountable.,2020-05-08 20:11:15,Twitter for iPhone,673,713,covid; 
In a rare display of solidarity scientists around the world are working together to find a cure for #COVID19. Find out more in this week’s #ShortReport: https://t.co/wEydppuF7T,2020-04-24 18:58:18,Twitter Web App,0,1,covid; 
After two weeks of unnecessary delays the Paycheck Protection Program and Health Care Enhancement Act is finally on its way to @realDonaldTrump’s desk:   ✅$310B for PPP ✅ $75B for hospitals  ✅ $25B to expand COVID testing   Help is on the way!,2020-04-23 22:27:07,Twitter for iPhone,5,13,covid; 
Incredibly proud of Springfield’s own ⁦@BassProShops⁩ founder Johnny Morris for donating 1 million face masks to healthcare workers!  This incredible act of generosity will help ensure our healthcare professionals are safe as they fight #COVID19.  https://t.co/5E16aiS926,2020-04-22 16:23:45,Twitter for iPhone,2,6,covid; 
Tune in: I’m live on @jimbotalks’s show now discussing #COVID19’s impact on our country and our plan to reopen the economy. Listen to KWTO 560AM or 93.3FM or here: https://t.co/vL9ep9udRh https://t.co/a9J9PG3NZb,2020-04-21 02:18:09,Twitter for iPhone,1,2,covid; 
Democrats and the media have made inflammatory hyperbolic and downright false claims that @realDonaldTrump didn’t respond fast enough to #COVID19 but that’s simply not true. Watch @RepDanCrenshaw debunk this reckless narrative. https://t.co/WJUiKs1rok,2020-04-20 21:43:29,Twitter for iPhone,5,4,covid; 
Maternal mortality is a U.S. health crisis that few are talking about; #COVID19 is creating a new set of challenges that could exacerbate this crisis w/out intervention. Find out how healthcare officials are staying on top of it in this week’s #ShortReport https://t.co/4oxMeWRJV9,2020-04-17 17:33:56,Twitter Web App,2,1,covid; 
#COVID19 has made a reliable broadband connection more important than ever. Find out more in this week’s #ShortReport: https://t.co/HJpJtbz5eJ,2020-04-10 18:17:58,Twitter Web App,0,1,covid; 
🚨🚨@CDCgov has announced it will be providing Missouri with an additional $3.9 million to fight #COVID19.   This funding will help provide healthcare professionals with vital resources as they continue to care for coronavirus patients. #ShowMeStrong #InItTogether,2020-04-06 22:48:18,Twitter for iPhone,1,2,covid; corona; 
Have questions about #COVID19? Visit my website for up-to-date information: https://t.co/aIeb91rlmA,2020-04-06 20:46:57,Twitter for iPhone,4,8,covid; 
Republicans are saying #InItTogether &amp; Dems are plotting to include unrelated partisan provisions in a new #COVID19 bill. See the difference?   We need to set political agendas aside &amp; focus on clean bills to provide Americans &amp; healthcare professionals support during this crisis https://t.co/2D9Ipj3sXP,2020-04-01 21:52:37,Twitter for iPhone,137,290,covid; 
As we continue to wage war against this invisible enemy we owe it to the American people to set partisan interests aside &amp; pass additional legislation to fight the coronavirus if &amp; when needed   I stand w/ @GOPLeader ready to work w/ all of my colleagues b/c we are #InItTogether https://t.co/EH3FtqjG4a,2020-04-01 19:37:14,Twitter for iPhone,0,3,corona; 
I’m glad we could finally set partisanship aside and deliver relief to the American people. The Coronavirus is no match for the American spirit and we will defeat this virus. Thank you Mr. President! #InItTogether,2020-03-27 20:45:07,Twitter for iPhone,2,7,corona; 
Are you a small business owner who’s struggling because of #COVID19? Find out how the SBA can help in this week’s Short Report: https://t.co/T8l0H6uZOh,2020-03-27 18:23:06,Twitter Web App,3,7,covid; 
While American people are losing their jobs Speaker Pelosi is holding up relief efforts for partisan provisions that have NOTHING to do with the #COVID19 https://t.co/e8PjZoAtb3,2020-03-24 17:50:41,Twitter for iPhone,8,10,covid; 
The Coronavirus is not a “tremendous opportunity to restructure things to fit our vision” it’s an opportunity to do what’s right for the American people.   This is a new low. This is a global pandemic not a political football. https://t.co/OpIFPs4Fwz,2020-03-23 15:21:43,Twitter for iPhone,9,34,corona; 
Today @SBAgov has declared an economic disaster in Missouri due to #COVID19. Small businesses can now apply for disaster loans here: https://t.co/fEGexXfFZ3,2020-03-21 21:51:29,Twitter for iPhone,3,8,covid; 
Unfortunately some people are capitalizing on #COVID fears by running scams that offer fake test kits or spreading false information about cures.   Check out the @FCC’s website https://t.co/hROYYR9iso to learn more or contact the FTC to report a scam. https://t.co/2OgEyaEmAO,2020-03-20 19:41:22,Twitter Web App,4,10,covid; 
Throughout history Americans have banded together and projected strength in the face of adversity. #Coronavirus has tested our nation and Americans have responded by bringing out the best in one another demonstrating that we will persevere. We are #InItTogether https://t.co/TjynhrnkFr,2020-03-18 18:26:27,Twitter Web App,3,5,corona; 
