The Senate left town without providing COVID relief to the American people BUT they confirmed 5 conservative judges. Make it make sense.,2020-11-22 01:59:17,Twitter Web App,209,674,covid; 
@dmstingley @amjoyshow Did you contact my office? Capitol Hill has been closed to visitors due to COVID-19.,2020-11-16 17:37:16,Twitter Web App,0,0,covid; 
Senate Republicans rushed the confirmation of an unqualified judge who has never tried a case. This confirmation will likely deliver a detrimental reality to anyone who is non-white non-male non-straight and non-Christian. This is more important than a COVID relief bill?,2020-10-27 13:13:30,Twitter for iPhone,9,32,covid; 
He's too eager to take away the rights of millions by rushing a Supreme Court nomination while American citizens struggle to deal with COVID-19 and its effects.  https://t.co/Tdq2z4KboW via @usatoday,2020-10-06 23:40:35,Twitter Web App,2,14,covid; 
@CWCollins44 COVID-19 relief bills have been sitting on McConnell’s desk for 136 days. So I would say Trump puppets killed the bills.,2020-09-28 20:36:19,Twitter Web App,0,0,covid; 
Congratulations to Jackson State University on their selection of Deion Sanders as the new head football coach! Unfortunately the mishandling of the coronavirus pandemic has deprived most football fans of the opportunity to enjoy football this season. https://t.co/NvrdI8MtSh,2020-09-21 15:03:06,Twitter Web App,11,74,corona; 
To stop the spread of COVID-19 we all need to play our part. Help protect those who need it most. https://t.co/50InvRvZXV,2020-09-16 16:42:56,Twitter for iPhone,6,21,covid; 
You held a vote on a bill that refused to fully address the coronavirus and ignored families facing hunger &amp; homelessness. Yet the President's enablers in the Senate will claim they "tried." The only thing you accomplished is lying for your maniacal leader. https://t.co/aFYSu3d7t9,2020-09-10 20:39:31,Twitter Web App,10,33,corona; 
March 19: 12600+ confirmed COVID cases in the U.S. 265 confirmed COVID deaths in the U.S.  Today: 6334150+ confirmed COVID cases in the U.S. 189970+ confirmed COVID deaths in the U.S. #TrumpKnew and the numbers speak for themselves. https://t.co/kFGCKW7Q1Q,2020-09-09 19:18:26,Twitter Web App,32,44,covid; 
The CDC recommends that you wear masks in public settings around people who don’t live in your household and when you can’t stay 6 feet away from others. Masks help stop the spread of COVID-19 to others. https://t.co/8LIWX3a6Lm,2020-08-31 16:52:16,Twitter Web App,2,7,covid; 
President Trump wants Americans to think his weak executive actions will turn the tide of the fight against COVID19. ➡️5 million cases. ➡️160000 dead. ➡️55 million first-time unemployment claims.,2020-08-11 14:23:00,Twitter Web App,3,8,covid; 
Back to school will look be vastly different this year while coronavirus cases are rising. As some schools prepare to return this month I encourage our students and school employees to regularly use hand sanitizer wear a mask and practice social distancing. https://t.co/nJQUwbqbs0,2020-08-04 17:00:00,Twitter Media Studio,0,8,corona; 
America leads the world in COVID-19 cases unemployment insurance has expired and businesses are struggling but the President wants to ban TikToc. #EvictTrump,2020-08-01 21:10:09,Twitter for iPhone,6,36,covid; 
With the Child Care is Essential Act we will protect child care workers by providing grants and requiring providers to continue to employ and pay their employees at pre-COVID-19 levels. #SaveChildCare https://t.co/J9OjhfY5Q5,2020-07-29 16:52:03,Twitter Web App,4,14,covid; 
4 million people. That’s how many Americans have confirmed cases of coronavirus. And still President Trump &amp; Congressional Republicans have no plan to protect lives &amp; livelihoods. Pass the #HeroesAct now!,2020-07-23 19:53:09,Twitter for iPhone,17,40,corona; 
It makes no sense to not continue to have hospitals reporting daily coronavirus data to the CDC unless you are trying to hide what we all know. Trump's lack of leadership during this pandemic is an utter failure. https://t.co/qZ7X3EZBbg via @usatoday,2020-07-15 22:01:31,Twitter Web App,43,103,corona; 
47794 Americans have lost their lives to COVID-19 in the two months since @HouseDemocrats passed the #HeroesAct. Why is the Senate dragging its feat on this must-pass legislation that gives American communities the tools to fight this crisis?,2020-07-15 19:15:57,Twitter Web App,10,16,covid; 
During these trying times of the coronavirus pandemic and the hearts of the American people are hurting because of historic racism is boldly on display President Trump seeks to dominate local Washington D.C. with military force. #StandStrongDC,2020-06-03 21:50:45,Twitter for iPhone,11,24,corona; 
Older Americans are particularly vulnerable to the physical emotional and financial consequences of #COVID19. The CARES Act provides aging adults with significant support to get through this pandemic. https://t.co/Aaib2G0O8i,2020-05-26 18:50:00,Twitter Media Studio,5,4,covid; 
The CDC and other medical experts say that taking hydroxychloroquine should not be taken as a purported cure for COVID-19. President Trump's incompetent response to the COVID-19 pandemic continues to fail and mislead the American people.,2020-05-19 14:50:39,Twitter Web App,3,16,covid; 
The latest $484 billion emergency relief package provides additional funding to small businesses health care facilities and expands COVID-19 testing. https://t.co/cwaFagMduE,2020-04-29 18:13:01,Twitter for iPhone,6,8,covid; 
MS-02 COVID-19 Cases https://t.co/HicfSHF336,2020-04-23 21:38:59,Twitter for iPhone,3,6,covid; 
Today I joined @RepBobbyRush in calling on @EPA to secure equal rights to clean air protections because COVID-19 and climate change prove that #CleanAirMatters.,2020-04-22 18:50:18,Twitter for iPhone,4,7,covid; 
-More disaster loans -Support for rural and underserved communities -Access to SBA programs for farmers Any #COVID19 relief bill must include these fixes if we want to help small businesses weather this crisis. https://t.co/UYwnv2F78d,2020-04-15 15:25:12,Twitter for iPhone,8,20,covid; 
@Pretty_fly_mom COVID-19 Stimulus Payments will only be withheld if an individual owes child support.,2020-04-13 22:06:02,Twitter Web App,0,0,covid; 
Act Now to Slow the Spread of COVID-19 https://t.co/jy17rVxNc7,2020-04-10 17:43:07,Twitter for iPhone,13,12,covid; 
Please stay safe and practice social distancing! #COVID19 https://t.co/YY35Fae5QP,2020-04-09 21:00:44,Twitter for iPhone,2,11,covid; 
The Congressional Black Caucus will host a telephone town hall today at noon with Black national leaders on the impact of the #coronavirus on Black people accessing resources from the CARES Act and the next steps in terms of legislation. Join us! https://t.co/HNzJshjf1p,2020-04-09 15:03:41,Twitter for iPhone,6,3,corona; 
You've got to raise hell to get what you want. #UnmaskCOVID19 #NAACP #BET,2020-04-09 01:32:23,Twitter Web App,10,31,covid; 
In Mississippi African-Americans make up 72% of deaths and 56% of the states’s COVID-19 cases. https://t.co/incoTDjG9e,2020-04-08 22:09:11,Twitter for iPhone,42,52,covid; 
Tonight at 7 P.M. CST/ 8 P.M. EST we will have a candid conversation on the health mental and economic tolls with this crisis that has had on the African-American community. Don't miss it!   RSVP: https://t.co/v5s8hbKv7p #COVID19 https://t.co/qGEwjtJZD1,2020-04-08 14:08:05,Twitter for iPhone,2,6,covid; 
Don’t bring coronavirus to your home. https://t.co/2zmT2Xkawv https://t.co/rxbNlZGhOv,2020-04-02 15:55:12,Twitter for iPhone,10,12,corona; 
Do you have questions about COVID-19 Stimulus Bill? Please refer to the COVID-19 Stimulus Report. https://t.co/FP4B3mU1cA,2020-03-31 20:43:51,Twitter for iPhone,7,12,covid; 
At 2 P.M. EST the Speaker will introduce the Take Responsibility for Workers and Families Act House Democrats' third coronavirus response bill. Watch it here https://t.co/Xh54gem1mJ,2020-03-23 17:56:32,Twitter Web App,1,5,corona; 
@jallen1985 There isn't a number yet. However it is titled the Coronavirus Aid Relief and Economic Security Act.,2020-03-23 17:41:12,Twitter Web App,0,3,corona; 
As Congress negotiates a third coronavirus funding package our nation's community health centers are on the frontlines of this crisis providing care to 29 million Americans. They need a massive influx of cash to treat patients. This is a matter of life and death.,2020-03-21 15:48:17,Twitter Web App,11,36,corona; 
Join the Congressional Black Caucus today at 3pm EST to discuss the response to COVID-19. https://t.co/ejIH6q9K8d,2020-03-20 17:40:27,Twitter for iPhone,2,6,covid; 
Nonprofits create a strong safe and resilient America especially as we respond to #COVID19. Why wouldn’t we want to strengthen nonprofits? Make H.R. 4523 a priority and give nonprofits more options to protect themselves.  #strongerAmerica,2020-03-19 17:42:07,Twitter Web App,16,30,covid; 
The House passed the Families First Coronavirus Response Act. McConnell must immediately call the Senate back in session to vote on the House-passed coronavirus relief package. https://t.co/acgxXyGznw,2020-03-14 16:29:08,Twitter for iPhone,10,11,corona; 
While there are no reported cases In Mississippi I strongly encourage everyone to frequently visit the CDC website to be updated with the latest facts regarding COVID-19. Please be sure to follow the precautionary measures outlined below. https://t.co/8CbYEsWqWc,2020-03-11 22:01:31,Twitter Web App,5,11,covid; 
