The latest #COVID update for Mississippi.   Click here for reminders on how we can prevent further spreading: https://t.co/1zoa7ByJ52 https://t.co/6Wmbsj8n42,2020-11-23 15:31:14,Twitter Web App,1,1,covid; 
Moderna has announced a COVID-19 vaccine that is more than 90% effective - news to celebrate! Through #OperationWarpSpeed the vaccine will soon be delivered efficiently to Americans across the U.S.   We will beat this virus!   https://t.co/fJgQsiwhXh,2020-11-16 17:46:57,Twitter Web App,1,3,covid; 
Tune in to see @tatereeves provide an update on #COVID19 in the state of Mississippi by clicking the link below. https://t.co/QLW6MJCdAM,2020-11-12 20:37:41,Twitter for iPhone,1,0,covid; 
Great news! A vaccine trial for COVID-19 has shown 90% effectiveness at preventing coronavirus. Through #OperationWarpSpeed the federal government has secured 100 million doses of the vaccine.   MORE: https://t.co/c8XxpeDmKn,2020-11-09 22:01:34,TweetDeck,1,4,covid; corona; 
The October jobs report was recently released showing signs that we are rebuilding the world's greatest economy.   ✔️638000 jobs added in October  ✔️6 straight month of gains ✔️jobless rate is down ✔️12.1 million jobs recovered since onset of COVID-19  https://t.co/Kwmqt6DECH,2020-11-09 16:36:29,Twitter Web App,2,3,covid; 
Governor Reeves is now sharing a #COVID19 update for Mississippians.   You can tune in by clicking the link below. https://t.co/QzkDA0Q7Oh,2020-10-26 19:34:51,Twitter Web App,1,0,covid; 
Latest COVID-19 numbers from Mississippi.   Please remember the CDC-issued guidelines.  -Wear a mask -Social distance -Wash your hands -Stay home if you're sick https://t.co/WcXIX6tPDE,2020-10-23 18:02:50,TweetDeck,2,1,covid; social distance; 
I'm asking everyone to continue being responsible when you're moving about in the community. The little things we do today will make a big difference tomorrow.   -Wear a mask -Keep a safe social distance -Wash your hands -Stay home if you're sick https://t.co/PIn1wPXVg3,2020-10-20 17:32:35,Twitter Web App,0,2,social distance; 
Governor Reeves discussed the increase of COVID-19 cases around the state reinstating a mask mandate in nine Mississippi counties.   -Jackson -Forrest -Lamar -Desoto -Lee -Chickasaw -Clairborne -Itawamba -Neshoba,2020-10-20 17:31:20,Twitter Web App,2,3,covid; 
Did you catch my interview on the @jeff_poor show this morning?   Tune in to hear my thoughts on how Congress should move forward on COVID-19 relief for the American people.  LISTEN: https://t.co/k8T9OnsL0y,2020-10-16 20:09:49,Twitter Web App,3,9,covid; 
