#COVID19 isn't going away. Neither is the maternal mortality crisis.  Thank you to the 13 Members of Congress who cosponsored the Kira Johnson Act this week. #Momnibus  https://t.co/c0bppagHuC,2020-11-20 18:53:24,Twitter Web App,10,26,covid; 
Happy Birthday to President-elect @JoeBiden! I’m ready to work with your administration on improving higher education solving the hunger crisis expanding affordable housing and beating COVID-19. https://t.co/Yu7HAn3EE2,2020-11-20 14:07:41,Twitter for iPhone,30,200,covid; 
Thank you @RepMarciaFudge for joining as a cosponsor of the #LocalFarmerAct which targets pandemic aid directly to local and regional producers &amp; markets with specific support built-in for farmers of color &amp; minority-owned markets to help them weather the impacts of #COVID19. https://t.co/kVuGQjE0CA,2020-11-20 13:39:11,Twitter Web App,7,20,covid; 
It’s time to talk about the harrowing experience of being pregnant during COVID-19 and how to make it better - because neither this pandemic nor the maternal health crisis are going away. https://t.co/Zr6dVFglCz,2020-11-18 02:55:02,Twitter for iPhone,77,163,covid; 
Over 38000 pregnant women received a COVID-19 diagnosis in the U.S.  Pregnant women are more likely to be admitted to the ICU receive ventilation and are more likely to die.  If you won't wear a mask for yourself wear one for the moms. https://t.co/Ep1hCTo2Nc,2020-11-17 14:42:22,Twitter Web App,33,54,covid; 
This flash flooding is serious. North Carolina bridges are collapsing as we speak.  Between the flooding and COVID-19 please stay home today if you can. https://t.co/GWu9wNDo7y,2020-11-12 19:16:21,Twitter for iPhone,6,25,covid; 
If the shoe were on the other foot the Democratic Senate would have passed a COVID-19 relief package. https://t.co/7BZUtrxJxD,2020-10-27 02:01:16,Twitter for iPhone,59,285,covid; 
Yet again the Trump Administration is trying to sweep COVID-19 under the rug. That’s why @BobbyScott &amp; I sent a letter to OSHA to resume the reporting of COVID-related workplace hospitalizations and fatalities. https://t.co/s7L42AEFZN,2020-10-14 19:59:21,Twitter for iPhone,7,13,covid; 
Out of an abundance of caution I took another COVID-19 test today and the results came back negative. My prayers as well as my actions in Congress continue to be with everyone suffering from the effects of this terrible pandemic.,2020-10-03 00:15:54,Twitter for iPhone,27,250,covid; 
Critical question from Forest Harper of @INROADS: Thousands of students aren’t using the technology they need to learn. How do we combat that during #COVID19? #DiversityInTech https://t.co/xkdc5doNHA,2020-09-23 15:41:15,Twitter for iPhone,4,4,covid; 
We’re assessing how COVID-19 has impacted #HBCUs students &amp; the tech sector.   We’re having real talks about exciting advancements and lingering shortcomings of corporate America’s diversity and inclusion efforts. #DiversityInTech,2020-09-23 14:20:59,Twitter for iPhone,1,2,covid; 
The Trump Administration and Republicans’ failed response to COVID-19 has cost roughly 200000 American lives and resulted in 6.8 million cases. Instead of taking decisive action to help American families fight this pandemic Trump Republicans #FailThePeople.,2020-09-22 18:21:56,Twitter Web App,13,16,covid; 
These next two days will bring together countless business and HBCU leaders and the nearly 100-member HBCU Caucus for substantive dialogue about increasing and improving our partnerships with an added focus on addressing COVID-19’s impacts. #DiversityInTech,2020-09-22 16:08:33,Twitter for iPhone,0,1,covid; 
Ensuring universal health care. Beating COVID-19 ... and cancer. A green new deal for climate change.  We made it to the moon. We have to do these other things not because they are easy but because they are hard. https://t.co/s9A89QCyZ5,2020-09-12 22:42:27,Twitter for iPhone,10,45,covid; 
The coronavirus crisis is hitting state &amp; local government hard – forcing many to make devastating cuts to public education. The #HeroesAct provides nearly $1 trillion in state &amp; local relief to preserve funding for students and schools. #FamiliesFirst https://t.co/bFEjGhc79W,2020-09-02 18:15:06,Twitter for iPhone,14,23,corona; 
Farms operated by Black Indigenous and other farmers of color have been among those hardest hit by COVID-19. Many of these growers have seen their revenue decline dramatically because of the pandemic. That's why I introduced the Local Farmer Act. https://t.co/LMFiMXGh4v,2020-08-26 19:37:25,Twitter Web App,6,19,covid; 
What have Senate Republicans been up to for the past 100 days since the House passed the HEROES Act? A whole lot of nothing.  The Senate should go back to Washington and pass this critical COVID-19 relief bill. https://t.co/5bOzH3Ck6C,2020-08-24 00:30:27,Twitter Web App,7,14,covid; 
Tonight: Please join us at 6 PM to talk about the importance of the Census - and how important it is for North Carolina to Be Counted during COVID-19.  Register here: https://t.co/moOLL0ohfh,2020-08-19 17:09:45,Twitter Web App,2,4,covid; 
Housing affordability is one of the most important issues facing Charlotte and it has always been a focus of my legislative agenda. We're having an important conversation on housing during COVID-19 in under an hour. I hope you can join us!  Register here: https://t.co/ZsyzEXhOTH https://t.co/lrqQwiG9km,2020-08-13 21:13:03,Twitter for iPhone,4,8,covid; 
We're having an important conversation on housing during COVID-19 tonight. I hope you can join us!  Register here: https://t.co/ZsyzEXhOTH https://t.co/Xyo499PF7L,2020-08-13 18:09:53,Twitter for iPhone,5,9,covid; 
Join us on Wednesday to talk schools reopening during COVID-19. Sign up here: https://t.co/bH8iyjI75w https://t.co/iiRxuzYvqX,2020-08-03 16:41:00,Twitter for iPhone,5,6,covid; 
No person should go hungry and they definitely shouldn't go hungry because of COVID-19. Honored to work with @RepMarciaFudge @RepMcGovern @RepJahanaHayes @RepKimSchrier @RepAlLawsonJr and @RepJimmyPanetta  to fix that. https://t.co/fTKes9Cf8F,2020-07-28 22:21:22,Twitter Web App,4,15,covid; 
From COVID-19 to maternal health environmental issues have a direct relationship to the health and wellbeing of Black people.  When we center environmental justice in our work we center Black lives. https://t.co/TjXUls3C3m,2020-07-27 14:31:35,Twitter for iPhone,8,13,covid; 
The Coronavirus pandemic has exacerbated existing systemic racism in health care and health outcomes in the US revealing what many of us know: more work must be done in order to achieve a truly equitable society. https://t.co/BlyvUSAn7G,2020-07-15 16:03:57,Twitter Web App,5,15,corona; 
Since President Trump invoked the DPA the United States has added approximately 2000000 confirmed cases of COVID-19. Congress - and the American people - deserve to know what he's doing to keep the food supply chain safe. https://t.co/KkovK9DV8L,2020-07-09 21:12:12,Twitter Web App,4,7,covid; 
Here’s what we’ve been up to since the #coronavirus outbreak started: https://t.co/pj4x1zD0NU,2020-07-07 11:33:08,Twitter for iPhone,9,38,corona; 
We’ve been working hard on your behalf during COVID-19. We still have a long way to go to recover from this crisis but know that I am fighting every day to help Charlotte and Mecklenburg County residents recover. https://t.co/PMAPHciVHR,2020-07-07 11:25:44,Twitter for iPhone,4,8,covid; 
As our nation continues to confront the COVID-19 crisis this bill will create millions of good-paying jobs and equip our nation with the 21st century infrastructure critical to growing our economy and helping our communities prosper for decades to come. https://t.co/3p1KedG2Rt,2020-07-01 22:56:33,Twitter Web App,2,4,covid; 
Testing.  Testing.  Testing.  Proud to join @repmarkpocan on this letter calling on President Trump to act so we can get the COVID-19 tests we need. https://t.co/o0UEn8OrXN,2020-07-01 18:38:44,Twitter Web App,10,25,covid; 
