Wishing everyone a happy Thanksgiving!   #COVID19 is spreading in every community in North Carolina so it’s important to keep you and your family safe by following @CDCGov guidance &amp; the 3 W’s: Wear a mask Wait 6ft apart &amp; Wash your hands.   https://t.co/ZoopaoS508 https://t.co/5BCG6mWyIP,2020-11-26 14:00:01,Twitter Web App,4,30,covid; 
Senate Republicans are withholding billions of dollars in aid that American families need to get by.  @HouseDemocrats are fighting for meaningful relief to support the unemployed cover COVID-19 treatment costs &amp; provide rental assistance.  Pass #COVIDrelief now!,2020-11-24 14:30:00,Twitter Web App,8,41,covid; 
This weekend North Carolina passed a tragic milestone: 5000+ COVID-19 deaths in our state.  Each one represents an empty seat at the table this Thanksgiving – spouses children family and friends.    https://t.co/wfQjYTC5Vg,2020-11-23 20:30:00,Twitter Web App,8,15,covid; 
With #COVID19 altering our holiday gatherings this year remember to keep yourself and your family safe by following the @CDCgov's recommendations:  -Avoid travel  -Wear a mask especially indoors   -Wash your hands  -Participate virtually   https://t.co/ZoopaoAu8A,2020-11-23 19:29:11,Twitter Web App,3,10,covid; 
If you haven't received your COVID-19 stimulus check yet you must apply for it by November 21st.   For more information and to see if you are eligible visit: https://t.co/1OmW0kD6FJ,2020-11-19 18:44:48,Twitter for iPhone,2,2,covid; 
#COVID19 cases are rising &amp; we must be serious about following public health measures that protect our communities.  The most effective ways to #SlowTheSpread are simple: wear a mask wait 6ft apart &amp; wash your hands.  Find COVID-19 testing sites here: https://t.co/RCK9Cny4dE,2020-11-17 15:30:00,Twitter Web App,3,12,covid; 
Another #COVID19 vaccine is showing successful early data.    It’s encouraging news but with cases and hospitalizations rising at a dangerous pace nationwide we must prevent further COVID-19 spread.   Be vigilant:  Wear a mask.  Wait 6 ft apart.   Wash your hands. https://t.co/iHh2HHGSVb,2020-11-16 19:35:26,Twitter Web App,8,30,covid; 
#COVID19 is spreading at an alarming rate with a record 160k new US cases reported yesterday.   Hospitals are stretched thin &amp; businesses are struggling to stay afloat.   We need COVID-19 relief now to help slow the spread and rebuild our economy.,2020-11-13 20:00:01,Twitter Web App,6,26,covid; 
TOMORROW: Last day to apply for the N.C. Housing Opportunities &amp; Prevention of Eviction (HOPE) program.   Those facing difficulty paying rent or utilities due to COVID-19 may be eligible for assistance. Apply online or by calling 2-1-1 for assistance. https://t.co/MTxkPEe0x1,2020-11-10 23:27:40,Twitter for iPhone,13,15,covid; 
Happy to learn about exciting progress being made in COVID-19 vaccine trials.   However we’re currently seeing the highest numbers of new cases ever recorded. Protect yourself &amp; others by following the 3 W’s – Wash Wait Wear. https://t.co/Uu62WYnyLJ,2020-11-09 19:34:51,Twitter Web App,11,55,covid; 
#COVID-19 has cost us hundreds of thousands of lives millions of jobs &amp; affected nearly every corner of the earth.   We must take every step possible to #PreventFuturePandemics which is why I’m joining my colleagues to stop these diseases at the source. https://t.co/W3IdREmV7F,2020-10-30 17:06:13,Twitter Web App,4,17,covid; 
New COVID-19 cases are at the highest point yet. We can’t count on the White House to do the right thing but each of us can take action to slow the spread.   Follow the three W’s – Wear a mask Wash your hands and Wait 6 feet apart.  https://t.co/dbKpCWXP5S,2020-10-27 21:00:01,Twitter Web App,3,15,covid; 
(1/5) Domestic violence harms millions nationwide – and the impacts have worsened during the #COVID19 pandemic.  During #DomesticViolenceAwarenessMonth I'm sharing local resources for where individuals can turn for help:,2020-10-27 19:53:08,Twitter Web App,5,13,covid; 
Today @realdonaldtrump’s @FCC doubled down on its decision to gut #NetNeutrality jeopardizing public safety &amp; broadband access.  As #COVID19 has shifted schools &amp; work online we need MORE internet access not less. I’ll fight this decision until #NetNeutrality is restored. https://t.co/dHAJ9KXFAC,2020-10-27 15:29:11,Twitter Web App,11,25,covid; 
In the US: 8.5+ million #COVID19 cases 225k+ deaths and 23+ million unemployed.  Instead of providing relief the GOP Senate &amp; White House are actively ramming through a SCOTUS nominee today.  It’s clear that consolidating power is more important to them than saving lives.,2020-10-26 18:23:21,Twitter Web App,6,34,covid; 
The American people are tired of Trump continuing to reject science in his disastrous COVID response.  They're tired of the GOP refusing to provide meaningful COVID-19 relief.  They're tired of trailing behind other nations in our public health response &amp; recovery. https://t.co/3RWcyVcZyJ,2020-10-20 15:28:10,Twitter Web App,18,68,covid; 
In his short time at the university he led with purpose and used a science-based approach to assist students and faculty in navigating the challenges of beginning an academic year during the COVID-19 pandemic.,2020-10-16 18:07:48,Twitter Web App,3,3,covid; 
While we continue to battle #COVID19 don't forget that flu season is here. Protect yourself and your neighbors by getting a flu shot. Find one near you: https://t.co/NJXVXSCa7K https://t.co/zYaDTLbtV5,2020-10-16 17:45:29,Twitter Web App,7,9,covid; 
Millions of families could be evicted because the Republican Senate won't pass a robust #COVID19 relief package even when @realdonaldtrump says “go big or go home”. @HouseDemocrats have compromised &amp; passed bills to provide billions in rental assistance.  https://t.co/WtGVCgOKvv,2020-10-15 16:00:00,Twitter Web App,6,11,covid; 
As the Senate Judiciary Committee hearing is broadcast today remember this:  Republicans are choosing to ram through a nominee that will undermine the ACA instead of listening to the American people and negotiating a meaningful bipartisan COVID-19 relief package.,2020-10-14 15:33:57,Twitter Web App,10,43,covid; 
TODAY: I'm bringing together local experts to discuss available housing resources during the COVID-19 pandemic at my virtual town hall at 2:00 pm.   RSVP to join: https://t.co/daEfG4KVjJ,2020-10-14 14:41:35,Twitter Web App,5,13,covid; 
If we don't tackle the pending eviction crisis we could face a homelessness crisis.  I'm bringing together local experts to discuss available housing resources during COVID-19 at my virtual town hall next Wed. Oct. 14 at 2:00 pm.  RSVP to join: https://t.co/daEfG4KVjJ,2020-10-08 17:05:00,Twitter Web App,9,32,covid; 
The President is ranting and raving on Twitter instead of working to get a COVID relief deal. He's leaving the American people out to dry. https://t.co/cnsM9cuPRy,2020-10-07 13:31:48,Twitter Web App,25,110,covid; 
Despite what our President tweets COVID-19 remains dangerous and is continuing to spread across our nation.   Please remember to take precautions practice the 3 W's (wait 6 feet apart wear a mask and wash your hands) and listen to our public health officials. #stopthespread,2020-10-05 19:26:07,Twitter Web App,28,111,covid; 
Glad to hear @SenThomTillis is feeling well after he tested positive for COVID-19.  I am wishing him a quick recovery.,2020-10-03 01:07:00,Twitter for iPhone,8,92,covid; 
I wish the President and First Lady well and hope for a speedy recovery from COVID-19.,2020-10-02 11:34:07,Twitter for iPhone,3,84,covid; 
PASSED: Heroes 2.0 provides funding to help families put food on the table protect struggling small businesses and combat #COVID19. It also represents a commitment to sensible compromise. The ball is now in Senate's and WH's court: their time to "pause" has long expired.,2020-10-02 00:43:06,Twitter Web App,27,94,covid; 
We know that #COVID19 doesn't affect everyone equally: structural inequalities make some populations more susceptible. I'm proud that $80M is coming to NC-04 to coordinate a national program to help overcome health disparities and barriers to testing among underserved groups. https://t.co/UZOyMJuYlF,2020-10-01 17:13:20,Twitter Web App,3,19,covid; 
Americans are struggling but Republicans still refuse to act.  @HouseDemocrats unveiled a compromise updating the #HeroesAct. It proves we’re serious about relief negotiations to help families and small businesses weather the impacts of #COVID19.  https://t.co/UDSxC6y07b,2020-09-29 15:20:49,Twitter Web App,7,15,covid; 
Instead of racing to combat COVID-19 Trump’s rushing to nominate Amy Coney Barrett to the Supreme Court. She’ll repeal the Affordable Care Act during a pandemic and strip health care from millions of Americans.  Let the American people decide — they’re already voting.,2020-09-26 21:56:27,Twitter for iPhone,244,757,covid; 
COVID forced businesses to quickly adapt and too many are still struggling.   Small biz drives our economy.  You can do your part to help small businesses bounce back and #shopsmall during #NationalSmallBusinessWeek.,2020-09-22 21:00:00,Twitter Web App,1,12,covid; 
To beat #COVID19 we need to follow the science. The American people deserve an administration that makes sound public health recommendations based on evidence not political optics. Trump can’t wish away this virus. https://t.co/Z1xlKh1SNI,2020-09-22 16:15:00,Twitter Web App,4,11,covid; 
200000+ COVID-19 deaths and nearly 7 million cases in the U.S. including children. It’s a lie to say the virus affects ‘virtually nobody’ below the age of 18.   Let’s do more to keep everyone safe – wear a mask keep socially distanced wash your hands. https://t.co/8Crm1kb3eJ,2020-09-22 15:45:00,Twitter Web App,3,20,covid; 
Great news -- @NIH and @TheJusticeDept will award 10 research grants to @RTI_Intl to combat disparities in COVID-19 as well as some persistent societal problems including labor trafficking and sexual violence.  Learn more: https://t.co/nEvnvTvZLk,2020-09-21 20:45:00,Twitter Web App,3,7,covid; 
Over 200k dead. Millions unemployed. #COVID19 continues to threaten us all.   What is the GOP doing? Instead of hustling to pass COVID relief Republicans plan to ram through a Supreme Court pick during an election.  GOP priorities are clear: fighting for power not people.,2020-09-21 18:45:41,Twitter Web App,59,176,covid; 
