Impeachment. A misguided Coronavirus Committee. Now the 25th Amendment.   Democrats apparently have the time to come up with baseless pursuits that are devoid of logic.  But they don’t have time to work with Republicans to protect the American people.  No surprise at all...,2020-10-09 14:26:53,Twitter for iPhone,59,94,corona; 
Democrats claim they’re fighting for American families and small businesses but what did they just do?  They BLOCKED a coronavirus relief bill that would help the very same people they claim to fight for.  They only care about posturing. What an absolute disgrace.,2020-09-10 18:12:03,Twitter for iPhone,672,1253,corona; 
At such a pivotal moment for our country it’s imperative that we identify areas where we can cut bureaucratic red tape that hampers recovery from COVID-19.  Read my joint statement with @RepJamesComer ⬇️  https://t.co/q6FrHjDJeo,2020-08-05 14:59:10,Twitter for iPhone,12,30,covid; 
The @WhiteHouse and President @realDonaldTrump are leading the fight against COVID-19. Thanks to his leadership and the tireless work being done under Operation Warp Speed progress continues to be made on all fronts. https://t.co/9hgCPpozed,2020-07-27 17:19:53,Twitter Web App,471,2113,covid; 
It was a pleasure meeting with HHS Deputy Secretary Hargan this afternoon at Wake Forest Baptist Health to talk about the COVID-19 response efforts &amp; assistance through the CARES Act. https://t.co/Clleu61eeK,2020-07-10 17:02:32,Twitter for iPhone,7,14,covid; 
Through Operation Warp Speed - spearheaded by @realDonaldTrump and the Administration - the development manufacturing and distribution of COVID-19 vaccines will be put in the express lane.  With the help of this new public-private partnership meaningful progress will continue!,2020-06-03 19:10:26,Twitter for iPhone,1,14,covid; 
Speaker Pelosi’s ‘bipartisanship be damned’ approach is outright dangerous. Partisan theatrics will not protect our country from COVID-19.   👇 My statement on H.R. 6800 👇  https://t.co/56WoXgUvVN,2020-05-15 22:35:28,Twitter for iPhone,15,17,covid; 
The @WhiteHouse and @POTUS continue to lead the fight against COVID-19 in North Carolina.   39 health centers across N.C. are receiving close to $13M in funding for COVID-19 testing and testing-related activities!  👇More Below👇 https://t.co/TzAv0CLGql,2020-05-12 20:06:38,Twitter for iPhone,4177,14764,covid; 
Our comeback story is about Americans rising to the occasion. We will continue to move forward and we won't stop until COVID-19 is eradicated. Thank you @realDonaldTrump for leading the charge against this virus. America is not - and will never be - down for the count! https://t.co/AsSAWqzGR4,2020-05-08 18:59:00,Twitter Web App,33,57,covid; 
Congratulations to Marrianna Flores of Kernersville who was named a State Champion for Poetry Out Loud. Though the national finals were cancelled due to COVID-19 we can all celebrate the achievements of these exemplary students across the country. @NEArts #POL2020,2020-05-05 17:13:24,Twitter Web App,0,4,covid; 
Joining my colleagues on the Education &amp; Labor Committee this afternoon to discuss how our constituencies are stepping up to combat COVID-19. https://t.co/6rhQx1mQSx,2020-05-01 16:23:39,Twitter for iPhone,6,26,covid; 
Businesses in North Carolina's 5th District are doing their part to defeat COVID-19. Indera Mills a company with 106 years of history in NC produces more than 20000 masks per day and is delivering them across all 50 states. Keep it up!  https://t.co/BfnVqxL9bL?,2020-04-30 13:08:00,Twitter Web Client,12,78,covid; 
