Great news: The House just passed S.4116 to extend the #PaycheckProtectionProgram (PPP) application period to 8/8. In NJ the PPP has already provided 144k+“no payback loans” a lifeline to sustain businesses &amp; pay workers during COVID-19. The extension lets more bizz get help. https://t.co/NSoXxExU8T,2020-07-01 23:50:27,Twitter for iPhone,11,42,covid; 
W/today’s PPP Flexibility Act we ensure that 🇺🇸 businesses/workers get continued relief as we battle back from COVID-19 econ impact. 131000 NJ businesses have received &gt;$16b in forgivable loans. This bill extends the lifeline for 16 + weeks as we rebuild. https://t.co/ag63s08Txk,2020-05-29 01:37:36,Twitter for iPhone,4,17,covid; 
After working this past week to win a safe easing of COVID-19 restrictions on for-hire fishing boats yesterday I met w/captains &amp; customers in Pt. Pleasant as they boarded party boats &amp; kicked-off the 2020 fluke fishing season.   Click🔗for press release: https://t.co/xNpnRhi8BK,2020-05-24 17:17:18,Twitter for iPhone,4,28,covid; 
Global Magnitsky sanctions should be imposed on those Chinese government officials who lied and suppressed the truth about #Covid_19 and committed #humanrights abuses against individuals who sought to alert the world about #coronavirus.  https://t.co/p3A1H4wHMU,2020-05-17 18:21:17,Twitter for iPhone,2494,3049,covid; corona; 
The Chinese gov't—through its propaganda organ the Global Times—has threatened me &amp; a handful of U.S. lawmakers &amp;officials seeking to legally empower COVID-19 victims to bring lawsuits in U.S. courts against the Chinese gov't. Click🔗to read press release: https://t.co/p3A1H4wHMU,2020-05-17 01:18:52,Twitter for iPhone,1127,1655,covid; 
Beijing cannot threaten enough to silence those of us demanding transparency and #humanrights and an end to cyber-hacking and crimes against humanity. Sanctions will not silence me/anyone who wants real answers about the COVID virus's transmission.  https://t.co/dcrtqUnAPa,2020-05-15 20:00:21,Twitter Web App,1070,1273,covid; 
Thank you @ALZIMPACT. Great to host a virtual town hall with @alzassociation to discuss federal efforts to #endalz &amp; address #COVIDー19 impact on #Alzheimer's patients &amp; family caregivers a larger percent of whom are women.   https://t.co/RZgzkSy1qA https://t.co/SJqgCl3g24,2020-05-13 21:11:05,Twitter Web App,7,30,covid; 
This #NationalPoliceWeek we thank all who serve(d) in law enforcement—during #COVIDー19 &amp; always. At great personal risk they are always there a line of demarcation stopping criminals protecting our communities &amp; keeping us safe. We thank them for their service. https://t.co/GCsCsb8vbI,2020-05-13 16:18:24,Twitter Web App,6,26,covid; 
TY @ecpatusa for the recognition &amp; for all you do to promote #onlinesafety. Bottom line the #Covid_19 pandemic has put women &amp;children at higher risk. We must respond. Click below to read @ecpatusa 's statement &amp; my press release: https://t.co/yJT4s7SXoQ  https://t.co/J0mqanCyiD https://t.co/dwEZJY4d8B,2020-05-11 20:33:24,Twitter Web App,9,5,covid; 
Looking forward to today’s #AmericaStrong flyover salute w/ @AFThunderbirds &amp; @BlueAngels to honor our healthcare workers first responders &amp; law enforcement. We appreciate all that you do to keep us safe during this #CoronavirusPandemic.   Timing/map for today's flyover below: https://t.co/sEeh5SZY1K,2020-04-28 13:44:01,Twitter Web App,3,16,corona; 
#ICYMI : Click link below to watch my April 22 2020 #COVIDー19 update from Freehold NJ.  https://t.co/YhosHbeATd,2020-04-23 13:18:04,Twitter Web App,2,7,covid; 
As April is #AutismAwarenessmonth––&amp; esp during the #COVIDー19 pandemic––we redouble our efforts to prioritize unmet needs for individuals with ASD. Click 🔗to read my press release about the letter I sent to House &amp; Senate leadership w/@USRepMikeDoyle.  https://t.co/G3l4Ko60BM,2020-04-22 00:13:35,Twitter Web App,3,9,covid; 
The federal government will continue to run and support two FREE coronavirus test sites in New Jersey agreeing with the urgency in the delegation letter to FEMA I &amp; @RepJoshG spearheaded.  Click link to read more about the announcement:  https://t.co/K0pgC01T3F https://t.co/I2vc6oMBfZ,2020-04-11 00:23:26,Twitter Web App,6,27,corona; 
The Senate has passed and sent to President Trump the #coronavirus aid package to provide relief to those impacted directly. Read my statement on House passage of this package and access important COVID-19 information on my website.   https://t.co/ulNqXnePdK,2020-03-18 22:43:46,Twitter Web App,9,28,covid; corona; 
