This is an excellent Q&amp;A on the availability of COVID vaccines that may (God-willing) soon be approved for use. 🤞 https://t.co/dZpPnG4gJG,2020-11-28 19:49:31,Twitter for iPhone,10,44,covid; 
227 rightwing judges 0 new covid relief 0 new stimulus checks 0 new unemployment 263845 dead Americans  That’s one judge for every 1162 dead Americans. https://t.co/N2wsF5xI9d,2020-11-24 15:39:27,Twitter for iPhone,262,506,covid; 
227 rightwing judges 0 new covid relief 0 new stimulus checks 0 new unemployment 262757 dead Americans  That’s one judge for every 1157 dead Americans. https://t.co/qcRUyw6Flk,2020-11-23 16:47:07,Twitter for iPhone,250,419,covid; 
227 rightwing judges 0 new covid relief 0 new stimulus checks 0 new unemployment 256599 dead Americans  That’s one judge for every 1130 dead Americans. https://t.co/qtUcYflwrx,2020-11-19 21:21:12,Twitter for iPhone,180,338,covid; 
225 rightwing judges 0 new covid relief 0 new stimulus checks 0 new unemployment 254370 dead Americans  That’s one judge for every 1130 dead Americans. https://t.co/CIqXkby5YB,2020-11-18 17:27:19,Twitter for iPhone,197,346,covid; 
222 rightwing judges 0 new covid relief 0 new stimulus checks 0 new unemployment 252684 dead Americans https://t.co/7Ljmjk15yi,2020-11-17 21:02:01,Twitter Web App,202,441,covid; 
222 rightwing judges 0 new covid relief 0 new stimulus checks 0 new unemployment 251928 dead Americans https://t.co/bbmx9tr2Ca,2020-11-16 15:47:39,Twitter Web App,180,330,covid; 
This is potentially fantastic news to start the week with: a covid vaccine that looks very effective in advanced trials. https://t.co/mzIfhCByrI,2020-11-09 13:15:00,Twitter for iPhone,6,102,covid; 
Mcconnell Senate Scorecard  221 rightwing judges confirmed 0 new covid relief bills 0 new stimulus check bills 0 new bills for unemployment   234405 dead Americans https://t.co/XOErJiHWcM,2020-10-30 18:43:02,Twitter for iPhone,41,73,covid; 
Trump’s government continues to weaken reporting requirements of a $175 Billion covid fund.   So @RepKatiePorter @repcleaver and I are leading colleagues demanding real accountability and transparency from HHS. https://t.co/SVXJqmUz7q,2020-10-30 16:12:30,Twitter for iPhone,72,163,covid; 
Unwilling to pass any covid relief mcconnell republicans are today holding a hearing to whine about mean facebook and twitter posts. Really. https://t.co/ywCK24yOVA,2020-10-28 18:30:34,Twitter Web App,146,443,covid; 
Today we announced a $900K federal award for drug prevention in #Paterson.   As we combat covid we’re also keeping up our fight against the scourge of opioids. This federal award is a game-changer for our community. https://t.co/JTg9g4RA0S,2020-10-26 17:30:19,Twitter for iPhone,4,31,covid; 
With scores of Americans being denied coverage for covid testing @RepMcKinley and I are leading 54 of our D+R colleagues calling on HHS to make changes to ensure Americans who need tests can get them without paying through the nose. https://t.co/1x0vCt2l6z,2020-10-26 14:56:34,Twitter for iPhone,27,83,covid; 
Just now @RepSherrill and I discussed our new legislation to protect nursing homes from outbreaks.  Because of callous trump deregulation nursing homes have faced cataclysmic covid death tolls. Our new bills will aid seniors now and protect against future outbreaks. https://t.co/O6V1Jsi2pG,2020-10-19 18:15:42,Twitter Media Studio,16,37,covid; 
"The Trump White House has installed two political operatives at the nation’s top public health agency to try to control the information it releases about the coronavirus pandemic"  How many Americans are dead because of these lying gangsters? https://t.co/mZy0DyUUUp,2020-10-16 14:07:07,Twitter Web App,91,98,corona; 
GOP Sen. Sasse says trump mishandled the coronavirus response 'kisses dictators' butts' 'sells out our allies' mistreats women and trash-talks evangelicals   On this matter I stand in complete agreement with the senator from Nebraska. https://t.co/UDYRTd61ym,2020-10-15 19:56:05,Twitter Web App,79,197,corona; 
Mcconnell republicans can’t be bothered to pass covid aid or save the Post Office but they’re all over harassing twitter for removing Russian disinformation.  This farcical video is another demonstration of mcconnell republicans’ sneering unfitness. https://t.co/ttaPE3LDdp,2020-10-15 17:23:14,Twitter for iPhone,275,654,covid; 
Mcconnell republicans are blocking all covid aid because they want to create a depression for trump’s successor.   The republican party is unfit to govern and doesn’t give a damn about you. https://t.co/3NgIVDwFDX,2020-10-14 21:36:41,Twitter for iPhone,177,331,covid; 
