This is why the Senate needs to pass the #HeroesAct. #COVID19 https://t.co/RVm59GsSwj,2020-11-28 01:14:18,Twitter for iPhone,59,219,covid; 
New Mexicans shared their #Thanksgiving2020 stories with me. I'm so grateful for everyone who found creative ways to celebrate with their families and loved ones. #COVIDー19 1/4 https://t.co/9J0ZMLkZ8O,2020-11-27 05:34:21,Twitter Web App,21,194,covid; 
With the spread of #COVID19 at an all time high we have to be vigilant. Stay home if you can wash your hands frequently keep a safe distance from others and wear a mask.   Masks save lives.  https://t.co/D4mFpirKmo,2020-11-24 21:46:00,TweetDeck,18,89,covid; 
As #COVID19 cases continue to rise I want to thank all of our frontline workers for supporting our communities through this crisis.  Lets do our part &amp; continue to wear masks &amp; social distance for their safety &amp; health.  https://t.co/qsrpukBnzt,2020-11-23 18:30:00,Twitter Web App,9,74,covid; social distance; 
Excellent piece about #COVID19 and its impact on Tribal communities by the All Pueblo Council of Governors Chairman Wilfred Herrera Jr. in the  @ABQJournal today:  https://t.co/K0ZKEmpjbk,2020-11-22 15:32:06,Twitter for iPhone,41,123,covid; 
I’m grateful for @GovMLG’s work to expand #COVID19 testing sites throughout the state. https://t.co/s21owKA9Sp,2020-11-21 20:18:45,Twitter for iPhone,12,115,covid; 
I spoke to @Grist about my fight to protect communities disproportionally affected by climate change especially in the midst of the #COVID19 pandemic. #TimeToThrive #30by30 https://t.co/sywQWcraBf,2020-11-18 19:00:00,Twitter Web App,36,164,covid; 
I’m fighting for COVID relief for families &amp; small businesses in Congress. As we stay inside to keep our communities safe I want to know how you support local businesses.  Reply to this tweet &amp; let me know! ⬇️,2020-11-17 18:38:21,Twitter Web App,26,263,covid; 
The outgoing Administration is weaponizing the #COVID19 pandemic by unlawfully expelling asylum seekers. It’s a human rights violation and must stop now. https://t.co/dtuSblteMH,2020-11-15 19:00:01,TweetDeck,34,96,covid; 
Thank you for sharing your story @DayHochmanVigil. Sending my best to you and your family.   We can all play a role in protecting our communities by staying home when we can wearing a mask social distancing &amp; washing our hands. #AllTogetherNM #COVID19 https://t.co/o2OKX3NofW,2020-11-11 22:50:00,TweetDeck,9,51,covid; 
For #VeteransDay tomorrow @NatlParkService will be honoring our country’s veterans by offering free admission to all!   Please remember to stay safe social distance &amp; #RecreateResponsibly.,2020-11-10 21:30:00,Twitter Web App,10,62,social distance; 
President-elect Joe Biden is moving quickly to address the pandemic so we can get the economy running again with his #COVID19 Task Force.   https://t.co/OkzO0Zoocm,2020-11-09 22:00:00,Twitter Web App,16,103,covid; 
As #COVID19 cases continue to rise it’s even more important that you get your flu shot.  You can find your nearest flu shot provider here: https://t.co/pu4sNbEnhx,2020-11-06 20:00:00,Twitter Web App,11,69,covid; 
My heart goes out to all the students Prentis Jones mentored and coached and the entire Rio Grande High School community. It’s a tragedy that he died of #COVID related issues — please let’s all take care of each other and wear our masks. https://t.co/HPQ2sOp6Cp,2020-11-06 06:07:28,Twitter for iPhone,21,141,covid; 
We can all play a part in helping our health care heroes by wearing a mask staying home when we can washing our hands often &amp; keeping a safe distance from others. #COVID19 #maskupNM https://t.co/tW7gfsvLzF,2020-11-05 23:45:47,Twitter for iPhone,26,109,covid; 
We saw a record number of #COVID19 cases recorded yesterday.  Don’t forget to wear a mask for your health &amp; the health of our communities. https://t.co/inA8xfIhZO,2020-11-05 21:00:01,Twitter Web App,17,55,covid; 
Visite mi centro de información de Coronavirus que ahora tiene la información actualizada sobre asistencia con la renta e hipoteca. #COVID19 https://t.co/WkOGekubqk,2020-11-04 21:00:11,Twitter for iPhone,2,11,covid; corona; 
My #Coronavirus Info Center now has updated information about rent &amp; mortgage assistance. English &amp; Spanish info here: https://t.co/WkOGekubqk,2020-11-04 21:00:11,Twitter for iPhone,9,27,corona; 
