As we safely celebrate Thanksgiving today I want to express my sincere gratitude for our frontline healthcare workers who are fighting day in and day out to heal our communities and keep COVID-19 at bay. From my family to yours happy #Thanksgiving. https://t.co/YLaTlQS7Lb,2020-11-26 19:04:27,Twitter Web App,4,18,covid; 
Tourism/hospitality employs nearly 30% of So.NV's workforce. These industries and their workers are facing unprecedented challenges and record unemployment. That’s why I introduced a bill to give them a fighting chance while we navigate #COVID19  https://t.co/gpeZGbRmFL,2020-11-25 18:57:18,Twitter Web App,3,4,covid; 
@DhhsNevada developed an app to notify you if you’ve likely been exposed to COVID. It exchanges anonymous information via random codes to keep your information private--it doesn’t use GPS and can’t share your location or info. Learn more and download:  https://t.co/8EzJvHszZK,2020-11-24 20:28:06,Twitter Web App,0,0,covid; 
Your Thanksgiving celebration may look a little different this year and that’s ok. It’s important we all do our part to control #COVID19 not just for our loved ones but for our communities. Here are some tips for safe celebrating this week. #MaskUpNV https://t.co/0PHUUED1Hw,2020-11-24 18:52:08,Twitter Web App,1,5,covid; 
COVID has severely impacted the hospitality &amp; tourism industries. Today I led legislation with @RepLaHood @RepJimmyPanetta to support these industries and their workers. See our press release at the link: https://t.co/gpeZGbRmFL,2020-11-20 21:57:47,Twitter Web App,4,10,covid; 
�� If you are having symptoms of COVID or have been around someone who has tested positive and need to be tested @SNHDinfo is offering free tests no appointment needed at Cheyenne High School TODAY and tomorrow. https://t.co/iWmvCkwBRa,2020-11-12 22:12:12,Twitter Web App,1,6,covid; 
REMINDER 📣 Applications for the second round of supplemental COVID funding for volunteer fire departments close TOMORROW at 5:  https://t.co/zMxRLcjmXZ,2020-11-12 20:53:53,Twitter Web App,2,4,covid; 
More than 111000 Nevadans have contracted #COVID19 now classified as a pre-existing condition. Repealing the ACA removes protections for people with pre-existing conditions. Trying to take down the ACA during a pandemic isn’t just irresponsible – it’s dangerous. #SaveTheACA,2020-11-11 1:20:00,TweetDeck,6,21,covid; 
Simple actions like washing your hands and wearing a mask make a big difference in the fight against COVID. Protect your neighbors. #StopTheSpread https://t.co/NX1LIoWilw,2020-11-9 21:20:43,Twitter Web App,3,6,covid; 
COVID has been a source of stress for families and fraudsters are taking advantage. Beware of robocalls claiming to be from the government. https://t.co/UI3NuaTQ9R,2020-11-6 21:04:15,Twitter Web App,4,8,covid; 
Nevada recently surpassed 100000 cumulative COVID cases. I encourage all Nevadans to continue social distancing wearing a mask and following all @DhhsNevada guidelines. Together we will get through this.,2020-11-2 20:49:00,Twitter Web App,4,9,covid; 
People across the country are celebrating Día de los Muertos remembering and honoring the lives of loved ones who have passed. This year as COVID has shaken communities and altered celebrations my thoughts are with each person who has lost someone.   https://t.co/ZGTSiCiXtY,2020-11-1 20:38:20,Twitter Web App,2,9,covid; 
Proud of @CNLV’s work with @NVEnergy and @SWGas to bring stability to nearly 5000 households behind on payments due to COVID. I will continue fighting at the federal level to protect working families’ livelihoods throughout and after this pandemic. https://t.co/lsLxZEgn94,2020-10-29 20:51:40,Twitter Web App,1,4,covid; 
COVID testing locations for now through October 31 have been updated. Check out the calendar below to see where you can get tested 👇 https://t.co/kA6GYaPA54,2020-10-28 0:13:00,Twitter Web App,1,1,covid; 
@ClarkCountyNV is providing rental assistance to those struggling due to COVID. Find out if you’re eligible and learn more about how to apply: https://t.co/OdAti77kjS,2020-10-27 22:13:00,Twitter Web App,1,1,covid; 
#TeamHorsford was honored to attend the tree dedication for LVMPD Lt Erik Floyd who our community lost to COVID in July. Lt Floyd worked tirelessly for injured officers and their families and has left an unforgettable legacy in our community. https://t.co/q1MFQHjMG2,2020-10-26 21:09:00,TweetDeck,6,18,covid; 
The flu and COVID should not be part of what makes Halloween spooky! Tips for a safe and fun night 👇 https://t.co/5SkSAvmxOr,2020-10-23 23:19:00,Twitter Web App,4,11,covid; 
As measures to prevent the spread of COVID have kept people at home more spotting signs of family abuse is more important than ever. Learn more about how to do so and provide support: https://t.co/3GH3U1KmDS,2020-10-22 18:38:05,Twitter Web App,1,2,covid; 
Wearing masks protects ourselves and our neighbors by reducing the spread of COVID but only if we wear them properly. https://t.co/a04KbEr2Tc,2020-10-21 21:13:45,Twitter Web App,14,22,covid; 
COVID has left countless LGBTQ+ folks vulnerable to additional pressures. @HRC_NV put together this guide with info and resources relevant to members of the LGBTQ+ community: https://t.co/pZcwVziyvi,2020-10-20 20:16:00,Twitter Web App,4,3,covid; 
.@COVIDOversight has revealed that the Paycheck Protection Program implemented policies that shut out minority-owned businesses. Going forward we must prevent needless barriers for relief funds for underserved and vulnerable small businesses.  https://t.co/Dq25Y92GRW,2020-10-19 21:29:09,Twitter Web App,14,11,covid; 
Nearly 200000 Nevadans are out of work and are struggling to get by. I will keep fighting for real COVID-19 relief for all Americans.  https://t.co/xhGRKYSqvB,2020-10-15 20:59:00,Twitter Web App,16,21,covid; 
Scammers have been taking advantage of COVID to con people in need. Avoid these schemes by learning about common scams: https://t.co/auIdhoMDPb https://t.co/kBPVQx0Q9I,2020-10-14 20:17:55,Twitter Web App,1,2,covid; 
Yesterday I spoke to the @BrookingsInst on a potential new #InfraCorps Program to develop a diverse workforce in the skilled trades in an infrastructure plan for the COVID-19 recession and to provide flexible learning and job opportunities for Nevadans. https://t.co/zjekdk1tg0 https://t.co/zPF7OXWz9G,2020-10-13 14:12:16,Twitter Web App,1,3,covid; 
Addressing health disparities among communities of color around Covid-19 and other health issues must remain a top focus at the local state and federal levels. https://t.co/SrU8NJ5bjd,2020-10-10 22:49:28,Twitter Web App,2,1,covid; 
COVID has had devastating effects on the mental health of millions giving this #WorldMentalHealthDay new meaning. If you have found yourself struggling please know that you are not alone. https://t.co/vG9xLEukEX,2020-10-10 4:36:00,Twitter Web App,4,5,covid; 
This relief will help many Nevadans meet their most basic needs but so much more needs to be done. I am committed to passing an effective bipartisan #COVID relief package that protects the lives and livelihoods of working families. https://t.co/NnsVfQ1NSc,2020-10-8 22:22:00,Twitter Web App,3,4,covid; 
Halloween should be scary but COVID doesn’t have to be. Check out the below tips for a fun and safe Halloween 👇 https://t.co/saTBg0iVbN,2020-10-7 20:06:00,Twitter Web App,4,4,covid; 
Over 210000 people have died of COVID-19 and 7.5 million Americans have been infected.  Any FDA guidelines for a lifesaving vaccine must be science-based safe and effective. Let's work together so that we can deliver a vaccine to eliminate this virus.  https://t.co/ytFc6ixD4J,2020-10-6 23:13:00,TweetDeck,0,0,covid; 
Good news — you now have until November 21 to register for a COVID economic impact payment.  If you don’t typically file taxes and have not yet done so register here: https://t.co/xSFkmagUcj https://t.co/6OVNuh44ay,2020-10-6 19:21:14,Twitter Web App,3,0,covid; 
As flu season starts and we continue to fight #COVID getting your flu shot is more important than ever. See where you can get #NoCostFluShots near you below. 👇 https://t.co/bWUG37W5J7,2020-10-5 23:40:00,Twitter Web App,2,4,covid; 
Teachers have always gone above and beyond for our kids. This year they met the additional challenge of teaching online and have supported children facing new challenges due to COVID.  On #WorldTeacherDay we recognize their hard work and dedication.,2020-10-5 20:56:00,TweetDeck,4,6,covid; 
I wish the President and First Lady a swift recovery and urge Nevadans to wear a mask social distance and practice other precautions that doctors and experts advise.,2020-10-2 16:46:50,Twitter Web App,0,1,social distance; 
As we learn that the President and First Lady have tested positive for COVID-19 let’s do all we can to eradicate this horrible virus and give everyone the resources needed to be well and healthy.,2020-10-2 16:46:35,Twitter Web App,0,4,covid; 
As restrictions to contain #COVID19 change let’s continue doing our part to keep ourselves and our neighbors safe and healthy.  Check out the new guidance below 👇👇👇 https://t.co/SbMmB8Ff5O,2020-10-1 22:41:00,Twitter Web App,1,4,covid; 
I joined my colleagues in @WaysMeansCmte to discuss the impact of #COVID19 on our restaurant industry. I asked Mario a server at @BinionsLV and @Culinary226 member who was laid off during the pandemic about the challenges workers are facing now. Here’s what he had to say: https://t.co/FIVzBKcrFr,2020-9-26 2:45:00,Twitter Media Studio,2,4,covid; 
Lastly I stand in strong support of the #HeroesAct. This bill supports small businesses by strengthening #PPP to ensure it reaches underserved communities and nonprofits of all types and sizes. It also provides $10 billion for COVID-19 emergency grants through the #EIDL program.,2020-9-25 0:38:00,Twitter Web App,1,4,covid; 
America surpassed another tragic milestone: 200000 lives lost to the coronavirus. It didn’t have to be this bad. We owe it to them and their families to take decisive action and help American families fight this pandemic. No more stalling.   https://t.co/rYC06xkPUl,2020-9-22 19:49:00,Twitter Web App,4,2,corona; 
Greg Peistrup spent his life treating sick Nevadans and protecting public health. In his last battle he fought COVID-19 on the frontlines and to his last breath. My prayers are with the Peistrup family during this difficult time. https://t.co/AU4vSke8FD,2020-9-21 22:15:05,Twitter Web App,2,9,covid; 
This year #COVID19 has threatened our communities livelihoods and safety. On #InternationalDayofPeace we recommit ourselves to fighting this virus with peaceful solutions that allow families to thrive now and for years to come.,2020-9-21 21:23:12,Twitter Web App,3,6,covid; 
Hate can be as deadly as any virus. Today I am proud to stand in solidarity with Asian Americans across the country and vote in favor of @RepGraceMeng’s resolution to condemn all forms of anti-Asian sentiment as they relate to #COVID19.,2020-9-18 0:16:00,Twitter Web App,3,10,covid; 
Nevada’s economy was hit hard by #COVID19. I’m grateful for the efforts of @LVChamber to connect businesses with emergency assistance. I’ll continue to fight for robust funding for our businesses so we can get our economy back on track. https://t.co/KuoDsMEnEx,2020-9-17 2:29:55,Twitter for iPhone,5,7,covid; 
Hoy marca el comienzo del Mes de la Herencia Hispana. En este mes honramos las contribuciones de los latinos e hispanoamericanos a nuestra nación. En medio de la pandemia de COVID-19 los latinos están demostrando ser más esenciales que nunca y resistentes frente a la adversidad https://t.co/rw6RrnRBTe,2020-9-16 1:42:53,Twitter Web App,1,0,covid; 
Today marks the beginning of Hispanic Heritage Month. This month we honor Latino and Hispanic Americans’ contributions to our nation. Amidst the COVID-19 pandemic Latinos are proving themselves more essential than ever and resilient in the face of adversity. #HHM https://t.co/zusXHcaP8A,2020-9-16 1:42:31,Twitter Web App,2,2,covid; 
Coronavirus testing continues and now includes Eldorado High School. If you think you or someone you know may have #COVID19 stop by the Stop Swab &amp; Go drive-thru testing event. https://t.co/h1MNHSEV8f,2020-9-15 0:16:00,Twitter Web App,6,1,covid; corona; 
Our furry friends are not immune from getting and spreading COVID-19. Check out the CDC’s updated guidelines on what to do if your pet tests positive:  https://t.co/u7B9bLSlRX,2020-9-15 0:00:00,Twitter Web App,4,2,covid; 
As the IRS changed its operations in March due to COVID Perry worried that his tax return wouldn’t be processed. My office contacted the IRS and made sure he could get his return quickly.  If you need help navigating a federal agency contact my office at 702-963-9360. https://t.co/oFyhXtG33W,2020-9-14 23:12:22,Twitter Web App,1,3,covid; 
#COVID19 testing continues through September 18 at the following locations: Texas Station Fiesta Henderson and Sam Boyd Stadium. Registrants can visit https://t.co/B1n4kjkeiX https://t.co/rXCO1uQr5l,2020-9-10 1:24:00,Twitter Web App,1,3,covid; 
Thank you @GovSisolak for raising awareness about the growing mental health and suicide crises that our nation continues to face. We must prioritize mental and emotional support services and #SuicidePrevention efforts for Nevadans during and beyond the coronavirus pandemic. https://t.co/yU7stgkQnL,2020-9-10 0:55:37,Twitter Web App,5,14,corona; 
Starting September 15 @ClarkCountyNV will be offering Stabilization Grants to small businesses affected by #COVID19.   Applicants can visit https://t.co/9eRD7Y0uXY https://t.co/Rfazt6OqV7,2020-9-9 17:45:00,Twitter Web App,5,8,covid; 
DEADLINE: Applications for the @DiversifyNevada’s Commercial Rental Assistance Grant to help small businesses impacted by #COVID19 are due TODAY at 5pm. To apply visit https://t.co/o8bpe8IEIn,2020-9-8 22:45:00,Twitter Web App,1,0,covid; 
The #2020census will provide a basis for distributing grants for economic development which are valuable for our small businesses especially as we recover from the #COVID19 pandemic.  Make sure you complete the census now at https://t.co/uvGSm88k4P https://t.co/yit65eBbix,2020-9-8 22:14:38,Twitter Web App,1,0,covid; 
I am eternally grateful for the Nevadans working on the frontlines every day fighting COVID-19 and protecting our communities. Nurses doctors first responders teachers grocery store clerks truck drivers and letter carriers are the heroes that keep our country running. https://t.co/KdCQTw9MtI,2020-9-7 14:57:34,Twitter Web App,2,6,covid; 
On #LaborDay we celebrate the hardworking Americans who have contributed to the strength prosperity and well-being of our country. #COVID19 has given a new meaning to the importance of our workforce. https://t.co/yXZMoK9qCl,2020-9-7 14:57:34,Twitter Web App,9,13,covid; 
I just sent a letter to @SecretaryRoss and @dirdillingham to make sure the @uscensusbureau is implementing health and safety measures for the protection of census workers and the people they meet from #COVID19. https://t.co/F4kjmWKEqC,2020-9-6 20:11:25,Twitter Web App,5,5,covid; 
It will take years to fully restore our economy after the #COVID19 pandemic but we must do all we can now to assist families and prevent another crisis in the future.,2020-9-6 16:38:42,Twitter for iPhone,2,4,covid; 
Our Hispanic community members are working on the frontlines daily fighting #COVID19 and keeping us safe. @JoaquinCastrotx and I sat down with local leaders to discuss our efforts in the House to support our heroes and ensure essential workers receive the hazard pay they deserve. https://t.co/U681BYBA9K,2020-9-4 20:50:00,Twitter Web App,20,87,covid; 
Today I joined @SenCortezMasto and @JoaquinCastrotx to conduct an oversight visit to the @ICEgov Nevada Southern Detention Center in Pahrump after reports of a COVID-19 breakout in the facility.,2020-9-4 1:09:53,Twitter Web App,30,117,covid; 
Today I heard from teachers principals students and parents in #NV04 about the several challenges they face as a result of this pandemic. In Congress I’ll continue to ensure our schools and families have the funding and support they need during #COVID19 and beyond. https://t.co/O59cpL8C6S,2020-9-3 2:53:13,Twitter Media Studio,4,15,covid; 
#COVID19 has put a strain on our education system. TODAY at 1 pm @SonyaHorsford and I will be joining teachers principals parents and students to talk about how this pandemic is impacting access to quality education. https://t.co/zqWqgb14N7,2020-9-2 16:53:12,Twitter Web App,1,4,covid; 
Supporting #smallbiz and workers helps families struggling during #COVID19 and is crucial to preventing economic catastrophe. That’s why I voted for the #HeroesAct to provide expanded employee retention tax credit and a tax credit for other expenses.,2020-9-1 22:30:00,Twitter Web App,1,1,covid; 
Free #COVID19 testing efforts continue during the “Stop Swab &amp; Go” event. See below for the nearest testing site to you. https://t.co/Y2oOWO5JZ0,2020-9-1 21:15:00,Twitter Web App,3,1,covid; 
Last week I cosponsored the Child Nutrition Relief Act of 2020 to extend existing COVID-19 school nutrition programs until August 31 2021 so we can guarantee children have access to healthy meals all year.   https://t.co/Iy6bc7xFPc,2020-8-31 22:36:51,Twitter Web App,0,3,covid; 
Early and widespread testing to everyone even if you don’t have symptoms is crucial to combating the virus. I encourage Nevadans to listen to our state health officials @NVHealthRespon1 and @GovSisolak and continue to be tested if you have been exposed to #COVID19.,2020-8-29 0:17:43,Twitter Web App,4,10,covid; 
The CDC revised its COVID-19 testing guidance stating that asymptomatic individuals may not need to be tested. They provided NO scientific rationale for this change.   I’m demanding answers from the CDC about this decision and its impact on public health. https://t.co/woFbvpxz1u,2020-8-29 0:17:42,Twitter Web App,9,22,covid; 
�� Small businesses and nonprofits in need of coronavirus assistance 🚨: the Commercial Rental Assistance Grant is taking applications for coronavirus relief.  Click below for more information: https://t.co/o8bpe8IEIn,2020-8-28 18:15:00,Twitter Web App,1,0,corona; 
August is National Black Business month. I’ll be on IG Live with #NV04 Black small business owners discussing the impact of COVID-19 and what we’re doing to keep businesses afloat. https://t.co/6pzyUpWIm0,2020-8-26 22:13:59,Twitter Web App,5,8,covid; 
Get tested for your own health and for those around you. @NVHealthRespon1 has made it easy to find the closest #COVID19 testing location near you:  https://t.co/6iDdEpYXDL,2020-8-25 20:45:00,TweetDeck,7,11,covid; 
It’s been over 100 days since I voted to pass the #HeroesAct! Our small businesses frontline workers and fellow citizens continue to struggle with the effects of this pandemic. We must come together to combat #COVID19 and pass critical relief NOW.,2020-8-24 21:18:00,TweetDeck,5,15,covid; 
#COVID19 has been tough on our small businesses. Starting TODAY @DiversifyNevada is providing the Nevada Commercial Rental Assistance grant for rental relief for Nevada small businesses.   Find more info here:  https://t.co/t6GF9LW55O,2020-8-24 20:37:32,Twitter Web App,6,7,covid; 
The pandemic has not let up on workers and their families. Many remain unable to return to work at all while others returning to work need assistance covering childcare transportation PPE and other expenses after #COVID19 emptied their savings.,2020-8-20 22:17:58,Twitter Web App,2,5,covid; 
Southern Nevada CHIPs is offering rental and utility assistance to Nevadans dealing with the harmful effects of the #COVID19 pandemic.   Get assistance online at https://t.co/T5VRcSPg4W or call 702-369-2500. https://t.co/Jx9HtAV03X,2020-8-16 16:30:00,TweetDeck,3,8,covid; 
For 85 years #SocialSecurity has provided economic insurance for millions of American families and is especially important as we face #COVID19. I’ll continue to fight to strengthen this program and ensure my constituents like Thelma can live with dignity. https://t.co/IrBHAYjlaQ,2020-8-15 1:00:00,TweetDeck,11,17,covid; 
I am proud of the commitment and resolve Nevadans have shown in fighting #COVID19 which is reflected in our state’s ranking number two in the country for social distancing. https://t.co/IxX5rQJAYK,2020-8-13 2:24:30,Twitter Web App,1,6,covid; 
