This Thanksgiving I'm thankful for every American who hasn't let COVID fatigue stop them from being smart who wears a mask &amp; who follows the rules. These are the everyday people who are helping save lives. Despite this year's tremendous loss we have a lot to be thankful for.,2020-11-27 00:34:00,TweetDeck,148,2583,covid; 
COVID fatigue doesn’t give you permission to let your guard down. Wear your mask avoid indoor gatherings and follow the guidelines.,2020-11-16 21:15:00,TweetDeck,137,1019,covid; 
COVID-19 cases are topping 100000 a day - yesterday the CDC reported 143408 new cases the highest for a single day.  Hospitals are reaching capacity and we are running headfirst into another major national PPE shortage.  We need a domestic supply chain and we need it now.,2020-11-13 01:58:00,TweetDeck,54,277,covid; 
Striking down the Affordable Care Act would increase the ranks of uninsured Americans by more than 20 million people - that's a 70% increase. It would wreak havoc on our health care system and undermine our ability to respond to COVID-19. It’s reckless and wrong.,2020-11-10 16:33:52,Twitter Web App,87,490,covid; 
Our onion farmers need federal help right now to get through this pandemic. As a member of @HouseAgDems I’m fighting for more COVID-19 relief funding trade policies that level the playing field for U.S. onion farmers &amp; resources to fight invasive pests that threaten crops. https://t.co/gAbYRDchOW,2020-10-22 15:41:29,Twitter Web App,16,125,covid; 
I'm at @fishkillfarms one of the many farms in the Hudson Valley that utilized the Coronavirus Food Assistance Program. I’m here to talk about pandemic relief and supporting our farmers now and after this health and economic crisis is over. Watch live: https://t.co/YalORWjKYq,2020-10-21 17:46:38,Twitter Web App,14,106,corona; 
ICYMI: This week I called on the White House and NIH to expand COVID-19 testing methods and invest in projects that help us detect spikes in coronavirus cases early.   Read more: https://t.co/s9EcvIMkkN,2020-10-11 20:30:00,TweetDeck,23,126,covid; corona; 
Let’s cut the red tape on COVID-19 testing and help our local health departments catch outbreaks before they start.   We need a national wastewater testing program so we can protect our communities. Read more:  https://t.co/pHBNiE7W0V,2020-10-08 22:56:54,Twitter Web App,23,97,covid; 
If we’re going to beat COVID-19 we need to expand how and where we test.   This morning I called on the White House to cut the red tape and help localities test wastewater for the virus so we can catch outbreaks and save lives.   Read more: https://t.co/wVysmL45pu https://t.co/wOAoQeKTRp,2020-10-07 21:41:27,Twitter for iPhone,30,113,covid; 
I’m in Newburgh now calling on the White House to follow NYS’s lead and launch a national program to test wastewater for COVID-19 so we can catch outbreaks before they start. Watch live here: https://t.co/TUgNUK8L6O,2020-10-07 15:14:00,Twitter Web App,22,165,covid; 
Coronavirus cases are on the rise in New York.  Be smart. Wear a mask. Stay socially distanced.   We can beat this virus together.,2020-10-03 17:05:00,TweetDeck,64,467,corona; 
For over 4 months @senatemajldr has blocked $3.4 trillion in desperately-needed coronavirus relief.  The Senate needs to meet us halfway and pass the updated #HeroesAct.   Our communities our schools and our families still need this help.,2020-10-01 22:04:22,Twitter for iPhone,101,376,corona; 
