New York's COVID-19 regulations should be consistent and based on common sense. Shutting down gyms at 10pm will cause even more crowding during the other hours of the day. If this decision has any impact on COVID-19 spread then it's a negative one. https://t.co/kEWstvPVe3,2020-11-18 18:43:45,Twitter for iPhone,22,50,covid; 
More big COVID-19 vaccine news this morning! https://t.co/54CWctuaZT,2020-11-16 13:43:18,Twitter for iPhone,14,43,covid; 
Amy Thomas is Asst Chief of South Country Ambulance in Brookhaven. During the height of the COVID-19 outbreak I worked around the clock to deliver vital PPE testing approvals funding &amp; many other resources for our front line first responders law enforcement doctors &amp; nurses. https://t.co/zkCjbdL45J,2020-10-30 15:19:32,Twitter Web App,18,35,covid; 
🚨Just released our new TV "It's Personal". Amy Thomas Asst Chief of South County Ambulance talks about the many ways I was delivering for our front line medical workers from the first moment the coronavirus pandemic reached Long Island earlier this year. Check it out here: https://t.co/c24OTKBxS7,2020-10-19 13:30:13,Twitter Web App,27,49,corona; 
There was NOTHING "open" "transparent" or "responsible" about the Chinese Communist Party's handling of the Coronavirus pandemic. https://t.co/5YXVA2STlT,2020-09-08 19:24:16,Twitter Web App,354,398,corona; 
Just released this AM my 2nd TV ad of the 2020 campaign "Ready to Serve" discussing my work to help Long Island through a difficult time when the coronavirus outbreak hit us hard. https://t.co/9uH6F16SHT,2020-09-01 14:06:57,Twitter for iPhone,29,57,corona; 
Great news out of Suffolk County - we just had our 1st week w/ NO coronavirus deaths!  From PPE to testing CARES Act $ vents small biz $ &amp; more there’s been key fed govt help all along the way.  There’s more work to do but this is an awesome update we just got regardless!,2020-07-21 23:21:52,Twitter for iPhone,36,112,corona; 
We can't discount the need for preventative medicine. It's important to focus on other health concerns that have fallen by the wayside due to COVID. Mental health matters. So do mammograms &amp; the dentist &amp; ophthalmologist. It's time to start reopening. https://t.co/sISQwrrW3R,2020-05-24 21:57:10,Twitter for iPhone,16,30,covid; 
LI has been hit hard by COVID-19. We couldn't possibly be more motivated to finish this fight. Finally we're seeing the light at the end of the tunnel. We must work towards opening LI ASAP in a safe manner that prevents another outbreak &amp; protects our livelihoods &amp; lives.,2020-05-19 23:33:59,Twitter for iPhone,17,52,covid; 
The House Foreign Affairs Committee should be investigating China &amp; the origins of coronavirus. I explained why last night w/ @marklevinshow on "Life Liberty and Levin". It's a new week and yet another week the House of Representatives is AWOL out of DC. https://t.co/Z8y9XH5hHW,2020-05-11 18:01:21,Twitter Web App,35,61,corona; 
