On Feb 24th the White House promised the virus is under control. He ignored the experts downplayed the threat and was negligent in responding. It's now October 17 and we're heading into a 3rd wave of COVID hospitalizations. https://t.co/XL3YOydXSh,2020-10-17 18:53:25,Twitter Web App,1,4,covid; 
U.S. coronavirus cases surpassed 7.5 million with most states seeing a rise in cases - 9 months into this. Some places are feeling sharp increases in the number of COVID-19 hospitalizations. https://t.co/IYrPlcRhnA,2020-10-11 22:25:01,Hootsuite Inc.,1,4,covid; corona; 
U.S. coronavirus cases surpassed 7.5 million with most states seeing a rise in cases - 9 months into this. Some places are feeling sharp increases in the number of COVID-19 hospitalizations. https://t.co/ZrVEWaIE9v,2020-10-11 02:25:01,Hootsuite Inc.,2,1,covid; corona; 
Trump official pressured CDC to change report on Covid and kids https://t.co/CfPvKAel5J,2020-10-11 01:30:03,Hootsuite Inc.,1,1,covid; 
To combat COVID Trump gets great health care for himself but he wants to take away from everyone else. https://t.co/PwVAsliY2j,2020-10-10 23:30:14,Twitter Web App,1,1,covid; 
COVID-19 cases rising in 39 states – 9 months into the pandemic: 'We are overwhelmed'.  Meanwhile the President held another superspreader campaign event on White House grounds  https://t.co/ZrVEWb0f13,2020-10-10 23:17:08,Twitter Web App,1,1,covid; 
Trump originally promised coronavirus would go away. Then he said he took no responsibility. Now he gives himself an A+. https://t.co/Wh5MnjcAJF,2020-09-30 20:35:03,Hootsuite Inc.,3,2,corona; 
America now has 200000 coronavirus victims after Trump's failures and negligence to respond.  https://t.co/7u9KAXeNXE,2020-09-30 12:15:12,Hootsuite Inc.,1,0,corona; 
Trump's negligent response to Coronavirus means that supply shortages are forcing health systems across the country to limit who gets tested for Covid-19 hindering efforts to ramp up testing as flu season approaches. https://t.co/U5ZWC5b1mj,2020-09-27 23:50:02,Hootsuite Inc.,6,7,covid; corona; 
Trump took $300 million from CDC in the middle of the pandemic to make ads that convince Americans to be more optimistic about COVID and pretend like he did a good job.  Of course the money went to his political allies to run during the election season. https://t.co/1w67enshXt,2020-09-27 22:55:02,Hootsuite Inc.,5,2,covid; 
Trump originally promised coronavirus would go away. Then he said he took no responsibility. Now he gives himself an A+. https://t.co/jh7JDkIyHM,2020-09-27 22:35:01,Hootsuite Inc.,1,0,corona; 
200000 people have died from Covid-19 in the US. That's more than the US battle deaths from 5 wars combined. https://t.co/7u9KAXeNXE,2020-09-27 22:20:02,Hootsuite Inc.,3,5,covid; 
America now has 200000 coronavirus victims after Trump's failures and negligence to respond.  https://t.co/nct89ODaLa,2020-09-27 22:06:44,Twitter Web App,1,1,corona; 
If Trump succeeds and his appointment votes to scrap the entire ACA - insurers could once again discriminate or drop coverage completely for more than 100 million living w preexisting conditions. Including 7 million who may have lung scarring and heart damage from COVID-19.,2020-09-26 22:58:22,Twitter Web App,0,1,covid; 
Trump continues to feud with scientists and try to overrule medical experts on combating the coronavirus. https://t.co/bgZQDO5k53,2020-09-25 20:05:07,Hootsuite Inc.,0,0,corona; 
Trump’s health care plan has been clear: to tear away health care from tens of millions &amp; strip protections from as many as 133 million with preexisting conditions — including cancer survivors and potentially people with lasting complications of COVID-19.  https://t.co/WhL3LGLWm7,2020-09-25 19:40:02,Hootsuite Inc.,1,4,covid; 
Trump continues to feud with scientists and try to overrule medical experts on combating the coronavirus. https://t.co/ZIXkayzU9L,2020-09-24 16:01:10,Hootsuite Inc.,1,1,corona; 
A former top aide to Pence on the Coronavirus task force is voting for Biden because of Trump’s ‘flat out disregard for human life’ during the pandemic. https://t.co/UtP0aJoXFz,2020-09-24 14:00:57,Hootsuite Inc.,1,0,corona; 
At a rate far worse than much of the rest of the world America now has 200000 dead from COVID-19. Trump says "it is what it is" and he takes "no responsibility at all." https://t.co/TeY7lwmmkm,2020-09-24 13:00:53,Hootsuite Inc.,1,1,covid; 
Trump continues to feud with scientists and try to overrule medical experts on combating the coronavirus.  https://t.co/ZIXkayiiLb,2020-09-23 22:30:12,Hootsuite Inc.,2,3,corona; 
A former top aide to Pence on the Coronavirus task force is voting for Biden because of Trump’s ‘flat out disregard for human life’ during the pandemic. https://t.co/UtP0aJoXFz,2020-09-23 21:30:11,Hootsuite Inc.,0,0,corona; 
While @GOP and Trump have dragged their feet getting relief to 13 million unemployed hundreds of thousands of families suffering from COVID and schools and teachers they are rushing to confirm a new justice because they believe they can overturn the ACA.,2020-09-23 20:36:36,Twitter Web App,1,1,covid; 
At a rate far worse than much of the rest of the world America now has 200000 dead from COVID-19. Trump says "it is what it is" and he takes "no responsibility at all." https://t.co/TeY7lwmmkm,2020-09-23 19:59:28,Hootsuite Inc.,3,1,covid; 
❌ Children and young adults up to age 26 will no longer be able to be on their parents plans. ❌ Massive cuts to Medicaid including for seniors in nursing homes and low-income children.  All of this while COVID continues to rage across the nation.,2020-09-23 19:15:16,Twitter Web App,0,1,covid; 
At a rate far worse than much of the rest of the world America now has 200000 dead from COVID-19. Trump says "it is what it is" and he takes "no responsibility at all." https://t.co/TeY7lwmmkm,2020-09-20 22:45:05,Twitter Web App,2,0,covid; 
