So many small business owners workers &amp; entrepreneurs have reimagined the job in order to continue serving our communities through this #COVID19 crisis.  Each of us should do our part to support our incredible local businesses this holiday season.  https://t.co/jVxePgqYWZ,2020-11-25 20:53:04,Twitter for iPhone,3,8,covid; 
With jobless claims again on the rise Congress must act now to deliver families the #COVID19 support they need.  Our #HeroesAct gets it done with additional $600 weekly unemployment benefits to provide a lifeline to those fighting to weather this storm.  https://t.co/6ZgZk8PFDv,2020-11-25 18:48:05,Twitter for iPhone,3,8,covid; 
Our Capital Region &amp; nation continue to see chilling increases in #COVID19 cases and deaths. We must not let our guard down. We can each do our part to protect our hometown communities. Read more in my latest newsletter below:  https://t.co/leh8GuqUO9,2020-11-23 14:02:17,Twitter for iPhone,4,9,covid; 
In the past week we've seen over 1.1 million new #COVID19 cases. In my latest newsletter I reflect on the threat this presents to our communities &amp; our dire need for a real federal response. The only way out of this crisis is pushing through it together.  https://t.co/leh8GuqUO9,2020-11-21 14:15:32,Twitter for iPhone,2,13,covid; 
We can take heart in the remarkable work of researchers to deliver promising #COVID19 vaccines.  Until they are widely available the most effective protection we have is social distancing &amp; wearing a mask around others.  Each of us should do our part to protect our communities.,2020-11-20 13:56:09,Twitter for iPhone,2,8,covid; 
Our work to build our economy back better starts with a federal #COVID19 rescue that supports families &amp; small businesses devastated by this crisis. They need a lifeline and we need to deliver national investments in testing tracing and treatment. We need the #HeroesAct.,2020-11-17 17:51:56,Twitter for iPhone,1,8,covid; 
As our nation reaches scary new heights in this #COVID19 crisis it is more important than ever that we come together to coordinate a national plan. In my latest newsletter I highlight how that unity first requires a peaceful transition of power:  https://t.co/occqsRrx7N,2020-11-15 16:04:47,Twitter for iPhone,8,29,covid; 
ATTENTION NEW YORKERS!! Open enrollment has begun! Learn about the available NY State of Health insurance plans in your county in the link below.  As we continue to face this #COVID19 pandemic it is vital that Americans #GetCovered!  https://t.co/3TJIszQbf8,2020-11-02 17:59:36,Twitter for iPhone,5,3,covid; 
I sent a letter today to @WHOSTP to demand answers on its failure to uphold scientific integrity and call for immediate action to ensure these standards are protected to prevent further deadly harm to our nation from #COVID19. https://t.co/STQdRTmMmr,2020-10-27 18:03:25,Twitter for iPhone,3,13,covid; 
My latest newsletter shows how our $2 trillion CARES Act passed in March delivered vital support to the American people. With #COVID19 cases again on the rise it's more clear than ever that we need another rescue for families workers &amp; small businesses.  https://t.co/dexsRFjm4A,2020-10-27 12:46:37,Twitter for iPhone,2,9,covid; 
#COVID19 cases across the nation are once again on the rise.   Rather than acting immediately to support American families in the midst of this crisis the Senate continues to drag its feet.   Our communities need a rescue. We need the #HeroesAct.,2020-10-26 19:20:00,TweetDeck,3,7,covid; 
3 weeks ago the House passed the updated #HeroesAct to help Americans get back on their feet by:  - Funding testing tracing &amp; treatment - Sending another round of stimulus checks - Restoring $600/week expanded unemployment  It's past time the Senate pass this #COVID19 rescue.,2020-10-22 12:51:59,Twitter for iPhone,2,13,covid; 
#COVID19 has impacted communities of color at an alarming rate and shown the clear inequities of our public health system and now @EPA is gutting regulations that are meant to #ProtectCleanWater and keep families healthy. These dangerous cuts must end. #CWA48,2020-10-21 19:51:00,TweetDeck,2,14,covid; 
With each passing week that the Senate fails to advance a #COVID19 rescue more Americans are forced to file for unemployment. I urge Senate Republicans to at last come to the negotiating table to pass a plan that truly delivers for those who need it most. https://t.co/hdoVguEpMn,2020-10-20 13:04:07,Twitter for iPhone,3,18,covid; 
Millions of Americans have fallen into poverty through no fault of their own.   The House passed multiple #COVID19 rescue plans. Meanwhile Republicans are racing to confirm Trump’s Supreme Court nominee. The Senate has a duty to serve not play politics.  https://t.co/eW6DmlDF19,2020-10-17 13:22:00,TweetDeck,9,19,covid; 
While the Senate has walked away from delivering needed relief for the American people I have not stopped fighting alongside my colleagues to advance a #COVID19 rescue. Countless families workers &amp; businesses depend on federal support to weather this storm. We must not fail.,2020-10-13 13:14:23,Twitter Web App,3,29,covid; 
Had the pleasure of speaking with my friends from @CapRegionBOCES today. As always they imparted helpful insights including how schools across our region have adjusted operations in the wake of #COVID19 and the serious need for federal funding for education. https://t.co/XfrCb6p7G8,2020-10-09 18:26:00,TweetDeck,3,25,covid; 
The updated #HeroesAct makes critical additions to address needs that have arisen since the House first acted &amp; maintains key priorities from our original bill.    The House has taken action—now the Senate must at long last advance a COVID-19 rescue for the American people.,2020-10-08 19:42:45,Twitter Web App,2,12,covid; 
Efficiency employs more Americans than any other single energy sector but more than 400000 jobs have been lost in this field due to the #COVID19 crisis. We need to make smart investments in #EnergyEfficiency to save money cut pollution &amp; create jobs! #EEDay2020,2020-10-07 19:42:00,TweetDeck,9,18,covid; 
The House has passed two versions of the #HeroesAct to deliver urgently-needed #COVID19 rescue. Republicans must stop playing politics &amp; enact the updated Heroes Act immediately or come forth with their own plan that delivers for American families.,2020-10-07 12:53:13,Twitter Web App,5,39,covid; 
The past several months have shown how crucial our manufacturers are in addressing the #COVID19 pandemic and helping strengthen our economy. Thank you to the makers of PPE medical equipment and everyone with homemade masks! 👏#MFGDay20,2020-10-02 18:26:17,Twitter Web App,5,16,covid; 
The manufacturing industry is the backbone of our American economy. Glad to join with a number of Capital Region manufacturers for #MFGDay20 to discuss the challenges they're facing with COVID-19 and develop solutions to help the industry thrive today &amp; in the future. https://t.co/Eup8ZFYQKl,2020-10-02 16:16:38,Twitter for iPhone,4,11,covid; 
I’m troubled by news this morning that the President &amp; First Lady have tested positive for COVID-19—a stark reminder of how easily this virus can be spread. I’m keeping them and all who are struggling with this disease in my thoughts and hope they make a swift &amp; complete recovery,2020-10-02 15:11:28,Twitter for iPhone,3,30,covid; 
Our updated COVID-19 rescue delivers:  $225B in education funding $436B in state &amp; local assistance $75B for COVID-19 testing &amp; tracing $15B in funding for @USPS &amp; much more  It's long past time the Senate work with @HouseDemocrats to provide the support Americans need.,2020-09-30 21:16:55,Twitter for iPhone,2,9,covid; 
In the four months since the House passed the Heroes Act more than 110000 Americans have died of COVID-19.  This is the equivalent of losing every soul living in Albany New York. We have reached the breaking point plain and simple.,2020-09-24 17:57:15,Twitter for iPhone,1,10,covid; 
We’ve been fighting for months to advance a COVID-19 rescue for our Capital Region &amp; beyond. Senate Republicans won’t take up our bill and they won’t offer an alternative that is up to the job.  Now our nation has passed the terrifying milestone of 200000 deaths. 1/ https://t.co/ji6chrp7gZ,2020-09-24 17:52:29,Twitter Media Studio,5,20,covid; 
Our nation is rapidly approaching the painful milestone of 200000 deaths caused by COVID-19. We need a national rescue plan with robust testing tracing and treatment to protect our communities. America needs the Heroes Act. https://t.co/0HIcoOM4Gl,2020-09-17 18:15:01,Twitter for iPhone,5,5,covid; 
More schools are closing every day due to the threat of COVID-19. We need a rescue plan that will deliver critical funds to prevent devastating budget cuts and job losses. We need the Senate to take up our House-passed Heroes Act now and get the job done.,2020-09-13 14:58:26,Twitter for iPhone,14,45,covid; 
More than 100 days ago #HouseDemocrats delivered a COVID-19 rescue plan to save our nation called the Heroes Act. It’s long past time for the Senate do its job and pass legislation that can get the job done for our communities and economy.,2020-08-29 13:22:00,TweetDeck,23,51,covid; 
A strong national framework for COVID-19 testing tracing and treatment has been sitting on Mitch McConnell’s desk for more than 100 days. Enough is enough. The Senate must stop obstructing our work to rescue our economy &amp; loved ones!,2020-08-27 21:19:53,Twitter Web App,4,19,covid; 
@USPS Many of you have relied on @USPS to deliver prescription medicine or other medical supplies e.g. bandages and over-the-counter painkillers.   Not only have our friends at USPS helped keep our medicine cabinets stocked and first aid kits ready they've let us stay safe from COVID.,2020-08-18 14:54:32,TweetDeck,1,5,covid; 
#ICYMI: my latest newsletter was on improving our national COVID-19 response.  Now 13 weeks &amp; counting the Senate must not delay action any longer. Vote now to pass our rescue plan "the Heroes Act" to save our country millions of jobs &amp; countless lives. https://t.co/TfILYfveVt,2020-08-14 12:58:21,Twitter for iPhone,2,2,covid; 
COVID-19 has only worsened the U.S. opioid epidemic. Those among us living with substance use disorder need our help more than ever.  Congress must advance my Mainstreaming Addiction Treatment (MAT) Act to expand access to treatment &amp; save countless lives. https://t.co/59ESiDgryK,2020-08-11 20:51:14,Twitter for iPhone,2,4,covid; 
I wrote the COVID-19 Mental Health Research Act and made sure it was advanced in the House-passed Heroes Act to ensure this vital bill addresses not only the physical but also the mental health consequences of COVID-19. The Senate needs to vote! https://t.co/rgE49bSJUR,2020-08-03 19:12:57,Twitter for iPhone,1,18,covid; 
More than 2 months after we passed the Heroes Act the Senate has released a half-baked COVID-19 response that fails to meet the basic needs of our communities or the urgency of this moment. Americans need a real rescue plan. The Heroes Act—advanced in the House in May—delivers. https://t.co/XpNUSqvQGo,2020-07-31 13:17:00,TweetDeck,33,64,covid; 
We passed #HeroesAct in May. Senate had 2 months to respond. In that time 60000 Americans have died of COVID-19. Millions have lost jobs. Local communities are on the brink &amp; facing whether to lay off teachers or firefighters first.  #HeroesAct is the rescue plan America needs. https://t.co/YLwnWdw8Ho,2020-07-29 13:14:58,Twitter for iPhone,6,26,covid; 
Basic medical supplies such as vials &amp; syringes will be critical to running a successful COVID-19 vaccine program. Thanks @MenePangalos @John_Young &amp; Dr. Stephen Hoge for their work ensuring adequate supply for providers &amp; supporting efforts to develop a safe effective vaccine. https://t.co/gPdxK0WC8d,2020-07-21 17:17:17,Twitter Media Studio,6,9,covid; 
ICE's visa ruling to force international students who take entirely online courses out of the U.S. not only harms their education it impedes universities &amp; colleges from effectively addressing #COVID19 and threatens the health of all students &amp; faculty. https://t.co/q05Yr0qTP0,2020-07-10 19:32:20,Twitter for iPhone,4,13,covid; 
West Glenville Fire District #6 will receive $2300 COVID-19 federal funding for PPE. Our firefighters put their lives on the line to keep us safe. We need to ensure they have the tools they need to protect themselves while they fight to protect all of us. https://t.co/OgCB0rECLH,2020-07-09 22:24:00,TweetDeck,2,8,covid; 
Telemedicine has been a valuable tool in this pandemic but it’s too often limited by poor internet service. Congratulations @EllisMedicine for earning $131261 from @FCC to cover remote diagnosis monitoring &amp; other equipment to treat COVID-19 patients! https://t.co/p0E9lnOpNI,2020-06-10 19:46:23,Twitter for iPhone,2,4,covid; 
If you participated in protests over the last few days &amp; believe you may have been exposed to #COVID19 FREE WALK-UP TESTING IS AVAILABLE TODAY at Capital South Campus 20 Warren Street in Albany.  Take care of yourself &amp; help keep our community safe. Get tested for free today. https://t.co/nuxKHfp0cm,2020-06-04 16:21:14,Twitter for iPhone,74,143,covid; 
With more than 100000 Americans already lost to COVID-19 it's more vital than ever that we move forward with a sound course of action. The Heroes Act does just that ensuring our workers families &amp; communities have the tools needed to face this crisis.  https://t.co/oGQHVMz1W6,2020-05-28 19:13:36,Twitter for iPhone,1,5,covid; 
Thank you to our expert panel &amp; all who tuned in last night for our Coronavirus telephone town hall. As we continue our pandemic response it is vital we are guided by science in order to save lives and lead our nation to a strong economic recovery.  1/2 https://t.co/lu3UoWV9nz,2020-05-28 16:16:50,Twitter for iPhone,1,2,corona; 
HAPPENING NOW: I'm hosting a Coronavirus Telephone Town Hall with constituents and will be joined by local health education &amp; economic development leaders across our Capital Region.   Follow the link to listen to the conversation on pandemic response.  https://t.co/3yD7lpde4d,2020-05-27 22:51:20,Twitter for iPhone,2,8,corona; 
HAPPENING SOON: I am hosting a telephone town hall tonight with local health education &amp; economic development experts to provide information and updates on our #COVID19 response.  Follow the link below to tune into the conversation starting at 6:50PM:  https://t.co/3yD7lpde4d,2020-05-27 18:04:45,Twitter for iPhone,1,3,covid; 
TONIGHT: I will be hosting a telephone town hall this evening Wednesday May 27th at 6:50PM with constituents and will be joined by local health education and economic development experts to provide an update on #COVID19.  1/2,2020-05-27 14:12:33,Twitter for iPhone,3,9,covid; 
🚨🚨APPLICATIONS OPEN🚨🚨 @USDA is accepting applications for the Coronavirus Food Assistance Program. Glad to see this vital support for our farmers—who are the backbone of our nation's economy. I will continue fighting so that they have the tools needed to weather this storm. https://t.co/JEUcc97uD8,2020-05-26 16:28:53,Twitter for iPhone,2,2,corona; 
🚨🚨ATTENTION🚨🚨 Beginning May 26th @USDA will be accepting applications for the Coronavirus Food Assistance Program. Glad to see our nation's farmers—who are the backbone of our economy—will at last be provided desperately needed funds to help weather this storm. https://t.co/7bd1toEUrc,2020-05-20 18:56:37,Twitter for iPhone,3,3,corona; 
Nursing home worker Dorothy Collins said: "We're scared for our residents and ourselves &amp; our families. We don’t want to go home &amp; infect our loved ones. The fact that this is a pandemic means that COVID-19 doesn’t only impact our nursing home—it affects our entire community." https://t.co/84QJa7EOJi,2020-05-18 19:25:45,Twitter for iPhone,2,3,covid; 
Robert Mengel head of one of our local firefighter advocacy orgs told me: “The women and men of the Albany Fire Department are front and center in the fight against #COVID19. We collectively answer the call each time an alarm rings—and we need Congress to respond to our alarm.",2020-05-18 19:25:42,Twitter for iPhone,0,0,covid; 
- Support for small businesses by strengthening the Payroll Protection Program to (1) make sure it can reach underserved communities &amp; diverse nonprofits and (2) is flexible by providing $10 billion for COVID-19 emergency grants through the Economic Injury Disaster Loan program.,2020-05-13 20:27:37,TweetDeck,1,4,covid; 
- An additional $75 billion for the testing tracing and treatment we need in order to have a science-based path to safely reopen our country and helping ensure that every American can access free #coronavirus treatment.,2020-05-13 20:25:47,TweetDeck,1,2,corona; 
Today I announced big news: The Heroes Act—new COVID-19 crisis relief legislation just introduced in the House—provides more than $1.3 billion in crisis-response aid to New York’s Capital Region and a much-needed $49.5 billion to New York State overall.   1/,2020-05-13 20:06:19,TweetDeck,9,36,covid; 
There are hundreds of thousands of Americans who are ready to roll up their sleeves and get to work helping our communities recover. I support the plan in Congress to expand national service to respond to #COVID19. #Stand4Service https://t.co/UoMN0sg9yZ,2020-05-08 18:05:58,Twitter for iPhone,8,24,covid; 
May begins Mental Health Awareness Month which is more important now than ever before.  COVID-19 attacks our minds as well as our bodies. If you are feeling down be open reach out and connect to people. Although we’re physically alone we are truly together in this fight.,2020-05-07 18:31:31,Twitter for iPhone,3,13,covid; 
Inspiring to see the brilliant minds in our Capital Region developing innovative solutions to combat #COVID19.  We must continue to expand our testing and contact tracing capabilities and be guided by science for our nation to overcome this crisis. https://t.co/KwrphqGpFz,2020-05-06 21:51:55,Twitter for iPhone,1,5,covid; 
