Fully support SCOTUS decision striking down arbitrary state COVID mandates restricting attendance at Houses of Worship. Victory for 1st Amendment! Happy Thanksgiving!!,2020-11-26 19:13:10,Twitter for iPhone,10,72,covid; 
Time for my fellow GOP Senators and Reps to knock off lies that NY wants fed $ for bailout &amp; pension funds. All we want is compensation for COVID-19. For cops fire and healthcare workers. Almost 20000 dead in NYS. Not Blue State issue. Red White &amp; Blue.,2020-05-05 16:38:17,Twitter for iPhone,32,146,covid; 
Proud to go on national television to condemn @senatemajldr McConnell’s disgraceful remark that states like NY &amp; NJ should go bankrupt rather than receive federal funds to pay cops firefighters &amp; healthcare workers risking their lives to fight Coronavirus! Morally Indefensible!! https://t.co/naG05O3kQg,2020-04-23 18:54:48,Twitter for iPhone,192,581,corona; 
.@senatemajldr McConnell’s dismissive remark that States devastated by Coronavirus should go bankrupt rather than get the federal assistance they need and deserve is shameful and indefensible. To say that it is “free money” to provide funds for...,2020-04-23 00:18:13,Twitter for iPhone,7202,26853,corona; 
This morning at 8:10 AM @RepSherrill and I will appear on Good Day New York (@fox5ny) to discuss action we are taking regarding the Coronavirus.,2020-04-22 11:25:38,Twitter for iPhone,6,39,corona; 
Today I joined @RepSherrill to announce formation of bipartisan COVID-19 Regional Recovery Task Force. This task force will work with leading experts across key fields put forth bipartisan recommendations and policy proposals for near- and medium-term efforts to get...,2020-04-21 22:38:19,Twitter for iPhone,10,53,covid; 
Healthcare workers are heroes in struggle against COVID-19. 1200 on Long Island already infected. They are the frontline warriors!,2020-04-11 19:34:46,Twitter for iPhone,8,35,covid; 
Despite hopefully hitting a turning point in fight against Coronavirus we must continue to social distance. My LI &amp; DC office staffs and I continue to work remotely and are available to assist constituents. Please contact (516 or 631) 541-4225. Keep up the fight!,2020-04-07 17:01:19,Twitter for iPhone,8,54,corona; social distance; 
Orders issued today by @NYGovCuomo today are tough but essential to control and crush Coronavirus. Excellent NY leadership. Must have learned it in Queens!!,2020-03-20 16:37:36,Twitter for iPhone,7,112,corona; 
Americans always show strength and basic decency in time of crisis. Are doing it again and will come through Coronavirus stronger than ever! Never give in!! God Bless America!!,2020-03-19 14:57:45,Twitter for iPhone,12,52,corona; 
Kudos to @POTUS Trump and @NYGovCuomo for working together vs. Coronavirus. America at its best. This is what we need to defeat virus and save lives. God Bless America!!,2020-03-18 13:09:34,Twitter for iPhone,14,129,corona; 
Time for millennials on spring break to grow up. Stop swarming beaches and bars and spreading Coronavirus. Forget your selfishness. Show some responsibility like previous generations made America greatest nation on earth.,2020-03-17 22:03:36,Twitter for iPhone,28,242,corona; 
I was proud to vote early this morning for vital bipartisan legislation to fight Coronavirus pandemic. Sincere congrats to @POTUS Trump and @SpeakerPelosi for getting this done. All Americans should stand together. Tough times ahead. We will win. God Bless America!! https://t.co/zE2fshzahE,2020-03-14 13:33:13,Twitter for iPhone,14,112,corona; 
Must give @NYGovCuomo full credit for steady leadership during Coronavirus crisis. Job well done.,2020-03-14 00:08:43,Twitter for iPhone,22,153,corona; 
Used St. Patrick’s Day events with @VP Pence @SpeakerPelosi and Irish Prime Minister @LeoVaradkar to discuss actions needed to stop deadly Coronavirus pandemic. Must be strong united bipartisan effort. https://t.co/1J0VeMi0fX,2020-03-12 21:35:55,Twitter for iPhone,8,42,corona; 
Proud to stand with @NassauExecutive Laura Curran at annual STARCOM event for first responders. Thanked her for efforts vs. Coronavirus and bipartisan work over the years. https://t.co/LfUoh1LtAt,2020-03-06 19:16:24,Twitter for iPhone,2,9,corona; 
