If the Trump administration had a platform or plan on managing COVID - which 9 months in they still don't - its apparently to root out anyone with any competence or public trust. https://t.co/XFRtWnHAZC,2020-11-02 19:14:14,Twitter Web App,3,5,covid; 
Trumps tax returns are around the corner just like his healthcare plan or his COVID one. #PresidentialDebate2020 https://t.co/5A05bhPJdq,2020-10-23 01:35:40,Twitter for iPhone,8,49,covid; 
And that's with social distancing. Trump is back to likening COVID to the flu and endangering anyone who will listen. https://t.co/6w63taAhDx,2020-10-06 14:02:12,Twitter for Android,5,9,covid; 
Its this mentality that put Trump in the hospital in the first place and promoted a culture of skepticism that has exposed countless people to contracting COVID.  Remember Americans do not have the luxury of access to the top doctors/ experimental treatments that he's had. https://t.co/ndhbI67Zvp,2020-10-05 19:10:17,Twitter Web App,8,15,covid; 
CDFIs MDIs have supported low income and minority communities most devastated by COVID. But they’re disappearing at an alarming rate leaving families and businesses vulnerable to predatory lending. Grateful for the bipartisan support for my bill to help these institutions. https://t.co/704TEFDJQg,2020-09-21 21:06:52,Twitter Media Studio,4,9,covid; 
Says a lot that Republicans won't put aid for states and localities in their COVID relief bill but they'll let Trump twist federal agencies into playing out his inane politics threatening funding when people need it most.   This would be funny if it wasn't downright dangerous. https://t.co/ZswbJBh6fq,2020-09-21 18:53:42,Twitter Web App,4,9,covid; 
This administration's focus wasn't overcoming COVID it's focus was convincing the public the crisis wasn't happening. They allowed the pandemic to fester and as a result we are the coronavirus capital of the world. https://t.co/nGPWWwal9X,2020-09-17 22:35:12,Twitter for Android,3,6,covid; corona; 
Trump downplayed COVID refused to lead a response and fueled a skepticism about the virus that allowed it to spiral out of control. Countless lives have been lost our economy's in shambles and we have the tapes to show he knew the danger all along and did worse than nothing. https://t.co/lXdIfMRT9S,2020-09-09 18:02:43,Twitter Web App,4,6,covid; 
On #LaborDay we remember the hard fought victories that secured a livable wage a 5 day work week family leave and all that we sometimes take for granted. But this year let’s reflect on the many inequities highlighted by COVID and create opportunities for all American workers.,2020-09-07 18:20:18,Twitter for iPhone,9,17,covid; 
As if this administration hasn't failed Americans enough with a lack of COVID strategy costing more lives and economic damage than necessary now they're pulling back on testing.  Trump's focus is sweeping the pandemic under the rug putting PR over people. https://t.co/OUIJlqo2SP,2020-08-26 18:59:19,Twitter Web App,1,5,covid; 
