More than 2000 Americans died of COVID in the last 24 hours.   Trump spent his time pardoning a turkey.  Please.  Just go away.,2020-11-25 05:00:48,Twitter for iPhone,1310,7883,covid; 
More than 250K Americans have died from COVID-19.  Do your job Mitch.  Pass. The. Heroes. Act. Now.,2020-11-19 14:34:00,Twitter for iPhone,994,4852,covid; 
For nine straight days.  There have been more than 100000 coronavirus infections.   Trump remains in the witness protection program.  Unreal.,2020-11-13 14:28:46,Twitter Web App,891,4524,corona; 
More than 145000 coronavirus cases were reported in the U.S. yesterday.   That’s a record.  Pass. The. Heroes. Act. Now.,2020-11-12 14:05:53,Twitter Web App,721,2818,corona; 
COVID-19 is spreading like wildfire.  Trump has given up.  House Dems never will.,2020-11-02 13:37:00,Twitter Web App,721,4176,covid; 
More Americans died yesterday from COVID-19.  Than the total number of soldiers killed.  During the last decade in Afghanistan.   America is NOT turning the corner Donald.,2020-10-30 13:09:52,Twitter Web App,818,2998,covid; 
More than 8 million Americans have been infected with COVID-19.   Every single one now has a pre-existing condition.  Instead of stealing another Supreme Court seat to take away our healthcare.  Senate Republicans should be working to crush the virus.  Pass. The. Heroes. Act.,2020-10-17 14:33:34,Twitter for iPhone,824,2539,covid; 
The American people are in desperate need of COVID-19 relief.  That’s why House Dems have passed the #HeroesAct.  Twice.  Trump and Senate Republicans are still missing in action.  SHAMEFUL.,2020-10-10 14:04:48,Twitter for iPhone,922,2881,covid; 
These guys couldn’t stop the coronavirus from ravaging the White House.  And we’re supposed to believe the Trump administration can flatten the curve in America?  Get. Lost.,2020-10-08 01:11:09,Twitter Web App,327,1211,corona; 
Trump to Americans struggling with COVID-19: Drop Dead.  How much more can we take?  Vote like your life depends on it.,2020-10-06 21:03:53,Twitter Web App,905,3472,covid; 
50000 Americans have contracted COVID.  In the last 24 hours.   They also deserve high quality medical care.  Pass. The. Heroes. Act.,2020-10-03 04:01:18,Twitter for iPhone,12520,40800,covid; 
COVID-19 is not a hoax.  Best wishes on a swift recovery to the President First Lady and every single American infected by the coronavirus.  Wear. A. Mask.,2020-10-02 12:40:59,Twitter Web App,398,2699,covid; corona; 
